osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,width,bridge
474934788,True,2,View Street,trunk,50,False,34.135,"LINESTRING (144.2785306 -36.7596852, 144.2784805 -36.7596341, 144.2783914 -36.7595514, 144.2783591 -36.7595223, 144.278281 -36.7594524)",,,,
"[577540305, 577541724]",True,2,High Street,trunk,50,False,127.872,"LINESTRING (144.2785306 -36.7596852, 144.278411 -36.7597495, 144.2782766 -36.7598109, 144.2780553 -36.7599082, 144.2778981 -36.7599722, 144.2778492 -36.7599921, 144.2777998 -36.7600122, 144.277726 -36.7600414, 144.2776497 -36.7600749, 144.2775486 -36.7601237, 144.2774274 -36.7601788, 144.2772834 -36.7602526)",A300,,,
221662292,True,2,Mitchell Street,tertiary,40,False,80.409,"LINESTRING (144.2814999 -36.7623486, 144.2808944 -36.7618123)",,,,
653381439,True,,,secondary,,False,13.432,"LINESTRING (144.2814999 -36.7623486, 144.2815196 -36.7623403, 144.281538 -36.7623352, 144.2815577 -36.7623316, 144.2815781 -36.762329, 144.2815971 -36.7623284, 144.2816164 -36.7623291, 144.2816297 -36.7623311, 144.2816456 -36.7623341)",C332,,,
221662292,True,2,Mitchell Street,tertiary,40,False,11.457,"LINESTRING (144.2803589 -36.7613358, 144.280278 -36.7612557)",,,,
1133757188,True,1,Queen Street,residential,40,False,50.062999999999995,"LINESTRING (144.2803589 -36.7613358, 144.2802514 -36.761415, 144.2799118 -36.7616074)",,,,
6899361,True,2,Pall Mall,trunk,50,False,126.152,"LINESTRING (144.2811933 -36.757759, 144.280978 -36.7579143, 144.280722 -36.7581006, 144.2802718 -36.7584302, 144.2801441 -36.7585209)",A300,,,
507547992,True,,William Vahland Place,trunk,,False,12.963999999999999,"LINESTRING (144.2811933 -36.757759, 144.2811601 -36.7577278, 144.2811325 -36.7577018, 144.281099 -36.7576702)",,,,
1017714643,True,2,,secondary,40,False,0.581,"LINESTRING (144.2829261 -36.763436, 144.2829267 -36.7634412)",C339,roundabout,,
29396910,True,1,,residential,40,False,20.34,"LINESTRING (144.2819106 -36.7603025, 144.281889 -36.7602863, 144.2818747 -36.760271, 144.2818616 -36.7602526, 144.2818501 -36.7602252, 144.2818423 -36.7601932, 144.2818276 -36.760137)",,roundabout,,
172872130,True,1,Queen Street,residential,40,False,171.27900000000002,"LINESTRING (144.2819106 -36.7603025, 144.2818783 -36.7603041, 144.2818475 -36.7603065, 144.2818216 -36.760311, 144.2817998 -36.7603179, 144.281782 -36.7603252, 144.2817633 -36.7603365, 144.2813861 -36.7606143, 144.2813169 -36.7606618, 144.2805209 -36.7612175, 144.2804417 -36.7612748)",,,,
29396910,True,1,,residential,40,False,18.19,"LINESTRING (144.2818285 -36.7601275, 144.2818379 -36.7601106, 144.2818473 -36.7600977, 144.2818706 -36.7600742, 144.2818873 -36.7600592, 144.2819085 -36.7600447, 144.2819249 -36.760035, 144.2819694 -36.760014)",,roundabout,,
"[442867155, 132346022]",True,"['1', '2']",Williamson Street,residential,40,False,98.06099999999999,"LINESTRING (144.2818285 -36.7601275, 144.2818191 -36.7600961, 144.2818107 -36.7600744, 144.2818005 -36.7600539, 144.2817893 -36.7600355, 144.2817738 -36.7600132, 144.2817605 -36.7599984, 144.2815943 -36.7598562, 144.281481 -36.7597577, 144.2813378 -36.7596294, 144.281301 -36.7595965, 144.2812564 -36.7595594, 144.2812112 -36.7595312, 144.2811736 -36.7595115, 144.2811524 -36.7595017, 144.2811059 -36.7594812)",,,,
29396910,True,1,,residential,40,False,1.68,"LINESTRING (144.2819266 -36.7603105, 144.2819106 -36.7603025)",,roundabout,,
29396910,True,1,,residential,40,False,1.059,"LINESTRING (144.2818276 -36.760137, 144.2818285 -36.7601275)",,roundabout,,
29396910,True,1,,residential,40,False,1.72,"LINESTRING (144.2819694 -36.760014, 144.2819872 -36.76002)",,roundabout,,
179579149,True,1,Lyttleton Terrace,residential,40,False,54.595,"LINESTRING (144.2822249 -36.7596673, 144.2822183 -36.759713, 144.2822039 -36.7597801, 144.2821866 -36.7598654, 144.282168 -36.7599712, 144.2821512 -36.7600897, 144.282132 -36.7601522)",,,,
442867168,False,1,Lyttleton Terrace,residential,,False,28.123,"LINESTRING (144.2822249 -36.7596673, 144.28226 -36.7595988, 144.2822881 -36.7595486, 144.2823163 -36.7595027, 144.2823611 -36.7594395)",,,,
37555375,False,,Saint Andrews Avenue,residential,40,False,7.921,"LINESTRING (144.2827118 -36.7590543, 144.2827719 -36.7591068)",,,,
442867169,True,1,Lyttleton Terrace,residential,40,False,132.961,"LINESTRING (144.2827118 -36.7590543, 144.2828008 -36.7589996, 144.2829002 -36.7589372, 144.282983 -36.7588887, 144.283099 -36.758819, 144.2832143 -36.758766, 144.2833286 -36.7587257, 144.2834623 -36.7586904, 144.2835763 -36.7586615, 144.283632 -36.7586483, 144.2836903 -36.7586358, 144.2837372 -36.7586281, 144.2838221 -36.7586145, 144.283855 -36.7586078, 144.2838841 -36.758601, 144.2839121 -36.7585921, 144.2839353 -36.7585823, 144.2839627 -36.7585688, 144.2839939 -36.7585516, 144.2840289 -36.7585292)",,,,
29397109,True,,,residential,40,False,20.525,"LINESTRING (144.2842418 -36.7584063, 144.2842684 -36.7584063, 144.2842874 -36.7584085, 144.2843089 -36.7584122, 144.2843274 -36.7584164, 144.2843466 -36.7584224, 144.2843698 -36.7584315, 144.2843909 -36.758442, 144.2844078 -36.7584514, 144.2844263 -36.7584646, 144.2844449 -36.75848)",,roundabout,,
37555367,True,,Hopetoun Street,residential,40,False,40.824000000000005,"LINESTRING (144.2842418 -36.7584063, 144.284329 -36.7583629, 144.2843629 -36.7583443, 144.2843923 -36.7583276, 144.2845717 -36.7582096, 144.2846075 -36.758186)",,,,
29397109,True,,,residential,40,False,0.894,"LINESTRING (144.2844475 -36.7586242, 144.2844428 -36.7586313)",,roundabout,,
29397145,True,,,residential,40,False,10.539000000000001,"LINESTRING (144.2831699 -36.75784, 144.2831576 -36.75781, 144.283156 -36.7577784, 144.2831652 -36.7577477)",,roundabout,,
46207634,True,,,residential,40,False,17.066000000000003,"LINESTRING (144.2778178 -36.7617128, 144.2778527 -36.7617222, 144.2778778 -36.7617348, 144.2778973 -36.7617498, 144.2779127 -36.7617673, 144.277922 -36.7617832, 144.2779289 -36.7618034, 144.277931 -36.761822)",,roundabout,,
172364839,True,,Hargreaves Street,residential,40,False,158.74099999999999,"LINESTRING (144.2778178 -36.7617128, 144.2778484 -36.7617036, 144.277883 -36.7616842, 144.2779434 -36.7616404, 144.2786021 -36.7611635, 144.2791483 -36.7607662)",,,,
219627816,True,2,Mitchell Street,secondary,40,False,21.41,"LINESTRING (144.2817271 -36.7625514, 144.2815677 -36.7624073)",C332,,,
653381437,True,,,secondary,,False,10.493,"LINESTRING (144.2817271 -36.7625514, 144.2818174 -36.7624908)",C332,,,
653272841,True,1,Williamson Street,secondary,40,False,10.8,"LINESTRING (144.2834182 -36.7613254, 144.2834976 -36.7613988)",,,,
390191426,True,2,Myers Street,secondary,60,False,124.55300000000001,"LINESTRING (144.2834182 -36.7613254, 144.2834862 -36.7612767, 144.2836565 -36.7611523, 144.2841609 -36.7607834, 144.2844515 -36.7605708)",C332,,,
717760939,True,,,primary,,False,0.573,"LINESTRING (144.2872429 -36.7584606, 144.287239 -36.7584565)",B280,roundabout,,
172148376,True,,Williamson Street,tertiary,40,False,115.04899999999999,"LINESTRING (144.2845248 -36.7622857, 144.2845503 -36.7623321, 144.2845875 -36.7623734, 144.2846482 -36.7624325, 144.2847083 -36.7624861, 144.2847733 -36.7625418, 144.2852449 -36.7629671, 144.2852727 -36.7629859, 144.2852846 -36.7629938, 144.2853385 -36.7630219, 144.2853884 -36.7630452)",,,,
1220457351,True,1,,tertiary,,False,18.041,"LINESTRING (144.2845248 -36.7622857, 144.2845147 -36.7623171, 144.284493 -36.7623445, 144.2844619 -36.7623653, 144.2844243 -36.7623774, 144.2843839 -36.7623797)",,roundabout,,
29397624,True,1,Mollison Street,residential,40,False,21.166,"LINESTRING (144.2843549 -36.762375, 144.2842489 -36.762415, 144.28414 -36.7624562)",,,,
1220457353,True,1,,tertiary,,False,11.123999999999999,"LINESTRING (144.2843549 -36.762375, 144.2843178 -36.7623598, 144.2842887 -36.762336, 144.2842703 -36.7623061)",,roundabout,,
