osmid,name,highway,oneway,reversed,length,geometry,junction,bridge,lanes,width
8391272,Brett Street,residential,False,False,150.347,"LINESTRING (153.5430976 -28.1780883, 153.5432087 -28.1780465, 153.5433009 -28.178019, 153.5434291 -28.177991, 153.5436863 -28.1779389, 153.5442661 -28.1778231, 153.5445832 -28.1777592)",,,,
632877629,Keith Compton Drive,residential,False,True,103.719,"LINESTRING (153.5430976 -28.1780883, 153.543153 -28.1781501, 153.5431898 -28.1782075, 153.5432226 -28.1782884, 153.543392 -28.1789745)",,,,
28317681,Buchan Avenue,residential,False,False,271.5210000000001,"LINESTRING (153.545487 -28.1781401, 153.5455139 -28.1782085, 153.5461656 -28.1798558, 153.5461784 -28.1798935, 153.5461882 -28.1799229, 153.5461926 -28.1799494, 153.5461958 -28.179999, 153.5461911 -28.1800499, 153.546177 -28.1801006, 153.5461589 -28.1801427, 153.5461314 -28.1801881, 153.5460996 -28.1802251, 153.5460456 -28.180278, 153.5459061 -28.180382)",,,,
438354205,Solander Street,unclassified,False,False,57.599,"LINESTRING (153.545487 -28.1781401, 153.5460129 -28.1780548, 153.546065 -28.1780466)",,,,
"[8391233, 438354205]","['Solander Street', 'Powell Street']",unclassified,False,True,131.386,"LINESTRING (153.545487 -28.1781401, 153.5448447 -28.1782394, 153.5447971 -28.1782448, 153.5447562 -28.178243, 153.5447226 -28.1782305, 153.5446912 -28.1782076, 153.5446715 -28.1781771, 153.5446606 -28.1781387, 153.544641 -28.1780484, 153.5445832 -28.1777592)",,,,
181060633,Keith Compton Drive,residential,False,True,220.529,"LINESTRING (153.5470628 -28.177893, 153.5470902 -28.1779825, 153.5471635 -28.1782293, 153.5474345 -28.1789303, 153.5476104 -28.1793641, 153.5477998 -28.1797649)",,,,
438354205,Solander Street,unclassified,False,True,99.283,"LINESTRING (153.5470628 -28.177893, 153.5463796 -28.1780003, 153.546065 -28.1780466)",,,,
28317685,Hicks Street,residential,False,True,97.358,"LINESTRING (153.5477998 -28.1797649, 153.5468859 -28.1801079)",,,,
181060633,Keith Compton Drive,residential,False,False,220.529,"LINESTRING (153.5477998 -28.1797649, 153.5476104 -28.1793641, 153.5474345 -28.1789303, 153.5471635 -28.1782293, 153.5470902 -28.1779825, 153.5470628 -28.177893)",,,,
181060633,Keith Compton Drive,residential,False,True,528.639,"LINESTRING (153.5477998 -28.1797649, 153.5479247 -28.1800091, 153.5481147 -28.1804019, 153.5481324 -28.180441, 153.5481463 -28.1804967, 153.5481432 -28.1805457, 153.5481215 -28.1806016, 153.5479396 -28.1808498, 153.5478785 -28.1809908, 153.5478499 -28.1811221, 153.5477653 -28.1816708, 153.5477403 -28.1818332, 153.5477246 -28.1819781, 153.5477351 -28.1821123, 153.5477792 -28.1822719, 153.5479166 -28.182723, 153.5479297 -28.1827997, 153.5479319 -28.1828766, 153.547906 -28.1829485, 153.5478653 -28.1830204, 153.5477466 -28.1831923, 153.5474266 -28.1835201, 153.5470916 -28.1837863, 153.5470081 -28.1838428, 153.5468864 -28.1838827, 153.5467811 -28.1838978)",,,,
"[8391233, 438354205]","['Solander Street', 'Powell Street']",unclassified,False,False,131.386,"LINESTRING (153.5445832 -28.1777592, 153.544641 -28.1780484, 153.5446606 -28.1781387, 153.5446715 -28.1781771, 153.5446912 -28.1782076, 153.5447226 -28.1782305, 153.5447562 -28.178243, 153.5447971 -28.1782448, 153.5448447 -28.1782394, 153.545487 -28.1781401)",,,,
8391272,Brett Street,residential,False,True,150.347,"LINESTRING (153.5445832 -28.1777592, 153.5442661 -28.1778231, 153.5436863 -28.1779389, 153.5434291 -28.177991, 153.5433009 -28.178019, 153.5432087 -28.1780465, 153.5430976 -28.1780883)",,,,
181060628,,residential,True,False,13.96,"LINESTRING (153.5423996 -28.1847946, 153.5423821 -28.1847678, 153.5423761 -28.1847373, 153.542378 -28.1847206, 153.5423905 -28.1846917, 153.542399 -28.1846776)",roundabout,,,
28317681,Buchan Avenue,residential,False,True,98.814,"LINESTRING (153.5451245 -28.1809433, 153.5459061 -28.180382)",,,,
233813193,Keith Compton Drive,residential,False,False,121.006,"LINESTRING (153.5451245 -28.1809433, 153.544856 -28.1806503, 153.5447604 -28.1805544, 153.5446624 -28.1804724, 153.5445494 -28.1804065, 153.5444316 -28.180351, 153.544306 -28.1803085, 153.5441849 -28.1802862)",,,,
233813193,Keith Compton Drive,residential,False,True,161.275,"LINESTRING (153.5451245 -28.1809433, 153.546088 -28.1820068, 153.546147 -28.1820795)",,,,
632877629,Keith Compton Drive,residential,False,True,109.846,"LINESTRING (153.543392 -28.1789745, 153.5436233 -28.1799411)",,,,
28317683,Botany Crescent,residential,False,True,99.706,"LINESTRING (153.543392 -28.1789745, 153.5442215 -28.1788085, 153.544388 -28.1788145)",,,,
632877629,Keith Compton Drive,residential,False,False,103.719,"LINESTRING (153.543392 -28.1789745, 153.5432226 -28.1782884, 153.5431898 -28.1782075, 153.543153 -28.1781501, 153.5430976 -28.1780883)",,,,
28317684,Banks Avenue,residential,False,True,242.926,"LINESTRING (153.546065 -28.1780466, 153.5460986 -28.1781377, 153.5467598 -28.179807, 153.5468859 -28.1801079)",,,,
438354205,Solander Street,unclassified,False,False,99.283,"LINESTRING (153.546065 -28.1780466, 153.5463796 -28.1780003, 153.5470628 -28.177893)",,,,
438354205,Solander Street,unclassified,False,True,57.599,"LINESTRING (153.546065 -28.1780466, 153.5460129 -28.1780548, 153.545487 -28.1781401)",,,,
28317685,Hicks Street,residential,False,False,97.358,"LINESTRING (153.5468859 -28.1801079, 153.5477998 -28.1797649)",,,,
28317684,Banks Avenue,residential,False,False,242.926,"LINESTRING (153.5468859 -28.1801079, 153.5467598 -28.179807, 153.5460986 -28.1781377, 153.546065 -28.1780466)",,,,
28317684,Banks Avenue,residential,False,True,135.889,"LINESTRING (153.5468859 -28.1801079, 153.5469265 -28.1802239, 153.5469495 -28.1802945, 153.5469588 -28.180342, 153.5469624 -28.1803904, 153.5469602 -28.1804482, 153.5469481 -28.1805101, 153.5467671 -28.1813041)",,,,
28317681,Buchan Avenue,residential,False,False,98.814,"LINESTRING (153.5459061 -28.180382, 153.5451245 -28.1809433)",,,,
