osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,width
23075232,Arthur Road,residential,50,False,False,36.119,,"LINESTRING (138.6217543 -35.3508805, 138.6214328 -35.3510722)",
23075222,Victor Harbor Road,trunk,60,False,False,374.73300000000006,A13,"LINESTRING (138.6217543 -35.3508805, 138.6217361 -35.3507403, 138.6214235 -35.3494759, 138.6213403 -35.3491192, 138.6212774 -35.348953, 138.6212225 -35.3488297, 138.6210538 -35.3484329, 138.6210169 -35.3483799, 138.6206464 -35.3478392, 138.6205316 -35.3477325, 138.6205075 -35.3477116)",
23075232,Arthur Road,residential,50,False,True,526.528,,"LINESTRING (138.6156275 -35.3511151, 138.6192122 -35.3510908, 138.6197986 -35.3510868, 138.6205553 -35.3510817, 138.6212558 -35.351077, 138.6214328 -35.3510722)",
41414983,Slater Avenue,residential,,False,False,218.459,,"LINESTRING (138.6156275 -35.3511151, 138.6156269 -35.3510461, 138.6156114 -35.3491505)",4
41414983,Slater Avenue,residential,,False,True,4.626,,"LINESTRING (138.6156114 -35.3491089, 138.6156114 -35.3491505)",4
41414984,Waye Street,residential,,False,False,171.055,,"LINESTRING (138.6156114 -35.3491089, 138.6172827 -35.3498218)",4
41414983,Slater Avenue,residential,,False,False,127.43599999999999,,"LINESTRING (138.6156114 -35.3491089, 138.6155993 -35.3480382, 138.6156158 -35.3479641)",4
41414983,Slater Avenue,residential,,False,True,127.43599999999999,,"LINESTRING (138.6156158 -35.3479641, 138.6155993 -35.3480382, 138.6156114 -35.3491089)",4
41414988,Wright Avenue,residential,,False,False,210.60600000000002,,"LINESTRING (138.6156158 -35.3479641, 138.6174899 -35.3487296, 138.6175575 -35.3487847, 138.6176209 -35.3488778)",4
41415003,Tay Road,residential,,False,False,122.011,,"LINESTRING (138.6156158 -35.3479641, 138.6156488 -35.3479036, 138.6162766 -35.3470087)",4
41415003,Tay Road,residential,,False,True,26.145,,"LINESTRING (138.6170094 -35.3458768, 138.6168729 -35.3460839)",4
"[23075224, 23075222]",Victor Harbor Road,trunk,"['60', '80']",False,True,380.835,A13,"LINESTRING (138.6170094 -35.3458768, 138.6171432 -35.3459427, 138.617974 -35.3463028, 138.6194551 -35.3469116, 138.6199174 -35.3471994, 138.6200422 -35.3473077, 138.6205075 -35.3477116)",
41414984,Waye Street,residential,,False,False,37.388,,"LINESTRING (138.6172827 -35.3498218, 138.6176547 -35.3499667)",4
41414984,Waye Street,residential,,False,True,171.055,,"LINESTRING (138.6172827 -35.3498218, 138.6156114 -35.3491089)",4
41414987,Memorial Court,residential,,False,False,71.464,,"LINESTRING (138.6172827 -35.3498218, 138.6170294 -35.3501115, 138.6169111 -35.3501976, 138.6168266 -35.3502321, 138.6167294 -35.3502459)",4
41414984,Waye Street,residential,,False,True,37.388,,"LINESTRING (138.6176547 -35.3499667, 138.6172827 -35.3498218)",4
41414986,Ian Street,residential,,False,False,23.751,,"LINESTRING (138.6176547 -35.3499667, 138.6177012 -35.3497565)",4
41414985,Nitschke Court,residential,,False,False,83.96300000000001,,"LINESTRING (138.6176547 -35.3499667, 138.6180772 -35.3501322, 138.6181533 -35.3501494, 138.6182716 -35.3501528, 138.6183857 -35.3501528, 138.6185251 -35.3501184)",4
41414985,Nitschke Court,residential,,False,True,83.96300000000001,,"LINESTRING (138.6185251 -35.3501184, 138.6183857 -35.3501528, 138.6182716 -35.3501528, 138.6181533 -35.3501494, 138.6180772 -35.3501322, 138.6176547 -35.3499667)",4
41414986,Ian Street,residential,,False,True,23.751,,"LINESTRING (138.6177012 -35.3497565, 138.6176547 -35.3499667)",4
41414987,Memorial Court,residential,,False,True,71.464,,"LINESTRING (138.6167294 -35.3502459, 138.6168266 -35.3502321, 138.6169111 -35.3501976, 138.6170294 -35.3501115, 138.6172827 -35.3498218)",4
