osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,ref,bridge,junction
179933577,False,Crombie Avenue,tertiary,50,False,13.834,,"LINESTRING (153.4135358 -28.0033054, 153.4136743 -28.0033283)",,,
743081642,False,Crombie Avenue,tertiary,50,True,70.394,2,"LINESTRING (153.4135358 -28.0033054, 153.413445 -28.003291, 153.4134161 -28.0032864, 153.4128311 -28.0031886)",,,
"[743081643, 1168873213, 1168873214]",True,Bundall Road,primary,60,False,244.975,"['4', '3', '5']","LINESTRING (153.4135358 -28.0033054, 153.413556 -28.003219, 153.413572 -28.0031504, 153.4136492 -28.0028357, 153.4137842 -28.0022073, 153.4138568 -28.001913, 153.4138778 -28.0018249, 153.414014 -28.0013049, 153.4140515 -28.0011501)",3,,
179933577,False,Crombie Avenue,tertiary,50,True,13.834,,"LINESTRING (153.4136743 -28.0033283, 153.4135358 -28.0033054)",,,
1168873207,False,Crombie Avenue,tertiary,50,False,21.507,3,"LINESTRING (153.4136743 -28.0033283, 153.4137657 -28.0033427, 153.4138111 -28.0033505, 153.4138898 -28.003363)",,,
"[1168873208, 1168873209]",True,Bundall Road,primary,60,False,326.228,3,"LINESTRING (153.4136743 -28.0033283, 153.4136322 -28.0034912, 153.4136048 -28.0035902, 153.4135114 -28.0039567, 153.4134732 -28.0040944, 153.4134384 -28.0042361, 153.4132646 -28.0050809, 153.4131623 -28.0055871, 153.4130712 -28.0060376, 153.4130558 -28.0061168, 153.4130438 -28.0062078)",3,,
179933571,False,Upton Street,residential,,True,188.58,2,"LINESTRING (153.4117617 -28.0011892, 153.4114226 -28.0028585)",,,
24314988,True,Mercedes Place,residential,,False,237.31099999999998,,"LINESTRING (153.4117617 -28.0011892, 153.4115189 -28.0011362, 153.4113979 -28.0010877, 153.4113569 -28.0010176, 153.4111385 -28.0003745, 153.4111082 -28.0002506, 153.4111346 -28.0001222, 153.4112088 -28.0000574, 153.4113051 -28.0000181, 153.4115412 -28.0000419, 153.4119781 -28.0001162)",,,
179933571,False,Upton Street,residential,,False,121.18800000000002,2,"LINESTRING (153.4117617 -28.0011892, 153.4117834 -28.0010818, 153.4118466 -28.0007681, 153.4119154 -28.0004271, 153.4119781 -28.0001162)",,,
179933571,False,Upton Street,residential,,True,121.188,2,"LINESTRING (153.4119781 -28.0001162, 153.4119154 -28.0004271, 153.4118466 -28.0007681, 153.4117834 -28.0010818, 153.4117617 -28.0011892)",,,
"[179933552, 208509946, 179933562]",False,Crombie Avenue,tertiary,,"[False, True]",137.50900000000001,2,"LINESTRING (153.4099262 -28.0027241, 153.4104429 -28.0028067, 153.4108161 -28.0028663, 153.4113043 -28.002945)",,yes,
