osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,junction,bridge,access
578635071,Channon Street,secondary,False,True,12.444,,,,"LINESTRING (152.6563211 -26.1908602, 152.6564091 -26.1907809)",,,
578635058,Bruce Highway,trunk,True,False,128.563,2,A1,60,"LINESTRING (152.6563211 -26.1908602, 152.6562416 -26.190794, 152.6560754 -26.1906436, 152.6559164 -26.1904871, 152.6557649 -26.1903248, 152.6556211 -26.1901568, 152.6554852 -26.1899837)",,,
578635071,Channon Street,secondary,False,False,12.444,,,,"LINESTRING (152.6564091 -26.1907809, 152.6563211 -26.1908602)",,,
21414643,Channon Street,secondary,False,False,136.49099999999999,,,50,"LINESTRING (152.6564091 -26.1907809, 152.6568625 -26.1897261, 152.6568909 -26.1896655, 152.6569067 -26.1896377)",,,
583983373,Bruce Highway,trunk,True,False,232.72700000000003,,A1,60,"LINESTRING (152.6564091 -26.1907809, 152.6564961 -26.1908588, 152.6572327 -26.1914434, 152.6580299 -26.1921125, 152.6581282 -26.192195)",,,
21414643,Channon Street,secondary,False,True,56.071,,,50,"LINESTRING (152.6592611 -26.1874552, 152.6588832 -26.1878284)",,,
21414643,Channon Street,secondary,False,False,69.872,,,50,"LINESTRING (152.6592611 -26.1874552, 152.6594102 -26.1873036, 152.6595699 -26.1871149, 152.6597013 -26.1869669)",,,
18009529,Reef Street,residential,False,True,206.503,,,,"LINESTRING (152.6579074 -26.188746, 152.657814 -26.1887353, 152.6576613 -26.1884744, 152.6569449 -26.1871436)",,,
21414643,Channon Street,secondary,False,False,67.22800000000001,,,50,"LINESTRING (152.6579074 -26.188746, 152.6583018 -26.1883854, 152.6583809 -26.1883159)",,,
21414643,Channon Street,secondary,False,True,141.346,,,50,"LINESTRING (152.6579074 -26.188746, 152.6570838 -26.1894181, 152.6570243 -26.1894766, 152.6569709 -26.1895397, 152.6569242 -26.189607, 152.6569067 -26.1896377)",,,
304755893,Reef Street,tertiary,False,False,226.21,,,,"LINESTRING (152.6579074 -26.188746, 152.6579519 -26.1887717, 152.6597369 -26.1898074, 152.6598109 -26.189851)",,,
22781110,Barter Street,tertiary,True,False,53.274,,,,"LINESTRING (152.6569067 -26.1896377, 152.6573492 -26.1899058)",,,
