osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,tunnel,access
301795628,311,Kossuth Lajos utca,primary,50,False,False,28.026,"LINESTRING (19.870602 47.3335001, 19.8708167 47.3332943)",,,,
169237185,,Lehel út,residential,,False,False,114.971,"LINESTRING (19.870602 47.3335001, 19.8703849 47.333568, 19.870139 47.3336203, 19.8696196 47.333734, 19.8691777 47.3338661)",,,,
"[223669709, 301795629]",311,Farmosi út,primary,50,False,True,195.155,"LINESTRING (19.870602 47.3335001, 19.8700329 47.3340504, 19.8699543 47.3341888, 19.8699101 47.3343171, 19.869884 47.3344768, 19.8698685 47.3347065, 19.8698538 47.3350254, 19.8698495 47.3351187)",,,,
69941267,31111,Rákóczi út,tertiary,,False,False,27.773,"LINESTRING (19.8750842 47.3301283, 19.8751454 47.3303746)",,,,
223669712,311,Bartók Béla út,primary,50,False,False,129.959,"LINESTRING (19.8750842 47.3301283, 19.8759617 47.3291222)",,,,
301795628,311,Kossuth Lajos utca,primary,50,False,True,43.548,"LINESTRING (19.8750842 47.3301283, 19.8747827 47.3304624)",,,,
437333240,31319,Rákóczi út,tertiary,,False,True,15.06,"LINESTRING (19.8742435 47.3337257, 19.8741895 47.3338561)",,,,
107287979,31111,Jászberényi út,tertiary,,False,False,174.45600000000002,"LINESTRING (19.8742435 47.3337257, 19.8745178 47.334076, 19.8747802 47.3344111, 19.8754584 47.3350573)",,,,
260949704,31111,Rákóczi út,tertiary,,False,True,168.975,"LINESTRING (19.8742435 47.3337257, 19.8746517 47.3328483, 19.8747551 47.3324983, 19.8747695 47.3322558)",2,,,
223669709,311,Farmosi út,primary,50,False,False,13.631,"LINESTRING (19.8698426 47.3352412, 19.8698495 47.3351187)",,,,
169237210,,József Attila utca,residential,,False,False,118.17699999999999,"LINESTRING (19.8698426 47.3352412, 19.8698874 47.3352518, 19.8699829 47.3353007, 19.8702638 47.3354058, 19.8707371 47.3355902, 19.8712442 47.3357042)",,,,
"[260949704, 69941267]",31111,Rákóczi út,tertiary,,False,False,69.607,"LINESTRING (19.8748179 47.331631, 19.8747898 47.3318173, 19.8747695 47.3322558)",2,,,
69941267,31111,Rákóczi út,tertiary,,False,True,142.2,"LINESTRING (19.8748179 47.331631, 19.8748719 47.331438, 19.8750809 47.3308572, 19.8751454 47.3303746)",,,,
169237161,,Széchenyi út,residential,,False,False,232.909,"LINESTRING (19.8748179 47.331631, 19.8750491 47.3315143, 19.8762975 47.330884, 19.8773203 47.3304023)",,,,
169237161,,Széchenyi út,residential,,False,True,146.367,"LINESTRING (19.8748179 47.331631, 19.8740644 47.3320172, 19.8732882 47.3324418)",,,,
169237210,,József Attila utca,residential,,False,True,85.398,"LINESTRING (19.8739241 47.336289, 19.8728362 47.3360739)",,,,
260949703,31319,Rákóczi út,tertiary,,False,False,83.89099999999999,"LINESTRING (19.8739241 47.336289, 19.8738289 47.3359928, 19.8737766 47.3357489, 19.8737699 47.3355441)",,,,
169237135,,Mária utca,residential,,False,False,74.374,"LINESTRING (19.876707 47.3275951, 19.8767655 47.3276189, 19.8768604 47.3276574, 19.8769951 47.3277878, 19.8771386 47.3280268, 19.8771429 47.3281572)",,,,
223669712,311,Bartók Béla út,primary,50,False,True,179.57399999999998,"LINESTRING (19.876707 47.3275951, 19.8765219 47.3280789, 19.8762613 47.3286955, 19.8761557 47.3288843, 19.8759617 47.3291222)",,,,
35382612,3118,Györgyei út,secondary,50,False,False,5.904,"LINESTRING (19.8814735 47.3279656, 19.8814736 47.3280187)",,,,
169237145,,Keleti fény utca,residential,,False,True,264.255,"LINESTRING (19.8814735 47.3279656, 19.881338 47.3279656, 19.8810902 47.3280091, 19.8803513 47.3282438, 19.8800319 47.3283524, 19.8798993 47.3284133, 19.8797885 47.3285067, 19.8796863 47.3286849, 19.8795668 47.3288001, 19.8792995 47.3289762, 19.8791996 47.3290544, 19.8791604 47.3291326, 19.8791604 47.3292, 19.8791996 47.329263, 19.8793582 47.3294086)",,,,
35382612,3118,Györgyei út,secondary,50,False,True,5.904,"LINESTRING (19.8814736 47.3280187, 19.8814735 47.3279656)",,,,
169237135,,Mária utca,residential,,False,False,56.317,"LINESTRING (19.8771429 47.3281572, 19.8772777 47.3281572, 19.8774124 47.3282485, 19.8776762 47.3284717)",,,,
169237135,,Mária utca,residential,,False,True,74.374,"LINESTRING (19.8771429 47.3281572, 19.8771386 47.3280268, 19.8769951 47.3277878, 19.8768604 47.3276574, 19.8767655 47.3276189, 19.876707 47.3275951)",,,,
