osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,junction,bridge,ref,tunnel
30572670,True,1,Kőszegi utca,residential,False,20.422,,"LINESTRING (16.6209983 47.2331045, 16.6210387 47.2329229)",,,,
"[314257861, 314245707, 597472238, 51182257, 30572670]",True,1,"['Széchenyi István utca', 'Kőszegi utca', 'Fő tér']",residential,False,363.8949999999999,30,"LINESTRING (16.6210387 47.2329229, 16.6211234 47.2325339, 16.6212046 47.2322581, 16.6212386 47.2321487, 16.62128 47.2320156, 16.62132 47.2318871, 16.6213628 47.2317079, 16.6213669 47.2316414, 16.6213588 47.2316031, 16.6213545 47.2315946, 16.621341 47.2315688, 16.6213073 47.2315466, 16.6212608 47.2315277, 16.6212296 47.2315226, 16.621179 47.2315144, 16.6207001 47.23146, 16.6206001 47.2314701, 16.6204916 47.2314688, 16.6191407 47.2312717, 16.6190834 47.2312633, 16.6189455 47.2312425, 16.6187101 47.231206, 16.618624 47.2311927)",,,,
30572672,True,,Mártírok tere,residential,False,72.586,,"LINESTRING (16.6210387 47.2329229, 16.621081 47.2329346, 16.6211184 47.2329449, 16.62167 47.2330701, 16.6219467 47.233137)",,,,
673201510,True,1,Hollán Ernő utca,residential,False,97.90299999999999,50,"LINESTRING (16.6185116 47.2304583, 16.6184596 47.2304345, 16.6183861 47.2304107, 16.6182869 47.2303923, 16.6177913 47.2303, 16.6176527 47.2302742, 16.6174937 47.2302452, 16.617394 47.2302156, 16.6173194 47.230153)",,,,
"[51181958, 625272446]",True,1,"['Kossuth Lajos utca', 'Bejczy István utca']",residential,False,251.29999999999995,,"LINESTRING (16.6196499 47.2290909, 16.6198143 47.2291519, 16.6199581 47.2292092, 16.6202923 47.2293538, 16.6203695 47.2293883, 16.6205225 47.2294613, 16.6206974 47.2295764, 16.6208357 47.2296738, 16.6209906 47.2297926, 16.6210193 47.2298285, 16.6210483 47.2298648, 16.621139 47.2299982, 16.6212103 47.2300524, 16.6212866 47.2300664, 16.6213695 47.2300696, 16.6214564 47.2300189, 16.6216155 47.2298772, 16.6219277 47.2295991, 16.6219393 47.2295885, 16.6220014 47.2295318)",,,,
673201517,False,,Hefele Menyhért utca,residential,True,86.259,,"LINESTRING (16.6196499 47.2290909, 16.6194725 47.229311, 16.6191955 47.2296464, 16.6190975 47.2297699)",,,,
1178060206,True,1,Thököly Imre utca,tertiary,False,24.842,,"LINESTRING (16.6220014 47.2295318, 16.621932 47.2294816, 16.6218837 47.2294489, 16.6218477 47.2294303, 16.6218002 47.2294118, 16.6217458 47.2293956)",,,,
96559149,True,,Körmendi út,tertiary,False,9.511,,"LINESTRING (16.6146932 47.2275978, 16.6146796 47.2275851, 16.6146674 47.2275644, 16.6146682 47.2275417, 16.61468 47.2275182)",roundabout,,,
229791484,False,,Dózsa György utca,tertiary,True,179.53,,"LINESTRING (16.6146932 47.2275978, 16.6146028 47.2276496, 16.6142622 47.2278562, 16.6133195 47.2287475, 16.6132106 47.2288504)",,,,
306646040,False,,Körmendi út,tertiary,False,74.244,,"LINESTRING (16.6149165 47.2274122, 16.6149428 47.2273603, 16.6149635 47.2273251, 16.6150134 47.2272661, 16.6150793 47.2271981, 16.6151329 47.2271474, 16.6151784 47.2271069, 16.6152747 47.2270275, 16.6154755 47.2268688)",,,,
