osmid,highway,oneway,reversed,length,ref,name,geometry,lanes,junction
274708702,unclassified,False,True,10.711,,,"LINESTRING (21.7642743 48.1285578, 21.764417 48.1285722)",,
354171787,secondary,False,False,60.373,3834,Arany János utca,"LINESTRING (21.7642743 48.1285578, 21.7642192 48.1290995)",,
323276047,secondary,False,True,220.45,3834,Kossuth utca,"LINESTRING (21.7584215 48.1339664, 21.7584228 48.1347968, 21.75843 48.1349548, 21.7584525 48.1350884, 21.7584755 48.1352158, 21.7586905 48.1359329)",,
746412437,secondary,True,False,30.654999999999998,3834,Kossuth utca,"LINESTRING (21.7584215 48.1339664, 21.7583698 48.133849, 21.7583563 48.1338263, 21.7583207 48.1337664, 21.7582622 48.1337151)",1,
323276047,secondary,False,False,48.914,3834,Kossuth utca,"LINESTRING (21.7588067 48.1363659, 21.7586905 48.1359329)",,
111647124,residential,False,False,119.702,,Zalka Máté utca,"LINESTRING (21.7588067 48.1363659, 21.7596643 48.136374, 21.7604197 48.1363735)",,
111403106,residential,False,False,292.343,,Petőfi utca,"LINESTRING (21.7592335 48.129839, 21.7590712 48.1307262, 21.7590606 48.1308548, 21.7590657 48.1309013, 21.7590788 48.1309607, 21.759129 48.1310978, 21.759159 48.1312289, 21.7591676 48.1313459, 21.7591714 48.1319038, 21.7591584 48.1324548)",,
111403106,residential,False,True,56.177,,Petőfi utca,"LINESTRING (21.7592335 48.129839, 21.759271 48.1295891, 21.759304 48.129336)",,
111403106,residential,False,False,178.70999999999998,,Petőfi utca,"LINESTRING (21.758812 48.1277829, 21.7588748 48.1279186, 21.7589342 48.1280161, 21.7591628 48.1283854, 21.7592339 48.1285416, 21.759261 48.1286432, 21.7592819 48.1287534, 21.759304 48.129336)",,
111403106,residential,False,False,56.177,,Petőfi utca,"LINESTRING (21.759304 48.129336, 21.759271 48.1295891, 21.7592335 48.129839)",,
111403106,residential,False,True,178.70999999999998,,Petőfi utca,"LINESTRING (21.759304 48.129336, 21.7592819 48.1287534, 21.759261 48.1286432, 21.7592339 48.1285416, 21.7591628 48.1283854, 21.7589342 48.1280161, 21.7588748 48.1279186, 21.758812 48.1277829)",,
108135238,secondary,False,True,215.28300000000002,3834,Arany János út,"LINESTRING (21.7591584 48.1324548, 21.7594574 48.1323595, 21.7599247 48.1322482, 21.7604433 48.1321478, 21.7606684 48.1321245, 21.7608622 48.1321123, 21.7619712 48.1320684)",,
111403106,residential,False,True,292.343,,Petőfi utca,"LINESTRING (21.7591584 48.1324548, 21.7591714 48.1319038, 21.7591676 48.1313459, 21.759159 48.1312289, 21.759129 48.1310978, 21.7590788 48.1309607, 21.7590657 48.1309013, 21.7590606 48.1308548, 21.7590712 48.1307262, 21.7592335 48.129839)",,
354171792,secondary,False,False,118.977,3834,Kossuth utca,"LINESTRING (21.7591584 48.1324548, 21.7590402 48.132517, 21.7588738 48.1326457, 21.758732 48.132841, 21.7586726 48.132974, 21.7586214 48.1330908, 21.7585604 48.1332318, 21.7584959 48.1334017)",,
354171787,secondary,False,True,60.373,3834,Arany János utca,"LINESTRING (21.7642192 48.1290995, 21.7642743 48.1285578)",,
111449478,residential,True,False,366.117,,Arany János út,"LINESTRING (21.7642192 48.1290995, 21.7641749 48.1290996, 21.7635635 48.1291003, 21.7616574 48.1291713, 21.7614575 48.1291788, 21.7613098 48.1291843, 21.7608222 48.1292158, 21.7606339 48.1292367, 21.7600679 48.1292961, 21.7598337 48.1293132, 21.7594365 48.1293307, 21.759304 48.129336)",,
"[354171787, 108135238]",secondary,False,False,139.86700000000002,3834,"['Arany János út', 'Arany János utca']","LINESTRING (21.7642192 48.1290995, 21.7641338 48.1297786, 21.7640643 48.1300924, 21.7639815 48.1303456)",,
172664075,residential,False,False,527.629,,Damjanich utca,"LINESTRING (21.7634509 48.1330046, 21.7633492 48.1330426, 21.7632833 48.1331075, 21.7630739 48.1334605, 21.7629948 48.13354, 21.7628499 48.133621, 21.7619742 48.1339073, 21.7618144 48.133931, 21.7609121 48.1339191, 21.7606666 48.1339231, 21.7606281 48.1340001, 21.7605636 48.1356409, 21.7604197 48.1363735)",,
354171790,residential,False,False,319.17600000000004,,Rákóczi utca,"LINESTRING (21.7634509 48.1330046, 21.7634946 48.1329144, 21.7636042 48.1327428, 21.7636692 48.1326707, 21.7637381 48.1326225, 21.7638231 48.1325797, 21.7644881 48.1323369, 21.7646272 48.1322423, 21.7647254 48.1321544, 21.7647792 48.1320934, 21.7648173 48.1320206, 21.7649551 48.1314206, 21.7650085 48.1311779, 21.765074 48.1308066, 21.7650442 48.130597, 21.7650207 48.1305662)",,
354171790,residential,False,True,359.197,,Rákóczi utca,"LINESTRING (21.7634509 48.1330046, 21.7634679 48.1332018, 21.763857 48.13504, 21.7641454 48.1362005)",,
108135238,secondary,False,False,255.29700000000003,3834,Arany János út,"LINESTRING (21.7639815 48.1303456, 21.7637975 48.1308875, 21.7637442 48.1309995, 21.7636876 48.1310889, 21.7636416 48.131144, 21.7635743 48.1311985, 21.762611 48.1318109, 21.7625327 48.1318602, 21.7622882 48.1319784, 21.762188 48.132017, 21.7619712 48.1320684)",,
"[354171787, 108135238]",secondary,False,True,139.86700000000002,3834,"['Arany János út', 'Arany János utca']","LINESTRING (21.7639815 48.1303456, 21.7640643 48.1300924, 21.7641338 48.1297786, 21.7642192 48.1290995)",,
354171790,residential,False,True,83.168,,Rákóczi utca,"LINESTRING (21.7639815 48.1303456, 21.7649784 48.1305105, 21.7650207 48.1305662)",,
172664216,residential,False,True,310.39200000000005,,,"LINESTRING (21.7543929 48.1335568, 21.7543861 48.133606, 21.7542778 48.1343865, 21.7541419 48.1350729, 21.7538868 48.1363272)",,
