osmid,lanes,ref,name,highway,oneway,reversed,length,maxspeed,geometry,width,bridge,junction
313092434,3,8102,Géza fejedelem utca,secondary,False,True,24.708,,"LINESTRING (18.9155202 47.4392477, 18.9157093 47.439066)",,,
324258571,2,8103,Bajcsy-Zsilinszky utca,secondary,False,True,20.701999999999998,50,"LINESTRING (18.9155202 47.4392477, 18.9154134 47.4391784, 18.915393 47.4391493, 18.9153664 47.4391032, 18.9153652 47.4390989)",,,
324258571,2,8103,Bajcsy-Zsilinszky utca,secondary,False,False,4.863,50,"LINESTRING (18.9153526 47.439056, 18.9153652 47.4390989)",,,
23280147,,8103,Bajcsy-Zsilinszky utca,secondary_link,True,False,27.517000000000003,,"LINESTRING (18.9153526 47.439056, 18.9154595 47.4390798, 18.9155518 47.4390851, 18.9155844 47.4390837, 18.915617 47.4390822, 18.9157093 47.439066)",,,
313092439,,,Rákóczi Ferenc utca,residential,False,False,327.676,30,"LINESTRING (18.9153526 47.439056, 18.9152759 47.4390469, 18.9152006 47.4390236, 18.9120641 47.4372191, 18.9120044 47.4371847)",,,
367911364,2,8103,Bajcsy-Zsilinszky utca,secondary,False,True,125.865,50,"LINESTRING (18.9153526 47.439056, 18.9153442 47.4389949, 18.9153471 47.438915, 18.9154195 47.4380935, 18.9154339 47.4379261)",,,
"[16068825, 16067499, 50917725]",2,8103,"['Bajcsy-Zsilinszky utca', 'Baross Gábor utca']",secondary,False,True,109.274,50,"LINESTRING (18.9156146 47.4356289, 18.915616 47.4356059, 18.9156017 47.4354958, 18.9155827 47.435418, 18.9155221 47.4352559, 18.9154399 47.4351134, 18.915246 47.434783, 18.9151944 47.434695)",,,
50917709,2,8103,Bajcsy-Zsilinszky utca,secondary,False,False,28.742,50,"LINESTRING (18.9156146 47.4356289, 18.915609 47.4358181, 18.9156003 47.4358871)",,,
323445979,2,8103,Szent István utca,secondary,False,False,33.412,40,"LINESTRING (18.9072381 47.4347285, 18.9076064 47.4345605)",,,
"[25892593, 911541630]",,,Tüskevár köz,residential,False,False,60.839999999999996,,"LINESTRING (18.9072381 47.4347285, 18.9071712 47.4346645, 18.907161 47.4346545, 18.9067805 47.4343172, 18.9067515 47.4342915)",,,
"[367911365, 559533932, 525046830, 559533938, 559533940, 559533944]",2,8102,Géza fejedelem utca,secondary,False,False,130.245,50,"LINESTRING (18.9188614 47.4350765, 18.9186364 47.435359, 18.918561 47.4354537, 18.9184196 47.4356313, 18.9182693 47.4358201, 18.9182101 47.4358944, 18.9181056 47.4360255, 18.9180401 47.4361077)",,,
559533934,,,Nyár utca,residential,False,False,39.746,,"LINESTRING (18.9188614 47.4350765, 18.9188111 47.4350573, 18.9187497 47.4350339, 18.9184326 47.4349131, 18.9184004 47.4349018)",,,
225628619,,,Nyár utca,residential,False,False,121.78699999999999,30,"LINESTRING (18.9159091 47.4338925, 18.9156483 47.4337971, 18.9153577 47.4337174, 18.9149601 47.4335684, 18.9147396 47.4334858, 18.9146402 47.4334486, 18.9145797 47.4334371, 18.9145182 47.4334354, 18.9144567 47.4334485)",,,
225628619,,,Nyár utca,residential,False,True,121.12400000000001,30,"LINESTRING (18.9159091 47.4338925, 18.9159586 47.4339125, 18.9169351 47.4343066, 18.9172929 47.4344496)",,,
308638177,,,József Attila utca,residential,True,False,77.59899999999999,,"LINESTRING (18.9159091 47.4338925, 18.915952 47.433843, 18.9164302 47.4332902)",,,
16067499,2,8103,Baross Gábor utca,secondary,False,False,149.299,50,"LINESTRING (18.9144567 47.4334485, 18.9149869 47.4343423, 18.9151944 47.434695)",,,
16067499,2,8103,Baross Gábor utca,secondary,False,True,143.268,50,"LINESTRING (18.9144567 47.4334485, 18.9138699 47.432464, 18.9137909 47.4323726, 18.9137741 47.4323467, 18.9136959 47.4322705)",,,
