osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,tunnel,bridge,junction
126775803,Deák Ferenc utca,residential,False,False,192.484,"LINESTRING (18.2807474 46.6289838, 18.280607 46.6291384, 18.28039 46.6292336, 18.2798716 46.6293826, 18.2790398 46.629602, 18.2785392 46.6297498)",,,,,
126775804,Deák Ferenc utca,primary,False,True,128.49099999999999,"LINESTRING (18.2807474 46.6289838, 18.2811484 46.629073, 18.2815912 46.6291378, 18.2819291 46.629164, 18.2823975 46.6291638)",61,50,,,
669785767,Szabadság út,primary,False,False,37.332,"LINESTRING (18.2846219 46.6294769, 18.2843353 46.6297489)",65,50,,,
126775804,Deák Ferenc utca,primary,False,False,177.053,"LINESTRING (18.2846219 46.6294769, 18.2843316 46.6293508, 18.2842105 46.6293054, 18.283867 46.62923, 18.2833696 46.6291725, 18.2823975 46.6291638)",61,50,,,
126775846,Szabadság út,primary,False,True,92.394,"LINESTRING (18.2846219 46.6294769, 18.2850788 46.6290422, 18.2853437 46.6288102)",65,50,,,
326759294,Rákóczi Ferenc út,primary,False,True,37.477000000000004,"LINESTRING (18.2846219 46.6294769, 18.2847606 46.6295919, 18.2849208 46.629744)",61,50,,,
126775840,Mátyás király utca,residential,True,False,8.962,"LINESTRING (18.2868392 46.6331202, 18.2868027 46.6331968)",,,,,
326759294,Rákóczi Ferenc út,primary,False,False,165.232,"LINESTRING (18.2868392 46.6331202, 18.2864844 46.6328752, 18.2862246 46.6326402, 18.2859557 46.6322856, 18.2858227 46.6320385, 18.285769 46.6318601)",61,50,,,
326759294,Rákóczi Ferenc út,primary,False,True,30.254,"LINESTRING (18.2849208 46.629744, 18.2851736 46.6299535)",61,50,,,
230257357,,primary_link,True,False,48.742000000000004,"LINESTRING (18.2849208 46.629744, 18.2847879 46.6296883, 18.2846829 46.6296722, 18.2845949 46.6296699, 18.2845038 46.629683, 18.2843353 46.6297489)",65,50,,,
326759294,Rákóczi Ferenc út,primary,False,False,37.477000000000004,"LINESTRING (18.2849208 46.629744, 18.2847606 46.6295919, 18.2846219 46.6294769)",61,50,,,
"[296163460, 296163457, 126775812]",Eötvös József utca,residential,True,False,43.24999999999999,"LINESTRING (18.2823017 46.63083, 18.282198 46.6307428, 18.2820924 46.630688, 18.2819513 46.6306147, 18.281877 46.6305761)",,,yes,,
669785767,Szabadság út,primary,False,False,72.309,"LINESTRING (18.2823017 46.63083, 18.2821787 46.6308766, 18.282083 46.6309406, 18.28201 46.6310102, 18.2819397 46.631104, 18.2818511 46.6313679)",65,50,,,
669785767,Szabadság út,primary,False,True,81.07900000000001,"LINESTRING (18.2823017 46.63083, 18.2824596 46.6307844, 18.2830476 46.6307082, 18.2833178 46.6306319)",65,50,,,
126775813,Fő út,primary,False,False,27.738,"LINESTRING (18.2880469 46.6265127, 18.2879683 46.6265917, 18.2878281 46.6267116)",65,50,,,
126775813,Fő út,primary,False,True,105.868,"LINESTRING (18.2880469 46.6265127, 18.2882632 46.6263449, 18.28843 46.6262386, 18.2890935 46.6258933)",65,50,,,
126775813,Fő út,primary,False,False,166.90800000000002,"LINESTRING (18.2907613 46.6249241, 18.2898868 46.6254605, 18.2890935 46.6258933)",65,50,,,
126775846,Szabadság út,primary,False,False,92.394,"LINESTRING (18.2853437 46.6288102, 18.2850788 46.6290422, 18.2846219 46.6294769)",65,50,,,
"[126811817, 126775813, 126775846]","['Szabadság út', 'Fő út']",primary,False,True,300.859,"LINESTRING (18.2853437 46.6288102, 18.2864063 46.6279592, 18.2866444 46.6277598, 18.2867152 46.6277005, 18.2868911 46.6275538, 18.2872723 46.6272103, 18.287609 46.6268957, 18.2878281 46.6267116)",65,50,,yes,
443632210,Dózsa György utca,residential,True,False,132.191,"LINESTRING (18.2853437 46.6288102, 18.2854722 46.6290853, 18.285461 46.6293262, 18.285362 46.6296101, 18.2851736 46.6299535)",,,,,
126775804,Deák Ferenc utca,primary,False,False,128.49099999999999,"LINESTRING (18.2823975 46.6291638, 18.2819291 46.629164, 18.2815912 46.6291378, 18.2811484 46.629073, 18.2807474 46.6289838)",61,50,,,
126775804,Deák Ferenc utca,primary,False,True,177.053,"LINESTRING (18.2823975 46.6291638, 18.2833696 46.6291725, 18.283867 46.62923, 18.2842105 46.6293054, 18.2843316 46.6293508, 18.2846219 46.6294769)",61,50,,,
126775786,Arany János utca,residential,False,True,70.738,"LINESTRING (18.2785392 46.6297498, 18.2785818 46.6299218, 18.2785818 46.6301305, 18.2784888 46.6303753)",,,,,
126775803,Deák Ferenc utca,residential,False,True,192.484,"LINESTRING (18.2785392 46.6297498, 18.2790398 46.629602, 18.2798716 46.6293826, 18.28039 46.6292336, 18.280607 46.6291384, 18.2807474 46.6289838)",,,,,
326759294,Rákóczi Ferenc út,primary,False,False,30.254,"LINESTRING (18.2851736 46.6299535, 18.2849208 46.629744)",61,50,,,
126775808,Dózsa György utca,residential,False,True,177.14,"LINESTRING (18.2851736 46.6299535, 18.2847294 46.630625, 18.2843229 46.6314337)",,,,,
326759294,Rákóczi Ferenc út,primary,False,True,217.67199999999997,"LINESTRING (18.2851736 46.6299535, 18.2852626 46.6300802, 18.2853499 46.6302464, 18.2854258 46.6304312, 18.285769 46.6318601)",61,50,,,
