osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,ref
54516192,Petőfi Sándor utca,residential,False,False,83.462,"LINESTRING (20.1882196 47.1746656, 20.1883128 47.175049, 20.1884389 47.1754007)",,,,
54516192,Petőfi Sándor utca,residential,False,True,49.139,"LINESTRING (20.1885501 47.1758361, 20.1884389 47.1754007)",,,,
912959347,Petőfi Sándor utca,residential,False,False,56.245999999999995,"LINESTRING (20.1885501 47.1758361, 20.1888856 47.1760376, 20.1890242 47.1760734, 20.1891627 47.1761092)",,,,
307090006,Baross utca,tertiary,False,False,23.666,"LINESTRING (20.1891627 47.1761092, 20.1894595 47.1760414)",,,,
30008383,Baross utca,tertiary,False,True,38.33,"LINESTRING (20.1891627 47.1761092, 20.188921 47.1761613, 20.1886793 47.1762134)",,,,
912959345,Kápolna út,residential,False,True,20.887,"LINESTRING (20.1891627 47.1761092, 20.1891793 47.1761455, 20.1892446 47.1762886)",,,,
912959347,Petőfi Sándor utca,residential,False,True,56.245999999999995,"LINESTRING (20.1891627 47.1761092, 20.1890242 47.1760734, 20.1888856 47.1760376, 20.1885501 47.1758361)",,,,
98866786,Mártírok útja,tertiary,False,False,95.478,"LINESTRING (20.1892669 47.1714476, 20.1882227 47.1709645)",,,,
323012938,Templom út,tertiary,False,True,64.14399999999999,"LINESTRING (20.1892669 47.1714476, 20.1899468 47.1716902, 20.1900243 47.1717055)",,,,
323012938,Templom út,tertiary,False,False,48.987,"LINESTRING (20.1906465 47.1718287, 20.1900243 47.1717055)",,,,
323012938,Templom út,tertiary,False,True,15.332,"LINESTRING (20.1906465 47.1718287, 20.1908474 47.1718477)",,,,
55953856,Madách utca,residential,True,False,91.197,"LINESTRING (20.1906465 47.1718287, 20.190698 47.1719447, 20.1909445 47.1726233)",,,,
395905849,Templom út,tertiary,False,False,4.342,"LINESTRING (20.1916913 47.1719541, 20.1916343 47.1719493)",,,,
"[395905849, 54516197]",Templom út,tertiary,False,True,99.725,"LINESTRING (20.1916913 47.1719541, 20.1928454 47.1720471, 20.1928669 47.1720485, 20.1930018 47.1720571)",,,,
54516224,Kazinczy utca,residential,True,False,28.606,"LINESTRING (20.188183 47.1735839, 20.1881277 47.1733294)",1,30,4,
74033502,Nyomda utca,residential,True,False,60.848,"LINESTRING (20.188183 47.1735839, 20.1885231 47.1735495, 20.188578 47.173544, 20.1889824 47.1735224)",1,30,3,
40135721,Szapáry utca,tertiary,False,True,82.041,"LINESTRING (20.1930018 47.1720571, 20.1932342 47.1727778)",,,,
"[395905849, 54516197]",Templom út,tertiary,False,False,99.725,"LINESTRING (20.1930018 47.1720571, 20.1928669 47.1720485, 20.1928454 47.1720471, 20.1916913 47.1719541)",,,,
55448871,Sóház utca,residential,False,False,126.90299999999999,"LINESTRING (20.1930018 47.1720571, 20.1943772 47.172001, 20.1946776 47.1719887)",,,,
"[371510227, 55953861, 938441630]",Tiszai hajósok tere,residential,False,False,103.323,"LINESTRING (20.1930018 47.1720571, 20.1928776 47.1715017, 20.192827 47.1712206, 20.1928119 47.171137)",,,,
40135721,Szapáry utca,tertiary,False,False,163.768,"LINESTRING (20.1940556 47.175222, 20.1940273 47.1751392, 20.1939312 47.1748577, 20.1937772 47.174413, 20.1937465 47.1743239, 20.1935641 47.1737876)",,,,
