osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge
"[201365131, 201365133, 201365135]",,,residential,,False,False,121.834,"LINESTRING (21.3791629 46.7406088, 21.3796263 46.7403413, 21.3797329 46.7402798, 21.3803857 46.7399029)",,yes
201755292,,Honvéd utca,residential,,False,False,19.249,"LINESTRING (21.3870675 46.7406395, 21.3868572 46.7407354)",,
201365143,,Nagykert utca,residential,,False,True,156.356,"LINESTRING (21.3870675 46.7406395, 21.3871171 46.7405354, 21.3876921 46.7393001)",,
201755292,,Honvéd utca,residential,,False,True,84.661,"LINESTRING (21.3870675 46.7406395, 21.3875453 46.7403984, 21.3878791 46.7402649, 21.3879989 46.7402283)",,
201365152,4219,Kossuth utca,secondary,50,False,False,5.459,"LINESTRING (21.3778664 46.740849, 21.3779303 46.7408712)",,
201365137,,Kossuth átjáró,residential,,False,False,95.059,"LINESTRING (21.3778664 46.740849, 21.3779338 46.7407928, 21.3787216 46.7402891, 21.3787774 46.7402678)",,
201365152,4219,Kossuth utca,secondary,50,False,True,60.031000000000006,"LINESTRING (21.3778664 46.740849, 21.3777105 46.7407949, 21.3771395 46.740642)",,
"[201755288, 276495266]",,Piac tér,residential,,False,True,36.606,"LINESTRING (21.386444 46.7439247, 21.3863308 46.7439652, 21.3860174 46.7440761)",,yes
201365129,,Veress Sándor utca,residential,,False,True,215.138,"LINESTRING (21.3860174 46.7440761, 21.3850327 46.7434791, 21.3848063 46.7433197, 21.3846295 46.7432496, 21.3842736 46.7431343, 21.3841767 46.7431029, 21.3837465 46.7429587)",,
201365130,,Veress Sándor utca,residential,,False,True,135.965,"LINESTRING (21.3860174 46.7440761, 21.3859631 46.7441008, 21.3858824 46.7441359, 21.3858328 46.7441731, 21.3858246 46.7441968, 21.3858189 46.7442134, 21.3858297 46.744256, 21.3861806 46.74486, 21.3862288 46.7450043, 21.38628 46.7451063, 21.3863139 46.745174)",,
"[201755288, 276495266]",,Piac tér,residential,,False,False,36.606,"LINESTRING (21.3860174 46.7440761, 21.3863308 46.7439652, 21.386444 46.7439247)",,yes
201365144,,Kossuth utca,residential,,False,False,45.244,"LINESTRING (21.3837804 46.7443542, 21.3840084 46.7447299)",,
201365139,,Béke sétány,residential,,False,True,39.625,"LINESTRING (21.3840084 46.7447299, 21.3844106 46.744504)",,
201365144,,Kossuth utca,residential,,False,True,45.244,"LINESTRING (21.3840084 46.7447299, 21.3837804 46.7443542)",,
201365144,,Kossuth utca,residential,,False,False,112.156,"LINESTRING (21.3840084 46.7447299, 21.384561 46.7454572, 21.3846049 46.7454722, 21.3846575 46.7454572, 21.3847935 46.7453881)",,
276489684,,Kossuth utca,residential,,False,False,37.983,"LINESTRING (21.3840084 46.7447299, 21.3836734 46.7448458, 21.3835633 46.7448837)",,
201365152,4219,Kossuth utca,secondary,50,False,True,139.843,"LINESTRING (21.3835633 46.7448837, 21.383054 46.7439174, 21.3829795 46.7438208, 21.3828698 46.743726)",,
276489684,,Kossuth utca,residential,,False,True,37.983,"LINESTRING (21.3835633 46.7448837, 21.3836734 46.7448458, 21.3840084 46.7447299)",,
890945156,4219,Kossuth utca,secondary,50,False,False,162.332,"LINESTRING (21.3835633 46.7448837, 21.3835824 46.7449199, 21.3837807 46.7452245, 21.383997 46.745476, 21.3842872 46.7457901, 21.3845239 46.7460463, 21.3846249 46.7461455)",3,
"[890595065, 993495706, 201755374]",,Nagy Imre út,residential,,False,True,176.966,"LINESTRING (21.3835633 46.7448837, 21.3834383 46.7449466, 21.3833828 46.7449746, 21.3828279 46.7452628, 21.3827486 46.7453014, 21.3824801 46.7454423, 21.3817157 46.7458479)",,
201365130,,Veress Sándor utca,residential,,False,False,135.96499999999997,"LINESTRING (21.3863139 46.745174, 21.38628 46.7451063, 21.3862288 46.7450043, 21.3861806 46.74486, 21.3858297 46.744256, 21.3858189 46.7442134, 21.3858246 46.7441968, 21.3858328 46.7441731, 21.3858824 46.7441359, 21.3859631 46.7441008, 21.3860174 46.7440761)",,
"[173767484, 201755469, 276504207]",42345,"['Vasút utca', 'Árpád fejedelem tér']",tertiary,50,False,False,127.4,"LINESTRING (21.3863139 46.745174, 21.3866018 46.7449884, 21.387026 46.7446321, 21.3872001 46.7444417, 21.387281 46.7443532, 21.3873476 46.7442804)",,yes
"[279076202, 276504207]",42345,Árpád fejedelem tér,tertiary,50,False,True,65.912,"LINESTRING (21.3863139 46.745174, 21.3857698 46.7455062, 21.385668 46.7455683)",,
201365144,,Kossuth utca,residential,,False,True,112.156,"LINESTRING (21.3847935 46.7453881, 21.3846575 46.7454572, 21.3846049 46.7454722, 21.384561 46.7454572, 21.3840084 46.7447299)",,
201755298,,Gyár utca,residential,,False,False,70.24,"LINESTRING (21.3817806 46.7378032, 21.3811973 46.7382923)",,
276501065,,Jókai Mór utca,residential,,False,False,260.232,"LINESTRING (21.3817806 46.7378032, 21.3819016 46.7378655, 21.3825794 46.7381952, 21.3841619 46.7389562, 21.384576 46.7391472)",,
201755228,,Balassi Bálint utca,residential,,False,True,227.673,"LINESTRING (21.3855025 46.7379114, 21.3862915 46.7384198, 21.3872814 46.7390759, 21.3874891 46.7392116, 21.3876921 46.7393001)",,
201755384,,Jókai átjáró,residential,,False,False,157.674,"LINESTRING (21.3855025 46.7379114, 21.3851156 46.738201, 21.3849663 46.7383278, 21.3848625 46.7385102, 21.3846677 46.7389306, 21.384576 46.7391472)",,
276501087,,Gárdonyi utca,residential,,False,False,54.865,"LINESTRING (21.3886724 46.7380859, 21.3891891 46.7384295)",,
201365143,,Nagykert utca,residential,,False,False,156.648,"LINESTRING (21.3886724 46.7380859, 21.3879916 46.7386837, 21.3879622 46.7387199, 21.3876921 46.7393001)",,
201755298,,Gyár utca,residential,,False,True,70.24,"LINESTRING (21.3811973 46.7382923, 21.3817806 46.7378032)",,
201755298,,Gyár utca,residential,,False,False,89.847,"LINESTRING (21.3811973 46.7382923, 21.3809182 46.7385563, 21.3804439 46.7389122)",,
276501087,,Gárdonyi utca,residential,,False,False,66.637,"LINESTRING (21.3891891 46.7384295, 21.3898167 46.7388468)",,
276501087,,Gárdonyi utca,residential,,False,True,54.865,"LINESTRING (21.3891891 46.7384295, 21.3886724 46.7380859)",,
201755397,,Gárdonyi tér,residential,,False,False,54.979000000000006,"LINESTRING (21.3891891 46.7384295, 21.3889104 46.7386443, 21.3887934 46.7387827, 21.3887608 46.7388241)",,
201755350,,Gárdonyi tér,residential,,False,True,100.401,"LINESTRING (21.3887608 46.7388241, 21.3887865 46.7389321, 21.3888508 46.7391161, 21.3891193 46.7396917)",,
201755397,,Gárdonyi tér,residential,,False,False,167.19,"LINESTRING (21.3887608 46.7388241, 21.3885845 46.7390485, 21.3884262 46.7392734, 21.3880728 46.7400346, 21.3879989 46.7402283)",,
201755397,,Gárdonyi tér,residential,,False,True,54.979,"LINESTRING (21.3887608 46.7388241, 21.3887934 46.7387827, 21.3889104 46.7386443, 21.3891891 46.7384295)",,
276501087,,Gárdonyi utca,residential,,False,True,66.637,"LINESTRING (21.3898167 46.7388468, 21.3891891 46.7384295)",,
201755384,,Jókai átjáró,residential,,False,True,157.67399999999998,"LINESTRING (21.384576 46.7391472, 21.3846677 46.7389306, 21.3848625 46.7385102, 21.3849663 46.7383278, 21.3851156 46.738201, 21.3855025 46.7379114)",,
276501065,,Jókai Mór utca,residential,,False,False,41.101,"LINESTRING (21.384576 46.7391472, 21.384634 46.739174, 21.3849063 46.7393295, 21.3849867 46.7393858)",,
276501065,,Jókai Mór utca,residential,,False,True,260.23199999999997,"LINESTRING (21.384576 46.7391472, 21.3841619 46.7389562, 21.3825794 46.7381952, 21.3819016 46.7378655, 21.3817806 46.7378032)",,
201365143,,Nagykert utca,residential,,False,False,156.356,"LINESTRING (21.3876921 46.7393001, 21.3871171 46.7405354, 21.3870675 46.7406395)",,
201365143,,Nagykert utca,residential,,False,True,156.648,"LINESTRING (21.3876921 46.7393001, 21.3879622 46.7387199, 21.3879916 46.7386837, 21.3886724 46.7380859)",,
201755228,,Balassi Bálint utca,residential,,False,False,227.673,"LINESTRING (21.3876921 46.7393001, 21.3874891 46.7392116, 21.3872814 46.7390759, 21.3862915 46.7384198, 21.3855025 46.7379114)",,
201365128,,Zsarói Nagy utca,residential,,False,False,73.031,"LINESTRING (21.3797336 46.7394216, 21.3803857 46.7399029)",,
201755298,,Gyár utca,residential,,False,True,78.348,"LINESTRING (21.3797336 46.7394216, 21.3804054 46.7389411, 21.3804439 46.7389122)",,
201755350,,Gárdonyi tér,residential,,False,False,100.40099999999998,"LINESTRING (21.3891193 46.7396917, 21.3888508 46.7391161, 21.3887865 46.7389321, 21.3887608 46.7388241)",,
201755292,,Honvéd utca,residential,,False,False,84.661,"LINESTRING (21.3879989 46.7402283, 21.3878791 46.7402649, 21.3875453 46.7403984, 21.3870675 46.7406395)",,
201755397,,Gárdonyi tér,residential,,False,True,167.19,"LINESTRING (21.3879989 46.7402283, 21.3880728 46.7400346, 21.3884262 46.7392734, 21.3885845 46.7390485, 21.3887608 46.7388241)",,
201365152,4219,Kossuth utca,secondary,50,False,False,60.031000000000006,"LINESTRING (21.3771395 46.740642, 21.3777105 46.7407949, 21.3778664 46.740849)",,
201755292,,Honvéd utca,residential,,False,False,11.637,"LINESTRING (21.3868572 46.7407354, 21.386775 46.7408236)",,
201755292,,Honvéd utca,residential,,False,True,19.249,"LINESTRING (21.3868572 46.7407354, 21.3870675 46.7406395)",,
276501065,,Jókai Mór utca,residential,,False,True,207.152,"LINESTRING (21.3868572 46.7407354, 21.3867097 46.7405965, 21.3862014 46.7402378, 21.3857535 46.7399226, 21.3849867 46.7393858)",,
201755292,,Honvéd utca,residential,,False,True,11.637,"LINESTRING (21.386775 46.7408236, 21.3868572 46.7407354)",,
201755234,,Jókai Mór utca,residential,,False,False,101.739,"LINESTRING (21.386775 46.7408236, 21.3871898 46.7412108, 21.3875401 46.7415731)",,
