osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,junction,maxspeed
32656059,False,2,Somogyvári Gyula utca,residential,True,129.00900000000001,"LINESTRING (19.0450068 47.3424582, 19.044943 47.342504, 19.0438632 47.3432796, 19.0438312 47.3433017)",,,
274189437,False,,Szilágyi Lajos utca,tertiary,True,91.368,"LINESTRING (19.0450068 47.3424582, 19.0449022 47.3423582, 19.0447252 47.3421619, 19.0446125 47.3420383, 19.0444462 47.341862, 19.0443544 47.3417658)",,,
274189438,False,,Szilágyi Lajos utca,tertiary,False,219.103,"LINESTRING (19.0450068 47.3424582, 19.0451647 47.34261, 19.0455222 47.3429961, 19.0458124 47.3433583, 19.0462477 47.3438883, 19.0464884 47.3441522)",,,
325318032,False,,Kisfaludy köz,residential,True,89.792,"LINESTRING (19.0450068 47.3424582, 19.045123 47.3423743, 19.0458222 47.3418693)",,,
21854493,False,,Tököli út,tertiary,False,60.900999999999996,"LINESTRING (19.0420706 47.3444957, 19.0420373 47.3444589, 19.0419352 47.3443459, 19.0418077 47.344205, 19.0416483 47.3440287)",51101,,
32656059,False,2,Somogyvári Gyula utca,residential,False,187.68099999999998,"LINESTRING (19.0420706 47.3444957, 19.0421412 47.3444478, 19.0438312 47.3433017)",,,
"[274674725, 274674727]",False,2,Szent Erzsébet tér,tertiary,True,128.16000000000003,"LINESTRING (19.0420706 47.3444957, 19.0420641 47.3445299, 19.0420437 47.3445629, 19.0419631 47.3446479, 19.0418646 47.3447501, 19.041805 47.3448119, 19.0416896 47.3449355, 19.041608 47.3450205, 19.0415798 47.3450499, 19.0413704 47.3452681, 19.0411809 47.3454737)",51101,,
158232050,False,,Baross utca,residential,True,307.184,"LINESTRING (19.0408966 47.3432047, 19.0409482 47.3431899, 19.0411536 47.3431311, 19.0413071 47.3430872, 19.0414374 47.3430436, 19.042153 47.3428042, 19.042737 47.342514, 19.0433776 47.3421591, 19.0443245 47.3417778, 19.0443544 47.3417658)",,,
274190471,False,,Ifjúság útja,tertiary,False,29.867,"LINESTRING (19.0408966 47.3432047, 19.0409825 47.3433066, 19.0410983 47.3434359)",51101,,
274190471,False,,Ifjúság útja,tertiary,True,103.485,"LINESTRING (19.0408966 47.3432047, 19.0408338 47.3431292, 19.0407808 47.3430308, 19.0407241 47.3429109, 19.0406994 47.3428126, 19.0406925 47.3427347, 19.0407029 47.3426495, 19.0407171 47.3425824, 19.0407383 47.342496, 19.0407878 47.3423042)",51101,,
"[700973323, 32674431]",True,,,tertiary,False,17.494,"LINESTRING (19.0450708 47.3478803, 19.0450696 47.3477747, 19.0450675 47.347723)",,,
"[361376502, 1035069994, 274679758]",False,,Árpád utca,tertiary,"[False, True]",58.958000000000006,"LINESTRING (19.0450708 47.3478803, 19.045027 47.3479456, 19.0449671 47.3480192, 19.0449005 47.3480911, 19.0448702 47.3481559, 19.0448471 47.3482052, 19.044824 47.3482884, 19.0447894 47.3483703)",,,
314386368,True,1,,tertiary,False,4.335,"LINESTRING (19.0434222 47.3494527, 19.0434507 47.3494553, 19.0434781 47.3494613)",51101,roundabout,
313571411,True,,,tertiary,False,6.124,"LINESTRING (19.043567 47.3495263, 19.043575 47.3495533, 19.0435728 47.3495808)",51101,roundabout,
