osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes,bridge
591257481,38,primary,50,roundabout,True,False,9.303,"LINESTRING (21.4124864 48.1213138, 21.4125122 48.1213258, 21.4125327 48.1213415, 21.4125468 48.1213602, 21.4125537 48.1213806)",,,
"[591257480, 591257485]",38,primary,50,roundabout,True,False,22.816,"LINESTRING (21.4123426 48.1214514, 21.4123156 48.1214283, 21.4123021 48.1214004, 21.4123036 48.1213711, 21.4123201 48.1213439, 21.4123494 48.1213221, 21.4123881 48.1213083, 21.4124316 48.1213042)",,,
300946332,3838,secondary,,,True,False,9.52,"LINESTRING (21.4123965 48.1214707, 21.412369 48.1215006, 21.412337 48.1215464)",,,
591257483,38,primary,50,roundabout,True,False,4.574999999999999,"LINESTRING (21.4123965 48.1214707, 21.4123678 48.1214633, 21.4123426 48.1214514)",,,
591257484,38,primary,50,roundabout,True,False,13.745,"LINESTRING (21.4125465 48.1214178, 21.4125288 48.1214395, 21.4125024 48.1214569, 21.4124697 48.1214684, 21.4124333 48.1214732, 21.4123965 48.1214707)",,,
300946938,3838,secondary,,,True,False,46.731,"LINESTRING (21.411977 48.1241047, 21.4118535 48.1245168)",Mosolygó József utca,,
348843215,3838,secondary,50,,False,True,239.553,"LINESTRING (21.411977 48.1241047, 21.4120975 48.1238953, 21.41247 48.1232478, 21.4125576 48.1230521, 21.4126177 48.1228169, 21.4126577 48.1225794, 21.4126571 48.1224222, 21.4125999 48.1222832, 21.4125124 48.1221555, 21.4124284 48.1220757, 21.4124222 48.122061)",Mosolygó József utca,2,
129828116,,residential,,,False,False,121.635,"LINESTRING (21.4086087 48.1260555, 21.4089595 48.1261013, 21.4102121 48.1262815)",Zakó köz,,
300653308,,residential,,,False,False,85.223,"LINESTRING (21.4102121 48.1262815, 21.4113244 48.1264717)",Zakó köz,,
129828116,,residential,,,False,True,121.635,"LINESTRING (21.4102121 48.1262815, 21.4089595 48.1261013, 21.4086087 48.1260555)",Zakó köz,,
300653307,3838,secondary,,,True,False,82.646,"LINESTRING (21.4102121 48.1262815, 21.41027 48.1260493, 21.4103499 48.1257643, 21.4104115 48.1256615, 21.4104884 48.1255674)",Serház utca,,
75461440,,unclassified,,,False,False,192.274,"LINESTRING (21.412043 48.1259896, 21.4120883 48.1252247, 21.4122773 48.1245589, 21.4118535 48.1245168)",Mosolygó József utca,,
75461461,,residential,,,False,True,59.371,"LINESTRING (21.4080574 48.1267842, 21.4079795 48.1273156)",Bethlen Gábor utca,,
75461430,3838,secondary,,,True,False,11.732,"LINESTRING (21.4104884 48.1255674, 21.4105935 48.1254886)",Serház utca,,
324472143,,residential,,,False,True,89.323,"LINESTRING (21.4104884 48.1255674, 21.4093528 48.1253015)",Városház köz,,
75461508,,residential,,,False,True,76.34,"LINESTRING (21.4089385 48.1266632, 21.4099197 48.1268691)",Szepesi köz,,
593334603,,residential,,,False,False,39.703,"LINESTRING (21.4077761 48.1256655, 21.4076537 48.125679, 21.4075536 48.1257251, 21.4074334 48.1257982, 21.4073596 48.1258669)",Kossuth tér,,
260623308,,residential,,,False,False,111.35,"LINESTRING (21.4049713 48.1258341, 21.4054361 48.1258753, 21.4057331 48.1259151, 21.4059786 48.1259426, 21.4061704 48.1259569, 21.4064569 48.1259567)",Dózsa György utca,,
348843226,,residential,,,False,True,28.650000000000002,"LINESTRING (21.4049713 48.1258341, 21.4049349 48.1257904, 21.404861 48.1256648, 21.4048295 48.1255952)",Dózsa György utca,,
75461508,,residential,,,False,False,76.34,"LINESTRING (21.4099197 48.1268691, 21.4089385 48.1266632)",Szepesi köz,,
