osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,junction,bridge
167067896,Mártírok útja,residential,False,False,62.018,"LINESTRING (20.5671855 47.8071559, 20.5668218 47.8076573)",,,,
167067896,Mártírok útja,residential,False,True,36.969,"LINESTRING (20.5671855 47.8071559, 20.5673708 47.8068476)",,,,
221551486,Gyertyán köz,residential,False,False,114.12,"LINESTRING (20.5671855 47.8071559, 20.5679667 47.8074363, 20.5683488 47.8076103, 20.5682911 47.8077253)",,,,
167067896,Mártírok útja,residential,False,True,62.018,"LINESTRING (20.5668218 47.8076573, 20.5671855 47.8071559)",,,,
687931952,Mátyás király út,secondary,False,True,11.893,"LINESTRING (20.5668218 47.8076573, 20.5669426 47.807727)",33108,,,
687931952,Mátyás király út,secondary,False,False,150.799,"LINESTRING (20.5668218 47.8076573, 20.5666507 47.8075765, 20.566115 47.8073191, 20.5653697 47.8069945, 20.5651489 47.8068984)",33108,,,
230072928,Jezsuiták tere,tertiary,False,False,46.311,"LINESTRING (20.5631722 47.8060762, 20.56265 47.8058516)",33108,,,
260590711,,secondary,True,False,42.754000000000005,"LINESTRING (20.5631722 47.8060762, 20.5628629 47.8060854, 20.5626136 47.8061414)",2502,,,
"[1058183595, 1058183596, 230072927]",Mátyás király út,secondary,False,True,159.591,"LINESTRING (20.5631722 47.8060762, 20.5633162 47.8061381, 20.5635987 47.8062596, 20.5639714 47.8064111, 20.5649868 47.8068341)",2502,,,
687928040,Egri út,secondary,False,True,10.421,"LINESTRING (20.5621943 47.8062367, 20.5623264 47.8062065)",2502,,,
23900150,,residential,False,False,70.273,"LINESTRING (20.5621943 47.8062367, 20.5623983 47.8065571, 20.562569 47.8068164)",,,,
687928041,Egri út,secondary,False,False,166.909,"LINESTRING (20.5621943 47.8062367, 20.562169 47.8062412, 20.5612897 47.8064201, 20.5611517 47.8064505, 20.5600559 47.8066729)",2502,,,
230908459,,residential,False,False,69.035,"LINESTRING (20.562569 47.8068164, 20.562983 47.8062613)",,,,
23900150,,residential,False,True,70.273,"LINESTRING (20.562569 47.8068164, 20.5623983 47.8065571, 20.5621943 47.8062367)",,,,
