osmid,highway,junction,oneway,reversed,length,geometry,name,maxspeed,lanes,ref,width,bridge,access
40667590,residential,roundabout,True,False,26.220000000000002,"LINESTRING (19.3464317 47.6048696, 19.3463968 47.6048769, 19.3463602 47.6048774, 19.3463249 47.6048711, 19.3462935 47.6048585, 19.3462685 47.6048405, 19.3462529 47.6048206, 19.3462453 47.6047987, 19.3462462 47.6047762, 19.3462554 47.6047546, 19.3462725 47.6047352)",,,,,,,
"[723757288, 290461503]",residential,,False,True,93.391,"LINESTRING (19.3464317 47.6048696, 19.3464563 47.6048973, 19.3464941 47.6049401, 19.3465966 47.6050608, 19.3470238 47.6054987, 19.3470367 47.6055145, 19.3470767 47.605565, 19.3470902 47.605582)",Szőlő utca,"['40', '30']",,,,,
"[304762172, 304762079]",secondary,,False,True,157.493,"LINESTRING (19.3460346 47.5997125, 19.3459029 47.5998152, 19.3454906 47.6001265, 19.3451291 47.6003882, 19.344973 47.6005008, 19.3446094 47.6007526)",Dózsa György út,50,3,2104,,,
"[304762080, 785052561, 299707995]",secondary,,False,False,160.29,"LINESTRING (19.3460346 47.5997125, 19.3461699 47.5996068, 19.3464622 47.5993972, 19.3466741 47.5992525, 19.3468695 47.599107, 19.3469463 47.59905, 19.3470578 47.5989602, 19.3472046 47.5988279, 19.3472823 47.5987487, 19.34741 47.5986136)",Dózsa György út,50,4,2104,"['12.5', '10']",,
"[304762129, 272781405]",residential,,False,True,213.13099999999997,"LINESTRING (19.3460346 47.5997125, 19.3461272 47.599803, 19.3462279 47.5999176, 19.3464011 47.600117, 19.3465051 47.6002425, 19.3465899 47.6003457, 19.3466584 47.6004286, 19.3467194 47.600507, 19.3470562 47.6010413, 19.3471753 47.6012553, 19.3472195 47.6013303, 19.3472954 47.6014248)",Kossuth Lajos utca,,3,,,,
304762130,residential,,False,True,49.0,"LINESTRING (19.3460346 47.5997125, 19.3459578 47.5996513, 19.3455725 47.5994014)",Kossuth Lajos utca,,3,,,,
173451773,residential,,False,True,38.039,"LINESTRING (19.3416838 47.6035958, 19.3418012 47.6036322, 19.3418287 47.6036396, 19.3420527 47.6036999, 19.3421583 47.6037129)",Kazinczy körút,,,,,,
304775646,secondary,,False,False,43.097,"LINESTRING (19.3416838 47.6035958, 19.3418118 47.6034399, 19.3419439 47.6032504)",Dózsa György út,50,2,2104,,,
304775646,secondary,,False,True,84.458,"LINESTRING (19.3416838 47.6035958, 19.3413685 47.6039432, 19.3410925 47.6042423)",Dózsa György út,50,2,2104,,,
23201754,secondary_link,,False,False,9.211,"LINESTRING (19.3480106 47.5975432, 19.3480681 47.59747)",Ady Endre sétány,,4,,10,,
230074260,primary,,True,False,19.334,"LINESTRING (19.3480106 47.5975432, 19.347813 47.5974315)",Szabadság út,50,2,3,,,
304689882,secondary,,False,True,19.749,"LINESTRING (19.3480106 47.5975432, 19.3479439 47.5976372, 19.3479199 47.597669, 19.3478973 47.5977035)",Dózsa György út,50,3,2104,7.5,,
40667176,residential,,False,False,63.19800000000001,"LINESTRING (19.3464381 47.6060236, 19.34658 47.6058922, 19.3466635 47.6058329, 19.3469359 47.605695, 19.3470268 47.6056551, 19.3470532 47.6056435)",Röges utca,40,,,,,
41659004,residential,,False,False,85.52,"LINESTRING (19.3434699 47.5980379, 19.3441376 47.5984709, 19.3442453 47.5985408, 19.344292 47.598571)",Kossuth Lajos utca,,,,,,
73695004,residential,,False,True,41.166,"LINESTRING (19.3434699 47.5980379, 19.3433324 47.5981255, 19.3430709 47.5982922)",Szent Imre utca,,,,,,
41961766,residential,,False,False,301.35699999999997,"LINESTRING (19.3435519 47.6015177, 19.3434785 47.6014565, 19.3432658 47.6011937, 19.3430628 47.6009437, 19.3428308 47.6006742, 19.3424097 47.6002384, 19.3420245 47.5998689, 19.3418173 47.5996699, 19.341671 47.5995409, 19.3415425 47.5994276, 19.3413483 47.5992565)",Körösfői Kriesch Aladár utca,,,,,,
"[304762081, 304762172]",secondary,,False,False,116.298,"LINESTRING (19.3435519 47.6015177, 19.3436381 47.6014559, 19.3439991 47.6011993, 19.3446094 47.6007526)",Dózsa György út,50,3,2104,,,
"[304762171, 304775646]",secondary,,False,True,230.27900000000002,"LINESTRING (19.3435519 47.6015177, 19.3434142 47.6016134, 19.3429331 47.6019567, 19.3428749 47.6019978, 19.3427289 47.6021252, 19.3426385 47.6022135, 19.3424729 47.602394, 19.3422396 47.6027649, 19.3420761 47.6030236, 19.3420214 47.603128, 19.3419439 47.6032504)",Dózsa György út,50,"['2', '3']",2104,,,
"[293078891, 304762173]",residential,,False,True,200.096,"LINESTRING (19.3435519 47.6015177, 19.3436421 47.6015999, 19.343813 47.6017764, 19.3439759 47.601959, 19.3449262 47.6030594)",Szilhát utca,,3,,,,
41961766,residential,,False,True,301.357,"LINESTRING (19.3413483 47.5992565, 19.3415425 47.5994276, 19.341671 47.5995409, 19.3418173 47.5996699, 19.3420245 47.5998689, 19.3424097 47.6002384, 19.3428308 47.6006742, 19.3430628 47.6009437, 19.3432658 47.6011937, 19.3434785 47.6014565, 19.3435519 47.6015177)",Körösfői Kriesch Aladár utca,,,,,,
73695004,residential,,False,False,63.718,"LINESTRING (19.3413483 47.5992565, 19.3414391 47.599227, 19.3415299 47.5991975, 19.3418667 47.5990279, 19.3420383 47.5989268)",Szent Imre utca,,,,,,
311520189,residential,,False,True,7.195,"LINESTRING (19.3523955 47.6055295, 19.3524893 47.6055432)",Grassalkovich Antal utca,,,,,,
46972027,residential,,False,False,92.443,"LINESTRING (19.3523955 47.6055295, 19.3524298 47.605465, 19.3528124 47.6047471)",Munkácsy Mihály út,,,,,,
311520189,residential,,False,False,89.91499999999999,"LINESTRING (19.3523955 47.6055295, 19.3514157 47.6053752, 19.3512276 47.6053456)",Grassalkovich Antal utca,,,,,,
46972027,residential,,False,False,76.95,"LINESTRING (19.3528124 47.6047471, 19.3531593 47.6040958)",Munkácsy Mihály út,,,,,,
46972027,residential,,False,True,92.443,"LINESTRING (19.3528124 47.6047471, 19.3524298 47.605465, 19.3523955 47.6055295)",Munkácsy Mihály út,,,,,,
46972027,residential,,False,False,79.615,"LINESTRING (19.3531593 47.6040958, 19.3535197 47.6034223)",Munkácsy Mihály út,,,,,,
46972027,residential,,False,True,76.95,"LINESTRING (19.3531593 47.6040958, 19.3528124 47.6047471)",Munkácsy Mihály út,,,,,,
46972027,residential,,False,False,61.111,"LINESTRING (19.3535197 47.6034223, 19.3537962 47.6029053)",Munkácsy Mihály út,,,,,,
46972027,residential,,False,True,79.615,"LINESTRING (19.3535197 47.6034223, 19.3531593 47.6040958)",Munkácsy Mihály út,,,,,,
47153448,residential,,False,False,92.97399999999999,"LINESTRING (19.3535197 47.6034223, 19.3533713 47.6033835, 19.3529364 47.6032696, 19.3525204 47.6031569, 19.3523646 47.6031182)",Szabadka utca,,,,,,
311520189,residential,,False,False,32.182,"LINESTRING (19.3541202 47.6057769, 19.353701 47.6057146)",Grassalkovich Antal utca,,,,,,
311520189,residential,,False,False,92.82,"LINESTRING (19.353701 47.6057146, 19.3524893 47.6055432)",Grassalkovich Antal utca,,,,,,
311520189,residential,,False,True,32.182,"LINESTRING (19.353701 47.6057146, 19.3541202 47.6057769)",Grassalkovich Antal utca,,,,,,
310957330,residential,,False,False,4.656,"LINESTRING (19.3512276 47.6053456, 19.351215 47.6053866)",Bethlen Gábor utca,,,,,,
300782774,residential,,False,True,49.811,"LINESTRING (19.3512276 47.6053456, 19.3514048 47.6049513, 19.3514203 47.6049169)",Bethlen Gábor utca,,,,,,
311520189,residential,,False,True,89.91499999999999,"LINESTRING (19.3512276 47.6053456, 19.3514157 47.6053752, 19.3523955 47.6055295)",Grassalkovich Antal utca,,,,,,
47153447,residential,,False,True,212.16700000000003,"LINESTRING (19.3514203 47.6049169, 19.3514738 47.604815, 19.3523208 47.6032017, 19.3523646 47.6031182)",Bethlen Gábor utca,,,,,,
300782774,residential,,False,False,49.811,"LINESTRING (19.3514203 47.6049169, 19.3514048 47.6049513, 19.3512276 47.6053456)",Bethlen Gábor utca,,,,,,
293078890,residential,,False,False,12.915,"LINESTRING (19.3476385 47.6017774, 19.3476955 47.6016678)",Bajcsy-Zsilinszky Endre utca,30,,,,,
19377827,residential,,True,False,49.622,"LINESTRING (19.3476385 47.6017774, 19.3475359 47.6017439, 19.3474851 47.6017273, 19.3474656 47.6017176, 19.3474526 47.6017042, 19.3473539 47.6015422, 19.3472954 47.6014248)",Kossuth Lajos utca,,,,,,
293078890,residential,,False,True,339.00500000000005,"LINESTRING (19.3476385 47.6017774, 19.347551 47.6019809, 19.3474608 47.6022241, 19.3468393 47.6038229, 19.3465912 47.6044703, 19.346555 47.6045644, 19.3464953 47.6046485, 19.3464641 47.6046879, 19.3464434 47.604714)",Bajcsy-Zsilinszky Endre utca,30,,,,,
46973144,residential,,False,True,74.731,"LINESTRING (19.3486387 47.6008811, 19.3485577 47.6009398, 19.3485094 47.6009747, 19.3482654 47.6011515, 19.3482513 47.6011617, 19.3480327 47.6013076, 19.347947 47.6013648)",Petőfi Sándor tér,30,,,,,
"[757870147, 163831510]",residential,,False,False,241.43500000000003,"LINESTRING (19.3486387 47.6008811, 19.3488185 47.6007451, 19.3489842 47.6006176, 19.3491942 47.6004644, 19.3492454 47.6004265, 19.3498801 47.5999569, 19.3502966 47.599635, 19.3503259 47.5996123, 19.3504279 47.599539, 19.3506344 47.5993906, 19.350801 47.5992725)",Petőfi Sándor utca,30,,,,,
311520189,residential,,False,False,7.195,"LINESTRING (19.3524893 47.6055432, 19.3523955 47.6055295)",Grassalkovich Antal utca,,,,,,
311520189,residential,,False,True,92.82,"LINESTRING (19.3524893 47.6055432, 19.353701 47.6057146)",Grassalkovich Antal utca,,,,,,
47153447,residential,,False,False,212.16700000000003,"LINESTRING (19.3523646 47.6031182, 19.3523208 47.6032017, 19.3514738 47.604815, 19.3514203 47.6049169)",Bethlen Gábor utca,,,,,,
47153448,residential,,False,False,87.832,"LINESTRING (19.3523646 47.6031182, 19.3521782 47.6030698, 19.3518033 47.6029735, 19.3516621 47.6029393, 19.351482 47.6028956, 19.3514244 47.6028816, 19.3512667 47.6028428)",Szabadka utca,,,,,,
47153448,residential,,False,True,92.97399999999999,"LINESTRING (19.3523646 47.6031182, 19.3525204 47.6031569, 19.3529364 47.6032696, 19.3533713 47.6033835, 19.3535197 47.6034223)",Szabadka utca,,,,,,
47153454,residential,,False,False,51.505,"LINESTRING (19.351215 47.6053866, 19.3505673 47.6052322)",Kör utca,,,,,,
310957330,residential,,False,True,4.656,"LINESTRING (19.351215 47.6053866, 19.3512276 47.6053456)",Bethlen Gábor utca,,,,,,
47153454,residential,,False,True,51.505,"LINESTRING (19.3505673 47.6052322, 19.351215 47.6053866)",Kör utca,,,,,,
47153456,residential,,False,True,42.882999999999996,"LINESTRING (19.3504406 47.6052108, 19.3500739 47.6051439, 19.3500102 47.6051242, 19.3499312 47.6050615)",Kör utca,,,,,,
47153456,residential,,False,False,42.883,"LINESTRING (19.3499312 47.6050615, 19.3500102 47.6051242, 19.3500739 47.6051439, 19.3504406 47.6052108)",Kör utca,,,,,,
73695019,residential,,False,False,109.43099999999998,"LINESTRING (19.3499312 47.6050615, 19.3500191 47.6050201, 19.3500686 47.6049852, 19.350095 47.6049392, 19.3500875 47.6048999, 19.3500655 47.6048707, 19.3499381 47.6047775, 19.349581 47.6045214, 19.3494266 47.6043858, 19.349343 47.6043123)",Kör utca,,,,,,
73695019,residential,,False,True,124.80600000000001,"LINESTRING (19.3499312 47.6050615, 19.34983 47.6050979, 19.3497053 47.6051341, 19.3495638 47.6051851, 19.3492976 47.6053185, 19.3490697 47.6054514, 19.3488932 47.6055647, 19.3486248 47.6057433)",Kör utca,,,,,,
"[304762080, 785052561, 299707995]",secondary,,False,True,160.29,"LINESTRING (19.34741 47.5986136, 19.3472823 47.5987487, 19.3472046 47.5988279, 19.3470578 47.5989602, 19.3469463 47.59905, 19.3468695 47.599107, 19.3466741 47.5992525, 19.3464622 47.5993972, 19.3461699 47.5996068, 19.3460346 47.5997125)",Dózsa György út,50,4,2104,"['12.5', '10']",,
"[288212264, 288212332, 304690815]",secondary,,False,False,98.00900000000001,"LINESTRING (19.34741 47.5986136, 19.3475053 47.5984768, 19.3475653 47.5983847, 19.3477834 47.5979226, 19.3478504 47.5977851)",Dózsa György út,50,"['3', '5']",2104,"['12.5', '7.5']",,
"[810315408, 189525893]",residential,,False,False,162.105,"LINESTRING (19.34741 47.5986136, 19.3472902 47.5984509, 19.3472697 47.5984325, 19.3470988 47.5982788, 19.3469555 47.5981402, 19.3468553 47.5980445, 19.3466582 47.5978812, 19.3465378 47.5977814, 19.3464432 47.5977097, 19.3463221 47.5976178, 19.346202 47.5975266, 19.3461031 47.5974591)",Szabadság tér,,2,,,,
73694977,residential,,False,True,29.657,"LINESTRING (19.342646 47.6034985, 19.3426024 47.6034624, 19.3424992 47.6034137, 19.3423179 47.6033559)",Kazinczy körút,,,,,,
293162159,residential,,False,False,24.103,"LINESTRING (19.342646 47.6034985, 19.3426725 47.6035832, 19.3426986 47.6037122)",Kazinczy körút,,,,,,
173451773,residential,,False,False,40.507999999999996,"LINESTRING (19.3426986 47.6037122, 19.3425634 47.6037124, 19.3421583 47.6037129)",Kazinczy körút,,,,,,
293162159,residential,,False,False,49.010000000000005,"LINESTRING (19.3426986 47.6037122, 19.3427369 47.6039672, 19.3427664 47.6040291, 19.3428335 47.6040888, 19.3428852 47.6041165)",Kazinczy körút,,,,,,
293162159,residential,,False,True,24.103,"LINESTRING (19.3426986 47.6037122, 19.3426725 47.6035832, 19.342646 47.6034985)",Kazinczy körút,,,,,,
73694959,residential,,False,False,76.763,"LINESTRING (19.3516397 47.6021999, 19.3512667 47.6028428)",Szent János utca,40,,,,,
73694932,residential,,False,False,92.12,"LINESTRING (19.3516397 47.6021999, 19.3517339 47.6022211, 19.35205 47.6022922, 19.3521064 47.602332, 19.3521332 47.6023736, 19.352168 47.6024423, 19.3522217 47.602493, 19.3524477 47.6025641, 19.3526321 47.6026123)",Paál László köz,,,,,,
73694959,residential,,False,True,135.27500000000003,"LINESTRING (19.3516397 47.6021999, 19.3516573 47.6021675, 19.351986 47.6015683, 19.3521392 47.6012793, 19.3521768 47.6012076, 19.3522397 47.6011023, 19.3522637 47.6010585)",Szent János utca,40,,,,,
