osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,lanes,geometry
276134895,8627,Szent István utca,secondary,50,False,True,17.67,,,"LINESTRING (16.8771126 47.5887811, 16.877273 47.5886647)"
"[276571712, 1199509513, 173338474, 276134895, 404727635]",8627,Szent István utca,secondary,50,False,"[False, True]",173.51,yes,2,"LINESTRING (16.8771126 47.5887811, 16.876687 47.589083, 16.8763065 47.5893396, 16.8760808 47.589477, 16.8758067 47.5896604, 16.8757866 47.5896732, 16.8756275 47.5897882, 16.8754826 47.5898878)"
276138774,,Ifjúság tér,residential,,False,False,26.624000000000002,,,"LINESTRING (16.8771126 47.5887811, 16.8771873 47.5888207, 16.8773976 47.5889238)"
"[276571712, 1199509513, 173338474, 276134895, 404727635]",8627,Szent István utca,secondary,50,False,"[False, True]",173.51000000000002,yes,2,"LINESTRING (16.8754826 47.5898878, 16.8756275 47.5897882, 16.8757866 47.5896732, 16.8758067 47.5896604, 16.8760808 47.589477, 16.8763065 47.5893396, 16.876687 47.589083, 16.8771126 47.5887811)"
179338018,8521,Szerdahelyi utca,secondary,50,False,True,122.112,,,"LINESTRING (16.8754826 47.5898878, 16.8753626 47.5899654, 16.8748245 47.590267, 16.8742201 47.5905804)"
"[225030938, 276110363]",85,,primary,50,False,False,427.71400000000006,,,"LINESTRING (16.8754826 47.5898878, 16.8753743 47.5898088, 16.8753493 47.5897899, 16.8741869 47.5889772, 16.8734628 47.5884835, 16.8731192 47.5882678, 16.8729414 47.5881703, 16.8727002 47.5880486, 16.8724818 47.587944, 16.8721971 47.5878283, 16.8719324 47.5877354, 16.8716206 47.5876383, 16.8710955 47.5875064)"
1035595615,,Petőfi Sándor utca,tertiary,,False,False,87.896,,2,"LINESTRING (16.881771 47.5865123, 16.8814634 47.5862273, 16.8812122 47.58602, 16.8810359 47.5858982)"
"[276134884, 1083007679]",,Petőházi utca,residential,,False,False,199.518,,,"LINESTRING (16.881771 47.5865123, 16.8817916 47.5865534, 16.8818557 47.5866815, 16.8819878 47.5869027, 16.882156 47.5871008, 16.8823117 47.5872573, 16.882659 47.5875316, 16.8829744 47.587762, 16.883179 47.5878831, 16.8832928 47.5879512)"
276134884,,Petőházi utca,residential,,False,True,31.807,,,"LINESTRING (16.8836334 47.5881162, 16.8835419 47.5880939, 16.8832928 47.5879512)"
276110365,,József Attila utca,residential,,False,True,111.966,,,"LINESTRING (16.8765151 47.5922754, 16.8776409 47.591614)"
"[276110331, 998145404, 1014595971, 998144227]",,"['József Attila utca', 'Szerdahelyi utca']",residential,,False,True,256.60699999999997,,,"LINESTRING (16.8765151 47.5922754, 16.8765014 47.5922216, 16.8764668 47.5921764, 16.8761722 47.5919577, 16.8757808 47.5916603, 16.8753549 47.5913327, 16.8750133 47.5910983, 16.8742857 47.5906304, 16.8742201 47.5905804)"
276138775,,Kossuth Lajos utca,residential,,False,False,225.134,,,"LINESTRING (16.8765151 47.5922754, 16.8763958 47.5923613, 16.8740771 47.5934528)"
