osmid,name,highway,oneway,reversed,length,lanes,geometry,access,maxspeed
331906453,Hunyadi tér,residential,False,False,25.385,,"LINESTRING (20.1481787 46.7067018, 20.1478458 46.7066996)",,
44885877,Ifjúsági tér,tertiary,False,False,476.22299999999996,2,"LINESTRING (20.1481787 46.7067018, 20.1483811 46.7067273, 20.1486644 46.7067219, 20.1488255 46.7067303, 20.1492577 46.7067956, 20.1495817 46.7069357, 20.1497016 46.7070223, 20.1500431 46.7072692, 20.1505622 46.7075229, 20.1513109 46.7077371, 20.152269 46.7078744, 20.1531177 46.7078933, 20.1539382 46.7078568)",,
212672078,Szentesi út,tertiary,False,True,74.56299999999999,2,"LINESTRING (20.1481787 46.7067018, 20.1480874 46.7063906, 20.148076 46.7063517, 20.1479859 46.7060444)",,
329296491,Hunyadi tér,residential,False,False,170.612,,"LINESTRING (20.1481787 46.7067018, 20.1484997 46.7072977, 20.1489283 46.7078139, 20.1490014 46.7079192, 20.149077 46.7081004)",,
56127551,Dózsa György tér,residential,False,True,42.718,,"LINESTRING (20.1473616 46.7090737, 20.1474487 46.7086942)",,
56127558,Dózsa György tér,residential,False,False,38.182,,"LINESTRING (20.1473616 46.7090737, 20.1474972 46.7090831, 20.1478598 46.7091084)",,
157854638,Dózsa György tér,residential,True,False,160.10899999999998,,"LINESTRING (20.1473616 46.7090737, 20.1471867 46.7098193, 20.1470076 46.7104929)",,
329296490,Szentháromság tér,residential,False,True,13.2,,"LINESTRING (20.1491087 46.7082171, 20.149077 46.7081004)",,
329296490,Szentháromság tér,residential,False,False,81.521,,"LINESTRING (20.1491087 46.7082171, 20.1492655 46.7087817, 20.1493011 46.7089382)",,
516654131,,residential,False,False,78.334,,"LINESTRING (20.1491087 46.7082171, 20.1489227 46.7082404, 20.1488522 46.7079479, 20.1484544 46.7080033)",destination,
56127565,Iskola utca,residential,False,False,109.429,,"LINESTRING (20.1533933 46.7098223, 20.1533423 46.7108058)",,
"[56127537, 466475442]",Kossuth tér,residential,False,True,148.488,2,"LINESTRING (20.1533933 46.7098223, 20.153275 46.7098195, 20.1528876 46.7098073, 20.1523318 46.7098261, 20.1514654 46.7099493)",,
"[686055328, 939269207, 939269206, 686055327]",Kossuth tér,residential,False,False,152.857,2,"LINESTRING (20.1533933 46.7098223, 20.1537243 46.7098739, 20.1540488 46.7099235, 20.1547052 46.7100233, 20.1550031 46.7100661, 20.1552304 46.7101139, 20.1553274 46.7101605)",,30
"[287299265, 287298963, 56127534]","['Kossuth tér', 'Templom utca', 'Ordódy Pál rakpart']",residential,False,True,481.83099999999996,,"LINESTRING (20.1534839 46.7138586, 20.1541011 46.713667, 20.154776 46.7134843, 20.1547971 46.7133507, 20.1546174 46.7120244, 20.1545468 46.7112241, 20.1545383 46.7110068, 20.1544655 46.7109106, 20.1533423 46.7108058)",,
56127565,Iskola utca,residential,False,True,342.123,,"LINESTRING (20.1534839 46.7138586, 20.1534131 46.7136082, 20.1532889 46.713088, 20.1532086 46.7126165, 20.1531685 46.7120895, 20.1531882 46.7114733, 20.1533423 46.7108058)",,
686055328,Kossuth tér,residential,False,True,29.584,2,"LINESTRING (20.1556255 46.7103308, 20.1553274 46.7101605)",,
287336206,Zöldkert utca,residential,False,False,327.77,,"LINESTRING (20.1556255 46.7103308, 20.1556118 46.7110848, 20.1556261 46.7118003, 20.1556393 46.7121296, 20.1556808 46.7123949, 20.1559109 46.7132625)",,
310769948,Gróf Andrássy Gyula utca,residential,False,False,132.61700000000002,2,"LINESTRING (20.1556255 46.7103308, 20.1556998 46.7103596, 20.1561104 46.710434, 20.1568029 46.7105566, 20.1573015 46.7106425)",,
204120824,Dózsa György tér,residential,False,True,141.008,,"LINESTRING (20.1478598 46.7091084, 20.1481519 46.7103606)",,
56127558,Dózsa György tér,residential,False,True,38.182,,"LINESTRING (20.1478598 46.7091084, 20.1474972 46.7090831, 20.1473616 46.7090737)",,
137262961,Szent György utca,residential,False,False,20.389,2,"LINESTRING (20.1553274 46.7101605, 20.155538 46.7100475)",,
686055328,Kossuth tér,residential,False,False,29.584,2,"LINESTRING (20.1553274 46.7101605, 20.1556255 46.7103308)",,
"[686055328, 686055327, 939269206, 939269207]",Kossuth tér,residential,False,True,152.857,2,"LINESTRING (20.1553274 46.7101605, 20.1552304 46.7101139, 20.1550031 46.7100661, 20.1547052 46.7100233, 20.1540488 46.7099235, 20.1537243 46.7098739, 20.1533933 46.7098223)",,30
227898109,Erkel Ferenc utca,residential,True,False,45.39,,"LINESTRING (20.1493011 46.7089382, 20.1487149 46.7090093)",,
329296490,Szentháromság tér,residential,False,False,141.75199999999998,,"LINESTRING (20.1493011 46.7089382, 20.1493159 46.709002, 20.1494404 46.7096083, 20.1495649 46.7100664, 20.1496002 46.7101961)",,
329296490,Szentháromság tér,residential,False,True,81.521,,"LINESTRING (20.1493011 46.7089382, 20.1492655 46.7087817, 20.1491087 46.7082171)",,
56127537,Kossuth tér,residential,False,False,144.837,2,"LINESTRING (20.1496002 46.7101961, 20.1514654 46.7099493)",,
212672081,Fő utca,residential,False,True,111.932,2,"LINESTRING (20.1496002 46.7101961, 20.1488607 46.7102772, 20.1481519 46.7103606)",,
329296490,Szentháromság tér,residential,False,True,141.75199999999998,,"LINESTRING (20.1496002 46.7101961, 20.1495649 46.7100664, 20.1494404 46.7096083, 20.1493159 46.709002, 20.1493011 46.7089382)",,
"[466464256, 56127594]",Csemegi Károly utca,residential,False,True,41.150999999999996,,"LINESTRING (20.1496002 46.7101961, 20.1496168 46.7102602, 20.1496902 46.710561)",,
157849150,Kis Tisza utca,residential,False,True,75.708,2,"LINESTRING (20.1539382 46.7078568, 20.1539514 46.7085376)",,
44885877,Ifjúsági tér,tertiary,False,True,476.223,2,"LINESTRING (20.1539382 46.7078568, 20.1531177 46.7078933, 20.152269 46.7078744, 20.1513109 46.7077371, 20.1505622 46.7075229, 20.1500431 46.7072692, 20.1497016 46.7070223, 20.1495817 46.7069357, 20.1492577 46.7067956, 20.1488255 46.7067303, 20.1486644 46.7067219, 20.1483811 46.7067273, 20.1481787 46.7067018)",,
51492889,Hársfa utca,tertiary,False,False,305.568,2,"LINESTRING (20.1539382 46.7078568, 20.1567169 46.7075523, 20.1570547 46.7075327, 20.1574221 46.7075857, 20.157878 46.7076867)",,
685838569,Kis Tisza utca,residential,False,False,79.083,2,"LINESTRING (20.1539382 46.7078568, 20.1539781 46.7077606, 20.1542059 46.7071697)",,
157849141,Justh Gyula utca,residential,False,False,175.358,2,"LINESTRING (20.156234 46.7083471, 20.1554759 46.7083964, 20.1539514 46.7085376)",,
157849141,Justh Gyula utca,residential,False,True,144.313,2,"LINESTRING (20.156234 46.7083471, 20.1571117 46.7083221, 20.1573616 46.7083478, 20.1580983 46.7084801)",,
686055329,Szent György utca,residential,False,True,196.47099999999998,,"LINESTRING (20.156234 46.7083471, 20.1560436 46.7088922, 20.1557839 46.7095205, 20.1555965 46.7099166, 20.155538 46.7100475)",,30
157849150,Kis Tisza utca,residential,False,False,75.708,2,"LINESTRING (20.1539514 46.7085376, 20.1539382 46.7078568)",,
157849141,Justh Gyula utca,residential,False,False,107.72299999999998,2,"LINESTRING (20.1539514 46.7085376, 20.153871 46.7087355, 20.1535932 46.7087852, 20.1532969 46.7088312, 20.1531814 46.7088444, 20.1527862 46.7089058)",,
157849141,Justh Gyula utca,residential,False,True,175.358,2,"LINESTRING (20.1539514 46.7085376, 20.1554759 46.7083964, 20.156234 46.7083471)",,
157849145,Nefelejcs utca,residential,False,True,128.276,,"LINESTRING (20.1590368 46.7051875, 20.1585541 46.7062926)",,
157849145,Nefelejcs utca,residential,False,False,41.001,,"LINESTRING (20.157878 46.7076867, 20.1580615 46.7073401)",,
51492889,Hársfa utca,tertiary,False,True,305.568,2,"LINESTRING (20.157878 46.7076867, 20.1574221 46.7075857, 20.1570547 46.7075327, 20.1567169 46.7075523, 20.1539382 46.7078568)",,
329296490,Szentháromság tér,residential,False,False,13.2,,"LINESTRING (20.149077 46.7081004, 20.1491087 46.7082171)",,
"[157849148, 157849141]","['Justh Gyula utca', 'Szentháromság tér']",residential,False,True,311.50600000000003,2,"LINESTRING (20.149077 46.7081004, 20.1493165 46.7080513, 20.1495161 46.7081608, 20.1497709 46.7083005, 20.1501212 46.7084927, 20.1501921 46.7085158, 20.151001 46.7087797, 20.15164 46.7089191, 20.1522635 46.708972, 20.1525459 46.7089431, 20.1527862 46.7089058)",,
329296491,Hunyadi tér,residential,False,True,170.612,,"LINESTRING (20.149077 46.7081004, 20.1490014 46.7079192, 20.1489283 46.7078139, 20.1484997 46.7072977, 20.1481787 46.7067018)",,
157854646,Hegyi Antal utca,residential,True,False,265.461,,"LINESTRING (20.1544611 46.7064825, 20.1576793 46.7055719)",,
685838569,Kis Tisza utca,residential,False,True,78.853,2,"LINESTRING (20.1544611 46.7064825, 20.1544161 46.7066035, 20.1542363 46.7070923, 20.1542059 46.7071697)",,
157849141,Justh Gyula utca,residential,False,False,72.788,2,"LINESTRING (20.1590077 46.7086792, 20.1580983 46.7084801)",,
157849141,Justh Gyula utca,residential,False,True,33.561,2,"LINESTRING (20.1590077 46.7086792, 20.1594294 46.7087657)",,
157849141,Justh Gyula utca,residential,False,False,33.561,2,"LINESTRING (20.1594294 46.7087657, 20.1590077 46.7086792)",,
157854645,Tavasz utca,residential,False,True,232.89299999999997,,"LINESTRING (20.1542059 46.7071697, 20.1552068 46.7069236, 20.1566835 46.706766, 20.1571789 46.7067427)",,
685838569,Kis Tisza utca,residential,False,False,78.85300000000001,2,"LINESTRING (20.1542059 46.7071697, 20.1542363 46.7070923, 20.1544161 46.7066035, 20.1544611 46.7064825)",,
685838569,Kis Tisza utca,residential,False,True,79.083,2,"LINESTRING (20.1542059 46.7071697, 20.1539781 46.7077606, 20.1539382 46.7078568)",,
157849145,Nefelejcs utca,residential,False,False,40.111,,"LINESTRING (20.1582353 46.7069852, 20.1583875 46.7066399)",,
157849145,Nefelejcs utca,residential,False,True,41.629,,"LINESTRING (20.1582353 46.7069852, 20.1580615 46.7073401)",,
157854645,Tavasz utca,residential,False,False,84.944,,"LINESTRING (20.1582353 46.7069852, 20.1571789 46.7067427)",,
157854640,Ibolya utca,residential,False,False,135.664,,"LINESTRING (20.1576793 46.7055719, 20.1571789 46.7067427)",,
157854646,Hegyi Antal utca,residential,True,False,111.99,,"LINESTRING (20.1576793 46.7055719, 20.1590368 46.7051875)",,
157854640,Ibolya utca,residential,False,True,135.664,,"LINESTRING (20.1571789 46.7067427, 20.1576793 46.7055719)",,
157854645,Tavasz utca,residential,False,True,84.944,,"LINESTRING (20.1571789 46.7067427, 20.1582353 46.7069852)",,
157854645,Tavasz utca,residential,False,False,232.893,,"LINESTRING (20.1571789 46.7067427, 20.1566835 46.706766, 20.1552068 46.7069236, 20.1542059 46.7071697)",,
137262961,Szent György utca,residential,False,True,20.389,2,"LINESTRING (20.155538 46.7100475, 20.1553274 46.7101605)",,
159548257,Gróf Apponyi Albert utca,residential,False,False,182.716,,"LINESTRING (20.155538 46.7100475, 20.1557354 46.7100274, 20.157448 46.7098227, 20.1579003 46.7097715)",,
686055329,Szent György utca,residential,False,False,196.471,,"LINESTRING (20.155538 46.7100475, 20.1555965 46.7099166, 20.1557839 46.7095205, 20.1560436 46.7088922, 20.156234 46.7083471)",,30
157849145,Nefelejcs utca,residential,False,False,128.276,,"LINESTRING (20.1585541 46.7062926, 20.1590368 46.7051875)",,
157849145,Nefelejcs utca,residential,False,True,40.654,,"LINESTRING (20.1585541 46.7062926, 20.1583875 46.7066399)",,
168642334,Rózsa utca,residential,False,False,85.676,2,"LINESTRING (20.1585541 46.7062926, 20.1596282 46.7065188)",,
168643832,Fövenyi utca,residential,False,True,39.822,,"LINESTRING (20.1468856 46.7108719, 20.1468063 46.7105884, 20.1467871 46.7105202)",,
331841160,,residential,False,False,102.89500000000001,,"LINESTRING (20.1468856 46.7108719, 20.1476383 46.7107843, 20.1482084 46.7106911)",,
168643832,Fövenyi utca,residential,False,False,39.822,,"LINESTRING (20.1467871 46.7105202, 20.1468063 46.7105884, 20.1468856 46.7108719)",,
179641726,Fő utca,residential,False,False,17.084,2,"LINESTRING (20.1467871 46.7105202, 20.1468877 46.7105078, 20.1470076 46.7104929)",,
157854641,Kis utca,residential,True,False,121.377,,"LINESTRING (20.158608 46.7097358, 20.1590077 46.7086792)",,
159548257,Gróf Apponyi Albert utca,residential,False,True,54.105,,"LINESTRING (20.158608 46.7097358, 20.1579003 46.7097715)",,
56127565,Iskola utca,residential,False,True,109.429,,"LINESTRING (20.1533423 46.7108058, 20.1533933 46.7098223)",,
56127565,Iskola utca,residential,False,False,342.12300000000005,,"LINESTRING (20.1533423 46.7108058, 20.1531882 46.7114733, 20.1531685 46.7120895, 20.1532086 46.7126165, 20.1532889 46.713088, 20.1534131 46.7136082, 20.1534839 46.7138586)",,
"[287299265, 287298963, 56127534]","['Kossuth tér', 'Templom utca', 'Ordódy Pál rakpart']",residential,False,False,481.83099999999996,,"LINESTRING (20.1533423 46.7108058, 20.1544655 46.7109106, 20.1545383 46.7110068, 20.1545468 46.7112241, 20.1546174 46.7120244, 20.1547971 46.7133507, 20.154776 46.7134843, 20.1541011 46.713667, 20.1534839 46.7138586)",,
287336206,Zöldkert utca,residential,False,True,327.77000000000004,,"LINESTRING (20.1559109 46.7132625, 20.1556808 46.7123949, 20.1556393 46.7121296, 20.1556261 46.7118003, 20.1556118 46.7110848, 20.1556255 46.7103308)",,
310769948,Gróf Andrássy Gyula utca,residential,False,False,99.83,2,"LINESTRING (20.1580358 46.710769, 20.1593073 46.7109833)",,
310769948,Gróf Andrássy Gyula utca,residential,False,True,57.726,2,"LINESTRING (20.1580358 46.710769, 20.1573015 46.7106425)",,
295603771,Szűk utca,residential,False,False,249.21600000000004,,"LINESTRING (20.1580358 46.710769, 20.1579935 46.7114151, 20.1578902 46.7128398, 20.1578629 46.7130068)",,
56127537,Kossuth tér,residential,False,True,144.837,2,"LINESTRING (20.1514654 46.7099493, 20.1496002 46.7101961)",,
"[56127537, 466475442]",Kossuth tér,residential,False,False,148.488,2,"LINESTRING (20.1514654 46.7099493, 20.1523318 46.7098261, 20.1528876 46.7098073, 20.153275 46.7098195, 20.1533933 46.7098223)",,
310769948,Gróf Andrássy Gyula utca,residential,False,False,57.726,2,"LINESTRING (20.1573015 46.7106425, 20.1580358 46.710769)",,
295603758,Réti János utca,residential,False,False,277.903,,"LINESTRING (20.1573015 46.7106425, 20.1572578 46.7114205, 20.1571321 46.713139)",,
310769948,Gróf Andrássy Gyula utca,residential,False,True,132.61700000000002,2,"LINESTRING (20.1573015 46.7106425, 20.1568029 46.7105566, 20.1561104 46.710434, 20.1556998 46.7103596, 20.1556255 46.7103308)",,
295603758,Réti János utca,residential,False,True,277.903,,"LINESTRING (20.1571321 46.713139, 20.1572578 46.7114205, 20.1573015 46.7106425)",,
56127551,Dózsa György tér,residential,False,False,42.718,,"LINESTRING (20.1474487 46.7086942, 20.1473616 46.7090737)",,
"[713942313, 56127551]","['Hunyadi tér', 'Dózsa György tér']",residential,False,True,102.134,,"LINESTRING (20.1474487 46.7086942, 20.1474876 46.7084632, 20.1475201 46.7082536, 20.1475324 46.7081648, 20.1476141 46.7077829)",,
168642334,Rózsa utca,residential,False,True,85.676,2,"LINESTRING (20.1596282 46.7065188, 20.1585541 46.7062926)",,
157849141,Justh Gyula utca,residential,False,True,72.788,2,"LINESTRING (20.1580983 46.7084801, 20.1590077 46.7086792)",,
316657167,Galamb utca,residential,False,False,144.389,,"LINESTRING (20.1580983 46.7084801, 20.1579003 46.7097715)",,
157849141,Justh Gyula utca,residential,False,False,144.313,2,"LINESTRING (20.1580983 46.7084801, 20.1573616 46.7083478, 20.1571117 46.7083221, 20.156234 46.7083471)",,
159548257,Gróf Apponyi Albert utca,residential,False,False,54.105,,"LINESTRING (20.1579003 46.7097715, 20.158608 46.7097358)",,
316657167,Galamb utca,residential,False,True,144.389,,"LINESTRING (20.1579003 46.7097715, 20.1580983 46.7084801)",,
159548257,Gróf Apponyi Albert utca,residential,False,True,182.716,,"LINESTRING (20.1579003 46.7097715, 20.157448 46.7098227, 20.1557354 46.7100274, 20.155538 46.7100475)",,
"[466464256, 56127594]",Csemegi Károly utca,residential,False,False,41.150999999999996,,"LINESTRING (20.1496902 46.710561, 20.1496168 46.7102602, 20.1496002 46.7101961)",,
331841161,,residential,True,False,113.987,,"LINESTRING (20.1496902 46.710561, 20.1489435 46.7106511, 20.1482157 46.71073)",,
56127557,Jókai Mór utca,residential,False,False,4.361,,"LINESTRING (20.1482157 46.71073, 20.1482084 46.7106911)",,
331906453,Hunyadi tér,residential,False,True,25.385,,"LINESTRING (20.1478458 46.7066996, 20.1481787 46.7067018)",,
713942313,Hunyadi tér,residential,False,True,34.531,,"LINESTRING (20.1478458 46.7066996, 20.1479101 46.7063922)",,
713942313,Hunyadi tér,residential,False,False,121.74699999999999,,"LINESTRING (20.1478458 46.7066996, 20.1477921 46.7069507, 20.1476974 46.7073932, 20.1476141 46.7077829)",,
