osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,bridge
69324564,Elnök út,residential,40,False,False,125.077,"LINESTRING (19.5969254 47.6068504, 19.5967472 47.6070781, 19.5959387 47.6077528)",,,
273036596,Táncsics Mihály út,secondary,,False,False,301.991,"LINESTRING (19.5969254 47.6068504, 19.5972366 47.6069768, 19.5976497 47.6071776, 19.5979732 47.60735, 19.5983677 47.6075745, 19.5994007 47.6082611, 19.5999454 47.6086342)",3104,,
819269949,Régi vásártér,secondary,,False,True,34.285,"LINESTRING (19.5969254 47.6068504, 19.5967975 47.6067425, 19.5966581 47.6066006)",3104,,
945785786,Régi Vásártér utca,residential,,False,True,155.129,"LINESTRING (19.5966581 47.6066006, 19.5981788 47.6056545)",,,
273038285,Régi vásártér,secondary,,False,True,51.451,"LINESTRING (19.5966581 47.6066006, 19.5963711 47.6063653, 19.5961904 47.6062646)",3104,,
819269949,Régi vásártér,secondary,,False,False,34.285,"LINESTRING (19.5966581 47.6066006, 19.5967975 47.6067425, 19.5969254 47.6068504)",3104,,
69324564,Elnök út,residential,40,False,True,90.144,"LINESTRING (19.5950132 47.608379, 19.5952897 47.6082582, 19.5953971 47.6082043, 19.5954616 47.6081693, 19.5955472 47.6081057, 19.595597 47.60805, 19.5956707 47.607968, 19.5957207 47.607921, 19.5957698 47.6078774, 19.5958498 47.6078142)",,,
241732700,Tabán út,secondary,50,False,False,203.84000000000003,"LINESTRING (19.5950132 47.608379, 19.5954084 47.6086654, 19.595886 47.609045, 19.5962213 47.609432, 19.5965123 47.6098876)",3105,2,
306827347,Rákóczi Ferenc utca,secondary,50,False,True,55.842,"LINESTRING (19.5950132 47.608379, 19.5946996 47.6084712, 19.5943245 47.6085701)",3105,2,
190064928,Katona út,residential,,False,True,270.181,"LINESTRING (19.5965123 47.6098876, 19.5966412 47.609835, 19.5966952 47.609796, 19.5967448 47.609727, 19.5969808 47.6092589, 19.5970084 47.6091651, 19.5970129 47.6091093, 19.5970018 47.6090558, 19.5969593 47.6089855, 19.5968469 47.6088531, 19.5966911 47.6087183, 19.5965721 47.6086226, 19.5964819 47.6085519, 19.5964131 47.6084719, 19.5963215 47.6083517, 19.5960944 47.6079529, 19.5959387 47.6077528)",,,
241732700,Tabán út,secondary,50,False,False,236.07600000000002,"LINESTRING (19.5965123 47.6098876, 19.5967202 47.610893, 19.5967736 47.6114493, 19.5968375 47.6119981)",3105,2,
241732700,Tabán út,secondary,50,False,True,203.84,"LINESTRING (19.5965123 47.6098876, 19.5962213 47.609432, 19.595886 47.609045, 19.5954084 47.6086654, 19.5950132 47.608379)",3105,2,
