osmid,ref,name,highway,junction,oneway,reversed,length,geometry,lanes
119744973,8136,Mészáros utca,secondary,roundabout,True,False,15.286000000000001,"LINESTRING (17.978466 47.6423123, 17.9784436 47.6422691, 17.978438 47.6422234, 17.9784495 47.6421782)",
482309345,8136,Mészáros utca,secondary,,True,False,38.193,"LINESTRING (17.978466 47.6423123, 17.9784115 47.6422943, 17.9783584 47.6422865, 17.9782157 47.6422928, 17.9779705 47.6423312)",1
344517043,,Árpád köz,residential,,False,False,67.822,"LINESTRING (17.9818095 47.6409958, 17.9818424 47.6410359, 17.982248 47.6415294)",
614499723,8136,Mészáros utca,secondary,,False,False,126.304,"LINESTRING (17.9818095 47.6409958, 17.9829593 47.6405138, 17.9831386 47.6404411, 17.9832434 47.6403985)",
614499723,8136,Mészáros utca,secondary,,False,True,176.32799999999997,"LINESTRING (17.9818095 47.6409958, 17.9814181 47.6411539, 17.9806727 47.6414678, 17.9802283 47.6416386, 17.9797714 47.641786)",
40975945,,Csikótelepi utca,residential,,False,False,111.482,"LINESTRING (17.9832434 47.6403985, 17.9833032 47.6404398, 17.984283 47.6411158)",
614499723,8136,Mészáros utca,secondary,,False,False,57.671,"LINESTRING (17.9832434 47.6403985, 17.9835137 47.6403022, 17.9839327 47.6401679)",
614499723,8136,Mészáros utca,secondary,,False,True,126.304,"LINESTRING (17.9832434 47.6403985, 17.9831386 47.6404411, 17.9829593 47.6405138, 17.9818095 47.6409958)",
117499058,8136,Mészáros utca,secondary,,False,True,18.451,"LINESTRING (17.9797714 47.641786, 17.9795426 47.6418474)",
35936061,,Jókai Mór utca,residential,,False,False,142.30700000000002,"LINESTRING (17.9797714 47.641786, 17.9796311 47.641647, 17.9792805 47.6412998, 17.9792465 47.6412661, 17.9791517 47.641156, 17.9790741 47.6410496, 17.9790035 47.6409178, 17.9788716 47.6406681)",
614499723,8136,Mészáros utca,secondary,,False,False,176.32799999999997,"LINESTRING (17.9797714 47.641786, 17.9802283 47.6416386, 17.9806727 47.6414678, 17.9814181 47.6411539, 17.9818095 47.6409958)",
35936061,,Jókai Mór utca,residential,,False,False,78.989,"LINESTRING (17.9788716 47.6406681, 17.9787425 47.6403361, 17.9787075 47.6402655, 17.9786784 47.6402069, 17.978624 47.6401245, 17.978558 47.6400299, 17.9785331 47.6399978)",
35936061,,Jókai Mór utca,residential,,False,True,142.30700000000002,"LINESTRING (17.9788716 47.6406681, 17.9790035 47.6409178, 17.9790741 47.6410496, 17.9791517 47.641156, 17.9792465 47.6412661, 17.9792805 47.6412998, 17.9796311 47.641647, 17.9797714 47.641786)",
68992382,,Toldi Miklós utca,residential,,False,True,73.426,"LINESTRING (17.9788716 47.6406681, 17.9788016 47.6407068, 17.978114 47.641087)",
68992384,,Arany János utca,residential,,False,True,8.76,"LINESTRING (17.9779671 47.6394532, 17.9779177 47.6395246)",
35936061,,Jókai Mór utca,residential,,False,False,36.78,"LINESTRING (17.9779671 47.6394532, 17.9779259 47.6394149, 17.977894 47.639369, 17.9778789 47.6393114, 17.9778786 47.6392614, 17.9779026 47.6391995, 17.9779406 47.6391449)",
35936061,,Jókai Mór utca,residential,,False,True,74.147,"LINESTRING (17.9779671 47.6394532, 17.9781503 47.6395987, 17.9784285 47.6398648, 17.9784939 47.6399473, 17.9785331 47.6399978)",
119744439,,Rákóczi Ferenc utca,unclassified,,False,False,127.137,"LINESTRING (17.9787868 47.638699, 17.9777327 47.637803)",
"[68992388, 35936061]",,"['Erzsébet utca', 'Jókai Mór utca']",residential,,False,"[False, True]",80.84299999999999,"LINESTRING (17.9787868 47.638699, 17.9780449 47.6390589, 17.9779406 47.6391449)",
614499723,8136,Mészáros utca,secondary,,False,False,39.98,"LINESTRING (17.9839327 47.6401679, 17.9844223 47.6400249)",
614499723,8136,Mészáros utca,secondary,,False,True,57.671,"LINESTRING (17.9839327 47.6401679, 17.9835137 47.6403022, 17.9832434 47.6403985)",
119744439,,Rákóczi Ferenc utca,unclassified,,False,True,127.137,"LINESTRING (17.9777327 47.637803, 17.9787868 47.638699)",
68992385,,Raktár utca,residential,,False,True,140.207,"LINESTRING (17.9777327 47.637803, 17.9776249 47.6378799, 17.9767057 47.6385351, 17.9764447 47.6387177)",
338938942,8136,Mészáros utca,secondary,,False,False,45.47,"LINESTRING (17.9722688 47.6439882, 17.9728291 47.643831)",
338938942,8136,Mészáros utca,secondary,,False,False,34.688,"LINESTRING (17.9740812 47.6434765, 17.9745074 47.6433546)",
338938942,8136,Mészáros utca,secondary,,False,True,101.749,"LINESTRING (17.9740812 47.6434765, 17.9728291 47.643831)",
68992380,,József Attila utca,residential,,False,False,108.62,"LINESTRING (17.9740812 47.6434765, 17.9740299 47.6434145, 17.9734588 47.6426789, 17.9734051 47.6426124)",
338938942,8136,Mészáros utca,secondary,,False,True,34.688,"LINESTRING (17.9745074 47.6433546, 17.9740812 47.6434765)",
68992374,,Petőfi Sándor utca,residential,,False,False,75.483,"LINESTRING (17.9745074 47.6433546, 17.9746171 47.6435184, 17.9748062 47.6437959, 17.9749164 47.6439749)",
338938942,8136,Mészáros utca,secondary,,False,False,161.864,"LINESTRING (17.9745074 47.6433546, 17.9763243 47.6428147, 17.9764851 47.6427685)",
68992374,,Petőfi Sándor utca,residential,,False,False,53.222,"LINESTRING (17.9749164 47.6439749, 17.975189 47.6444169)",
