osmid,name,highway,oneway,reversed,length,geometry,maxspeed,access,lanes,bridge
350836847,Velemi út,residential,False,False,138.486,"LINESTRING (16.5415738 47.385632, 16.5411929 47.3858625, 16.5401958 47.386457)",,,,
28219938,Temető utca,residential,False,True,82.296,"LINESTRING (16.5401958 47.386457, 16.5391939 47.386161)",,,,
28220051,Temető utca,residential,False,False,51.203,"LINESTRING (16.5401958 47.386457, 16.5407422 47.3867312)",,,,
350836847,Velemi út,residential,False,True,138.486,"LINESTRING (16.5401958 47.386457, 16.5411929 47.3858625, 16.5415738 47.385632)",,,,
24888061,Rákóczi Ferenc utca,tertiary,False,False,151.474,"LINESTRING (16.5422409 47.3867532, 16.542302 47.3867094, 16.542368 47.3866535, 16.5425906 47.3863964, 16.542753 47.3862526, 16.5430336 47.3860724, 16.5432421 47.38596, 16.543594 47.3857631)",,,,
"[997560043, 51176876, 997560044, 529785872, 529785874, 28219960, 289564474]","['Várkör', 'Rákóczi Ferenc utca']",residential,True,False,285.646,"LINESTRING (16.5422409 47.3867532, 16.5422494 47.3867633, 16.5422646 47.3867814, 16.5422537 47.3868528, 16.5422264 47.386939, 16.5418139 47.387694, 16.5417544 47.3878082, 16.5416771 47.387968, 16.5416497 47.3880131, 16.5416361 47.388059, 16.5415979 47.3880988, 16.5415355 47.3881217, 16.5414638 47.388115, 16.5413828 47.3880884, 16.5412527 47.3880431, 16.5409094 47.3879746, 16.5402147 47.3878487, 16.5401933 47.3878323, 16.5401664 47.3877924, 16.5401369 47.3877697, 16.5400528 47.387769)",20,,,
169375092,Temető utca,tertiary,False,True,87.66,"LINESTRING (16.5422409 47.3867532, 16.5418876 47.3867761, 16.5414021 47.3867762, 16.5410805 47.3868027)",,,,
24888063,Munkácsy Mihály utca,tertiary,True,False,52.487,"LINESTRING (16.5448225 47.3850767, 16.5446241 47.3853201, 16.5445368 47.3855049)",30,,,
28220051,Temető utca,residential,False,True,51.203,"LINESTRING (16.5407422 47.3867312, 16.5401958 47.386457)",,,,
169375092,Temető utca,tertiary,False,False,26.886,"LINESTRING (16.5407422 47.3867312, 16.5408963 47.3867794, 16.5410805 47.3868027)",,,,
46731893,Hunyadi János utca,residential,False,True,100.77,"LINESTRING (16.5384856 47.3882738, 16.537346 47.3877984)",,,,
"[837824665, 28219966]",Várkör,tertiary,False,False,198.7,"LINESTRING (16.5384856 47.3882738, 16.5382416 47.3884926, 16.537753 47.3888396, 16.5375059 47.3890331, 16.5373137 47.3892426, 16.5372333 47.3893548, 16.5371985 47.3894328, 16.5371769 47.3895295, 16.5371909 47.389628, 16.5372758 47.3897424)",50,,,
904983201,Várkör,tertiary,False,True,70.752,"LINESTRING (16.5384856 47.3882738, 16.5390126 47.3878266, 16.5390717 47.3877764)",50,,,
1108372932,Hegyalja utca,residential,False,True,15.91,"LINESTRING (16.5371531 47.3898589, 16.5372758 47.3897424)",,,,
92017384,Hegyalja utca,residential,True,False,296.749,"LINESTRING (16.5371531 47.3898589, 16.5371316 47.3904415, 16.5371431 47.3906234, 16.5371778 47.3908109, 16.5372355 47.3909821, 16.5373359 47.3911419, 16.5376996 47.3915874, 16.5380441 47.3919029, 16.5386796 47.3920775)",,,,
"[1104454826, 128197181, 1104463486]","['Királyvölgyi utca', 'Hegyalja utca', 'Szőlőskert utca']",residential,False,"[False, True]",420.188,"LINESTRING (16.5371531 47.3898589, 16.5370105 47.3898866, 16.5365119 47.3899654, 16.5361297 47.3900076, 16.5361939 47.3902131, 16.5362701 47.3904459, 16.5363386 47.3909548, 16.5363767 47.3913964, 16.536461 47.3916368, 16.5364698 47.39177, 16.5364441 47.3918789, 16.5362611 47.3922677, 16.5372097 47.3924333, 16.5373651 47.3924446)",50,,,
28219966,Várkör,tertiary,False,True,108.471,"LINESTRING (16.5383967 47.3903547, 16.5379222 47.3900898, 16.5378893 47.3900714, 16.5376858 47.3899576, 16.5375994 47.3899074, 16.5374409 47.3898333, 16.5372758 47.3897424)",50,,,
227773685,Várkör,residential,False,True,10.228000000000002,"LINESTRING (16.5383967 47.3903547, 16.5384545 47.390371, 16.5384994 47.3903837, 16.5385221 47.3903901)",,,,
227773684,Pék utca,tertiary,True,False,30.693,"LINESTRING (16.5389817 47.3921656, 16.5387953 47.3919201)",,,,
366892710,Hegyalja utca,residential,False,True,24.761,"LINESTRING (16.5389817 47.3921656, 16.5386796 47.3920775)",,,,
366892712,Árpád tér,residential,False,True,46.984,"LINESTRING (16.5389817 47.3921656, 16.5395708 47.3923052)",,,,
28219964,Árpád tér,tertiary,True,False,81.19200000000001,"LINESTRING (16.5390241 47.3928831, 16.5390802 47.3926704, 16.539085 47.392424, 16.5389817 47.3921656)",,,,
1104088447,Árpád tér,tertiary,False,False,70.961,"LINESTRING (16.5390241 47.3928831, 16.5387873 47.3932756, 16.5386645 47.393473)",,,,
24888063,Munkácsy Mihály utca,tertiary,True,False,61.556,"LINESTRING (16.5445368 47.3855049, 16.5444111 47.3860519)",30,,,
"[997668384, 97556744, 196369841, 227773683, 28219935]","['Kossuth Lajos utca', 'Várkör']","['residential', 'tertiary']",False,"[False, True]",202.272,"LINESTRING (16.5431654 47.3882711, 16.5430167 47.3885208, 16.5429948 47.388565, 16.5429927 47.3886044, 16.5429936 47.388664, 16.5429946 47.3887297, 16.5429945 47.3887594, 16.5429941 47.3888636, 16.542971 47.3890015, 16.5429607 47.3890628, 16.5428831 47.3892793, 16.5428194 47.389416, 16.5427288 47.3896243, 16.5426212 47.3898823, 16.5425778 47.3900322)",,,,
"[997668373, 28219967]",Kossuth Lajos utca,tertiary,False,False,14.26,"LINESTRING (16.5431654 47.3882711, 16.5432023 47.3882112, 16.5432399 47.3881532)",,,,
196369840,Várkör,tertiary,False,True,78.208,"LINESTRING (16.5423833 47.3907231, 16.5425778 47.3900322)",,,,
"[28219969, 28219921]",Várkör,residential,False,"[False, True]",83.256,"LINESTRING (16.5423833 47.3907231, 16.5423061 47.3907632, 16.5421716 47.3908327, 16.5420306 47.390896, 16.5417603 47.3909498, 16.5416273 47.3909589, 16.5413737 47.3909761)",,,,
512906526,Gyöngyös utca,tertiary,True,False,148.49699999999999,"LINESTRING (16.5423833 47.3907231, 16.5424183 47.3907873, 16.5423867 47.3909909, 16.5423693 47.3911912, 16.542258 47.391385, 16.5420954 47.3915748, 16.5419639 47.3916943, 16.5416999 47.3919167)",,,,
28219934,Gyöngyös utca,tertiary,True,False,156.72400000000002,"LINESTRING (16.5416999 47.3919167, 16.5414878 47.3920249, 16.5412522 47.3921402, 16.5409436 47.3922499, 16.5406677 47.3923083, 16.5405724 47.3923228, 16.5403786 47.3923341, 16.5400515 47.3923402, 16.5397829 47.3923373)",,,,
35028034,Dózsa György utca,residential,True,False,155.74499999999998,"LINESTRING (16.5416999 47.3919167, 16.5419934 47.3920569, 16.5424577 47.3922621, 16.542859 47.3924578, 16.5432749 47.3926726, 16.5433694 47.3927403)",,,,
28219969,Várkör,residential,False,False,66.238,"LINESTRING (16.5413737 47.3909761, 16.5412065 47.3909865, 16.54104 47.3910059, 16.5407322 47.3910279, 16.5405011 47.3910051)",,,,
"[28219969, 28219921]",Várkör,residential,False,"[False, True]",83.256,"LINESTRING (16.5413737 47.3909761, 16.5416273 47.3909589, 16.5417603 47.3909498, 16.5420306 47.390896, 16.5421716 47.3908327, 16.5423061 47.3907632, 16.5423833 47.3907231)",,,,
35028035,Kelcz-Adelffy utca,residential,False,False,140.075,"LINESTRING (16.5413737 47.3909761, 16.5415264 47.3902274, 16.5416798 47.3897343)",,permit,,
28219969,Várkör,residential,False,True,63.394,"LINESTRING (16.5389107 47.3904505, 16.5396431 47.3907319)",,,,
"[1103897049, 227773685]",Várkör,residential,False,False,30.080999999999996,"LINESTRING (16.5389107 47.3904505, 16.5387839 47.3904366, 16.5387488 47.3904327, 16.538553 47.3903988, 16.5385221 47.3903901)",,,,
"[1112266578, 51180122]",Rajnis utca,residential,True,False,108.13999999999999,"LINESTRING (16.5389107 47.3904505, 16.5389236 47.3903656, 16.5389546 47.3902506, 16.5389883 47.3901532, 16.5390453 47.3900888, 16.5396467 47.3898493, 16.539803 47.389787)",,permit,,
28220054,Győry János utca,residential,True,False,133.111,"LINESTRING (16.5410805 47.3868027, 16.5405355 47.3872367, 16.5402508 47.3875044, 16.5400765 47.3877171, 16.5400528 47.387769)",,,,
169375092,Temető utca,tertiary,False,False,87.66,"LINESTRING (16.5410805 47.3868027, 16.5414021 47.3867762, 16.5418876 47.3867761, 16.5422409 47.3867532)",,,,
169375092,Temető utca,tertiary,False,True,26.886,"LINESTRING (16.5410805 47.3868027, 16.5408963 47.3867794, 16.5407422 47.3867312)",,,,
24888058,Ady Endre utca,tertiary,True,False,123.229,"LINESTRING (16.53947 47.3874237, 16.5397103 47.3872555, 16.5400471 47.3870667, 16.5401975 47.3869864, 16.5407007 47.3867506, 16.5407422 47.3867312)",40,,,
104050395,Rákóczi Ferenc utca,tertiary,True,False,49.721,"LINESTRING (16.5443397 47.3853818, 16.5448225 47.3850767)",,,,
28219902,,residential,True,False,22.366999999999997,"LINESTRING (16.5443397 47.3853818, 16.5444123 47.3853956, 16.5444493 47.3854044, 16.5444805 47.3854176, 16.5445018 47.3854329, 16.544521 47.385449, 16.5445368 47.3855049)",,,,
28219969,Várkör,residential,False,False,63.394,"LINESTRING (16.5396431 47.3907319, 16.5389107 47.3904505)",,,,
28219969,Várkör,residential,False,True,71.467,"LINESTRING (16.5396431 47.3907319, 16.540109 47.3908981, 16.5405011 47.3910051)",,,,
