osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes
39881192,73143,Fő utca,secondary,50,False,False,56.824,"LINESTRING (17.5147453 46.8038774, 17.514716 46.803952, 17.5146634 46.8040661, 17.5145077 46.8043616)",,
232281242,73143,Hősök tere,tertiary,50,False,True,30.838,"LINESTRING (17.5147453 46.8038774, 17.5149332 46.803751, 17.515028 46.8036789)",,
232281244,7341,Római út,secondary,50,False,False,32.418,"LINESTRING (17.5147453 46.8038774, 17.5147891 46.8037225, 17.5148054 46.8035892)",,
181317207,7316,,secondary,50,True,False,17.875999999999998,"LINESTRING (17.5139333 46.8091981, 17.5139657 46.8092038, 17.5139962 46.8092135, 17.5140236 46.8092267, 17.5140472 46.8092431, 17.514066 46.8092621, 17.5140797 46.8092831, 17.5140876 46.8093054)",roundabout,
722968168,73143,Fő utca,secondary,50,False,True,82.935,"LINESTRING (17.5139333 46.8091981, 17.514009 46.8090718, 17.5140267 46.8089478, 17.514035 46.8087962, 17.5140277 46.8086282, 17.5140045 46.808464)",,
372363810,7316,,secondary,50,True,False,32.403,"LINESTRING (17.5137428 46.8093909, 17.5137235 46.8093613, 17.5137157 46.8093294, 17.5137198 46.8092971, 17.5137357 46.8092666, 17.5137621 46.8092398, 17.5137976 46.8092184, 17.5138398 46.8092038, 17.513886 46.8091968, 17.5139333 46.8091981)",roundabout,
39881191,73143,,tertiary,50,False,False,50.539,"LINESTRING (17.5161797 46.8024413, 17.5160717 46.80258, 17.5159851 46.8026865, 17.5159435 46.8027425, 17.515871 46.8028436)",,
297579545,71,Vasút utca,primary,50,False,True,56.94500000000001,"LINESTRING (17.5161797 46.8024413, 17.5161679 46.8025664, 17.5161477 46.8027629, 17.5161626 46.8029524)",,
722968169,,Kisörsi utca,residential,,False,False,51.491,"LINESTRING (17.5140045 46.808464, 17.5146704 46.8085459)",,
39881192,73143,Fő utca,secondary,50,False,True,58.56,"LINESTRING (17.5140045 46.808464, 17.5139163 46.8082922, 17.5138459 46.8081428, 17.5137851 46.8079599)",,
722968168,73143,Fő utca,secondary,50,False,False,82.935,"LINESTRING (17.5140045 46.808464, 17.5140277 46.8086282, 17.514035 46.8087962, 17.5140267 46.8089478, 17.514009 46.8090718, 17.5139333 46.8091981)",,
35135277,,Ady Endre utca,residential,,False,True,105.588,"LINESTRING (17.5137851 46.8079599, 17.5135978 46.8078825, 17.5131789 46.8076814, 17.5129673 46.807608, 17.5125814 46.8074951)",,
39881192,73143,Fő utca,secondary,50,False,False,58.56,"LINESTRING (17.5137851 46.8079599, 17.5138459 46.8081428, 17.5139163 46.8082922, 17.5140045 46.808464)",,
