osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,width
920260130,3,Arany János út,primary,50,False,True,29.685,,"LINESTRING (20.816847 47.9333304, 20.8171201 47.9335248)",
920260131,,Sándor út,residential,,False,True,9.068,,"LINESTRING (20.816847 47.9333304, 20.8169443 47.9332814)",
"[319193704, 319193707, 306461063]",3,Arany János út,primary,50,False,False,226.835,yes,"LINESTRING (20.816847 47.9333304, 20.8160203 47.9327229, 20.8153255 47.9322685, 20.8152318 47.9322073, 20.8151607 47.9321608, 20.8149969 47.9320683, 20.8148665 47.9319926, 20.8146853 47.9318979)",
319193698,2514,Kossuth Lajos út,secondary,,False,False,43.304,,"LINESTRING (20.8169939 47.9376921, 20.8169856 47.9373027)",
498049391,,,residential,,False,False,77.522,,"LINESTRING (20.8169939 47.9376921, 20.815958 47.9377586)",
319193698,2514,Kossuth Lajos út,secondary,,False,True,59.342,,"LINESTRING (20.8169939 47.9376921, 20.8169501 47.9379737, 20.8168784 47.9382196)",
184745295,,Borbála út,residential,,False,False,16.035,,"LINESTRING (20.8100538 47.929969, 20.8100377 47.9298252)",
184745295,,Borbála út,residential,,False,True,121.471,,"LINESTRING (20.8100538 47.929969, 20.8100109 47.930314, 20.8099311 47.9310583)",
184745308,,Jókai út,residential,,False,False,174.744,,"LINESTRING (20.8100538 47.929969, 20.8102576 47.9299833, 20.8123873 47.9301271)",
184745299,36102,Geleji út,tertiary,,False,False,4.117,,"LINESTRING (20.8149164 47.931753, 20.8148778 47.9317795)",
184745299,36102,Geleji út,tertiary,,False,True,145.884,,"LINESTRING (20.8149164 47.931753, 20.8151047 47.9315778, 20.815608 47.9305349)",
190043723,33308,Ady Endre út,tertiary,,False,True,292.98199999999997,,"LINESTRING (20.8149164 47.931753, 20.8150349 47.9317343, 20.8187522 47.9311723)",
184745299,36102,Geleji út,tertiary,,False,True,19.468,,"LINESTRING (20.8146853 47.9318979, 20.8148778 47.9317795)",
319193707,3,Arany János út,primary,50,False,False,303.198,,"LINESTRING (20.8146853 47.9318979, 20.8143172 47.9317271, 20.8140036 47.931607, 20.8136494 47.9314884, 20.8132706 47.9313794, 20.8129994 47.9313163, 20.8128093 47.9312803, 20.8125765 47.9312433, 20.8121191 47.9311972, 20.8116852 47.9311613, 20.8113781 47.9311388, 20.8110369 47.931121, 20.8108598 47.9311118)",
"[319193704, 319193707, 306461063]",3,Arany János út,primary,50,False,True,226.83499999999998,yes,"LINESTRING (20.8146853 47.9318979, 20.8148665 47.9319926, 20.8149969 47.9320683, 20.8151607 47.9321608, 20.8152318 47.9322073, 20.8153255 47.9322685, 20.8160203 47.9327229, 20.816847 47.9333304)",
184745299,36102,Geleji út,tertiary,,False,False,18.069,,"LINESTRING (20.8156789 47.9303795, 20.815608 47.9305349)",
184745308,,Jókai út,residential,,False,True,121.994,,"LINESTRING (20.8156789 47.9303795, 20.8140508 47.9302627)",
184745295,,Borbála út,residential,,False,True,16.035,,"LINESTRING (20.8100377 47.9298252, 20.8100538 47.929969)",
184745308,,Jókai út,residential,,False,False,121.994,,"LINESTRING (20.8140508 47.9302627, 20.8156789 47.9303795)",
184745308,,Jókai út,residential,,False,True,124.852,,"LINESTRING (20.8140508 47.9302627, 20.8123873 47.9301271)",
184745308,,Jókai út,residential,,False,False,124.852,,"LINESTRING (20.8123873 47.9301271, 20.8140508 47.9302627)",
184745308,,Jókai út,residential,,False,True,174.744,,"LINESTRING (20.8123873 47.9301271, 20.8102576 47.9299833, 20.8100538 47.929969)",
306461062,3,Arany János út,primary,50,False,True,69.447,,"LINESTRING (20.8099311 47.9310583, 20.8108598 47.9311118)",
184745295,,Borbála út,residential,,False,False,121.471,,"LINESTRING (20.8099311 47.9310583, 20.8100109 47.930314, 20.8100538 47.929969)",
190164093,,Rákóczi út,residential,,False,True,102.494,,"LINESTRING (20.8190308 47.9348892, 20.8189377 47.9353019, 20.8188194 47.9358)",
212675208,3,Arany János út,primary,50,False,False,208.03699999999998,,"LINESTRING (20.8190308 47.9348892, 20.8189655 47.9348426, 20.8172166 47.9335925, 20.8171201 47.9335248)",
212675208,3,Arany János út,primary,50,False,True,229.312,,"LINESTRING (20.8190308 47.9348892, 20.8191167 47.9349459, 20.819523 47.9352138, 20.8211935 47.9363566)",
190164095,,Patak út,residential,,False,True,62.114,,"LINESTRING (20.8105511 47.9331659, 20.8105543 47.9337245)",
190164095,,Patak út,residential,,False,False,229.571,,"LINESTRING (20.8105511 47.9331659, 20.8108494 47.9312247, 20.8108598 47.9311118)",
190164095,,Patak út,residential,,False,False,136.25,,"LINESTRING (20.8103856 47.9349446, 20.8105543 47.9337245)",
190164095,,Patak út,residential,,False,True,197.408,,"LINESTRING (20.8103856 47.9349446, 20.8104044 47.9351169, 20.8104399 47.9352754, 20.8105062 47.9354086, 20.8106376 47.9356154, 20.810828 47.9358218, 20.8109943 47.93596, 20.8111569 47.9360642, 20.8112059 47.9361086, 20.8112391 47.9361565, 20.8113584 47.9365466)",
