osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,width
"[499267026, 604737883, 102734987]","['7', '6', '8']",1,Szent István út,primary,50,False,False,118.25200000000001,"LINESTRING (17.6355175 47.6840349, 17.6354218 47.6840065, 17.6352946 47.6839656, 17.6347916 47.683804, 17.6345459 47.683725, 17.6342506 47.6836301, 17.6340906 47.6835787)",,,
"[102734999, 514463212, 768685718, 768685719]",6,1,Szent István út,primary,50,False,True,209.712,"LINESTRING (17.6355175 47.6840349, 17.6356371 47.6840752, 17.6357447 47.6841112, 17.6358824 47.6841572, 17.6361317 47.6842405, 17.6364997 47.6843753, 17.6366753 47.6844567, 17.637994 47.684914)",,,
"[313326281, 1050983467, 137578566]",2,,Pálffy utca,residential,50,False,True,89.404,"LINESTRING (17.6363344 47.6876492, 17.6363591 47.6876787, 17.6363816 47.6876978, 17.63641 47.6877164, 17.6364469 47.6877366, 17.636493 47.687757, 17.6368272 47.6878899, 17.6368922 47.6879145, 17.6373307 47.6880801)",,,
"[327889841, 1055848811, 1050983468]",2,,Teleki László utca,residential,50,False,True,124.988,"LINESTRING (17.6363344 47.6876492, 17.6363192 47.6876268, 17.6363072 47.6875918, 17.6363058 47.687564, 17.6363097 47.6875365, 17.6363203 47.6875054, 17.6363309 47.6874755, 17.6363502 47.6874276, 17.6363765 47.687369, 17.6364027 47.6873164, 17.6364993 47.6871485, 17.6365094 47.6871322, 17.6365384 47.6870855, 17.6366035 47.6869805, 17.6367567 47.6867401, 17.6368477 47.6865973)",,,
102408931,,,Dunakapu tér,residential,,False,False,57.373999999999995,"LINESTRING (17.6343749 47.6904855, 17.6346501 47.6900757, 17.6346892 47.6900149)",,,
"[1149220436, 939995109]",1,,Teleki László utca,residential,50,True,False,66.904,"LINESTRING (17.6357405 47.6883513, 17.6359386 47.6880269, 17.6360507 47.6878359, 17.6360684 47.6878135, 17.6360839 47.6877962)",,,
"[1136678952, 1150736795, 287039140, 37146765]",1,,Bajcsy-Zsilinszky út,residential,"['50', '30']",True,False,134.922,"LINESTRING (17.6368477 47.6865973, 17.636638 47.6865271, 17.6363507 47.6864309, 17.6358862 47.6862662, 17.6358119 47.6862399, 17.635322 47.6860612, 17.6352535 47.6860318)",,,
"[1136677336, 744154329]","['2', '3']",,Teleki László utca,residential,50,False,True,102.231,"LINESTRING (17.6368477 47.6865973, 17.63693 47.686468, 17.637131 47.6861522, 17.6372946 47.6858951, 17.6373855 47.6857522)",,,
"[327889841, 1055848811, 1050983468]",2,,Teleki László utca,residential,50,False,False,124.98800000000001,"LINESTRING (17.6368477 47.6865973, 17.6367567 47.6867401, 17.6366035 47.6869805, 17.6365384 47.6870855, 17.6365094 47.6871322, 17.6364993 47.6871485, 17.6364027 47.6873164, 17.6363765 47.687369, 17.6363502 47.6874276, 17.6363309 47.6874755, 17.6363203 47.6875054, 17.6363097 47.6875365, 17.6363058 47.687564, 17.6363072 47.6875918, 17.6363192 47.6876268, 17.6363344 47.6876492)",,,
"[26382289, 744154326, 1136677335]","['4', '3']",,Teleki László utca,residential,50,False,False,103.76599999999999,"LINESTRING (17.637994 47.684914, 17.637931 47.6850056, 17.6378109 47.68518, 17.6376362 47.6854117, 17.6374487 47.685656, 17.6374117 47.6857124, 17.6373855 47.6857522)",,,
"[768685719, 514463212, 768685718, 102734999]",6,1,Szent István út,primary,50,False,False,209.71200000000002,"LINESTRING (17.637994 47.684914, 17.6366753 47.6844567, 17.6364997 47.6843753, 17.6361317 47.6842405, 17.6358824 47.6841572, 17.6357447 47.6841112, 17.6356371 47.6840752, 17.6355175 47.6840349)",,,
"[1055848812, 102734977, 261313516, 605070518]","['5', '6']",1,Szent István út,primary,50,False,True,210.26000000000002,"LINESTRING (17.637994 47.684914, 17.6390384 47.6852854, 17.6394868 47.6854494, 17.6397266 47.6855371, 17.6401922 47.6857085, 17.6403156 47.6857511, 17.6404712 47.6858052)",,,
137578565,1,,,residential,50,True,False,11.793,"LINESTRING (17.6383584 47.6885502, 17.6383195 47.6885546, 17.6382804 47.6885516, 17.638244 47.6885415, 17.6382133 47.6885249)",roundabout,,
28379044,,,Zechmeister utca,residential,,False,True,199.552,"LINESTRING (17.6283104 47.6838484, 17.6283779 47.683886, 17.6291576 47.6843203, 17.6295158 47.6845198, 17.6302383 47.6849103, 17.6303746 47.6849839)",,,
28379044,,,Zechmeister utca,residential,,False,False,199.552,"LINESTRING (17.6303746 47.6849839, 17.6302383 47.6849103, 17.6295158 47.6845198, 17.6291576 47.6843203, 17.6283779 47.683886, 17.6283104 47.6838484)",,,
"[522452146, 32539243, 522452143]",,,Zechmeister utca,residential,,False,False,109.213,"LINESTRING (17.6303746 47.6849839, 17.6304454 47.6850982, 17.6306328 47.6854203, 17.6307599 47.6856386, 17.6307989 47.6857055, 17.6308636 47.6858168, 17.6309105 47.6858974)",,,
865104556,,,Jókai utca,residential,,False,False,68.188,"LINESTRING (17.6303746 47.6849839, 17.6304105 47.6849367, 17.6307672 47.6844931, 17.6308045 47.6844433)",,,
25564692,,,Árpád út,residential,30,True,False,174.335,"LINESTRING (17.631404 47.6836418, 17.6314492 47.6836585, 17.6315539 47.6836951, 17.6332256 47.6842786, 17.6334161 47.6843451, 17.6334709 47.6843642)",,,
57889512,2,,Gárdonyi Géza utca,residential,50,False,True,101.702,"LINESTRING (17.6397836 47.6865812, 17.640207 47.6860298, 17.6402668 47.6859503, 17.6403125 47.6858921, 17.6403414 47.6858692, 17.6403811 47.6858428, 17.6404712 47.6858052)",,,
"[1149212384, 28598435]",2,,Gárdonyi Géza utca,residential,50,False,False,103.027,"LINESTRING (17.6397836 47.6865812, 17.6397399 47.6866532, 17.6397208 47.6866848, 17.6391742 47.6874116)",,,
