osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,geometry,ref,junction,access,tunnel
4937501,True,1,Kossuth Lajos sugárút,tertiary,50,18,False,198.31799999999998,"LINESTRING (20.1429872 46.2585463, 20.1431978 46.2584418, 20.1432131 46.2584337, 20.1436571 46.2581978, 20.1442085 46.2579049, 20.1450393 46.2574658)",,,,
4937502,False,7,Párizsi körút,primary,50,,False,32.503,"LINESTRING (20.1429872 46.2585463, 20.1429358 46.2584937, 20.1427551 46.258302)",5,,,
"[616989347, 80414973]",False,4,Párizsi körút,primary,50,,True,14.0,"LINESTRING (20.1429872 46.2585463, 20.1430299 46.2585846, 20.143041 46.2585945, 20.1430564 46.2586067, 20.1431028 46.2586435)",5,,,
8411101,True,1,Dugonics tér,residential,30,,False,24.558,"LINESTRING (20.1447565 46.2509014, 20.1448142 46.250912, 20.1448993 46.2509154, 20.1449895 46.250911, 20.1450731 46.2509052)",,,,
504016641,True,1,,tertiary,50,,False,9.498000000000001,"LINESTRING (20.1447565 46.2509014, 20.1447747 46.2509422, 20.144773 46.2509849)",,roundabout,,
4766056,False,3,Belvárosi híd,tertiary,30,,False,30.133,"LINESTRING (20.150745 46.2518112, 20.1508251 46.251779, 20.1510301 46.2516966, 20.1510838 46.251675)",,,,
"[1139168204, 4766060, 1015981629]",False,2,Stefánia,tertiary,50,,False,55.301,"LINESTRING (20.150745 46.2518112, 20.1508122 46.2518914, 20.1509544 46.2520598, 20.1511166 46.2522369)",,,,
235059131,False,3,Híd utca,residential,30,,True,59.226,"LINESTRING (20.150745 46.2518112, 20.1506656 46.2518439, 20.1505747 46.2518815, 20.1500836 46.2520842)",,,,
436880821,False,,Roosevelt tér,residential,,,True,28.948,"LINESTRING (20.150745 46.2518112, 20.1506814 46.2517378, 20.1506515 46.2517033, 20.1505679 46.2515818)",,,,
38576522,False,2,Török utca,residential,30,,False,119.2,"LINESTRING (20.1433522 46.2555019, 20.1441441 46.2564235)",,,,
"[470686708, 38576437]",False,,Bartók tér,residential,,9.9,True,65.405,"LINESTRING (20.1433522 46.2555019, 20.1433296 46.2554744, 20.1431205 46.2552369, 20.142911 46.254999)",,,,
667709557,True,1,Tisza Lajos körút,tertiary,50,,False,67.591,"LINESTRING (20.1458274 46.2537871, 20.1454372 46.2532424)",,,,
"[76715122, 76715125]",False,,"['Attila utca', 'Nagy Jenő utca']",residential,50,,False,10.209,"LINESTRING (20.1458274 46.2537871, 20.1458654 46.2537719, 20.1458871 46.2537632, 20.1459067 46.2537554, 20.1459423 46.2537411)",,,,
1036373309,False,3,Széchenyi tér,residential,30,,False,12.277,"LINESTRING (20.149004 46.2525302, 20.1490773 46.2525001, 20.1491098 46.2524867, 20.1491411 46.2524736)",,,,
"[380992998, 1104413805, 691087408, 1104414676, 1104414678, 863555288]",False,3,Széchenyi tér,residential,30,,True,124.50800000000001,"LINESTRING (20.149004 46.2525302, 20.1488876 46.2525783, 20.1488409 46.2525973, 20.148759 46.2526306, 20.1484909 46.2527396, 20.1481577 46.2528705, 20.1479873 46.2529374, 20.1476016 46.25309)",,,,
76718072,True,1,Vörösmarty utca,tertiary,30,,False,24.991999999999997,"LINESTRING (20.1505 46.2545838, 20.1505326 46.2545571, 20.1505995 46.2545022, 20.1506192 46.2544974, 20.1507603 46.2544626)",,,,
598858938,True,1,Széchenyi tér,residential,30,,False,16.439,"LINESTRING (20.1505 46.2545838, 20.1505338 46.2545057, 20.1505589 46.2544417)",,,,
592757570,True,1,Vörösmarty utca,tertiary,30,,False,8.019,"LINESTRING (20.1498807 46.2549169, 20.1499658 46.2548752)",,,,
"[598858939, 419651524]",False,2,Széchenyi tér,residential,,,True,92.48200000000001,"LINESTRING (20.149226 46.2552667, 20.1491826 46.2552088, 20.1491799 46.2552056, 20.1489606 46.254945, 20.1486559 46.2545945, 20.1486175 46.2545494)",,,,
419651525,False,1,Széchenyi tér,residential,,,False,6.3580000000000005,"LINESTRING (20.149226 46.2552667, 20.1492593 46.2552851, 20.1492906 46.2553024)",,,,
