osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,tunnel,junction
37873099,,tertiary,50,True,False,14.658999999999999,"LINESTRING (18.2245332 46.0726259, 18.2245209 46.0726158, 18.2245109 46.0726046, 18.2245034 46.0725925, 18.2244985 46.0725797, 18.2244968 46.0725667, 18.2244968 46.0725535, 18.2245002 46.0725405, 18.2245062 46.072528, 18.2245258 46.0725054)",,,,roundabout
1033258471,,tertiary,50,True,False,5.997,"LINESTRING (18.2245258 46.0725054, 18.2245392 46.0724957, 18.2245546 46.0724874, 18.2245716 46.0724809, 18.2245898 46.0724761)",,,,roundabout
31900871,Szabadság út,tertiary,50,True,False,29.169999999999998,"LINESTRING (18.2245898 46.0724761, 18.2246347 46.0723661, 18.2246809 46.0722216)",,,,
1033258470,,tertiary,50,True,False,10.232,"LINESTRING (18.2245898 46.0724761, 18.2246077 46.0724736, 18.2246317 46.072473, 18.2246566 46.0724756, 18.2246767 46.0724795, 18.2246934 46.0724854, 18.2247139 46.072496)",,,,roundabout
518338411,Rákóczi út,tertiary,50,True,False,12.628,"LINESTRING (18.2240639 46.0726728, 18.2239006 46.0726807)",,,,
31900942,Rákóczi út,tertiary,50,False,True,9.944,"LINESTRING (18.2251275 46.0727119, 18.2249986 46.0727111)",,,,
1065282348,Rákóczi út,tertiary,50,False,False,25.374,"LINESTRING (18.2251275 46.0727119, 18.2254555 46.0727291)",,,,
41714412,Rákóczi út,tertiary,50,True,False,31.718,"LINESTRING (18.2344035 46.0742124, 18.2342583 46.0741727, 18.2342571 46.0741724, 18.2340209 46.0741079)",1,,,
450844366,Felsőmalom utca,residential,,True,False,22.026,"LINESTRING (18.2344035 46.0742124, 18.2344462 46.0742817, 18.2344553 46.0742976, 18.2345117 46.0743957)",,,,
204046006,Alsó-malom utca,primary,50,True,False,12.925,"LINESTRING (18.2343791 46.0740974, 18.2344035 46.0742124)",1,,,
204046008,Alsómalom utca,primary,50,False,False,16.814,"LINESTRING (18.2343791 46.0740974, 18.2343142 46.0740441, 18.2342496 46.0739761)",4,6,,
32108960,,tertiary_link,50,True,False,52.687999999999995,"LINESTRING (18.2335709 46.0739901, 18.2337951 46.0740067, 18.233907 46.0740072, 18.2340457 46.0739919, 18.2340702 46.0739892, 18.2342496 46.0739761)",2,,,
32109041,,tertiary_link,50,True,False,53.163,"LINESTRING (18.2335709 46.0739901, 18.2338263 46.0739645, 18.2339081 46.0739567, 18.2339631 46.0739428, 18.2340079 46.0739191, 18.234031 46.0738985, 18.2340492 46.0738704, 18.2340834 46.0737679)",1,,,
1065282346,Rákóczi út,tertiary,50,False,True,79.351,"LINESTRING (18.2335709 46.0739901, 18.2332259 46.0739125, 18.2325979 46.0737587)",4,,,
204046007,Alsómalom utca,primary,50,False,False,26.484,"LINESTRING (18.2342496 46.0739761, 18.2341676 46.073883, 18.2340834 46.0737679)",5,6,,
204046008,Alsómalom utca,primary,50,False,True,16.814,"LINESTRING (18.2342496 46.0739761, 18.2343142 46.0740441, 18.2343791 46.0740974)",4,6,,
204046011,,tertiary_link,50,True,False,24.182,"LINESTRING (18.2342496 46.0739761, 18.234218 46.074023, 18.2341697 46.0740583, 18.2341388 46.0740774, 18.234093 46.0740963, 18.2340209 46.0741079)",2,,,
220025545,Rákóczi út,tertiary,50,True,False,37.102,"LINESTRING (18.2340209 46.0741079, 18.2335709 46.0739901)",2,,,
4077673,Czinderi utca,residential,,False,True,51.531,"LINESTRING (18.2312402 46.0721847, 18.2307145 46.0721347, 18.2305785 46.0721212)",,,,
196968679,Fürdő utca,residential,,False,False,79.497,"LINESTRING (18.2307264 46.0742751, 18.2307098 46.0743316, 18.2305257 46.0749574, 18.2305204 46.0749756)",,,,
37873083,Rákóczi út,tertiary,50,True,False,34.346999999999994,"LINESTRING (18.2247552 46.0725502, 18.2248142 46.0725973, 18.2248603 46.0726223, 18.2251275 46.0727119)",,,,
1033258473,,tertiary,50,True,False,12.528,"LINESTRING (18.2247552 46.0725502, 18.2247562 46.072569, 18.2247515 46.0725875, 18.2247383 46.0726089, 18.2247264 46.0726205, 18.2247071 46.0726336, 18.2246842 46.0726437)",,,,roundabout
227960699,Jókai utca,residential,30,False,False,43.228,"LINESTRING (18.2271112 46.0753535, 18.2270168 46.0749703)",,,,
3566534,Bajcsy-Zsilinszky utca,tertiary,50,False,True,127.68400000000001,"LINESTRING (18.2296974 46.0720364, 18.2296753 46.0721461, 18.2295445 46.0726389, 18.2294374 46.072949, 18.2294089 46.0730634, 18.2294022 46.0730904, 18.2293841 46.0731634)",2,,,
4077673,Czinderi utca,residential,,False,False,68.629,"LINESTRING (18.2296974 46.0720364, 18.2297748 46.0720412, 18.2305785 46.0721212)",,,,
1077142812,,residential,,False,True,27.782,"LINESTRING (18.2229348 46.0734093, 18.2226974 46.0732806, 18.2226511 46.0732554)",,,,
3212111,Rákóczi út,tertiary,50,False,False,5.97,"LINESTRING (18.2226511 46.0732554, 18.2227127 46.0732229)",,,,
1077142812,,residential,,False,False,27.782,"LINESTRING (18.2226511 46.0732554, 18.2226974 46.0732806, 18.2229348 46.0734093)",,,,
4077673,Czinderi utca,residential,,False,False,51.531,"LINESTRING (18.2305785 46.0721212, 18.2307145 46.0721347, 18.2312402 46.0721847)",,,,
4077673,Czinderi utca,residential,,False,True,68.629,"LINESTRING (18.2305785 46.0721212, 18.2297748 46.0720412, 18.2296974 46.0720364)",,,,
