osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,access
359624897,5513,Bajai út,secondary,False,True,48.541,"LINESTRING (18.7236143 46.1973427, 18.7237679 46.1973136, 18.7237984 46.1972954, 18.7240025 46.1971809, 18.7241205 46.1970977)",,,,
359624904,56,Budai utca,primary,False,True,13.870000000000001,"LINESTRING (18.7236143 46.1973427, 18.7236103 46.1973616, 18.7235861 46.1974659)",3,50,,
359624917,56,Budai utca,primary,False,False,47.834999999999994,"LINESTRING (18.7236143 46.1973427, 18.7236423 46.1972046, 18.7236505 46.1971645, 18.7237008 46.1969167)",2,50,,
74727749,,Garay utca,residential,False,False,68.49000000000001,"LINESTRING (18.7281829 46.1973249, 18.7282063 46.1972523, 18.7284131 46.19673)",,,,
119456771,5513,Bajai út,secondary,False,False,130.567,"LINESTRING (18.7281829 46.1973249, 18.7278584 46.1972771, 18.7265197 46.1970938)",2,,,
359624897,5513,Bajai út,secondary,False,False,48.541000000000004,"LINESTRING (18.7241205 46.1970977, 18.7240025 46.1971809, 18.7237984 46.1972954, 18.7237679 46.1973136, 18.7236143 46.1973427)",,,,
1086971080,5513,Bajai út,secondary,False,True,42.893,"LINESTRING (18.7241205 46.1970977, 18.724188 46.1970533, 18.7243615 46.1969329, 18.7244489 46.1968848, 18.7245487 46.1968584)",2,,,
147668716,,Arany János utca,residential,False,False,83.652,"LINESTRING (18.7211518 46.1895361, 18.7222385 46.1895331)",,,,
147668716,,Arany János utca,residential,False,True,101.145,"LINESTRING (18.7211518 46.1895361, 18.7198483 46.1894216)",,,,
613031225,,Hunyadi János utca,residential,False,False,67.886,"LINESTRING (18.7211518 46.1895361, 18.7210703 46.190144)",,,,
359624900,,Bezerédj utca,residential,False,False,124.076,"LINESTRING (18.7209499 46.1910239, 18.7193432 46.1909344)",,,,
116600041,,Hunyadi János utca,residential,False,False,342.537,"LINESTRING (18.7209499 46.1910239, 18.7209409 46.1910918, 18.7209304 46.1911708, 18.7208756 46.1915855, 18.7208027 46.1921363, 18.7205263 46.1940904)",,,,
359624900,,Bezerédj utca,residential,False,True,109.13000000000001,"LINESTRING (18.7209499 46.1910239, 18.7210762 46.1910316, 18.7222082 46.1911004, 18.7223622 46.1911097)",,,,
613031225,,Hunyadi János utca,residential,False,True,98.279,"LINESTRING (18.7209499 46.1910239, 18.7209583 46.1909627, 18.7209894 46.1907354, 18.7210657 46.1901779, 18.7210703 46.190144)",,,,
359624928,,Kövesdi utca,residential,False,False,136.174,"LINESTRING (18.7222944 46.194048, 18.7205263 46.1940904)",,,,
74725626,,Perczel Mór utca,residential,False,False,325.95599999999996,"LINESTRING (18.7222944 46.194048, 18.7225972 46.1912319, 18.7226087 46.1911247)",,,,
74725626,,Perczel Mór utca,residential,False,True,361.491,"LINESTRING (18.7222944 46.194048, 18.7219348 46.1967482, 18.7218512 46.1972844)",,,,
74725836,,Kövesdi utca,residential,False,True,148.352,"LINESTRING (18.7222944 46.194048, 18.7241296 46.1940565, 18.7242217 46.194055)",,,,
359624900,,Bezerédj utca,residential,False,False,19.048,"LINESTRING (18.7226087 46.1911247, 18.7223622 46.1911097)",,,,
74725626,,Perczel Mór utca,residential,False,True,325.95599999999996,"LINESTRING (18.7226087 46.1911247, 18.7225972 46.1912319, 18.7222944 46.194048)",,,,
74725660,,Bezerédj utca,residential,False,True,152.205,"LINESTRING (18.7226087 46.1911247, 18.7244905 46.1912554, 18.7245763 46.1912602)",,,,
74725660,,Bezerédj utca,residential,False,False,152.205,"LINESTRING (18.7245763 46.1912602, 18.7244905 46.1912554, 18.7226087 46.1911247)",,,,
297789132,56,Budai utca,primary,False,False,74.639,"LINESTRING (18.7245763 46.1912602, 18.7246027 46.191125, 18.7247062 46.190595)",2,50,,
359624902,56,Budai utca,primary,False,True,312.069,"LINESTRING (18.7245763 46.1912602, 18.7245024 46.1917086, 18.7244657 46.1919313, 18.7244092 46.1922745, 18.7243842 46.1924268, 18.7243591 46.1925803, 18.7243316 46.1929339, 18.7242556 46.1937935, 18.7242217 46.194055)",2,50,,
646374021,,Bezerédj utca,residential,False,True,95.481,"LINESTRING (18.7169648 46.1908442, 18.7182046 46.1908709)",,,,
116600036,,Babits Mihály utca,residential,False,True,338.79699999999997,"LINESTRING (18.7169648 46.1908442, 18.7169552 46.1908997, 18.7169426 46.1911233, 18.7168302 46.1931258, 18.7167934 46.1938259, 18.7167901 46.1938885)",,,,
116600042,,Kölcsey Ferenc utca,residential,False,False,195.782,"LINESTRING (18.7169648 46.1908442, 18.7169832 46.190755, 18.7174732 46.1891192)",,,,
74725787,,Lajvér utca,residential,False,False,135.049,"LINESTRING (18.7235861 46.1974659, 18.7234601 46.1974548, 18.7234314 46.1974517, 18.7232711 46.1974347, 18.7218512 46.1972844)",,,,
359624904,56,Budai utca,primary,False,False,13.870000000000001,"LINESTRING (18.7235861 46.1974659, 18.7236103 46.1973616, 18.7236143 46.1973427)",3,50,,
359624929,,Lajvér utca,residential,False,False,134.309,"LINESTRING (18.7218512 46.1972844, 18.720118 46.197144)",,,,
74725626,,Perczel Mór utca,residential,False,False,361.491,"LINESTRING (18.7218512 46.1972844, 18.7219348 46.1967482, 18.7222944 46.194048)",,,,
74725787,,Lajvér utca,residential,False,True,135.049,"LINESTRING (18.7218512 46.1972844, 18.7232711 46.1974347, 18.7234314 46.1974517, 18.7234601 46.1974548, 18.7235861 46.1974659)",,,,
116600041,,Hunyadi János utca,residential,False,True,340.997,"LINESTRING (18.720118 46.197144, 18.7205263 46.1940904)",,,,
359624929,,Lajvér utca,residential,False,True,134.309,"LINESTRING (18.720118 46.197144, 18.7218512 46.1972844)",,,,
"[359624929, 147668747, 147668745]",,Lajvér utca,residential,False,False,132.97,"LINESTRING (18.720118 46.197144, 18.7187395 46.1970395, 18.7186524 46.1970329, 18.7184005 46.1970147)",,,yes,
74725836,,Kövesdi utca,residential,False,False,148.352,"LINESTRING (18.7242217 46.194055, 18.7241296 46.1940565, 18.7222944 46.194048)",,,,
359624902,56,Budai utca,primary,False,False,312.06899999999996,"LINESTRING (18.7242217 46.194055, 18.7242556 46.1937935, 18.7243316 46.1929339, 18.7243591 46.1925803, 18.7243842 46.1924268, 18.7244092 46.1922745, 18.7244657 46.1919313, 18.7245024 46.1917086, 18.7245763 46.1912602)",2,50,,
"[359624906, 359624902]",56,Budai utca,primary,False,True,320.73,"LINESTRING (18.7242217 46.194055, 18.7241857 46.1942657, 18.7241365 46.1945545, 18.7238785 46.1958985, 18.7237296 46.1967514, 18.7237008 46.1969167)",2,50,,
116600041,,Hunyadi János utca,residential,False,False,340.997,"LINESTRING (18.7205263 46.1940904, 18.720118 46.197144)",,,,
359624928,,Kövesdi utca,residential,False,True,136.174,"LINESTRING (18.7205263 46.1940904, 18.7222944 46.194048)",,,,
