osmid,highway,junction,oneway,reversed,length,geometry,lanes,name,bridge
900500134,tertiary,roundabout,True,False,7.705,"LINESTRING (21.2722509 46.6437979, 21.2722228 46.6438266, 21.2721831 46.6438481)",,,
8484701,tertiary,roundabout,True,False,15.102,"LINESTRING (21.2719916 46.64367, 21.2720322 46.6436506, 21.2720538 46.643646, 21.2720795 46.6436405, 21.2721289 46.6436407, 21.272176 46.643651)",,,
623445355,tertiary,,True,False,38.487,"LINESTRING (21.2719422 46.643764, 21.2718102 46.6436907, 21.2715407 46.6435548)",1,Kossuth Lajos tér,
889352209,tertiary,roundabout,True,False,11.477,"LINESTRING (21.2719422 46.643764, 21.271944 46.6437296, 21.2719611 46.6436972, 21.2719916 46.64367)",,,
343567658,tertiary,,True,False,36.744,"LINESTRING (21.2715407 46.6435548, 21.2718501 46.6436387, 21.2719916 46.64367)",1,Kossuth Lajos tér,
"[4930691, 607100150]",tertiary,,False,True,118.34100000000001,"LINESTRING (21.2715407 46.6435548, 21.2710491 46.6433775, 21.2709571 46.6433443, 21.2703331 46.6431267, 21.2702477 46.6430973, 21.2701623 46.6430679)",4,Kossuth Lajos tér,
614196938,tertiary,,False,True,31.962,"LINESTRING (21.2732344 46.6434994, 21.2728296 46.6435728)",,Eszperantó tér,
100789321,residential,,False,False,28.186,"LINESTRING (21.2732344 46.6434994, 21.2734692 46.6434596, 21.2735915 46.6434352)",,Karácsonyi János utca,
890939945,tertiary,,False,True,26.73,"LINESTRING (21.2732344 46.6434994, 21.2733392 46.6434337, 21.273365 46.6433755, 21.273392 46.6432955)",,Szent István út,
155801747,residential,,False,False,103.357,"LINESTRING (21.2788834 46.6409513, 21.278974 46.6408817, 21.2798351 46.6402904)",,Bocskai utca,
891372123,residential,,False,False,58.851,"LINESTRING (21.2788834 46.6409513, 21.2789346 46.6410248, 21.2792165 46.6414286)",,Szent László utca,
203505298,residential,,False,True,8.458,"LINESTRING (21.280765 46.6447469, 21.280728 46.6446752)",,Szent László utca,
889352633,residential,roundabout,True,False,20.853,"LINESTRING (21.280765 46.6447469, 21.280818 46.6447558, 21.2808634 46.6447767, 21.2808957 46.6448069, 21.280911 46.6448429, 21.2809074 46.6448804)",,,
4930694,residential,,False,False,28.297,"LINESTRING (21.2809074 46.6448804, 21.2810658 46.6449148, 21.2812679 46.6449365)",,Kossuth Lajos utca,
"[901977993, 889352634]",residential,roundabout,True,False,33.357,"LINESTRING (21.2809074 46.6448804, 21.2808854 46.6449147, 21.2808476 46.6449418, 21.2807986 46.6449583, 21.2807442 46.6449624, 21.2806912 46.6449535, 21.2806458 46.6449326, 21.2806135 46.6449024, 21.2805982 46.6448664)",,,
230473181,residential,,False,True,15.466,"LINESTRING (21.2805982 46.6448664, 21.280415 46.6449258)",,Kossuth Lajos utca,
4930696,residential,roundabout,True,False,20.866,"LINESTRING (21.2805982 46.6448664, 21.2806018 46.6448289, 21.2806238 46.6447946, 21.2806616 46.6447675, 21.2807106 46.6447509, 21.280765 46.6447469)",,,
406595909,residential,,True,False,65.83,"LINESTRING (21.2721918 46.6464447, 21.2730535 46.6464213)",,Jókai Mór utca,
52869738,residential,,False,True,36.241,"LINESTRING (21.2721918 46.6464447, 21.2721329 46.6464313, 21.2718978 46.646378, 21.2717343 46.6463622)",,Jókai Mór utca,
230718471,tertiary,,False,True,152.679,"LINESTRING (21.2721918 46.6464447, 21.2720829 46.6454837, 21.2720788 46.6454432, 21.2720418 46.6450755)",,Béke sugárút,
406595910,tertiary,,False,False,78.72200000000001,"LINESTRING (21.2721918 46.6464447, 21.2721962 46.646506, 21.2722426 46.6471518)",2,Béke sugárút,
155817482,residential,,False,True,46.236,"LINESTRING (21.2700356 46.640831, 21.2705661 46.6410316)",,Október 6. tér,
230352128,residential,,False,False,75.148,"LINESTRING (21.2700356 46.640831, 21.269545 46.6414169)",,Honvéd utca,
75761297,residential,,False,False,108.841,"LINESTRING (21.2792165 46.6414286, 21.2805794 46.6411413)",,Mátyás király utca,
891372123,residential,,False,False,45.478,"LINESTRING (21.2792165 46.6414286, 21.2794536 46.6418038)",,Szent László utca,
891372123,residential,,False,True,58.851,"LINESTRING (21.2792165 46.6414286, 21.2789346 46.6410248, 21.2788834 46.6409513)",,Szent László utca,
230352128,residential,,False,True,72.914,"LINESTRING (21.268695 46.6425285, 21.268803 46.6423783, 21.2688487 46.642319, 21.2691354 46.6419467)",,Honvéd utca,
"[762641593, 900461551]",tertiary,,False,False,127.06599999999999,"LINESTRING (21.268695 46.6425285, 21.2688765 46.6425953, 21.2689403 46.6426182, 21.2694545 46.6428026, 21.2701623 46.6430679)",4,"['Kossuth Lajos tér', 'Vértanúk útja']",
