osmid,oneway,lanes,highway,junction,reversed,length,geometry,name
27614542,True,2,tertiary,roundabout,False,7.355,"LINESTRING (19.5628756 41.3458439, 19.5629335 41.3458247, 19.5629583 41.3458242)",
27614542,True,2,tertiary,roundabout,False,30.519000000000002,"LINESTRING (19.5627191 41.3460919, 19.562788 41.3459769, 19.5628756 41.3458439)",
718325652,False,2,residential,,False,21.253999999999998,"LINESTRING (19.5736611 41.3460492, 19.573583 41.3460275, 19.5734203 41.3459872)",
718325652,False,2,residential,,False,12.914,"LINESTRING (19.5734203 41.3459872, 19.5732681 41.3459664)",
718325652,False,2,residential,,True,21.253999999999998,"LINESTRING (19.5734203 41.3459872, 19.573583 41.3460275, 19.5736611 41.3460492)",
1244851344,False,,residential,,False,141.00300000000001,"LINESTRING (19.5734203 41.3459872, 19.5735088 41.3463759, 19.5735329 41.3466598, 19.573541 41.3469196, 19.5736375 41.3469961, 19.5736831 41.3470585, 19.5736791 41.3471904, 19.5736952 41.3472075)",
718325647,False,2,tertiary,,True,6.574,"LINESTRING (19.5660478 41.3459755, 19.566126 41.3459685)",
157161005,False,,tertiary,,True,137.834,"LINESTRING (19.5660478 41.3459755, 19.5654818 41.3461042, 19.5652305 41.3461874, 19.5650084 41.3462776, 19.5647513 41.3463735, 19.5645291 41.3464519)",Rruga Rifat Shahi
27614542,True,2,tertiary,roundabout,False,51.111000000000004,"LINESTRING (19.5631617 41.3458741, 19.5631642 41.3458908, 19.5631608 41.3459067, 19.5629188 41.3462651, 19.5629077 41.3462765, 19.5628938 41.3462793)",
718325648,True,2,tertiary,,False,88.636,"LINESTRING (19.5631617 41.3458741, 19.5632928 41.3458438, 19.5638527 41.3458189, 19.564216 41.3458055)",
718334217,False,2,tertiary,,False,20.677,"LINESTRING (19.5621393 41.3435436, 19.5623507 41.3434467)",Rruga e Stadiumit
51214827,False,,residential,,False,126.054,"LINESTRING (19.5621393 41.3435436, 19.5621771 41.344477, 19.5621782 41.3446768)",
