osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,bridge
230091503,2,SH34,secondary,40,False,False,108.815,"LINESTRING (19.8776131 41.7672454, 19.8769479 41.7680889)",,
230091462,,,residential,,False,False,116.29299999999999,"LINESTRING (19.8776131 41.7672454, 19.8773524 41.7671718, 19.8771343 41.7671331, 19.8769232 41.7671277, 19.876655 41.7671438, 19.8764726 41.7671078, 19.8763975 41.7670517, 19.8762935 41.7670013)",,
230091503,2,SH34,secondary,40,False,True,79.536,"LINESTRING (19.8776131 41.7672454, 19.8777598 41.7671447, 19.8780703 41.7669932, 19.878256 41.7669026, 19.8783972 41.7668365)",,
230091526,,,unclassified,,False,False,450.07500000000005,"LINESTRING (19.8730643 41.769527, 19.8730162 41.7694562, 19.872964 41.7693793, 19.8727172 41.7691593, 19.8725297 41.7689842, 19.8724436 41.7688832, 19.87239 41.7687832, 19.87239 41.7686712, 19.8723793 41.7684991, 19.8723581 41.7684281, 19.8722937 41.7683721, 19.8722079 41.7683121, 19.8721215 41.7682521, 19.8720359 41.768179, 19.8719662 41.768099, 19.8719286 41.768007, 19.8719447 41.767923, 19.8719769 41.767847, 19.872052 41.7677829, 19.8721432 41.7677229, 19.8722669 41.7676559, 19.8724114 41.7675789, 19.8725083 41.7675039, 19.8725616 41.7674068, 19.8725616 41.7673108, 19.8725566 41.7672118, 19.8725029 41.7671318, 19.8724329 41.7670627, 19.8723152 41.7669797, 19.872181 41.7668717, 19.8721299 41.7668222, 19.8720788 41.7667607, 19.8719772 41.7666236, 19.8718658 41.7664676, 19.8717834 41.7663375, 19.8717248 41.7662295, 19.871702 41.7661465)",Rruga Oazi I Gjelbert,
"[1115371705, 1115371706, 466917667]",2,SH34,secondary,40,False,True,82.953,"LINESTRING (19.8730643 41.769527, 19.8731076 41.7695203, 19.8731605 41.7695183, 19.8732994 41.7695356, 19.8735257 41.7695697, 19.8740412 41.7696658)",Rruga Shen Vincenso de Pauolo,yes
230091526,,,unclassified,,False,True,14.591,"LINESTRING (19.8716824 41.7660161, 19.871702 41.7661465)",Rruga Oazi I Gjelbert,
"[230091456, 230091547, 230091526]",,,unclassified,,False,False,56.029999999999994,"LINESTRING (19.8716824 41.7660161, 19.8716873 41.7659951, 19.8716963 41.7659808, 19.8717077 41.7659683, 19.8717224 41.7659554, 19.871816 41.7658924, 19.8720469 41.7657874, 19.8722094 41.7657194)",Rruga Oazi I Gjelbert,yes
230091470,,,residential,,False,False,98.471,"LINESTRING (19.875769 41.7695595, 19.8757713 41.7697955, 19.8757749 41.7700615, 19.8753867 41.7700555, 19.8752613 41.7700645)",Ate Gjergj Fishta,
230091470,,,residential,,False,True,121.137,"LINESTRING (19.875769 41.7695595, 19.8757001 41.7689963, 19.8756822 41.7684726)",Ate Gjergj Fishta,
1115371705,2,SH34,secondary,40,False,False,38.435,"LINESTRING (19.875769 41.7695595, 19.8756855 41.7696288, 19.8756013 41.7696856, 19.8754998 41.7697323, 19.8754013 41.769761)",Rruga Shen Vincenso de Pauolo,
