osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access,junction
229354293,Trg Josipa Broza Tita,residential,False,True,73.45,"LINESTRING (13.6587444 45.4083224, 13.6586362 45.4083997, 13.658565 45.4084496, 13.6584044 45.4085611, 13.6582504 45.4086965, 13.6581565 45.4088309)",,,,,
678869382,Istarska ulica,residential,False,True,188.71800000000005,"LINESTRING (13.6587444 45.4083224, 13.658843 45.4082628, 13.6590803 45.408122, 13.6592737 45.4080073, 13.6594047 45.4079373, 13.6594431 45.4079168, 13.6597226 45.4077985, 13.6599045 45.4077291, 13.6602925 45.407581, 13.6603928 45.4075427, 13.6607759 45.4074195)",,,,,
724426292,Umaška ulica,primary,False,True,38.601,"LINESTRING (13.6587444 45.4083224, 13.6586628 45.4082732, 13.6584674 45.4082085, 13.6582972 45.4081979)",2,D300,,,
"[844756505, 173682380]",Ulica Flavia,primary,False,False,451.551,"LINESTRING (13.6587444 45.4083224, 13.6588558 45.408402, 13.6592802 45.4087937, 13.6595612 45.4091568, 13.6596761 45.4092682, 13.6599019 45.4094262, 13.6609541 45.4101503, 13.6613547 45.4104575, 13.6615302 45.4106549, 13.6617711 45.4108427, 13.6619932 45.4109608, 13.6622417 45.4110316, 13.6627401 45.4111261)",2,D300,50,,
229354374,Trg slobode,residential,False,False,39.484,"LINESTRING (13.6557992 45.4100964, 13.6559006 45.4099629, 13.6561187 45.4098284)",,,,,
"[123340092, 229354374]","['Ulica Giuseppea Garibaldija', 'Trg slobode']",residential,False,True,77.53399999999999,"LINESTRING (13.6557992 45.4100964, 13.6555116 45.4101563, 13.6554237 45.4101201, 13.6552836 45.4101165, 13.6548329 45.4101024)",,,,,
678869380,Školski brijeg,residential,False,False,46.282,"LINESTRING (13.6607759 45.4074195, 13.661059 45.4077852)",,,,,
678869378,Istarska ulica,residential,False,True,76.741,"LINESTRING (13.6607759 45.4074195, 13.6608592 45.4073848, 13.6610007 45.4073259, 13.6613555 45.4071782, 13.6614127 45.4071544, 13.6616018 45.4070476)",,,,,
678869382,Istarska ulica,residential,False,False,188.71800000000002,"LINESTRING (13.6607759 45.4074195, 13.6603928 45.4075427, 13.6602925 45.407581, 13.6599045 45.4077291, 13.6597226 45.4077985, 13.6594431 45.4079168, 13.6594047 45.4079373, 13.6592737 45.4080073, 13.6590803 45.408122, 13.658843 45.4082628, 13.6587444 45.4083224)",,,,,
123340082,Istarska ulica,residential,False,True,24.489,"LINESTRING (13.6627638 45.4044622, 13.6629613 45.4042911)",,,,,
