osmid,name,highway,oneway,reversed,length,geometry,width,access,lanes,ref,maxspeed
499595990,Ulica Mate Vidulića,residential,False,True,292.982,"LINESTRING (14.470589 44.52944, 14.4706851 44.5293398, 14.4708545 44.5293118, 14.470986 44.5293081, 14.471142 44.5293725, 14.4713649 44.5293776, 14.4717414 44.5293007, 14.4724421 44.5290687, 14.4729328 44.5288629, 14.4733681 44.5286711, 14.4735769 44.5285324, 14.4737716 44.5283828)",,,,,
986141742,,residential,False,False,19.387,"LINESTRING (14.4677073 44.5304033, 14.4679261 44.5304812)",2.4,,,,
146974689,Omladinska ulica,residential,False,False,79.48,"LINESTRING (14.4677073 44.5304033, 14.4677701 44.529739, 14.4677739 44.5296901)",,yes,,,
499595990,Ulica Mate Vidulića,residential,False,False,292.982,"LINESTRING (14.4737716 44.5283828, 14.4735769 44.5285324, 14.4733681 44.5286711, 14.4729328 44.5288629, 14.4724421 44.5290687, 14.4717414 44.5293007, 14.4713649 44.5293776, 14.471142 44.5293725, 14.470986 44.5293081, 14.4708545 44.5293118, 14.4706851 44.5293398, 14.470589 44.52944)",,,,,
524471521,Ulica Stjepana Radića,residential,False,False,79.269,"LINESTRING (14.4737716 44.5283828, 14.4737432 44.5283056, 14.4736657 44.5279971, 14.4735681 44.5276851)",,,,,
146974689,Omladinska ulica,residential,False,False,10.91,"LINESTRING (14.466639 44.5283965, 14.466571 44.5283112)",,yes,,,
146974689,Omladinska ulica,residential,False,True,203.919,"LINESTRING (14.466639 44.5283965, 14.4668058 44.5285708, 14.4669432 44.5287415, 14.4669886 44.5288382, 14.4670958 44.529434, 14.4677658 44.5294445, 14.4677739 44.5296901)",,yes,,,
166804463,Jamina,residential,False,False,232.381,"LINESTRING (14.466639 44.5283965, 14.4664556 44.5285122, 14.4664035 44.528566, 14.4663834 44.5286343, 14.4663582 44.52893, 14.4663666 44.5290461, 14.4663851 44.5291538, 14.4664405 44.5293095, 14.4665765 44.5297428, 14.4666453 44.5300133, 14.4666487 44.5301498, 14.4665946 44.5302972, 14.4665425 44.5303799)",,,,,
40719399,Vresikovo,residential,False,False,36.111,"LINESTRING (14.4643159 44.530656, 14.4647685 44.5306191)",,,,,
34488545,,secondary,False,False,97.273,"LINESTRING (14.4643159 44.530656, 14.4643473 44.5303392, 14.4643773 44.5301329, 14.4644817 44.5297911)",,,2,5159,30
34488545,,secondary,False,True,70.244,"LINESTRING (14.4643159 44.530656, 14.4642858 44.5307132, 14.4642388 44.5308396, 14.4640708 44.5310912, 14.4639438 44.5312246)",,,2,5159,30
40719399,Vresikovo,residential,False,True,36.111,"LINESTRING (14.4647685 44.5306191, 14.4643159 44.530656)",,,,,
166978892,Vresikovo,residential,True,False,33.548,"LINESTRING (14.4647685 44.5306191, 14.4651805 44.5305501)",,,,,
708559840,,secondary,False,False,6.274,"LINESTRING (14.4647786 44.5294132, 14.4648254 44.5293677)",,,3,5159,40
26813214,,secondary,True,False,32.666000000000004,"LINESTRING (14.4647786 44.5294132, 14.4647086 44.529429, 14.4646388 44.5294237, 14.4645561 44.5294005, 14.4644151 44.5293212)",,,1,5160,40
34488545,,secondary,False,True,48.214,"LINESTRING (14.4647786 44.5294132, 14.4646195 44.5295954, 14.4644817 44.5297911)",,,2,5159,30
708559844,,secondary,False,False,4.7,"LINESTRING (14.4662502 44.5280835, 14.4662911 44.5280529)",,,3,5159,40
708559844,,secondary,False,True,22.617,"LINESTRING (14.4662502 44.5280835, 14.4660744 44.5282437)",,,3,5159,40
"[26797139, 868603399]",,residential,False,False,296.137,"LINESTRING (14.4692168 44.5296472, 14.4694014 44.5295978, 14.4694789 44.5295561, 14.4695685 44.5294925, 14.4698161 44.5293093, 14.4702262 44.5289029, 14.4703643 44.5279421, 14.4703671 44.5278371, 14.4703626 44.5277244, 14.4703265 44.5274332, 14.4702993 44.5273023)",2.4,,,,
166804466,,residential,False,True,53.422,"LINESTRING (14.4677739 44.5296901, 14.4684257 44.5298122)",2.4,,1,,
146974689,Omladinska ulica,residential,False,False,203.91899999999998,"LINESTRING (14.4677739 44.5296901, 14.4677658 44.5294445, 14.4670958 44.529434, 14.4669886 44.5288382, 14.4669432 44.5287415, 14.4668058 44.5285708, 14.466639 44.5283965)",,yes,,,
146974689,Omladinska ulica,residential,False,True,79.48,"LINESTRING (14.4677739 44.5296901, 14.4677701 44.529739, 14.4677073 44.5304033)",,yes,,,
166804466,,residential,False,False,53.422,"LINESTRING (14.4684257 44.5298122, 14.4677739 44.5296901)",2.4,,1,,
708559840,,secondary,False,True,6.274,"LINESTRING (14.4648254 44.5293677, 14.4647786 44.5294132)",,,3,5159,40
"[708559840, 708559841, 708559844]",,secondary,False,False,159.556,"LINESTRING (14.4648254 44.5293677, 14.4649594 44.529245, 14.4652645 44.5289702, 14.4654284 44.5288367, 14.4656732 44.5286373, 14.4659271 44.5283908, 14.4660744 44.5282437)",,,"['2', '3']",5159,40
167081981,Vresikovo,residential,False,True,74.71000000000001,"LINESTRING (14.4656502 44.5311046, 14.4654803 44.5309922, 14.4653717 44.5308861, 14.465238 44.5307507, 14.4651803 44.5306626, 14.4651805 44.5305501)",,,,,
