osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction
40268243,2,6286,Magistrala,secondary,70,False,True,16.238,"LINESTRING (15.7827283 43.7613754, 15.7825346 43.7614173)",,
40268243,2,6286,Magistrala,secondary,70,False,False,114.60400000000001,"LINESTRING (15.7827283 43.7613754, 15.7830822 43.7613186, 15.783386 43.7612939, 15.7836776 43.7612846, 15.7839884 43.7612834, 15.7841445 43.7612848)",,
227983930,,,,residential,,False,True,71.202,"LINESTRING (15.7827283 43.7613754, 15.7826907 43.7612797, 15.7826243 43.7611109, 15.7824511 43.7607676)",,
40268243,2,6286,Magistrala,secondary,70,False,False,387.302,"LINESTRING (15.7766944 43.7635966, 15.7772176 43.7633536, 15.7782551 43.7629549, 15.7791166 43.7626223, 15.7809262 43.7619287)",,
391893031,2,,Zatonska,residential,40,False,True,71.644,"LINESTRING (15.7766944 43.7635966, 15.7767959 43.7638888, 15.7769703 43.7642079)",6,
1062501713,,,Ulica Ante Poljička,residential,30,False,False,69.569,"LINESTRING (15.7766944 43.7635966, 15.7767063 43.763319, 15.7767323 43.7629716)",5,
28056602,,,Ulica Ante Poljička,residential,30,False,False,91.887,"LINESTRING (15.7767323 43.7629716, 15.7766938 43.7627691, 15.7766696 43.7623521, 15.7766255 43.76215)",5,
175892775,,,Bribirskih Knezova,residential,,False,True,90.657,"LINESTRING (15.7767323 43.7629716, 15.7768738 43.7629408, 15.7774354 43.7626516, 15.7776508 43.7625099)",,
1062501713,,,Ulica Ante Poljička,residential,30,False,True,69.569,"LINESTRING (15.7767323 43.7629716, 15.7767063 43.763319, 15.7766944 43.7635966)",5,
1062502564,,,Bribirskih Knezova,residential,,False,False,34.794,"LINESTRING (15.7767323 43.7629716, 15.7765926 43.7629817, 15.7764928 43.7629814, 15.7764338 43.7629866, 15.7763035 43.763008)",,
1062502563,,,Ulica Pavla Šubića,residential,40,False,False,63.777,"LINESTRING (15.7763035 43.763008, 15.7758403 43.7625421)",6,
40268044,,,Bribirskih Knezova,residential,,False,False,188.31699999999998,"LINESTRING (15.7763035 43.763008, 15.7761643 43.7630634, 15.7757372 43.7633972, 15.7756633 43.763455, 15.775244 43.7637641, 15.7750242 43.7639321, 15.7750046 43.7639485, 15.774678 43.7642206)",,
1062502564,,,Bribirskih Knezova,residential,,False,True,34.794,"LINESTRING (15.7763035 43.763008, 15.7764338 43.7629866, 15.7764928 43.7629814, 15.7765926 43.7629817, 15.7767323 43.7629716)",,
28158185,,,Artina ulica,residential,50,False,False,36.787,"LINESTRING (15.7819521 43.7587812, 15.7818834 43.7587411, 15.7816014 43.7585684)",6,
40224738,2,,Ulica braće Ćirila i Metoda,residential,50,False,False,130.47,"LINESTRING (15.7819521 43.7587812, 15.7823331 43.7590368, 15.7830639 43.759635)",6,
697803299,2,,Ulica Ljudevita Gaja,residential,50,False,True,258.27099999999996,"LINESTRING (15.7819521 43.7587812, 15.7820061 43.7587386, 15.7820739 43.7587018, 15.782176 43.7586681, 15.7823495 43.7586277, 15.7830901 43.758467, 15.7834447 43.7583549, 15.7837723 43.758199, 15.7843861 43.757797, 15.7844283 43.7577693, 15.7845433 43.7576735, 15.7846367 43.7575956)",6,
