osmid,lanes,ref,highway,oneway,reversed,length,name,geometry,junction
"[82711352, 335387209]","['2', '4']",D27;D56,primary,False,False,91.651,Domobranska ulica,"LINESTRING (15.6067092 44.0312672, 15.6075513 44.0308133, 15.6076268 44.0307731)",
94406262,2,63125,tertiary,False,False,284.98900000000003,Don Mate Klarića,"LINESTRING (15.6067092 44.0312672, 15.6068903 44.0314804, 15.6070227 44.0316364, 15.6074049 44.0321213, 15.6076778 44.0324675, 15.6083857 44.0335267)",
94406262,2,63125,tertiary,False,True,284.98900000000003,Don Mate Klarića,"LINESTRING (15.6083857 44.0335267, 15.6076778 44.0324675, 15.6074049 44.0321213, 15.6070227 44.0316364, 15.6068903 44.0314804, 15.6067092 44.0312672)",
181407651,,63125,tertiary,False,False,136.66,Ulica knezova Šubića Bribirskih,"LINESTRING (15.6083857 44.0335267, 15.6088045 44.0342928, 15.6088967 44.0344317, 15.6089445 44.0344941, 15.6090206 44.0345704, 15.6091207 44.034619)",
744331298,,6003,secondary,False,False,61.12,Ulica kralja Tomislava,"LINESTRING (15.6083857 44.0335267, 15.6085186 44.0334854, 15.6090683 44.0332796)",
744331298,,6003,secondary,False,True,125.738,Ulica kralja Tomislava,"LINESTRING (15.6083857 44.0335267, 15.6083013 44.0335365, 15.6081471 44.0335403, 15.6079821 44.0335345, 15.6068237 44.0334277)",
1013125019,2,63125,tertiary,False,False,7.205,Ulica kralja Dmitra Zvonimira,"LINESTRING (15.6151348 44.0339461, 15.6152168 44.0339192)",
94415026,,63125,tertiary,False,True,79.918,Šetalište kneza Branimira,"LINESTRING (15.6151348 44.0339461, 15.6148511 44.0340144, 15.6147271 44.0340321, 15.6146028 44.0340313, 15.6144511 44.03401, 15.614165 44.0339576)",
123951918,,6049,secondary,False,True,122.909,Ulica Antuna Mihanovića,"LINESTRING (15.6151348 44.0339461, 15.6151937 44.0340408, 15.615242 44.0341126, 15.6158065 44.0347294, 15.6158726 44.0348048, 15.6159065 44.034896)",
94406275,,63125,tertiary,False,True,175.34500000000003,Ulica Stjepana Radića,"LINESTRING (15.614165 44.0339576, 15.6141132 44.0340469, 15.6140604 44.0340848, 15.6132532 44.0344658, 15.6126432 44.0347826, 15.612523 44.0348291, 15.6124005 44.0348595)",
94415026,,63125,tertiary,False,False,79.918,Šetalište kneza Branimira,"LINESTRING (15.614165 44.0339576, 15.6144511 44.03401, 15.6146028 44.0340313, 15.6147271 44.0340321, 15.6148511 44.0340144, 15.6151348 44.0339461)",
92766166,,,residential,False,False,264.708,Rivine Ulice,"LINESTRING (15.6159065 44.034896, 15.615972 44.0348976, 15.6160608 44.0349276, 15.6174291 44.0360542, 15.6177698 44.0363579, 15.6180238 44.0366879)",
