osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,junction,access
"[230164316, 849778750, 230164311]",2,D8,Jadranska magistrala,primary,"['40', '50']",False,True,149.44699999999997,yes,"LINESTRING (14.7865924 45.1281578, 14.7857671 45.1279375, 14.7850757 45.1277735, 14.7849661 45.127747, 14.7847919 45.1277238)",,
986170867,1,D8,Jadranska magistrala,primary,40,True,False,20.847,,"LINESTRING (14.7865924 45.1281578, 14.7867152 45.1281617, 14.7868001 45.1281563, 14.786855 45.1281441)",,
215826653,1,D8,Ulica kralja Tomislava,primary,40,True,False,12.667000000000002,,"LINESTRING (14.7870674 45.128115, 14.7871066 45.128141, 14.7871309 45.1281749, 14.7871373 45.1282126)",roundabout,
986170869,1,D8,Ulica kralja Tomislava,primary,,True,False,17.722,,"LINESTRING (14.7870674 45.128115, 14.7871114 45.1281183, 14.7871451 45.1281161, 14.7871762 45.128112, 14.7872245 45.1280983, 14.7872806 45.1280764)",,
"[1271202801, 38221276]",,,Jurkovo,residential,,False,False,66.752,,"LINESTRING (14.7915264 45.1266189, 14.7911394 45.126352, 14.791045 45.1262436, 14.7909825 45.1261637)",,
"[167095547, 175590503]",2,,"['Korzo hrvatskih branitelja', 'Lokvica']",residential,,False,False,174.79500000000002,,"LINESTRING (14.7915264 45.1266189, 14.7912824 45.1268355, 14.7909554 45.1271065, 14.7912863 45.1273082, 14.7919579 45.1277247)",,yes
175590503,2,,Korzo hrvatskih branitelja,residential,,False,True,108.00399999999999,,"LINESTRING (14.7915264 45.1266189, 14.7919001 45.1263172, 14.7925097 45.1259422)",,yes
"[167095546, 167095562, 167095566, 435754591]",,,"['Matije Mažuranića', 'Ulica Svete Trojice', 'Ulica Brače Radič']",residential,20,False,"[False, True]",481.78400000000005,,"LINESTRING (14.7888263 45.1262437, 14.7887774 45.1263733, 14.7888637 45.1264614, 14.7889992 45.126634, 14.7890481 45.1268292, 14.7890869 45.12698, 14.7891137 45.1270837, 14.788818 45.1275799, 14.7887881 45.1276274, 14.7885562 45.1278978, 14.7885119 45.1279286, 14.7882427 45.1280893, 14.7879941 45.1282265, 14.7878661 45.1282239, 14.7877002 45.1283459, 14.787502 45.1285469, 14.7874175 45.128651, 14.7872578 45.1288367, 14.7871828 45.1289305, 14.7871917 45.1290191, 14.7872941 45.1291925, 14.787353 45.1292653, 14.7874127 45.1293218, 14.7875899 45.129388, 14.7878592 45.1295453, 14.7879994 45.1296478, 14.7880812 45.1297356)",,
36781387,,,Krasica,residential,,False,True,159.17600000000002,,"LINESTRING (14.7892624 45.1268383, 14.7895676 45.1266577, 14.7897878 45.1265605, 14.7899441 45.1264513, 14.7901249 45.1263121, 14.7903896 45.1262736, 14.7909825 45.1261637)",,
"[1271202801, 232132531]",,,Jurkovo,residential,,False,True,83.017,,"LINESTRING (14.7908727 45.1256122, 14.7909263 45.1256656, 14.7910549 45.1258181, 14.7910962 45.1259078, 14.7908313 45.125987, 14.7909825 45.1261637)",,
253478123,2,D8,Ulica kralja Tomislava,primary,40,False,False,186.935,,"LINESTRING (14.7908727 45.1256122, 14.7911214 45.1255298, 14.7912827 45.1254921, 14.7914122 45.1254618, 14.7915733 45.1254486, 14.7917368 45.1254387, 14.7921825 45.1254332, 14.7923369 45.1254338, 14.792449 45.1254223, 14.792842 45.125349, 14.7929251 45.1253335, 14.7929907 45.1253205, 14.7931845 45.1252822)",,
"[163387984, 253478123, 253482667]",2,D8,Ulica kralja Tomislava,primary,40,False,True,432.94100000000003,,"LINESTRING (14.7908727 45.1256122, 14.7907041 45.1256668, 14.7903521 45.1257699, 14.7899342 45.1258523, 14.7893247 45.1259495, 14.7890702 45.1259972, 14.7889091 45.1260533, 14.788713 45.1261537, 14.7886622 45.1261959, 14.78859 45.1263154, 14.7885527 45.126485, 14.788501 45.1268756, 14.7884657 45.1270453, 14.788398 45.1271655, 14.7883406 45.127254, 14.7882738 45.1273262, 14.7881201 45.1274758, 14.7878834 45.1276366, 14.7874141 45.128001, 14.7872806 45.1280764)",,
"[230164316, 849778750, 230164311]",2,D8,Jadranska magistrala,primary,"['40', '50']",False,False,149.447,yes,"LINESTRING (14.7847919 45.1277238, 14.7849661 45.127747, 14.7850757 45.1277735, 14.7857671 45.1279375, 14.7865924 45.1281578)",,
167095547,,,Lokvica,residential,,False,True,35.666,,"LINESTRING (14.7926319 45.12815, 14.792293 45.1279362)",,
167095547,,,Lokvica,residential,,False,False,70.493,,"LINESTRING (14.7926319 45.12815, 14.7927615 45.1282569, 14.7927874 45.1283534, 14.7927654 45.1283938, 14.7926969 45.1285113, 14.7925483 45.1287101)",,
167095556,,,Ulica kralja Zvonimira,residential,,False,False,95.225,,"LINESTRING (14.7926319 45.12815, 14.7930818 45.1278573, 14.7935037 45.1275545)",,
231326866,,,Antuna Mažuranića,residential,,False,False,51.292,,"LINESTRING (14.7909094 45.1296025, 14.7911764 45.1297114, 14.7914473 45.1298626)",,
231326866,,,Antuna Mažuranića,residential,,False,True,85.476,,"LINESTRING (14.7909094 45.1296025, 14.790487 45.129431, 14.7902281 45.1292505, 14.7900764 45.1291209)",,
231670053,,,Palih boraca,residential,,False,True,50.317,,"LINESTRING (14.7909094 45.1296025, 14.7910058 45.1295318, 14.7912852 45.1295603, 14.7914492 45.1294568)",,
175591225,,,Vinodolska,residential,,False,False,13.387,,"LINESTRING (14.7879556 45.1298171, 14.7880812 45.1297356)",,
167095552,,,,residential,,True,False,61.5,,"LINESTRING (14.7879556 45.1298171, 14.7880204 45.1299008, 14.7881065 45.1300374, 14.7882752 45.1301283, 14.7884932 45.1301664)",,
