osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,geometry,junction
"[228187667, 933562964, 228187668]",False,2,D50,"['Ulica Ruđera Boškovića', 'Ulica kralja Zvonimira']",primary,50,False,313.501,yes,"LINESTRING (15.229958 44.869844, 15.2299911 44.8697811, 15.2301013 44.8697167, 15.2303135 44.8696395, 15.2306485 44.8695209, 15.2309622 44.8694109, 15.2316539 44.8691761, 15.2317769 44.8691374, 15.2319919 44.8690696, 15.2321817 44.8690427, 15.2323004 44.8690259, 15.2328574 44.8690325, 15.2329625 44.8690401, 15.2336236 44.8690793)",
93118938,False,,,Ulica Bartola Kašića,residential,,True,143.247,,"LINESTRING (15.2376238 44.8696152, 15.237619 44.8697951, 15.2376639 44.8705769, 15.2376826 44.8709025)",
228187667,False,2,D50,Ulica kralja Zvonimira,primary,50,False,269.454,,"LINESTRING (15.2376238 44.8696152, 15.2378772 44.8696204, 15.2379042 44.869621, 15.2382146 44.8696179, 15.2400363 44.8695685, 15.2405339 44.8695445, 15.2410374 44.8695056)",
228187667,False,2,D50,Ulica kralja Zvonimira,primary,50,True,81.093,,"LINESTRING (15.2376238 44.8696152, 15.2374332 44.8695951, 15.2373655 44.869588, 15.2366137 44.8694772)",
228187667,False,2,D50,Ulica kralja Zvonimira,primary,50,True,269.45399999999995,,"LINESTRING (15.2410374 44.8695056, 15.2405339 44.8695445, 15.2400363 44.8695685, 15.2382146 44.8696179, 15.2379042 44.869621, 15.2378772 44.8696204, 15.2376238 44.8696152)",
244131429,False,,5128,Ulica Stjepana Radića,secondary,,True,91.613,,"LINESTRING (15.2410374 44.8695056, 15.2411268 44.8697425, 15.2411335 44.8697528, 15.2414693 44.8702678)",
92958075,False,,5143,Ulica bana Josipa Jelačića,secondary,,False,54.386,,"LINESTRING (15.2343548 44.8677397, 15.234639 44.867294)",
228246736,False,,,Trg dr. Franje Tuđmana,residential,,True,81.678,,"LINESTRING (15.2343548 44.8677397, 15.2353231 44.8680016)",
92958075,False,,5143,Ulica bana Josipa Jelačića,secondary,,True,88.47200000000001,,"LINESTRING (15.2343548 44.8677397, 15.2341192 44.868055, 15.2338312 44.8684435)",
228187997,False,,,Trg 133. brigade HV-a,unclassified,,False,39.9,,"LINESTRING (15.2343548 44.8677397, 15.2341408 44.8676903, 15.2338667 44.8676457)",
92958075,False,,5143,Ulica bana Josipa Jelačića,secondary,,True,232.48700000000002,,"LINESTRING (15.2365476 44.8657517, 15.2360188 44.8660052, 15.2358201 44.8661114, 15.235616 44.8662489, 15.2353812 44.8664257, 15.2351757 44.8666071, 15.2350493 44.8667271, 15.2349677 44.8668336, 15.234639 44.867294)",
92958075,False,,5143,Ulica bana Josipa Jelačića,secondary,,False,72.771,,"LINESTRING (15.2336236 44.8690793, 15.2336531 44.8689334, 15.2337004 44.868738, 15.2337517 44.868613, 15.2338312 44.8684435)",
228187667,False,2,D50,Ulica kralja Zvonimira,primary,50,False,32.096000000000004,,"LINESTRING (15.2336236 44.8690793, 15.2337872 44.8690958, 15.2340267 44.8691205)",
"[228187667, 228187668, 933562964]",False,2,D50,"['Ulica Ruđera Boškovića', 'Ulica kralja Zvonimira']",primary,50,True,313.50100000000003,yes,"LINESTRING (15.2336236 44.8690793, 15.2329625 44.8690401, 15.2328574 44.8690325, 15.2323004 44.8690259, 15.2321817 44.8690427, 15.2319919 44.8690696, 15.2317769 44.8691374, 15.2316539 44.8691761, 15.2309622 44.8694109, 15.2306485 44.8695209, 15.2303135 44.8696395, 15.2301013 44.8697167, 15.2299911 44.8697811, 15.229958 44.869844)",
