osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,junction,bridge
207359148,2,D36,Trg grofova Erdödyja,primary,False,True,381.95200000000006,"LINESTRING (16.6243552 45.5687568, 16.6245061 45.568798, 16.6249207 45.5689049, 16.6251223 45.5689555, 16.625677 45.5690583, 16.6260462 45.5691039, 16.6262316 45.5691237, 16.6265135 45.5691539, 16.6268105 45.5691723, 16.6273817 45.5691872, 16.6279471 45.5691852, 16.6284314 45.569176, 16.6290404 45.5691564, 16.6291778 45.5691468)",,
839844303,2,D36,Sisačka ulica,primary,False,False,121.55199999999999,"LINESTRING (16.6243552 45.5687568, 16.6238125 45.5685725, 16.6234079 45.5684362, 16.6229504 45.5682795)",,
882871896,2,,Sisačka ulica,residential,False,True,61.165000000000006,"LINESTRING (16.6243552 45.5687568, 16.6243526 45.5688072, 16.6243737 45.5688597, 16.6244164 45.5689021, 16.6244766 45.5689512, 16.6248238 45.5691722)",,
238264345,1,3124,,secondary,True,False,15.486,"LINESTRING (16.6333516 45.5668467, 16.6333951 45.5668817, 16.6334237 45.5669236, 16.6334354 45.5669693)",roundabout,
368668686,2,3124,Kutinska ulica,secondary,False,True,17.799,"LINESTRING (16.6297066 45.5690864, 16.6299291 45.5690495)",,
368668686,2,3124,Kutinska ulica,secondary,False,False,41.747,"LINESTRING (16.6297066 45.5690864, 16.6295273 45.5691143, 16.629348 45.5691333, 16.6291778 45.5691468)",,
882871895,1,,,secondary_link,True,False,52.601,"LINESTRING (16.6297066 45.5690864, 16.6294679 45.5691786, 16.6292595 45.5692498, 16.6291004 45.5692941)",,
40824209,,,Ulica Josipa Badalića,residential,False,False,103.355,"LINESTRING (16.6228051 45.5732552, 16.6227597 45.5732135, 16.6220001 45.572516)",,
720201454,,3124,Zagrebačka ulica,secondary,False,True,208.314,"LINESTRING (16.6228051 45.5732552, 16.6232771 45.5731205, 16.6236756 45.5729933, 16.6241024 45.5728078, 16.6245796 45.5725847, 16.625118 45.5723268)",,
40824208,,,Vinogradska ulica,residential,False,False,189.43900000000002,"LINESTRING (16.6324648 45.5751614, 16.6318334 45.5751951, 16.6311244 45.5752469, 16.6308759 45.5752665, 16.6307034 45.5752731, 16.6305765 45.5752628, 16.6304537 45.5752423, 16.6303208 45.575208, 16.6301877 45.5751628, 16.6300802 45.5751233)",,
