osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,width,tunnel
142932072,True,Držićeva,residential,False,40.979,"LINESTRING (16.4432347 43.5089794, 16.443292 43.5089649, 16.4433726 43.5089551, 16.4434852 43.5089586, 16.4435999 43.508968, 16.4436694 43.5089822, 16.4437307 43.5089987)",,,,
142932114,False,Zagrebačka ulica,residential,True,156.172,"LINESTRING (16.4432347 43.5089794, 16.4432291 43.5089122, 16.4432217 43.5088727, 16.4432077 43.508838, 16.4431825 43.5087992, 16.4430015 43.508566, 16.4428553 43.5083956, 16.4428456 43.5083839, 16.4425622 43.5079874, 16.4424771 43.5078543, 16.4424419 43.5077847, 16.4424174 43.5077182)",2,,,
970633707,True,Tolstojeva ulica,residential,False,68.83000000000001,"LINESTRING (16.4432347 43.5089794, 16.443231 43.5090361, 16.4432306 43.5090917, 16.4432661 43.5094243, 16.4432916 43.5094453, 16.4433078 43.5094885, 16.4433348 43.5095183, 16.4433666 43.5095387, 16.443409 43.5095528)",,,,
143818722,True,Ulica Domovinskog rata,tertiary,False,30.637,"LINESTRING (16.4435882 43.5147105, 16.4436012 43.5147673, 16.44366 43.5148817, 16.4437155 43.5149687)",2,50,,
"[830265825, 151493964]",True,Mažuranićevo šetalište,tertiary,False,9.507,"LINESTRING (16.4435882 43.5147105, 16.443541 43.5147298, 16.4434863 43.5147535)",2,,,
52517117,False,Ulica Ivana Gundulića,tertiary,False,54.644999999999996,"LINESTRING (16.4434863 43.5147535, 16.4433416 43.5147764, 16.4428271 43.5148673)",3,50,,
246308228,True,Ulica Domovinskog rata,tertiary,False,65.09700000000001,"LINESTRING (16.4434863 43.5147535, 16.4434139 43.5144894, 16.4433928 43.5144201, 16.4432896 43.5141866)",2,40,,
83903076,False,Zrinsko-Frankopanska,tertiary,True,27.357999999999997,"LINESTRING (16.4358989 43.5134787, 16.4358779 43.5136043, 16.4358485 43.5137219)",2,50,,
142955107,True,Ulica Antuna Gustava Matoša,tertiary,False,82.32799999999999,"LINESTRING (16.4358989 43.5134787, 16.4356651 43.51326, 16.435603 43.5132126, 16.4355048 43.5131612, 16.4353798 43.5131172, 16.4351079 43.5130459)",1,40,3,
142955168,True,Zrinsko-Frankopanska,tertiary,False,39.836999999999996,"LINESTRING (16.4358989 43.5134787, 16.4359065 43.51341, 16.4359255 43.5132392, 16.4359386 43.5131216)",2,,,
"[120724328, 142932116]",True,"['Zrinsko-Frankopanska', 'Zoranićeva']",residential,False,181.837,"LINESTRING (16.4359386 43.5131216, 16.4359832 43.5129963, 16.4361484 43.5125417, 16.437569 43.5124349)",,,,
142955088,True,Ulica Jeronima Kavanjina,residential,False,149.25799999999998,"LINESTRING (16.4359386 43.5131216, 16.4362682 43.5131045, 16.4368602 43.5130734, 16.437258 43.5130546, 16.4377848 43.5130261)",2,,,
142932072,True,Držićeva,residential,False,101.11999999999999,"LINESTRING (16.4437307 43.5089987, 16.4444296 43.5093044, 16.4447032 43.5095522)",,,,
142932105,False,Rokova,residential,False,48.18300000000001,"LINESTRING (16.4437307 43.5089987, 16.4437509 43.5089558, 16.443901 43.5085834)",,,,
142932072,True,Držićeva,residential,False,63.068,"LINESTRING (16.4447032 43.5095522, 16.4447536 43.5096376, 16.4448436 43.5097771, 16.4449556 43.5100869)",,,,
