osmid,oneway,ref,name,highway,reversed,length,geometry,bridge,lanes,maxspeed,junction
95969060,True,D33,Ulica dr. Franje Tuđmana,primary,False,54.80799999999999,"LINESTRING (16.196696 44.040681, 16.196688 44.0408002, 16.1966634 44.0409099, 16.1966312 44.0410079, 16.1966222 44.0410354, 16.1966151 44.041058, 16.196606 44.0410868, 16.1965812 44.0411656)",,,,
261520616,False,D33,Ulica dr. Franje Tuđmana,primary,False,99.57300000000001,"LINESTRING (16.196696 44.040681, 16.1967291 44.0404585, 16.1968004 44.0400708, 16.1968393 44.0398645, 16.1968529 44.0397927)",,,,
95969062,True,D1,Ulica 7. gardijske brigade,primary,False,11.615,"LINESTRING (16.1961842 44.0412255, 16.1963152 44.0411803)",,,,
95969047,False,D1,Ulica 7. gardijske brigade,primary,True,120.84500000000001,"LINESTRING (16.1961842 44.0412255, 16.1957008 44.0413016, 16.1955341 44.0413211, 16.1952467 44.0413624, 16.1949531 44.0414011, 16.1946998 44.0414302)",,,,
"[80510490, 91937068, 91937071]",False,D1;D33,"['Ulica kralja Tomislava', 'Trg oluje', 'Gašparevića most']",primary,True,127.743,"LINESTRING (16.1976247 44.042611, 16.1974991 44.0425204, 16.1974678 44.0424979, 16.1971469 44.0422212, 16.1970461 44.0421335, 16.1967882 44.0418646, 16.1966744 44.0416948)",yes,,,
147316151,False,D1,Ulica 4. gardijske brigade,primary,False,140.60500000000002,"LINESTRING (16.1976247 44.042611, 16.1977578 44.0425009, 16.198091 44.0422251, 16.1981284 44.042198, 16.1983659 44.0420259, 16.1985396 44.0419128, 16.1985818 44.0418853, 16.1988624 44.041716)",,,,
506831981,False,D33,Ulica kralja Tomislava,primary,True,77.47699999999999,"LINESTRING (16.1976247 44.042611, 16.1977554 44.0427009, 16.1978338 44.0427549, 16.1981419 44.0429287, 16.1983664 44.0430586)",,,,
30065300,False,,Ulica Gojka Šuška,residential,False,109.93,"LINESTRING (16.1957958 44.0404908, 16.1951525 44.039617)",,,,
30065300,False,,Ulica Gojka Šuška,residential,True,87.20799999999998,"LINESTRING (16.1957958 44.0404908, 16.195935 44.0406888, 16.1960245 44.0408068, 16.1962651 44.0411208, 16.1963152 44.0411803)",,,,
92481069,True,,Zoranićeva ulica,residential,False,121.314,"LINESTRING (16.1957958 44.0404908, 16.1953092 44.0406856, 16.1944699 44.0410217)",,,,
92481073,False,,Meštrovićeva ulica,residential,False,49.0,"LINESTRING (16.1944699 44.0410217, 16.1946998 44.0414302)",,,,
92481073,False,,Meštrovićeva ulica,residential,True,59.688,"LINESTRING (16.1944699 44.0410217, 16.1943144 44.0407865, 16.1941467 44.0405378)",,,,
92481073,False,,Meštrovićeva ulica,residential,True,49.0,"LINESTRING (16.1946998 44.0414302, 16.1944699 44.0410217)",,,,
95969047,False,D1,Ulica 7. gardijske brigade,primary,False,120.845,"LINESTRING (16.1946998 44.0414302, 16.1949531 44.0414011, 16.1952467 44.0413624, 16.1955341 44.0413211, 16.1957008 44.0413016, 16.1961842 44.0412255)",,,,
95969047,False,D1,Ulica 7. gardijske brigade,primary,True,45.964,"LINESTRING (16.1946998 44.0414302, 16.1945611 44.0414402, 16.1942912 44.0414417, 16.194126 44.0414321)",,,,
92526135,False,,Ulica Josipa Jovića,residential,False,71.17099999999999,"LINESTRING (16.2000364 44.0453452, 16.2001171 44.0453211, 16.2005178 44.0451836, 16.2008418 44.0450724)",,,,
506831981,False,D33,Ulica kralja Tomislava,primary,False,145.792,"LINESTRING (16.2000364 44.0453452, 16.199966 44.0452173, 16.1997775 44.0448621, 16.1994047 44.0441153)",,,,
"[30065300, 92481383]",False,,Ulica Gojka Šuška,residential,False,183.50600000000003,"LINESTRING (16.1934598 44.0381083, 16.1934606 44.0379739, 16.1934456 44.0376638, 16.1934436 44.0375535, 16.19345 44.0374051, 16.1934673 44.0373395, 16.1935151 44.0372021, 16.1936293 44.0369938, 16.1936344 44.036968, 16.1936487 44.0368963, 16.1936331 44.0366352, 16.1936156 44.036481)",,,,
