osmid,oneway,lanes,ref,highway,junction,reversed,length,geometry,name,maxspeed
837303952,True,1,GC04,secondary,roundabout,False,6.273,"LINESTRING (16.4306966 46.3860117, 16.430686 46.3859856, 16.4306849 46.3859563)",,
34115619,False,2,,residential,,False,94.54,"LINESTRING (16.4329669 46.3865954, 16.4329364 46.3866511, 16.4329187 46.3866854, 16.4326714 46.3871077, 16.4325951 46.3873107, 16.4325748 46.3873987)",Perivoj Zrinskih,
452981866,False,2,,residential,,False,189.89499999999998,"LINESTRING (16.4329669 46.3865954, 16.4343211 46.3869769, 16.4352661 46.3872286)",Ulica Vladimira Nazora,
452981866,False,2,,residential,,True,144.24,"LINESTRING (16.4329669 46.3865954, 16.4328804 46.3865698, 16.4325444 46.3864717, 16.4314024 46.386141, 16.4312325 46.3860941)",Ulica Vladimira Nazora,
"[60918977, 60918978]",False,2,,residential,,True,184.971,"LINESTRING (16.4387234 46.3880789, 16.4387234 46.3881431, 16.4387234 46.3881917, 16.4387274 46.38825, 16.4387415 46.3883489, 16.4387435 46.3883629, 16.4387395 46.3884378, 16.4387207 46.3885321, 16.438677 46.3886691, 16.4385925 46.3886746, 16.4382974 46.3886978, 16.4382127 46.388718, 16.4381579 46.3887856, 16.4380767 46.3889078, 16.4380327 46.3890565, 16.4378758 46.3893766, 16.4378423 46.3894113)","['Ulica Josipa Jurja Strossmayera', 'Uska ulica']",
452982502,False,2,GC01,secondary,,False,37.596000000000004,"LINESTRING (16.4387234 46.3880789, 16.4391341 46.3880883, 16.4392133 46.3880902)",Ulica Otokara Keršovanija,
452982502,False,2,GC01,secondary,,True,65.373,"LINESTRING (16.4387234 46.3880789, 16.4386326 46.3880743, 16.4380225 46.3879999, 16.4378834 46.3879812)",Ulica Otokara Keršovanija,
33428666,True,1,GC02,secondary,roundabout,False,26.217,"LINESTRING (16.4337813 46.3910476, 16.4338093 46.3911033, 16.4338152 46.3911621, 16.4337985 46.3912199, 16.4337605 46.3912727)",,50
"[1082088301, 33428678]",True,1,GC02,secondary,,False,56.542,"LINESTRING (16.4337813 46.3910476, 16.4338334 46.3910553, 16.433894 46.3910541, 16.4339612 46.391043, 16.4340272 46.3910291, 16.43406 46.3910222, 16.4341771 46.3910034, 16.4342957 46.3909882, 16.4344114 46.3909825, 16.4345054 46.3909803)",,"['50', '30']"
33428666,True,1,GC02,secondary,roundabout,False,16.07,"LINESTRING (16.4335585 46.3913663, 16.433489 46.391371, 16.4334196 46.3913653, 16.4333537 46.3913494)",,50
385849721,True,1,GC05,tertiary,,False,30.549,"LINESTRING (16.4335585 46.3913663, 16.4334956 46.3914164, 16.4334595 46.3914646, 16.4334273 46.3915079, 16.4333541 46.3916006)",,
452985014,False,2,GC02,secondary,,False,29.564,"LINESTRING (16.4343257 46.3917143, 16.4340408 46.3915352)",Ulica ZAVNOH-a,
"[749606265, 33428669]",True,1,,secondary_link,,False,111.516,"LINESTRING (16.4343257 46.3917143, 16.4342238 46.3916898, 16.4341401 46.391661, 16.4339949 46.391593, 16.4338509 46.3915374, 16.4337564 46.3915181, 16.4336121 46.3915378, 16.4335206 46.3915787, 16.4334493 46.3916417, 16.4334038 46.3917087, 16.4333304 46.3918493, 16.4332515 46.3919094)",,
"[385818816, 452984500, 452984501]",False,2,GC02,secondary,,True,123.25200000000001,"LINESTRING (16.4343257 46.3917143, 16.4345862 46.3918637, 16.4347447 46.3919545, 16.4351345 46.392178, 16.4354461 46.3923568, 16.4355615 46.3924229)",Ulica ZAVNOH-a,
299747052,True,1,GC02,secondary,roundabout,False,14.481,"LINESTRING (16.4359768 46.3925943, 16.4360188 46.3926092, 16.4360525 46.3926319, 16.4360748 46.3926606, 16.4360838 46.3926926)",,
"[666130004, 455273141]",True,2,GC02,secondary,,False,124.35599999999998,"LINESTRING (16.4345054 46.3909803, 16.4347366 46.390986, 16.4348037 46.3909874, 16.4352073 46.3909955, 16.435708 46.3910057, 16.4357204 46.3910059, 16.4361261 46.3910141)",Ulica Tome Masaryka,30
"[1082088570, 35018054]",True,1,,secondary_link,,False,34.584,"LINESTRING (16.4361261 46.3910141, 16.4362396 46.3910568, 16.4362787 46.3910846, 16.4363538 46.3911597, 16.4363701 46.3912085, 16.4363712 46.3912503)",,"['30', '50']"
"[1082311707, 35766094]",True,1,GC02,secondary,,False,40.085,"LINESTRING (16.4361261 46.3910141, 16.4363195 46.39102, 16.4366476 46.3910374)",Ulica Tome Masaryka,"['30', '50']"
35018055,True,1,GC02,secondary,,False,102.914,"LINESTRING (16.4363712 46.3912503, 16.4362531 46.3917244, 16.4361315 46.3920918, 16.4361101 46.3921578)",Ulica Ivana Gorana Kovačića,
35340499,False,2,,residential,,False,8.805,"LINESTRING (16.440167 46.391053, 16.4402818 46.3910531)",Ulica Tome Masaryka,
452984102,False,2,GC02,secondary,,True,20.278,"LINESTRING (16.440167 46.391053, 16.4399026 46.3910537)",Ulica Tome Masaryka,
666268076,True,2,,residential,,False,23.065,"LINESTRING (16.440167 46.391053, 16.4401884 46.3908461)",Ulica Ivana Mažuranića,
33448598,True,1,,secondary_link,,False,26.180999999999997,"LINESTRING (16.4352661 46.3872286, 16.4353213 46.3872128, 16.4353625 46.3871899, 16.4353919 46.3871586, 16.4354073 46.3871229, 16.4354175 46.3870837, 16.4354144 46.3870404)",,
452981866,False,2,,residential,,False,10.576,"LINESTRING (16.4352661 46.3872286, 16.4353477 46.387252, 16.4353939 46.3872643)",Ulica Vladimira Nazora,
452981866,False,2,,residential,,True,189.89499999999998,"LINESTRING (16.4352661 46.3872286, 16.4343211 46.3869769, 16.4329669 46.3865954)",Ulica Vladimira Nazora,
452982497,False,2,GC01,secondary,,False,10.287,"LINESTRING (16.4354144 46.3870404, 16.4354917 46.387116)",Ulica dr. Ivana Novaka,
"[452985650, 1014390627]",False,"['2', '3']",GC01,secondary,,True,152.15699999999998,"LINESTRING (16.4354144 46.3870404, 16.4352406 46.3868751, 16.4350669 46.3867099, 16.4348095 46.386486, 16.434415 46.3861263, 16.4342669 46.3859912, 16.4342197 46.3859482)",Ulica dr. Ivana Novaka,
39979781,False,2,,residential,,False,63.742,"LINESTRING (16.4342197 46.3859482, 16.4342426 46.3859397, 16.4342766 46.3859268, 16.4343001 46.3859187, 16.4343385 46.3859068, 16.4344932 46.385859, 16.4347047 46.3858207, 16.4349402 46.3857792, 16.4350045 46.3857672)",Mlinska ulica,50
"[452985650, 1014390627]",False,"['2', '3']",GC01,secondary,,False,152.15699999999998,"LINESTRING (16.4342197 46.3859482, 16.4342669 46.3859912, 16.434415 46.3861263, 16.4348095 46.386486, 16.4350669 46.3867099, 16.4352406 46.3868751, 16.4354144 46.3870404)",Ulica dr. Ivana Novaka,
39979781,False,2,,residential,,True,98.475,"LINESTRING (16.4362463 46.3855424, 16.4355465 46.3856706, 16.4350045 46.3857672)",Mlinska ulica,50
704288187,False,2,,residential,,True,247.324,"LINESTRING (16.4362463 46.3855424, 16.43626 46.3856144, 16.4362692 46.3856625, 16.436292 46.3857822, 16.4364202 46.3863387, 16.4365704 46.3867236, 16.4366348 46.386805, 16.4368872 46.3871731, 16.4373071 46.3875332, 16.43736 46.3875786)",Ulica Ljudevita Gaja,
452982502,False,2,GC01,secondary,,True,77.477,"LINESTRING (16.4372586 46.3878088, 16.436326 46.3875411)",Ulica Otokara Keršovanija,
