osmid,lanes,ref,highway,oneway,reversed,length,bridge,name,geometry,maxspeed,junction,tunnel
"[41759307, 41759308, 182921268, 30006551]",2,D62,primary,False,False,251.516,yes,"['Lučki most', 'Kneza Branimira']","LINESTRING (17.6517546 43.053465, 17.6518262 43.053664, 17.6519185 43.0538451, 17.6519831 43.0539798, 17.6520047 43.0540221, 17.6526441 43.0552729, 17.6526595 43.055303, 17.6527186 43.0554245, 17.6527971 43.0555938)",,,
"[699231418, 620322637]",2,D9,primary,False,False,156.09900000000002,,Stjepana Radića,"LINESTRING (17.6517546 43.053465, 17.6513197 43.0534986, 17.6508582 43.0535515, 17.6505356 43.0535943, 17.650198 43.0536529, 17.6500122 43.0536921, 17.6498707 43.0537249)",50,,
41759326,,,residential,False,False,149.46399999999997,,Mlinski prilaz,"LINESTRING (17.6538969 43.0551019, 17.6539297 43.0551844, 17.6539575 43.0552945, 17.6539707 43.0554391, 17.6539542 43.0555443, 17.6539031 43.0556438, 17.6538256 43.0557353, 17.6536411 43.0558594, 17.6535902 43.0558848, 17.6534049 43.0559774, 17.653201 43.0560497, 17.6530388 43.0560851)",,,
181772535,,,residential,False,False,88.64,,Mlinska ulica,"LINESTRING (17.6538969 43.0551019, 17.6536701 43.0551651, 17.6535642 43.0551921, 17.6533782 43.0552394, 17.6530956 43.0553114, 17.6530181 43.0553311, 17.6528691 43.055369)",,,
181772535,,,residential,False,True,62.217,,Mlinska ulica,"LINESTRING (17.6538969 43.0551019, 17.6545524 43.0549406, 17.6546226 43.0549233)",,,
41759307,2,D62,primary,False,True,58.053,,Kneza Branimira,"LINESTRING (17.6530388 43.0560851, 17.6529472 43.0558988, 17.652852 43.0557054, 17.6527971 43.0555938)",,,
41759326,,,residential,False,True,149.464,,Mlinski prilaz,"LINESTRING (17.6530388 43.0560851, 17.653201 43.0560497, 17.6534049 43.0559774, 17.6535902 43.0558848, 17.6536411 43.0558594, 17.6538256 43.0557353, 17.6539031 43.0556438, 17.6539542 43.0555443, 17.6539707 43.0554391, 17.6539575 43.0552945, 17.6539297 43.0551844, 17.6538969 43.0551019)",,,
41759298,,,residential,False,False,106.10000000000001,,Ulica hrvatskih iseljenika,"LINESTRING (17.6465295 43.0544589, 17.6465357 43.0545522, 17.6465571 43.054645, 17.6465768 43.0546785, 17.6466255 43.0547015, 17.6466742 43.0547136, 17.6469016 43.0547461, 17.6473926 43.0547666, 17.647559 43.0547666)",,,
144974381,2,6220,secondary,False,False,56.968,,Ulica don Radovana Jerkovića,"LINESTRING (17.6465295 43.0544589, 17.6465344 43.054342, 17.6465721 43.0539975, 17.6465777 43.0539479)",,,
699231602,3,D9,primary,False,True,143.39499999999998,,Ulica Ivana Gundulića,"LINESTRING (17.6465295 43.0544589, 17.6469345 43.0543852, 17.6481402 43.0541185, 17.6482239 43.0540993)",50,,
