osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,access
150094735,1,11,primary,50,roundabout,True,False,10.822,"LINESTRING (18.740409 47.7855015, 18.740476 47.78552, 18.7405337 47.7855494)",,
25697667,1,11,primary,50,roundabout,True,False,17.719,"LINESTRING (18.7400999 47.7857985, 18.7400847 47.7857729, 18.7400614 47.7857319, 18.7400527 47.7856884, 18.7400591 47.7856446)",Rudnay Sándor tér,
878891635,1,11,primary,50,roundabout,True,False,4.912,"LINESTRING (18.7401329 47.7855524, 18.740184 47.7855246)",,
150094732,1,11,primary,50,roundabout,True,False,15.326,"LINESTRING (18.7406006 47.7857517, 18.7405691 47.7857925, 18.7405239 47.785827, 18.7404678 47.7858532)",,
"[205945746, 117556005]",2,11326,secondary,50,,False,False,56.646,"LINESTRING (18.7352666 47.7873751, 18.7357459 47.7871576, 18.7358971 47.7870922)",Árok utca,
"[593915283, 1138422422]",,,residential,20,,False,True,42.497,"LINESTRING (18.7352666 47.7873751, 18.7352978 47.7874063, 18.7354424 47.787551, 18.7355839 47.7876923)",Kis Duna sétány,permissive
39900264,2,1111,secondary,40,,False,False,137.762,"LINESTRING (18.7463554 47.7849982, 18.7460092 47.7850394, 18.7446155 47.7852212, 18.7445441 47.7852299)",Terézia utca,
308653602,,,residential,,,False,False,18.884999999999998,"LINESTRING (18.7463554 47.7849982, 18.7463629 47.7849345, 18.7463827 47.7848294)",,
757685731,,,residential,,,False,True,19.731,"LINESTRING (18.7445441 47.7852299, 18.7444578 47.7850622)",Meszéna János utca,
39900264,2,1111,secondary,40,,False,True,137.762,"LINESTRING (18.7445441 47.7852299, 18.7446155 47.7852212, 18.7460092 47.7850394, 18.7463554 47.7849982)",Terézia utca,
498583229,,1111,secondary,,,False,False,148.151,"LINESTRING (18.7445441 47.7852299, 18.7437335 47.785343, 18.7433252 47.7854061, 18.7429076 47.7854733, 18.7426118 47.7855277)",Terézia utca,
658486706,,,residential,,,False,True,95.554,"LINESTRING (18.7445441 47.7852299, 18.7445658 47.785294, 18.7448312 47.7860673)",Honvéd utca,
42396811,2,,residential,50,,False,True,63.513999999999996,"LINESTRING (18.7396411 47.7818418, 18.7398305 47.7818136, 18.7404855 47.7817887)",Baross Gábor út,
"[702148066, 481119290, 1205750030]",3,111,primary,50,,False,True,248.71800000000002,"LINESTRING (18.7396411 47.7818418, 18.7396531 47.7818946, 18.7396627 47.7819378, 18.7398169 47.782815, 18.7399058 47.7832959, 18.7400474 47.7840618)",Kiss János vezérezredes út,
"[732438321, 34589607]",2,,residential,,,False,True,131.469,"LINESTRING (18.7396411 47.7818418, 18.7394186 47.7818854, 18.7379275 47.782109)",Csatai Szabó János utca,
498583228,,1111,secondary,,,False,False,12.205,"LINESTRING (18.7426118 47.7855277, 18.7424526 47.7855523)",Terézia utca,
33754384,1,,residential,,,True,False,179.51399999999998,"LINESTRING (18.7426118 47.7855277, 18.7431033 47.7868275, 18.7431909 47.7870944)",Simor János utca,
498583229,,1111,secondary,,,False,True,148.151,"LINESTRING (18.7426118 47.7855277, 18.7429076 47.7854733, 18.7433252 47.7854061, 18.7437335 47.785343, 18.7445441 47.7852299)",Terézia utca,
242606234,,,tertiary,40,,False,True,207.207,"LINESTRING (18.746785 47.7861078, 18.7463964 47.7868596, 18.7463464 47.7869709, 18.7460655 47.7875616, 18.7459556 47.7878845)",Petőfi Sándor utca,
