osmid,highway,oneway,reversed,length,name,geometry,lanes,ref,maxspeed,junction
595222044,residential,False,True,109.032,,"LINESTRING (18.2327873 45.8518473, 18.2314833 45.8514778)",,,,
60472519,residential,False,False,219.591,Szent István utca,"LINESTRING (18.2327873 45.8518473, 18.2335849 45.8504166, 18.2338014 45.8500032)",,,,
60472517,residential,False,True,67.971,Kölcsey Ferenc tér,"LINESTRING (18.2320664 45.8477146, 18.2323658 45.84714)",,,,
60472520,residential,False,True,44.663,Kőrösi Csoma Sándor utca,"LINESTRING (18.2305756 45.8489259, 18.2304117 45.849311)",,,,
60472520,residential,False,False,116.141,Kőrösi Csoma Sándor utca,"LINESTRING (18.2305756 45.8489259, 18.2307258 45.8485502, 18.2309778 45.8479197)",,,,
60472521,residential,False,True,12.21,Arany János utca,"LINESTRING (18.2325114 45.8496191, 18.2323853 45.8495532)",,,,
60472523,residential,False,True,221.487,Táncsics Mihály utca,"LINESTRING (18.2325114 45.8496191, 18.2314833 45.8514778)",,,,
60472521,residential,False,False,83.43599999999999,Arany János utca,"LINESTRING (18.2325114 45.8496191, 18.2326141 45.8496609, 18.2334999 45.8499156)",,,,
60472520,residential,False,False,124.843,Kőrösi Csoma Sándor utca,"LINESTRING (18.2299627 45.8503893, 18.2304117 45.849311)",,,,
60472520,residential,False,False,116.494,Kőrösi Csoma Sándor utca,"LINESTRING (18.2309778 45.8479197, 18.2311685 45.8474687, 18.2313821 45.8469107)",,,,
60472520,residential,False,True,116.141,Kőrösi Csoma Sándor utca,"LINESTRING (18.2309778 45.8479197, 18.2307258 45.8485502, 18.2305756 45.8489259)",,,,
113754080,residential,False,False,122.926,Kölcsey Ferenc tér,"LINESTRING (18.2309778 45.8479197, 18.232395 45.8483124, 18.2324537 45.848326)",,,,
60472504,residential,False,True,227.063,Dankó Pista utca,"LINESTRING (18.2347379 45.8480971, 18.2346771 45.8481087, 18.2346125 45.8481363, 18.2345553 45.8481769, 18.2345154 45.8482209, 18.2344811 45.8482779, 18.2342687 45.8486324, 18.2334999 45.8499156)",,,,
358624327,residential,False,False,25.302,Arany János utca,"LINESTRING (18.2334999 45.8499156, 18.2338014 45.8500032)",,,,
60472504,residential,False,False,227.063,Dankó Pista utca,"LINESTRING (18.2334999 45.8499156, 18.2342687 45.8486324, 18.2344811 45.8482779, 18.2345154 45.8482209, 18.2345553 45.8481769, 18.2346125 45.8481363, 18.2346771 45.8481087, 18.2347379 45.8480971)",,,,
60472521,residential,False,True,83.43599999999999,Arany János utca,"LINESTRING (18.2334999 45.8499156, 18.2326141 45.8496609, 18.2325114 45.8496191)",,,,
358624327,residential,False,True,130.19400000000002,Arany János utca,"LINESTRING (18.2353557 45.8504491, 18.2352115 45.8504092, 18.2338014 45.8500032)",,,,
"[369530097, 358624335]",secondary,False,False,308.923,Kossuth Lajos utca,"LINESTRING (18.2353557 45.8504491, 18.2354078 45.850358, 18.2356459 45.8499372, 18.2364044 45.8486307, 18.2364721 45.8485287, 18.2368507 45.8478736)",4,5717,50,
60472523,residential,False,False,221.487,Táncsics Mihály utca,"LINESTRING (18.2314833 45.8514778, 18.2325114 45.8496191)",,,,
595222044,residential,False,False,109.032,,"LINESTRING (18.2314833 45.8514778, 18.2327873 45.8518473)",,,,
113754080,residential,False,False,182.29,Kölcsey Ferenc tér,"LINESTRING (18.2324537 45.848326, 18.2330176 45.8484648, 18.2330455 45.8484747, 18.2330662 45.8484907, 18.2330779 45.8485141, 18.2330791 45.8485385, 18.2330722 45.8485643, 18.2329582 45.8487445, 18.2329008 45.8488178, 18.2326955 45.8490198, 18.2326332 45.8491016, 18.2325658 45.849221, 18.2323853 45.8495532)",,,,
113754080,residential,False,True,122.926,Kölcsey Ferenc tér,"LINESTRING (18.2324537 45.848326, 18.232395 45.8483124, 18.2309778 45.8479197)",,,,
113754106,residential,True,False,158.604,Kölcsey Ferenc tér,"LINESTRING (18.2324537 45.848326, 18.232628 45.8478673, 18.2327225 45.847612, 18.2328249 45.8473581, 18.2328328 45.8473277, 18.2328244 45.8472925, 18.232803 45.8472714, 18.2327568 45.847252, 18.2323658 45.84714)",,,,
60472521,residential,False,False,12.21,Arany János utca,"LINESTRING (18.2323853 45.8495532, 18.2325114 45.8496191)",,,,
60472521,residential,False,True,155.521,Arany János utca,"LINESTRING (18.2323853 45.8495532, 18.2323303 45.8495335, 18.2322709 45.8495185, 18.2304117 45.849311)",,,,
113754080,residential,False,True,182.29000000000002,Kölcsey Ferenc tér,"LINESTRING (18.2323853 45.8495532, 18.2325658 45.849221, 18.2326332 45.8491016, 18.2326955 45.8490198, 18.2329008 45.8488178, 18.2329582 45.8487445, 18.2330722 45.8485643, 18.2330791 45.8485385, 18.2330779 45.8485141, 18.2330662 45.8484907, 18.2330455 45.8484747, 18.2330176 45.8484648, 18.2324537 45.848326)",,,,
