osmid,oneway,name,highway,reversed,length,ref,maxspeed,junction,geometry,access,bridge
173183283,True,Gyár utca,residential,False,20.717,,,,"LINESTRING (17.5558467 47.1038356, 17.5560211 47.103692)",,
44518492,True,Petőfi Sándor utca,secondary,False,10.825,7339,50,roundabout,"LINESTRING (17.5558467 47.1038356, 17.555914 47.1038522, 17.5559688 47.1038834)",,
44518492,True,Petőfi Sándor utca,secondary,False,16.252,7339,50,roundabout,"LINESTRING (17.5560136 47.1039997, 17.5559884 47.1040453, 17.5559417 47.1040822, 17.5558793 47.1041061)",,
306101875,False,Petőfi Sándor utca,secondary,True,96.953,7339,50,,"LINESTRING (17.5560136 47.1039997, 17.5564092 47.1041174, 17.5571873 47.104349)",,
"[54203976, 306101885, 306101888, 306101887]",False,Petőfi Sándor utca,secondary,False,182.563,7339,50,,"LINESTRING (17.5638137 47.1069499, 17.5637104 47.106905, 17.5633224 47.1067366, 17.5629771 47.1065697, 17.5629451 47.1065558, 17.5622485 47.1062542, 17.5618097 47.1060372)",,
330378054,False,Béke utca,residential,True,51.459,,50,,"LINESTRING (17.5638137 47.1069499, 17.564026 47.1070342, 17.5644189 47.1071599)",,
895048067,False,Fő út,secondary,True,135.721,7308,50,,"LINESTRING (17.5638137 47.1069499, 17.5637457 47.1069959, 17.5635211 47.1071698, 17.5631347 47.1074673, 17.5626007 47.1078485)",,
80676098,False,Kossuth Lajos utca,residential,True,192.025,,,,"LINESTRING (17.5618097 47.1060372, 17.5617889 47.1060648, 17.561575 47.1063495, 17.5615171 47.1064265, 17.5614494 47.1065073, 17.5608079 47.1072733, 17.5605752 47.1075455)",,
306101883,False,Petőfi Sándor utca,secondary,False,90.197,7339,50,,"LINESTRING (17.5618097 47.1060372, 17.5615931 47.1059206, 17.5613174 47.1057722, 17.5612101 47.1057145, 17.560871 47.1055375)",,
"[306101888, 54203976, 306101885, 306101887]",False,Petőfi Sándor utca,secondary,True,182.563,7339,50,,"LINESTRING (17.5618097 47.1060372, 17.5622485 47.1062542, 17.5629451 47.1065558, 17.5629771 47.1065697, 17.5633224 47.1067366, 17.5637104 47.106905, 17.5638137 47.1069499)",,
119508071,False,Semmelweis utca,residential,True,54.309,,,,"LINESTRING (17.5598703 47.1051473, 17.5598556 47.1051725, 17.5598279 47.10522, 17.5596061 47.1056014)",,
306101875,False,Petőfi Sándor utca,secondary,False,221.619,7339,50,,"LINESTRING (17.5598703 47.1051473, 17.5583835 47.1047049, 17.5571873 47.104349)",,
"[306101881, 306101879]",False,Petőfi Sándor utca,secondary,True,87.349,7339,50,,"LINESTRING (17.5598703 47.1051473, 17.5599039 47.1051596, 17.5600049 47.1051964, 17.5603747 47.1053313, 17.5605258 47.1053864, 17.560568 47.1054049, 17.560839 47.1055235, 17.560871 47.1055375)",,
173183288,True,Gyár utca,residential,False,21.648,,,,"LINESTRING (17.5560211 47.103692, 17.5559688 47.1038834)",,
119508043,False,Gyár utca,residential,True,22.862000000000002,,,,"LINESTRING (17.5560211 47.103692, 17.5561033 47.1036068, 17.5562038 47.1035289)",,
44518492,True,Petőfi Sándor utca,secondary,False,24.730999999999998,7339,50,roundabout,"LINESTRING (17.5557391 47.1041051, 17.5556924 47.1040864, 17.5556774 47.1040804, 17.5556319 47.1040428, 17.555608 47.1039969, 17.5556086 47.1039482, 17.5556198 47.1039217)",,
80675819,True,Sport utca,residential,False,26.774,,,,"LINESTRING (17.5558227 47.104336, 17.5558119 47.1042468, 17.5557916 47.1041838, 17.5557874 47.1041707, 17.5557391 47.1041051)",,
173183286,False,Sport utca,residential,False,142.897,,,,"LINESTRING (17.5558227 47.104336, 17.5558113 47.104416, 17.5557885 47.104485, 17.55577 47.1045287, 17.5557384 47.1045779, 17.5549086 47.105445)",,
173183286,False,Sport utca,residential,True,91.356,,,,"LINESTRING (17.5528839 47.1075591, 17.5535421 47.1068704)",,
80675936,False,Óvoda utca,residential,True,43.946,,,,"LINESTRING (17.5528839 47.1075591, 17.5530826 47.1075828, 17.5534263 47.1076239, 17.5534561 47.1076261)",,
80675812,False,Ifjúság utca,residential,True,133.518,,,,"LINESTRING (17.5538634 47.1095264, 17.5551172 47.1098831, 17.5554027 47.1099716, 17.5554861 47.1099974)",,
173191698,False,Újélet utca,residential,False,207.504,,,,"LINESTRING (17.5538634 47.1095264, 17.5539849 47.1093372, 17.553999 47.1093153, 17.5542804 47.1088772, 17.5545537 47.1084519, 17.5549619 47.1078166)",,
895048067,False,Fő út,secondary,False,160.073,7308,50,,"LINESTRING (17.5610816 47.1088491, 17.5611623 47.1087985, 17.5616927 47.1084779, 17.5621547 47.1081576, 17.5626007 47.1078485)",,
80676098,False,Kossuth Lajos utca,residential,False,178.092,,,,"LINESTRING (17.5587439 47.1085334, 17.5589285 47.1084443, 17.5596347 47.1081317, 17.560183 47.107844, 17.5602625 47.1078023, 17.560415 47.1076989, 17.5605752 47.1075455)",,
80676098,False,Kossuth Lajos utca,residential,True,52.462999999999994,,,,"LINESTRING (17.5587439 47.1085334, 17.5583125 47.1087583, 17.5582162 47.1088364)",,
"[119508057, 119508071]",False,"['Semmelweis utca', 'Eötvös utca']",residential,False,71.521,,,,"LINESTRING (17.5587439 47.1085334, 17.5583644 47.108359, 17.5579191 47.1082246)",,
783813288,False,Móra Ferenc utca,residential,True,39.183,,,,"LINESTRING (17.5526073 47.1036543, 17.552876 47.1033531)",,
988387467,False,Móra Ferenc utca,residential,False,14.344999999999999,,,,"LINESTRING (17.5526073 47.1036543, 17.5525321 47.1036952, 17.5524404 47.1037068)",,
119508056,False,Móra Ferenc utca,residential,True,113.874,,,,"LINESTRING (17.5524404 47.1037068, 17.5521352 47.1047096)",,
988387467,False,Móra Ferenc utca,residential,True,14.344999999999999,,,,"LINESTRING (17.5524404 47.1037068, 17.5525321 47.1036952, 17.5526073 47.1036543)",,
119508056,False,Móra Ferenc utca,residential,False,113.874,,,,"LINESTRING (17.5521352 47.1047096, 17.5524404 47.1037068)",,
172542956,False,Móricz Zsigmond utca,residential,False,179.293,,,,"LINESTRING (17.5521352 47.1047096, 17.5535254 47.1048469, 17.5538671 47.1048806, 17.5543818 47.1051145)",,
173191698,False,Újélet utca,residential,True,190.101,,,,"LINESTRING (17.5561631 47.1058535, 17.5552073 47.1074345)",,
172542956,False,Móricz Zsigmond utca,residential,True,105.253,,,,"LINESTRING (17.5561631 47.1058535, 17.5557223 47.10571, 17.554968 47.1054643, 17.5549086 47.105445)",,
"[173191698, 713149100]",False,Újélet utca,residential,False,127.773,,,,"LINESTRING (17.5561631 47.1058535, 17.5562713 47.1056948, 17.5563699 47.1055502, 17.5564875 47.1053777, 17.5565115 47.1053426, 17.5567692 47.1049646, 17.5568738 47.1048112)",destination,
172542956,False,Móricz Zsigmond utca,residential,False,105.25300000000001,,,,"LINESTRING (17.5549086 47.105445, 17.554968 47.1054643, 17.5557223 47.10571, 17.5561631 47.1058535)",,
172542956,False,Móricz Zsigmond utca,residential,True,56.565999999999995,,,,"LINESTRING (17.5549086 47.105445, 17.5548569 47.1053304, 17.5543818 47.1051145)",,
