osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge,junction
170448287,2,Táncsics Mihály utca,residential,False,False,97.338,,,"LINESTRING (18.5307416 46.3010583, 18.5320069 46.3010121)",,
1192925425,2,Rákóczi Ferenc utca,secondary,False,True,24.647,6535,50,"LINESTRING (18.5307416 46.3010583, 18.5307103 46.3008377)",,
"[1192925424, 1192925425]","['2', '3']",Rákóczi Ferenc utca,secondary,False,False,116.36000000000001,6535,50,"LINESTRING (18.5307416 46.3010583, 18.5308207 46.3014314, 18.5309581 46.302094)",,
405835127,2,Perczel Mór utca,residential,False,True,32.798,,,"LINESTRING (18.5293904 46.297652, 18.5292353 46.2973772)",,
405835127,2,Perczel Mór utca,residential,False,False,95.57700000000001,,,"LINESTRING (18.5293904 46.297652, 18.5296789 46.2980861, 18.5298434 46.2983538, 18.5298959 46.2984373)",,
239194328,2,Széchenyi tér,secondary,False,False,136.50300000000001,6535,50,"LINESTRING (18.5327268 46.2969995, 18.5326118 46.2971305, 18.5325256 46.2972833, 18.5324691 46.2973843, 18.5322594 46.2977834, 18.5321216 46.297948, 18.5319412 46.2980879)",,
"[1029008610, 74515839]",2,Mikes Kelemen utca,residential,False,False,300.577,,,"LINESTRING (18.5327268 46.2969995, 18.5326946 46.2969511, 18.5326399 46.296869, 18.5325609 46.2967502, 18.5324037 46.2964297, 18.5323007 46.2962452, 18.5321736 46.2960798, 18.5317455 46.2955984, 18.5316235 46.2954688, 18.5314639 46.2952806, 18.5314442 46.2952379, 18.5312789 46.2945242)",,
1117941653,2,Széchenyi tér,secondary,False,True,20.415,6535,50,"LINESTRING (18.5327268 46.2969995, 18.5328256 46.2969004, 18.5329029 46.2968665)",,
"[794410237, 170448767]","['1', '2']",Széchenyi tér,residential,True,False,150.414,,,"LINESTRING (18.5319412 46.2980879, 18.5324996 46.298283, 18.5325594 46.2983022, 18.5330985 46.2984699, 18.5331948 46.2984855, 18.533444 46.2984792, 18.5336704 46.2984641, 18.533769 46.2984564)",,
239194328,2,Széchenyi tér,secondary,False,True,136.503,6535,50,"LINESTRING (18.5319412 46.2980879, 18.5321216 46.297948, 18.5322594 46.2977834, 18.5324691 46.2973843, 18.5325256 46.2972833, 18.5326118 46.2971305, 18.5327268 46.2969995)",,
293912388,2,Széchenyi tér,secondary,False,False,90.409,6535,50,"LINESTRING (18.5319412 46.2980879, 18.5316347 46.2981991, 18.5313248 46.298325, 18.5309121 46.298482)",,
331302235,2,Szabadság tér,secondary,False,True,22.187,6535,,"LINESTRING (18.5309121 46.298482, 18.5306233 46.2984817)",,
83012677,1,,secondary,True,False,32.027,6535,50,"LINESTRING (18.5309121 46.298482, 18.5307706 46.2985414, 18.5306912 46.2985915, 18.5306094 46.2986732)",,
293912388,2,Széchenyi tér,secondary,False,True,90.409,6535,50,"LINESTRING (18.5309121 46.298482, 18.5313248 46.298325, 18.5316347 46.2981991, 18.5319412 46.2980879)",,
300693706,2,Szabadság tér,secondary,False,False,62.804,6535,50,"LINESTRING (18.5305526 46.2992176, 18.5305479 46.2997824)",,
405835130,2,Szent Imre utca,residential,False,True,58.267,,,"LINESTRING (18.5305526 46.2992176, 18.5301854 46.2996761)",,
"[287372776, 74515142]",3,Szabadság tér,secondary,False,True,60.69199999999999,6535,50,"LINESTRING (18.5305526 46.2992176, 18.5305875 46.2988982, 18.5306094 46.2986732)",,
293912391,2,Szabadság tér,residential,False,False,56.1,,,"LINESTRING (18.5298959 46.2984373, 18.5306233 46.2984817)",,
405835127,2,Perczel Mór utca,residential,False,True,95.577,,,"LINESTRING (18.5298959 46.2984373, 18.5298434 46.2983538, 18.5296789 46.2980861, 18.5293904 46.297652)",,
347313263,1,Szabadság tér,residential,True,False,28.586,,,"LINESTRING (18.5300878 46.299045, 18.5300054 46.2987943)",,
379654135,,Belvárosi sétány,residential,False,True,14.736,,,"LINESTRING (18.5300878 46.299045, 18.5298988 46.2990676)",,
300693706,2,Szabadság tér,secondary,False,True,62.804,6535,50,"LINESTRING (18.5305479 46.2997824, 18.5305526 46.2992176)",,
74515470,2,Szabadság tér,residential,False,False,31.22,,,"LINESTRING (18.5305479 46.2997824, 18.5303993 46.2997032, 18.5302877 46.2996809, 18.5301854 46.2996761)",,
