osmid,name,highway,oneway,reversed,length,ref,geometry,maxspeed
223881186,Tópart utca,residential,False,True,83.437,,"LINESTRING (20.5973073 47.4733547, 20.5964405 47.4738235)",
330593100,,secondary,False,False,83.122,3216,"LINESTRING (20.5973073 47.4733547, 20.597528 47.4736128, 20.5976943 47.4738045, 20.5978784 47.4739946)",
70993428,Deák Ferenc utca,residential,False,False,86.977,,"LINESTRING (20.5989098 47.4750419, 20.5979823 47.4755097)",40
330593100,,secondary,False,False,74.588,3216,"LINESTRING (20.5989098 47.4750419, 20.5994396 47.4756091)",
330593100,,secondary,False,True,59.392,3216,"LINESTRING (20.5989098 47.4750419, 20.5984825 47.4745926)",
169282739,Damjanich utca,residential,False,True,74.062,,"LINESTRING (20.6002029 47.4765844, 20.5994032 47.4769736)",
330593100,,secondary,False,False,69.818,3216,"LINESTRING (20.6002029 47.4765844, 20.6006673 47.4771282)",
330593100,,secondary,False,True,122.687,3216,"LINESTRING (20.6002029 47.4765844, 20.5994396 47.4756091)",
330593100,,secondary,False,True,141.945,3216,"LINESTRING (20.6016423 47.4782215, 20.6006673 47.4771282)",
336506224,,secondary,False,False,20.406,3216,"LINESTRING (20.6016423 47.4782215, 20.6017784 47.4783803)",
169282660,Vörösmarty utca,residential,False,False,120.24100000000001,,"LINESTRING (20.6016423 47.4782215, 20.6015011 47.4782515, 20.6011464 47.4783305, 20.6003393 47.4785178, 20.6001269 47.4785682)",
70993428,Deák Ferenc utca,residential,False,True,65.677,,"LINESTRING (20.5933831 47.4778674, 20.594059 47.477493)",40
223881189,Tópart utca,residential,False,False,93.97,,"LINESTRING (20.5931582 47.4750222, 20.5934148 47.4749545, 20.5937429 47.4748689, 20.594058 47.4747952, 20.5943321 47.4747318)",
614175080,Kölcsey Ferenc út,residential,False,True,42.977,,"LINESTRING (20.5931582 47.4750222, 20.5931695 47.4749492, 20.5932065 47.4746371)",
70993428,Deák Ferenc utca,residential,False,False,108.908,,"LINESTRING (20.5965425 47.4762359, 20.595391 47.4768305)",40
70993428,Deák Ferenc utca,residential,False,True,38.243,,"LINESTRING (20.5965425 47.4762359, 20.5969503 47.4760302)",40
223881185,Hunyadi János utca,residential,False,True,224.18699999999998,,"LINESTRING (20.5965425 47.4762359, 20.5951127 47.4745682, 20.5950476 47.4744912)",
133606301,Szabolcs utca,residential,False,True,36.756,,"LINESTRING (20.6009619 47.4750734, 20.6005238 47.4752203)",
"[133606301, 224343638]","['Szabolcs utca', 'Zalán utca']",residential,False,False,199.92000000000002,,"LINESTRING (20.6009619 47.4750734, 20.6011361 47.4751567, 20.6022017 47.4761605, 20.6022211 47.4762206, 20.6021913 47.476266, 20.6018393 47.4764601)",
169282708,,residential,False,False,67.19,,"LINESTRING (20.6009619 47.4750734, 20.6009823 47.4749626, 20.6007204 47.4745029)",
330593100,,secondary,False,False,122.687,3216,"LINESTRING (20.5994396 47.4756091, 20.6002029 47.4765844)",
330593100,,secondary,False,True,74.588,3216,"LINESTRING (20.5994396 47.4756091, 20.5989098 47.4750419)",
