osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes
13884630,True,5101,Lacházi út,secondary,50,False,36.097,"LINESTRING (18.9458294 47.1616993, 18.9458908 47.1617259, 18.9459755 47.1617618, 18.9460778 47.1617889, 18.9462002 47.1618017, 18.9462708 47.161808)",
29592565,True,5101,Kossuth Lajos utca,secondary,40,False,42.199,"LINESTRING (18.9458294 47.1616993, 18.9458813 47.1617834, 18.9459123 47.1618497, 18.9459282 47.1619157, 18.9459315 47.1619654, 18.9459308 47.1620675)",
104664740,False,51113,Szent János tér,tertiary,,False,23.241,"LINESTRING (18.9450413 47.157, 18.944942 47.1568022)",
104710901,True,51112,Szent István tér,tertiary,40,False,9.051,"LINESTRING (18.9450413 47.157, 18.9451024 47.15707)",
103433090,False,,Hunyadi utca,residential,,False,76.501,"LINESTRING (18.9395724 47.1633812, 18.9393383 47.1635063, 18.9391004 47.163616, 18.9389623 47.1636578, 18.9388939 47.1636686, 18.9388169 47.1636774, 18.9386897 47.1636777)",
103433100,False,,Hunyadi utca,residential,,True,148.06400000000002,"LINESTRING (18.9395724 47.1633812, 18.9400656 47.162991, 18.9402659 47.1628535, 18.9405506 47.1626726, 18.9406416 47.1625947, 18.9407081 47.1625181, 18.9408189 47.1623655)",
104659447,False,,Búza utca,residential,,True,155.36400000000003,"LINESTRING (18.9395724 47.1633812, 18.9393059 47.1639863, 18.9392788 47.164041, 18.9392298 47.1641556, 18.9392133 47.16426, 18.9391704 47.1646772, 18.9391753 47.1647001, 18.9391801 47.1647209, 18.9391923 47.1647403)",
102678428,False,,Gábor Áron utca,residential,,True,29.657,"LINESTRING (18.9391881 47.1595951, 18.9388692 47.1594398)",
102678428,False,,Gábor Áron utca,residential,,False,106.33600000000001,"LINESTRING (18.9391881 47.1595951, 18.9395684 47.1598819, 18.9398335 47.1600727, 18.9401643 47.1602826)",
102678463,False,,Bocskai István utca,residential,,False,142.53,"LINESTRING (18.9391881 47.1595951, 18.9399518 47.1589371, 18.940329 47.1585752)",
103433100,False,,Hunyadi utca,residential,,False,48.374,"LINESTRING (18.9415081 47.1612577, 18.9412291 47.1616492)",
102678733,False,,Gábor Áron utca,residential,,False,81.147,"LINESTRING (18.9415081 47.1612577, 18.942278 47.1615175, 18.9424171 47.1615569, 18.9424771 47.1615702)",
104659439,False,,Gábor Áron utca,residential,,True,64.964,"LINESTRING (18.9415081 47.1612577, 18.9414466 47.1611576, 18.9413728 47.161037, 18.9412913 47.1609502, 18.9411324 47.160846, 18.941034 47.1607828)",
102678462,False,,Rákóczi utca,residential,,True,15.287,"LINESTRING (18.9382189 47.1603264, 18.9380169 47.1603205)",
103433088,False,,Mátyás tér,residential,,False,147.167,"LINESTRING (18.9382189 47.1603264, 18.9401643 47.1602826)",
102678447,False,,Árpád utca,residential,,True,38.466,"LINESTRING (18.9393355 47.1648148, 18.9397835 47.1649788)",
102678471,False,,Árpád utca,residential,,False,13.632,"LINESTRING (18.9393355 47.1648148, 18.9391923 47.1647403)",
162017669,False,51113,Bajcsy-Zsilinszky utca,tertiary,,True,13.775,"LINESTRING (18.9409951 47.1576144, 18.9411772 47.1576108)",
102678463,False,,Bocskai István utca,residential,,True,118.37,"LINESTRING (18.9409951 47.1576144, 18.9407052 47.1581148, 18.940329 47.1585752)",
162017669,False,51113,Bajcsy-Zsilinszky utca,tertiary,,False,262.042,"LINESTRING (18.9409951 47.1576144, 18.9403954 47.1576356, 18.939579 47.1576315, 18.9393049 47.1576164, 18.9391313 47.1575974, 18.9387478 47.1575536, 18.9381253 47.1574697, 18.9377755 47.1574305, 18.9375563 47.1574187)",
102678460,True,,Ady Endre utca,residential,,False,13.747,"LINESTRING (18.9438316 47.1632536, 18.9438276 47.1633772)",
104659443,False,,Petőfi Sándor utca,residential,50,True,16.61,"LINESTRING (18.9438316 47.1632536, 18.9436119 47.1632533)",
104659443,False,,Petőfi Sándor utca,residential,50,False,92.789,"LINESTRING (18.9438316 47.1632536, 18.9448412 47.1631789, 18.9450526 47.1631874)",
