osmid,oneway,lanes,name,highway,maxspeed,reversed,length,bridge,geometry,ref
101079214,False,,Béla király körtér,residential,,False,94.239,,"LINESTRING (18.4031093 47.5825721, 18.4032562 47.5818997, 18.403293 47.5817337)",
101079214,False,,Béla király körtér,residential,,True,287.72099999999995,,"LINESTRING (18.4031093 47.5825721, 18.4031358 47.5826064, 18.4030126 47.5826875, 18.4029595 47.5827224, 18.4014278 47.5837216, 18.4012675 47.5838255, 18.4005633 47.5842821, 18.400408 47.5843698)",
101079214,False,,Béla király körtér,residential,,False,90.54599999999999,,"LINESTRING (18.3989359 47.5842483, 18.3992519 47.5842786, 18.4001301 47.5843677)",
186836484,False,,Komáromi utca,residential,,False,112.98,,"LINESTRING (18.3989359 47.5842483, 18.398981 47.5840843, 18.3992036 47.5834109, 18.3992602 47.5833106, 18.3993164 47.583275)",
186836484,False,,Komáromi utca,residential,,True,338.74,,"LINESTRING (18.3989359 47.5842483, 18.3988986 47.584421, 18.3987234 47.5849777, 18.3986439 47.5851144, 18.398549 47.5853226, 18.3984554 47.5854493, 18.3979691 47.5861076, 18.3979601 47.5861198, 18.3976649 47.5865194, 18.3973327 47.5869752, 18.3972737 47.5870593)",
101079191,False,,Mártírok útja,residential,,False,41.763,,"LINESTRING (18.4033746 47.5813614, 18.4037584 47.5810893)",
101079191,False,,Mártírok útja,residential,,True,37.528,,"LINESTRING (18.4033746 47.5813614, 18.4030197 47.5815993)",
101079214,False,,Béla király körtér,residential,,True,41.848,,"LINESTRING (18.4033746 47.5813614, 18.4033359 47.5815402, 18.403293 47.5817337)",
101079214,False,,Béla király körtér,residential,,False,20.844,,"LINESTRING (18.4001301 47.5843677, 18.400183 47.5843681, 18.400408 47.5843698)",
101079214,False,,Béla király körtér,residential,,True,90.54599999999999,,"LINESTRING (18.4001301 47.5843677, 18.3992519 47.5842786, 18.3989359 47.5842483)",
227022471,True,,Béla király körtér,residential,,False,18.561,,"LINESTRING (18.4001301 47.5843677, 18.4001724 47.5844126, 18.4002628 47.5845086)",
101079191,False,,Mártírok útja,residential,,False,105.167,,"LINESTRING (18.4020489 47.5822817, 18.4025945 47.5818939, 18.4030197 47.5815993)",
101079191,False,,Mártírok útja,residential,,True,235.69099999999997,,"LINESTRING (18.4020489 47.5822817, 18.4017434 47.5824753, 18.401493 47.5826037, 18.4012115 47.5827312, 18.4008491 47.5828789, 18.4005554 47.582972, 18.4002659 47.5830498, 18.399616 47.5831823, 18.3994539 47.5832231, 18.3993886 47.5832429, 18.3993164 47.583275)",
160251080,False,,,residential,,True,171.861,,"LINESTRING (18.4020489 47.5822817, 18.4016562 47.5820307, 18.4015721 47.5819816, 18.4014687 47.5819397, 18.4013434 47.581916, 18.4006096 47.5818453, 18.399969 47.5817836)",
