osmid,oneway,ref,highway,reversed,length,name,geometry,junction,lanes,bridge,tunnel
716595215,True,8143,secondary,False,8.993,,"LINESTRING (18.3199663 47.4929507, 18.3198653 47.4929073)",,,,
331014343,False,8143,secondary,True,78.729,Rákóczi Ferenc út,"LINESTRING (18.3176328 47.4905173, 18.3182187 47.4911043)",,,,
176240932,True,8143,secondary,False,41.265,Rákóczi Ferenc út,"LINESTRING (18.3176328 47.4905173, 18.3174846 47.4904015, 18.3173878 47.4903388, 18.3172292 47.4902699)",,,,
334471170,True,8143,secondary,False,7.943999999999999,Rákóczi Ferenc út,"LINESTRING (18.3172292 47.4902699, 18.3171926 47.4902652, 18.3171346 47.4902406)",roundabout,,,
26220798,True,8143,secondary,False,38.962,Rákóczi Ferenc út,"LINESTRING (18.3173648 47.4902175, 18.3174588 47.4903159, 18.3175226 47.4903948, 18.3176328 47.4905173)",,,,
334471172,True,8143,secondary,False,12.24,Rákóczi Ferenc út,"LINESTRING (18.3173648 47.4902175, 18.3173149 47.4902547, 18.3172292 47.4902699)",roundabout,,,
26220796,True,8143,secondary,False,10.332,Rákóczi Ferenc út,"LINESTRING (18.3173632 47.4901273, 18.3173805 47.4901722, 18.3173648 47.4902175)",roundabout,,,
201376250,False,,residential,True,155.287,Alkotmány út,"LINESTRING (18.3173632 47.4901273, 18.3174571 47.4900785, 18.3190476 47.4893182)",,2,,
240375175,True,8143,secondary,False,11.896,Rákóczi Ferenc út,"LINESTRING (18.3172318 47.4900768, 18.3172752 47.4900801, 18.3173218 47.4900953, 18.3173632 47.4901273)",roundabout,,,
334471169,True,8143,secondary,False,5.306,Rákóczi Ferenc út,"LINESTRING (18.3170944 47.4901739, 18.3171115 47.4901276)",roundabout,,,
114936683,True,8155,secondary,False,15.822,,"LINESTRING (18.3171346 47.4902406, 18.317093 47.4902497, 18.3170488 47.4902484, 18.3169263 47.4902447)",,,,
334471171,True,8143,secondary,False,8.154,Rákóczi Ferenc út,"LINESTRING (18.3171346 47.4902406, 18.3171034 47.4902071, 18.3170944 47.4901739)",roundabout,,,
176240930,False,8155,secondary,False,29.585,Dózsa György utca,"LINESTRING (18.3120604 47.4900299, 18.3116673 47.4900146)",,2,,
176240930,False,8155,secondary,True,159.852,Dózsa György utca,"LINESTRING (18.3120604 47.4900299, 18.3141822 47.490135)",,2,,
176240930,False,8155,secondary,False,6.502,Dózsa György utca,"LINESTRING (18.3169263 47.4902447, 18.3168399 47.4902415)",,2,,
42798399,True,8155,secondary,False,15.079,,"LINESTRING (18.3169263 47.4902447, 18.3170258 47.4902156, 18.3170944 47.4901739)",,,,
29265668,False,,residential,False,58.954,Vasút utca,"LINESTRING (18.3094294 47.4873076, 18.3092921 47.4867856)",,,,
29265668,False,,residential,True,58.954,Vasút utca,"LINESTRING (18.3092921 47.4867856, 18.3094294 47.4873076)",,,,
"[334471097, 29265675]",False,,residential,"[False, True]",153.351,Fürst Sándor utca,"LINESTRING (18.3092921 47.4867856, 18.310365 47.4866522, 18.3112919 47.4865117)",,,,
122650989,False,,residential,False,11.117,Fürst Sándor utca,"LINESTRING (18.313116 47.4858727, 18.3130074 47.4859406)",,,,
122650971,True,,residential,False,76.011,Fürst Sándor utca,"LINESTRING (18.313116 47.4858727, 18.3131669 47.4858355, 18.3138053 47.4853724)",,,,
240375174,True,8143,secondary,False,159.275,Rákóczi Ferenc út,"LINESTRING (18.313116 47.4858727, 18.3143337 47.4866367, 18.3146596 47.4868542)",,1,,
122650988,True,,residential,False,152.815,Irinyi János utca,"LINESTRING (18.3128181 47.4877162, 18.3122521 47.4863962)",,,,
234871180,True,,residential,False,71.70700000000001,Havasi Márton utca,"LINESTRING (18.3128181 47.4877162, 18.3120911 47.4878202, 18.3118818 47.4878393)",,,,
42798151,False,,residential,True,242.419,Bánki Donát utca,"LINESTRING (18.3118818 47.4878393, 18.3116673 47.4900146)",,,,
334471073,False,,residential,True,154.355,Bánki Donát utca,"LINESTRING (18.3118818 47.4878393, 18.3116284 47.4871399, 18.3112919 47.4865117)",,,,
42798151,False,,residential,False,242.419,Bánki Donát utca,"LINESTRING (18.3116673 47.4900146, 18.3118818 47.4878393)",,,,
176240930,False,8155,secondary,True,29.585,Dózsa György utca,"LINESTRING (18.3116673 47.4900146, 18.3120604 47.4900299)",,2,,
"[122650957, 122650951]",False,,residential,"[False, True]",395.372,Bánki Donát utca,"LINESTRING (18.3116673 47.4900146, 18.3115267 47.4919135, 18.3120757 47.4919368, 18.3139703 47.4920173)",,2,,
176240930,False,8155,secondary,False,190.831,Dózsa György utca,"LINESTRING (18.3116673 47.4900146, 18.3114539 47.4900156, 18.3109781 47.4900524, 18.3102247 47.4901284, 18.3096496 47.4901866, 18.3091463 47.4902072)",,2,,
42798150,False,,residential,True,10.141,Fő tér,"LINESTRING (18.3160892 47.4883739, 18.3159685 47.4884147)",,,,
42798150,False,,residential,False,100.85900000000001,Fő tér,"LINESTRING (18.3160892 47.4883739, 18.3161496 47.4883404, 18.3167189 47.4880075, 18.317087 47.4877677)",,,,
240375176,True,8143,secondary,False,98.832,Rákóczi Ferenc út,"LINESTRING (18.3160892 47.4883739, 18.3161308 47.4884745, 18.3165169 47.489135, 18.3165573 47.489204)",,1,,
42798395,False,,residential,False,8.79,Havasi Márton utca,"LINESTRING (18.3147991 47.486952, 18.3147106 47.4870037)",,,,
240375176,True,8143,secondary,False,40.246,Rákóczi Ferenc út,"LINESTRING (18.3147991 47.486952, 18.3151317 47.4872357)",,1,,
122650937,False,,residential,True,28.1,,"LINESTRING (18.3190476 47.4893182, 18.3192019 47.4895484)",,,,
201376250,False,,residential,False,155.287,Alkotmány út,"LINESTRING (18.3190476 47.4893182, 18.3174571 47.4900785, 18.3173632 47.4901273)",,2,,
201376259,False,,residential,False,4.21,Takács Imre utca,"LINESTRING (18.3200737 47.4927268, 18.3200263 47.492747)",,,,
