osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed
180395710,,Szondy utca,residential,False,True,259.02,"LINESTRING (20.906515 47.817668, 20.9067176 47.8170405, 20.9067981 47.8167131, 20.9068741 47.8161874, 20.9069233 47.8159862, 20.9068831 47.8157098, 20.9068607 47.8153644)",,
180395746,,Arany János utca,residential,False,False,10.252,"LINESTRING (20.906515 47.817668, 20.9066006 47.8176874, 20.9066431 47.8177008)",,
180395746,,Arany János utca,residential,False,True,80.023,"LINESTRING (20.906515 47.817668, 20.906357 47.8176322, 20.9058889 47.8176003, 20.9054549 47.8175866)",,
180395746,,Arany János utca,residential,False,False,26.500999999999998,"LINESTRING (20.9066431 47.8177008, 20.9068631 47.8177703, 20.9069505 47.8178171)",,
180395746,,Arany János utca,residential,False,True,10.252,"LINESTRING (20.9066431 47.8177008, 20.9066006 47.8176874, 20.906515 47.817668)",,
180395821,,Arany János utca,residential,False,True,40.373999999999995,"LINESTRING (20.9066431 47.8177008, 20.9066464 47.817744, 20.9066173 47.8178702, 20.9065122 47.8180489)",,
180395746,,Arany János utca,residential,False,False,10.187,"LINESTRING (20.9069505 47.8178171, 20.9070572 47.8178742)",,
180395746,,Arany János utca,residential,False,True,26.500999999999998,"LINESTRING (20.9069505 47.8178171, 20.9068631 47.8177703, 20.9066431 47.8177008)",,
180395861,,Szemere utca,residential,False,True,265.38100000000003,"LINESTRING (20.9069505 47.8178171, 20.9071356 47.8177414, 20.9080371 47.8173123, 20.9087519 47.816947, 20.9090461 47.8167601, 20.9094858 47.8164351, 20.9096882 47.8163098)",,
180395746,,Arany János utca,residential,False,True,10.187,"LINESTRING (20.9070572 47.8178742, 20.9069505 47.8178171)",,
180395858,,Arany János utca,residential,False,False,45.131,"LINESTRING (20.9070572 47.8178742, 20.9068634 47.8179453, 20.9065122 47.8180489)",,
180395725,,Pozsonyi utca,residential,False,False,173.718,"LINESTRING (20.8987004 47.8179065, 20.899371 47.8178121, 20.8998479 47.8177416, 20.9004103 47.8176067, 20.9006999 47.8175096, 20.9008794 47.8174107)",,
180395725,,Pozsonyi utca,residential,False,True,28.225,"LINESTRING (20.8987004 47.8179065, 20.8986083 47.817981, 20.8984227 47.8180765)",,
"[284860697, 284860698, 284860699]",,"['Munkácsy utca', 'Pozsonyi utca']",residential,False,True,535.2600000000001,"LINESTRING (20.8987004 47.8179065, 20.898723 47.8177457, 20.8987539 47.8172062, 20.898757 47.8171439, 20.8987168 47.8170422, 20.8985942 47.816964, 20.8978348 47.816568, 20.8972272 47.816275, 20.8971011 47.8161882, 20.8970453 47.8161395, 20.8970101 47.816095, 20.8970381 47.8159297, 20.8973117 47.8157704, 20.8976939 47.8155958, 20.8986766 47.8152887, 20.8996438 47.8149627, 20.8997108 47.8149373, 20.8997684 47.8149492, 20.899943 47.8150903)",,
180395821,,Arany János utca,residential,False,False,40.374,"LINESTRING (20.9065122 47.8180489, 20.9066173 47.8178702, 20.9066464 47.817744, 20.9066431 47.8177008)",,
180395858,,Arany János utca,residential,False,False,70.278,"LINESTRING (20.9065122 47.8180489, 20.9064183 47.818127, 20.9063937 47.8181901, 20.9063221 47.8183793, 20.9062362 47.8186443)",,
180395858,,Arany János utca,residential,False,True,45.131,"LINESTRING (20.9065122 47.8180489, 20.9068634 47.8179453, 20.9070572 47.8178742)",,
180395725,,Pozsonyi utca,residential,False,False,28.225,"LINESTRING (20.8984227 47.8180765, 20.8986083 47.817981, 20.8987004 47.8179065)",,
180395819,,Mátyás utca,residential,False,True,226.0,"LINESTRING (20.8984227 47.8180765, 20.8986672 47.8181913, 20.8989082 47.8183469, 20.8994521 47.8188533, 20.8996994 47.8190794, 20.8998384 47.8191749, 20.9000764 47.8193077, 20.900538 47.8194936)",,
180395794,,Dobó utca,residential,False,True,10.087,"LINESTRING (20.9062362 47.8186443, 20.9063246 47.8187129)",,
180395794,,Dobó utca,residential,False,False,132.393,"LINESTRING (20.9062362 47.8186443, 20.906097 47.8185127, 20.9058408 47.8182535, 20.905632 47.8179604, 20.9055181 47.817765, 20.9054549 47.8175866)",,
180395858,,Arany János utca,residential,False,True,70.278,"LINESTRING (20.9062362 47.8186443, 20.9063221 47.8183793, 20.9063937 47.8181901, 20.9064183 47.818127, 20.9065122 47.8180489)",,
180395794,,Dobó utca,residential,False,False,10.087,"LINESTRING (20.9063246 47.8187129, 20.9062362 47.8186443)",,
180395794,,Dobó utca,residential,False,True,153.202,"LINESTRING (20.9063246 47.8187129, 20.9065019 47.8188504, 20.9068593 47.8191562, 20.9070396 47.8193389, 20.9072199 47.81953, 20.9074002 47.8196787, 20.9075828 47.8197965)",,
180395819,,Mátyás utca,residential,False,True,9.093,"LINESTRING (20.900538 47.8194936, 20.9006424 47.8195357)",,
180395819,,Mátyás utca,residential,False,False,226.0,"LINESTRING (20.900538 47.8194936, 20.9000764 47.8193077, 20.8998384 47.8191749, 20.8996994 47.8190794, 20.8994521 47.8188533, 20.8989082 47.8183469, 20.8986672 47.8181913, 20.8984227 47.8180765)",,
180395868,,Zrínyi utca,residential,False,False,136.51999999999998,"LINESTRING (20.900538 47.8194936, 20.8999938 47.8200833, 20.8997219 47.8203115, 20.8994408 47.8204626)",,
180395819,,Mátyás utca,residential,False,False,9.093,"LINESTRING (20.9006424 47.8195357, 20.900538 47.8194936)",,
180395736,,Attila utca,residential,False,True,264.65399999999994,"LINESTRING (20.9006424 47.8195357, 20.9009112 47.8192584, 20.9009855 47.8191762, 20.9009767 47.81894, 20.9009374 47.8185687, 20.9009592 47.8184205, 20.9010095 47.8183046, 20.9011821 47.8181681, 20.9013307 47.8180023, 20.9014291 47.8178174, 20.9014116 47.8177455, 20.9013154 47.8176149, 20.9012127 47.8175284, 20.9010554 47.8174315, 20.901013 47.8174139)",,
180395819,,Mátyás utca,residential,False,True,119.97200000000001,"LINESTRING (20.9006424 47.8195357, 20.9018997 47.8200153, 20.9020433 47.8200639)",,
180395794,,Dobó utca,residential,False,False,153.20199999999997,"LINESTRING (20.9075828 47.8197965, 20.9074002 47.8196787, 20.9072199 47.81953, 20.9070396 47.8193389, 20.9068593 47.8191562, 20.9065019 47.8188504, 20.9063246 47.8187129)",,
180395794,,Dobó utca,residential,False,True,20.267,"LINESTRING (20.9075828 47.8197965, 20.9077196 47.8198847, 20.9077703 47.8199278)",,
180395819,,Mátyás utca,residential,False,True,2.531,"LINESTRING (20.9020433 47.8200639, 20.9020736 47.8200741)",,
180395819,,Mátyás utca,residential,False,False,119.97200000000001,"LINESTRING (20.9020433 47.8200639, 20.9018997 47.8200153, 20.9006424 47.8195357)",,
180395819,,Mátyás utca,residential,False,False,2.531,"LINESTRING (20.9020736 47.8200741, 20.9020433 47.8200639)",,
180395712,,Petőfi utca,residential,False,False,329.096,"LINESTRING (20.9020736 47.8200741, 20.9023843 47.8197229, 20.9024872 47.8195787, 20.9025409 47.8194346, 20.9027019 47.8191041, 20.9029346 47.8186145, 20.903194 47.8181159, 20.9032164 47.8179687, 20.9032477 47.8177014, 20.9032958 47.8172658)",,
180395819,,Mátyás utca,residential,False,True,74.69600000000001,"LINESTRING (20.9020736 47.8200741, 20.9023231 47.8201585, 20.9023833 47.8201847, 20.9026136 47.8202851, 20.902673 47.8202986, 20.9027782 47.8203224, 20.902833 47.8203349, 20.9029225 47.8203454, 20.902974 47.8203515)",,
180395797,,Muhi utca,residential,True,False,172.43099999999998,"LINESTRING (20.906498 47.8202556, 20.9064808 47.8200242, 20.9063922 47.8196058, 20.9063321 47.8192235, 20.9063005 47.818907, 20.9063246 47.8187129)",,
247762572,,Bacsó Béla utca,residential,True,False,144.965,"LINESTRING (20.906498 47.8202556, 20.9059995 47.8205363, 20.9058976 47.8205859, 20.9054056 47.8208255, 20.9050204 47.821096)",,
284862541,,Bacsó Béla utca,residential,False,False,101.81099999999999,"LINESTRING (20.906498 47.8202556, 20.9068722 47.8201432, 20.9077703 47.8199278)",,
284862542,,Muhi utca,residential,False,False,119.10399999999998,"LINESTRING (20.906498 47.8202556, 20.9065978 47.8203556, 20.9067971 47.8205934, 20.9068983 47.820844, 20.9069837 47.821118, 20.9070186 47.8212543)",,
180395819,,Mátyás utca,residential,False,True,64.37,"LINESTRING (20.902974 47.8203515, 20.9038231 47.8204518)",,
180395819,,Mátyás utca,residential,False,False,74.69600000000001,"LINESTRING (20.902974 47.8203515, 20.9029225 47.8203454, 20.902833 47.8203349, 20.9027782 47.8203224, 20.902673 47.8202986, 20.9026136 47.8202851, 20.9023833 47.8201847, 20.9023231 47.8201585, 20.9020736 47.8200741)",,
180395851,,Hősök tere,residential,True,False,130.794,"LINESTRING (20.902974 47.8203515, 20.9029467 47.8205191, 20.9029467 47.8205976, 20.9030005 47.8207166, 20.9029372 47.8211074, 20.9035386 47.8211876)",,
180395794,,Dobó utca,residential,False,False,60.79600000000001,"LINESTRING (20.9082506 47.8203688, 20.9080391 47.8201566, 20.9077703 47.8199278)",,
284868340,,Dobó utca,residential,False,True,102.809,"LINESTRING (20.9082506 47.8203688, 20.9082863 47.820516, 20.9082698 47.8207124, 20.908278 47.8212911)",,
180395819,,Mátyás utca,residential,False,False,64.37,"LINESTRING (20.9038231 47.8204518, 20.902974 47.8203515)",,
284866751,3307,Hősök tere,secondary,False,False,71.863,"LINESTRING (20.9038231 47.8204518, 20.9036104 47.8210821)",2,
"[38111234, 77604935]",3307,Szent István utca,secondary,False,"[False, True]",352.88100000000003,"LINESTRING (20.9038231 47.8204518, 20.9041603 47.8189227, 20.9043237 47.8182436, 20.9044449 47.8179245, 20.9046703 47.8174603, 20.9047362 47.8173463)",,
180395868,,Zrínyi utca,residential,False,False,31.686,"LINESTRING (20.8994408 47.8204626, 20.8991718 47.820683)",,
180395868,,Zrínyi utca,residential,False,True,136.52,"LINESTRING (20.8994408 47.8204626, 20.8997219 47.8203115, 20.8999938 47.8200833, 20.900538 47.8194936)",,
180395827,,,residential,False,False,81.89,"LINESTRING (20.8980813 47.8206397, 20.8985708 47.820628, 20.8989423 47.8206544, 20.8991718 47.820683)",,
180395868,,Zrínyi utca,residential,False,True,31.686,"LINESTRING (20.8991718 47.820683, 20.8994408 47.8204626)",,
180395827,,,residential,False,True,81.89,"LINESTRING (20.8991718 47.820683, 20.8989423 47.8206544, 20.8985708 47.820628, 20.8980813 47.8206397)",,
180395868,,Zrínyi utca,residential,False,False,166.478,"LINESTRING (20.8991718 47.820683, 20.8990049 47.8209091, 20.8986495 47.8213096, 20.8984023 47.8215732, 20.8979971 47.8219529)",,
70747577,3313,Hősök tere,secondary,False,True,13.688,"LINESTRING (20.9050204 47.821096, 20.9048371 47.8210936)",2,
180395735,,Mohácsi utca,residential,False,True,79.015,"LINESTRING (20.9050204 47.821096, 20.9049707 47.8216868, 20.9049652 47.8218056)",,
284866942,3313,,secondary,False,False,150.271,"LINESTRING (20.9050204 47.821096, 20.9058952 47.8211766, 20.9062322 47.8212077, 20.906944 47.8212521, 20.9070186 47.8212543)",2,
284866751,3307,Hősök tere,secondary,False,False,37.611,"LINESTRING (20.9035386 47.8211876, 20.9033776 47.8215081)",2,
284866751,3307,Hősök tere,secondary,False,True,12.898,"LINESTRING (20.9035386 47.8211876, 20.9036104 47.8210821)",2,
284868047,3313,,secondary,False,False,94.118,"LINESTRING (20.9070186 47.8212543, 20.908278 47.8212911)",2,
284862542,,Muhi utca,residential,False,True,119.104,"LINESTRING (20.9070186 47.8212543, 20.9069837 47.821118, 20.9068983 47.820844, 20.9067971 47.8205934, 20.9065978 47.8203556, 20.906498 47.8202556)",,
284866942,3313,,secondary,False,True,150.27100000000002,"LINESTRING (20.9070186 47.8212543, 20.906944 47.8212521, 20.9062322 47.8212077, 20.9058952 47.8211766, 20.9050204 47.821096)",2,
180395845,,Hősök tere,residential,False,False,56.290000000000006,"LINESTRING (20.902293 47.8213087, 20.9022392 47.82164, 20.9023215 47.8217058, 20.9024261 47.8217572)",,
180395834,,Hunyadi utca,residential,False,False,40.497,"LINESTRING (20.908236 47.8216542, 20.908278 47.8212911)",,
180395743,,Hunyadi utca,residential,False,False,61.435,"LINESTRING (20.908236 47.8216542, 20.9084842 47.8215236, 20.9089218 47.821351)",,
284860689,3305,Kiss József utca,secondary,False,False,68.37,"LINESTRING (20.8971682 47.8216916, 20.8978016 47.8218938, 20.8979971 47.8219529)",,
180395845,,Hősök tere,residential,False,False,58.747,"LINESTRING (20.9024261 47.8217572, 20.9032044 47.8218349)",,
180395845,,Hősök tere,residential,False,True,56.290000000000006,"LINESTRING (20.9024261 47.8217572, 20.9023215 47.8217058, 20.9022392 47.82164, 20.902293 47.8213087)",,
180395735,,Mohácsi utca,residential,False,False,79.015,"LINESTRING (20.9049652 47.8218056, 20.9049707 47.8216868, 20.9050204 47.821096)",,
180395845,,Hősök tere,residential,False,True,58.747,"LINESTRING (20.9032044 47.8218349, 20.9024261 47.8217572)",,
284866751,3307,Hősök tere,secondary,False,True,38.571,"LINESTRING (20.9032044 47.8218349, 20.9033776 47.8215081)",2,
284860689,3305,Kiss József utca,secondary,False,False,7.105,"LINESTRING (20.8979971 47.8219529, 20.8980839 47.8219791)",,
180395868,,Zrínyi utca,residential,False,True,166.478,"LINESTRING (20.8979971 47.8219529, 20.8984023 47.8215732, 20.8986495 47.8213096, 20.8990049 47.8209091, 20.8991718 47.820683)",,
284860689,3305,Kiss József utca,secondary,False,True,68.37,"LINESTRING (20.8979971 47.8219529, 20.8978016 47.8218938, 20.8971682 47.8216916)",,
284860689,3305,Kiss József utca,secondary,False,True,7.105,"LINESTRING (20.8980839 47.8219791, 20.8979971 47.8219529)",,
180395794,,Dobó utca,residential,False,False,20.267,"LINESTRING (20.9077703 47.8199278, 20.9077196 47.8198847, 20.9075828 47.8197965)",,
180395794,,Dobó utca,residential,False,True,60.79600000000001,"LINESTRING (20.9077703 47.8199278, 20.9080391 47.8201566, 20.9082506 47.8203688)",,
284862541,,Bacsó Béla utca,residential,False,True,101.81099999999999,"LINESTRING (20.9077703 47.8199278, 20.9068722 47.8201432, 20.906498 47.8202556)",,
70747577,3313,Hősök tere,secondary,False,False,34.405,"LINESTRING (20.9043763 47.8210916, 20.9048371 47.8210936)",2,
70747577,3313,Hősök tere,secondary,False,True,57.193,"LINESTRING (20.9043763 47.8210916, 20.9036104 47.8210821)",2,
284866637,,Hősök tere,residential,False,False,58.684,"LINESTRING (20.9043763 47.8210916, 20.9042137 47.8215792, 20.9042105 47.8216072)",,
284866638,,,residential,True,False,63.154,"LINESTRING (20.9042105 47.8216072, 20.9033776 47.8215081)",,
284866637,,Hősök tere,residential,False,True,58.684,"LINESTRING (20.9042105 47.8216072, 20.9042137 47.8215792, 20.9043763 47.8210916)",,
284866751,3307,Hősök tere,secondary,False,False,38.571,"LINESTRING (20.9033776 47.8215081, 20.9032044 47.8218349)",2,
284866751,3307,Hősök tere,secondary,False,True,37.611,"LINESTRING (20.9033776 47.8215081, 20.9035386 47.8211876)",2,
380009738,,,residential,False,True,134.458,"LINESTRING (20.9050005 47.8201718, 20.9046903 47.8201417, 20.9045386 47.8204704, 20.9048371 47.8210936)",,50
