osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name
1189689325,1,primary,50,roundabout,True,False,13.632,"LINESTRING (19.750604 47.4148477, 19.7505833 47.4148204, 19.7505748 47.4147903, 19.7505792 47.4147598, 19.7505961 47.4147314)",,
222401985,,primary,50,,False,True,28.565,"LINESTRING (19.7504487 47.4150308, 19.7502172 47.4152344)",31,
1189689327,1,primary,50,,True,False,23.484,"LINESTRING (19.7504487 47.4150308, 19.7505886 47.4148695, 19.750604 47.4148477)",31,
222401985,,primary,50,,False,False,28.565,"LINESTRING (19.7502172 47.4152344, 19.7504487 47.4150308)",31,
222401985,,primary,50,,False,True,52.241,"LINESTRING (19.7502172 47.4152344, 19.7498887 47.4156483)",31,
222401955,,residential,,,True,False,105.60900000000001,"LINESTRING (19.7502172 47.4152344, 19.7500733 47.4151932, 19.7499429 47.4152158, 19.7490351 47.4156512)",,Irányi Dániel utca
260978748,,residential,,,False,False,93.611,"LINESTRING (19.7514662 47.4093669, 19.75189 47.4101584)",,Iskola utca
"[260978748, 162777597]",,residential,,,False,"[False, True]",222.94500000000002,"LINESTRING (19.7514662 47.4093669, 19.751198 47.4088696, 19.749234 47.4095105)",,"['Iskola utca', 'Lenkei utca']"
191951792,,residential,,,False,False,117.165,"LINESTRING (19.7544529 47.4094313, 19.7552727 47.4103271)",,Radnóti Miklós utca
162777559,,residential,,,False,True,211.40800000000002,"LINESTRING (19.7544529 47.4094313, 19.7538807 47.4096679, 19.7528019 47.4100386, 19.75189 47.4101584)",,Görgey utca
162777607,,residential,,,False,False,85.405,"LINESTRING (19.749234 47.4095105, 19.7497165 47.4102057)",,Pásztor utca
162777597,,residential,,,False,False,239.45300000000003,"LINESTRING (19.749234 47.4095105, 19.7473194 47.4100406, 19.747136 47.4100914, 19.7465007 47.4103457, 19.7463476 47.410406)",,Lenkei utca
"[260978748, 162777597]",,residential,,,False,"[False, True]",222.94500000000002,"LINESTRING (19.749234 47.4095105, 19.751198 47.4088696, 19.7514662 47.4093669)",,"['Iskola utca', 'Lenkei utca']"
27863366,,primary,50,,False,True,43.667,"LINESTRING (19.7458977 47.40997, 19.7462269 47.4102934)",311,Jászberényi út
260978748,,residential,,,False,True,93.611,"LINESTRING (19.75189 47.4101584, 19.7514662 47.4093669)",,Iskola utca
162777559,,residential,,,False,False,211.40800000000002,"LINESTRING (19.75189 47.4101584, 19.7528019 47.4100386, 19.7538807 47.4096679, 19.7544529 47.4094313)",,Görgey utca
162777559,,residential,,,False,True,163.687,"LINESTRING (19.75189 47.4101584, 19.7508439 47.4101983, 19.7497165 47.4102057)",,Görgey utca
162777607,,residential,,,False,True,85.405,"LINESTRING (19.7497165 47.4102057, 19.749234 47.4095105)",,Pásztor utca
