osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,tunnel
"[969474243, 60731588, 54394623]",2,"['Béla király sétány', 'Magyar utca']",tertiary,False,False,133.41899999999998,"LINESTRING (18.9610299 47.7892821, 18.961138 47.7894885, 18.9612568 47.7896971, 18.9612968 47.7897743, 18.9612862 47.7898023, 18.961245 47.7898266, 18.9609942 47.7898906, 18.9604927 47.7900183, 18.9603958 47.7900431)",,,
"[356934276, 54407309]",1,Béla király sétány,residential,False,True,81.91,"LINESTRING (18.9610299 47.7892821, 18.9610263 47.7892767, 18.9607746 47.788831, 18.9606915 47.7886809, 18.9606332 47.7885956)",,,
599042983,2,Béla király sétány,tertiary,False,True,32.251,"LINESTRING (18.9610299 47.7892821, 18.961349 47.7892071, 18.9614365 47.7891847)",,,
"[299002490, 235615429]",,Fő tér,residential,False,"[False, True]",163.153,"LINESTRING (18.9595638 47.788689, 18.959484 47.7887071, 18.9593275 47.7887427, 18.9589119 47.7888411, 18.9579856 47.7890475, 18.9580474 47.7891638, 18.9581007 47.789267, 18.9581639 47.7893741)",,,
523423697,2,Váci út,primary,False,False,111.26899999999999,"LINESTRING (18.9595638 47.788689, 18.9593834 47.7883591, 18.9592118 47.7880311, 18.9591546 47.7879305, 18.9591198 47.7878804, 18.9590852 47.7878466, 18.9590388 47.7878142, 18.9589717 47.7877872)",12,30,
969474242,2,Váci út,primary,False,True,35.83,"LINESTRING (18.9595638 47.788689, 18.9596622 47.7888171, 18.9597198 47.7888846, 18.9597992 47.7889695)",12,30,
"[356934276, 54407309]",1,Béla király sétány,residential,False,False,81.91,"LINESTRING (18.9606332 47.7885956, 18.9606915 47.7886809, 18.9607746 47.788831, 18.9610263 47.7892767, 18.9610299 47.7892821)",,,
371151297,2,Váci út,primary,False,False,162.697,"LINESTRING (18.9628657 47.7935511, 18.9627628 47.7933285, 18.962692 47.7932101, 18.9626218 47.7931086, 18.9624925 47.7929552, 18.9624375 47.7929006, 18.9624005 47.7928639, 18.9623741 47.7928377, 18.9620525 47.7925801, 18.9619748 47.7925193, 18.9619237 47.7924793, 18.9619081 47.7924665, 18.961875 47.7924423, 18.9617854 47.7923812, 18.9617253 47.7923263)",12,50,
235615386,2,Magyar utca,residential,False,False,118.714,"LINESTRING (18.9603958 47.7900431, 18.9603145 47.7900652, 18.9594046 47.7903127, 18.9589275 47.7904512)",,30,
"[523423696, 969472932]",2,Váci út,primary,False,False,127.442,"LINESTRING (18.9603958 47.7900431, 18.9603671 47.7899908, 18.9601762 47.7896475, 18.960052 47.789424, 18.9598326 47.7890195, 18.9597992 47.7889695)",12,"['50', '30']",
"[969474243, 60731588, 54394623]",2,"['Béla király sétány', 'Magyar utca']",tertiary,False,True,133.41899999999998,"LINESTRING (18.9603958 47.7900431, 18.9604927 47.7900183, 18.9609942 47.7898906, 18.961245 47.7898266, 18.9612862 47.7898023, 18.9612968 47.7897743, 18.9612568 47.7896971, 18.961138 47.7894885, 18.9610299 47.7892821)",,,
"[371151297, 969488295]",2,Váci út,primary,False,True,86.62100000000001,"LINESTRING (18.9603958 47.7900431, 18.9606806 47.7905431, 18.9608142 47.7907696)",12,50,
837220253,2,Millennium sor,primary,False,False,67.332,"LINESTRING (18.9563989 47.7855681, 18.9560468 47.7850107)",12,50,
837220253,2,Millennium sor,primary,False,True,79.573,"LINESTRING (18.9563989 47.7855681, 18.9567634 47.7862405)",12,50,
76977734,,Duna utca,residential,False,False,83.728,"LINESTRING (18.9563989 47.7855681, 18.9564779 47.7855459, 18.9574328 47.7852776)",,,
368703375,,Visegrádi utca,residential,False,False,66.685,"LINESTRING (18.9541885 47.7848997, 18.9549899 47.7846357)",,,
159385259,,Vasút utca,tertiary,False,True,127.24400000000001,"LINESTRING (18.9541885 47.7848997, 18.9544046 47.7851585, 18.9546101 47.7853655, 18.9546621 47.7854259, 18.95482 47.7856479, 18.9549589 47.785915)",12128,,
159385259,,Vasút utca,tertiary,False,False,127.24400000000001,"LINESTRING (18.9549589 47.785915, 18.95482 47.7856479, 18.9546621 47.7854259, 18.9546101 47.7853655, 18.9544046 47.7851585, 18.9541885 47.7848997)",12128,,
159385262,,Vasút utca,residential,False,False,29.955,"LINESTRING (18.9549589 47.785915, 18.9547546 47.785893, 18.9545738 47.7858457)",,,
539310257,,Vasút utca,tertiary,False,True,74.312,"LINESTRING (18.9549589 47.785915, 18.9551084 47.7861594, 18.9552876 47.786376, 18.9554085 47.7864731, 18.9554398 47.786494)",12128,,
"[121612491, 121612493, 235615390]",,Német utca,tertiary,False,True,69.83300000000001,"LINESTRING (18.9561966 47.7870985, 18.9563024 47.7870938, 18.9565277 47.7870466, 18.9566519 47.7870219, 18.9568486 47.786983, 18.9568819 47.7869764, 18.9569061 47.7869723, 18.9570986 47.78694)",12128,,yes
159385260,,Dózsa György út,tertiary,False,False,89.15299999999999,"LINESTRING (18.9561966 47.7870985, 18.9561063 47.7870741, 18.9560348 47.7870248, 18.9559599 47.7869495, 18.9557345 47.7867076, 18.9556378 47.7866281, 18.9555742 47.7865836, 18.9554398 47.786494)",12128,40,
159385261,,Dózsa György út,residential,False,False,128.20499999999998,"LINESTRING (18.9561966 47.7870985, 18.9562327 47.787155, 18.9563942 47.7873688, 18.9565582 47.7875861, 18.9569172 47.7881443)",,,
"[680710980, 838339918]",,"['Német utca', 'Pince utca']",residential,False,True,115.31800000000001,"LINESTRING (18.9561966 47.7870985, 18.9560864 47.7871453, 18.9557338 47.7872834, 18.9555044 47.7873637, 18.9553239 47.7874342, 18.9553081 47.7874569, 18.9553025 47.7874841, 18.9553227 47.7875607, 18.9553602 47.7877049, 18.9553541 47.7877893)",,,
69771987,,Német utca,tertiary,True,False,120.285,"LINESTRING (18.9570986 47.78694, 18.9586552 47.7866637)",12128,,
837220253,2,Millennium sor,primary,False,False,81.713,"LINESTRING (18.9570986 47.78694, 18.9567634 47.7862405)",12,50,
"[121612491, 121612493, 235615390]",,Német utca,tertiary,False,False,69.833,"LINESTRING (18.9570986 47.78694, 18.9569061 47.7869723, 18.9568819 47.7869764, 18.9568486 47.786983, 18.9566519 47.7870219, 18.9565277 47.7870466, 18.9563024 47.7870938, 18.9561966 47.7870985)",12128,,yes
"[969471065, 969471066]","['2', '3']",Millennium sor,primary,False,True,120.16000000000001,"LINESTRING (18.9570986 47.78694, 18.957137 47.7870131, 18.9572575 47.7872521, 18.9573824 47.7874981, 18.9573857 47.7875041, 18.9574464 47.7876296, 18.9575121 47.7877686, 18.9575734 47.7878274, 18.957651 47.7878742, 18.9577331 47.7879082)",12,50,
76893768,,Hold utca,residential,True,False,24.235999999999997,"LINESTRING (18.9597146 47.7934944, 18.959998 47.7934368, 18.960025 47.793431)",,,
838706490,,Kossuth sor,residential,False,True,14.703,"LINESTRING (18.9604445 47.7933998, 18.9602491 47.7933839)",,,
76897210,,Diófa utca,residential,False,True,87.481,"LINESTRING (18.9547867 47.7888336, 18.9541377 47.7890032, 18.9536774 47.7890809)",,,
836203858,,Diófa utca,residential,False,True,70.95599999999999,"LINESTRING (18.9547867 47.7888336, 18.954954 47.7887466, 18.9552074 47.7886684, 18.9556236 47.7885378)",,,
76897190,,Hegy utca,residential,False,True,84.295,"LINESTRING (18.9577975 47.79129, 18.9567387 47.7915521)",,,
490645120,,Rákóczi Ferenc utca,residential,False,False,38.852,"LINESTRING (18.9577975 47.79129, 18.9576939 47.7909476)",,,
490645120,,Rákóczi Ferenc utca,residential,False,True,102.753,"LINESTRING (18.9577975 47.79129, 18.9578521 47.7915124, 18.9579104 47.7917428, 18.9580218 47.7922017)",,,
235615378,,Fehérhegy utca,residential,False,False,31.193,"LINESTRING (18.9541044 47.7923469, 18.9544292 47.7921706)",,,
235615436,,Fehérhegy utca,residential,False,True,11.113,"LINESTRING (18.9541044 47.7923469, 18.9540264 47.792432)",,,
122851287,,István tér,residential,False,True,47.083,"LINESTRING (18.9560987 47.7885964, 18.956233 47.7890101)",,,
836203858,,Diófa utca,residential,False,False,36.087,"LINESTRING (18.9560987 47.7885964, 18.9556236 47.7885378)",,,
"[836203859, 76977741]",,"['Molnár utca', 'István tér']",residential,False,False,92.042,"LINESTRING (18.9560987 47.7885964, 18.9560756 47.7883874, 18.9561003 47.7883681, 18.9569172 47.7881443)",,,
836203858,,Diófa utca,residential,False,True,36.087,"LINESTRING (18.9556236 47.7885378, 18.9560987 47.7885964)",,,
76977756,,Pince utca,residential,False,False,33.964,"LINESTRING (18.9556236 47.7885378, 18.9555861 47.7883857, 18.9555342 47.7882385)",,,
836203858,,Diófa utca,residential,False,False,70.95599999999999,"LINESTRING (18.9556236 47.7885378, 18.9552074 47.7886684, 18.954954 47.7887466, 18.9547867 47.7888336)",,,
235615378,,Fehérhegy utca,residential,False,False,77.988,"LINESTRING (18.9567314 47.7912192, 18.9576939 47.7909476)",,,
235615378,,Fehérhegy utca,residential,False,True,40.809,"LINESTRING (18.9567314 47.7912192, 18.9562375 47.791376)",,,
76897198,,Nap utca,residential,False,True,248.168,"LINESTRING (18.9567314 47.7912192, 18.9566049 47.7908343, 18.9563935 47.7904845, 18.9562558 47.7901011, 18.9561359 47.7897113, 18.9559972 47.7894057, 18.9559188 47.7891689, 18.9559367 47.789064)",,,
235615378,,Fehérhegy utca,residential,False,False,105.075,"LINESTRING (18.9550578 47.7918906, 18.9562375 47.791376)",,,
235615378,,Fehérhegy utca,residential,False,True,34.932,"LINESTRING (18.9550578 47.7918906, 18.9546667 47.7920628)",,,
"[460233048, 76897196, 523423699, 523423700]",,Fehérhegy utca,residential,False,False,534.4269999999999,"LINESTRING (18.9550578 47.7918906, 18.9549501 47.7918186, 18.9541154 47.7915697, 18.9531519 47.7913138, 18.9529731 47.7912609, 18.9527442 47.791206, 18.9526237 47.7911643, 18.9525646 47.7911353, 18.9525492 47.7911058, 18.9525586 47.7910808, 18.9525855 47.7910621, 18.9526344 47.7910425, 18.9527706 47.791009, 18.9529066 47.7909891, 18.9530666 47.7909612, 18.9532718 47.7909244, 18.9534885 47.7909076, 18.9536557 47.7909054, 18.9537965 47.7908846, 18.9540433 47.7908413, 18.954121 47.7908098, 18.9542189 47.7907616, 18.9543255 47.7906835, 18.9543892 47.790613, 18.9544491 47.7905388, 18.9545144 47.7903843, 18.9545161 47.790355, 18.9545242 47.790218, 18.954523 47.7901292, 18.9544004 47.7900539, 18.9541692 47.7900342, 18.9538956 47.7900736, 18.9537393 47.7900965, 18.9535743 47.7901179, 18.9533452 47.7901327, 18.9530412 47.7901323)",,,
76977755,,Szent Imre herceg tér,residential,True,False,40.42,"LINESTRING (18.9572899 47.7895547, 18.9572588 47.7891918)",,,
76897192,,Szent Imre herceg tér,residential,False,False,101.23199999999999,"LINESTRING (18.9572899 47.7895547, 18.9572081 47.789509, 18.9567658 47.789262, 18.9563314 47.7890088, 18.956233 47.7890101)",,,
122851281,,Rákóczi Ferenc utca,residential,False,True,139.92,"LINESTRING (18.9572899 47.7895547, 18.9577071 47.7905676, 18.9577513 47.7907055, 18.9577657 47.7907711)",,,
"[333541332, 338194389]",,Szent Imre herceg tér,residential,False,False,69.173,"LINESTRING (18.9572899 47.7895547, 18.9573912 47.7895631, 18.9578912 47.7894582, 18.9581639 47.7893741)",,,yes
338206677,,Szent Imre herceg tér,residential,False,True,71.48,"LINESTRING (18.9572899 47.7895547, 18.9572071 47.7895669, 18.9568049 47.789626, 18.9563527 47.7896839)",,,
235615378,,Fehérhegy utca,residential,False,False,40.809,"LINESTRING (18.9562375 47.791376, 18.9567314 47.7912192)",,,
235615378,,Fehérhegy utca,residential,False,True,105.075,"LINESTRING (18.9562375 47.791376, 18.9550578 47.7918906)",,,
1167528396,,,residential,False,False,47.625,"LINESTRING (18.9562375 47.791376, 18.9563111 47.791483, 18.956332 47.791488, 18.9565882 47.7914852, 18.9566643 47.7915054, 18.9567387 47.7915521)",,,
76897198,,Nap utca,residential,False,False,248.168,"LINESTRING (18.9559367 47.789064, 18.9559188 47.7891689, 18.9559972 47.7894057, 18.9561359 47.7897113, 18.9562558 47.7901011, 18.9563935 47.7904845, 18.9566049 47.7908343, 18.9567314 47.7912192)",,,
76897205,,István tér,residential,False,False,22.933,"LINESTRING (18.9559367 47.789064, 18.9561237 47.7890295, 18.956233 47.7890101)",,,
"[76897202, 523423698]",,Kálvária utca,residential,True,False,91.10799999999999,"LINESTRING (18.9559367 47.789064, 18.9558311 47.7890374, 18.9556839 47.7889997, 18.9553965 47.7888881, 18.955116 47.7888736, 18.9549769 47.7888666, 18.9547867 47.7888336)",,,
76897190,,Hegy utca,residential,False,False,84.295,"LINESTRING (18.9567387 47.7915521, 18.9577975 47.79129)",,,
76897220,,Hegy utca,residential,False,True,97.886,"LINESTRING (18.9567387 47.7915521, 18.9567971 47.7919882, 18.956801 47.7921053, 18.9566054 47.7924029)",,,
1167528396,,,residential,False,True,47.625,"LINESTRING (18.9567387 47.7915521, 18.9566643 47.7915054, 18.9565882 47.7914852, 18.956332 47.791488, 18.9563111 47.791483, 18.9562375 47.791376)",,,
235615378,,Fehérhegy utca,residential,False,True,77.988,"LINESTRING (18.9576939 47.7909476, 18.9567314 47.7912192)",,,
490645120,,Rákóczi Ferenc utca,residential,False,True,38.852,"LINESTRING (18.9576939 47.7909476, 18.9577975 47.79129)",,,
476727169,,Rákóczi Ferenc utca,residential,False,False,20.633,"LINESTRING (18.9576939 47.7909476, 18.9577406 47.7908866, 18.9577588 47.7908283, 18.9577657 47.7907711)",,,
76897210,,Diófa utca,residential,False,False,87.481,"LINESTRING (18.9536774 47.7890809, 18.9541377 47.7890032, 18.9547867 47.7888336)",,,
122851287,,István tér,residential,False,False,47.083,"LINESTRING (18.956233 47.7890101, 18.9560987 47.7885964)",,,
76897192,,Szent Imre herceg tér,residential,False,True,101.232,"LINESTRING (18.956233 47.7890101, 18.9563314 47.7890088, 18.9567658 47.789262, 18.9572081 47.789509, 18.9572899 47.7895547)",,,
76897205,,István tér,residential,False,True,22.933,"LINESTRING (18.956233 47.7890101, 18.9561237 47.7890295, 18.9559367 47.789064)",,,
121625887,,Molnár utca,residential,False,True,86.79599999999999,"LINESTRING (18.9601279 47.7874614, 18.9600246 47.7874747, 18.9599267 47.7874953, 18.9590152 47.7876845)",,,
"[76978010, 121612508, 121612510]",,Király utca,residential,False,False,132.21,"LINESTRING (18.9583486 47.7933183, 18.9588725 47.7931828, 18.9597624 47.7929237, 18.9598977 47.7928802, 18.9599773 47.7928541)",,,yes
490645120,,Rákóczi Ferenc utca,residential,False,False,126.59200000000001,"LINESTRING (18.9583486 47.7933183, 18.9581701 47.7927876, 18.9580876 47.7924908, 18.9580218 47.7922017)",,,
1115297220,,Német utca,tertiary,False,True,7.294,"LINESTRING (18.9586552 47.7866637, 18.9587495 47.7866467)",12128,,
76977743,,Váci út,residential,True,False,10.595,"LINESTRING (18.9586552 47.7866637, 18.9586918 47.7866711, 18.9587174 47.7866806, 18.958738 47.7866931, 18.9587648 47.7867187)",,,
76977745,,Zöldfa utca,residential,False,False,58.28,"LINESTRING (18.9577828 47.7860095, 18.958523 47.7858441)",,,
76977745,,Zöldfa utca,residential,False,True,80.37599999999999,"LINESTRING (18.9577828 47.7860095, 18.9568331 47.7862247, 18.9567634 47.7862405)",,,
837220253,2,Millennium sor,primary,False,True,67.332,"LINESTRING (18.9560468 47.7850107, 18.9563989 47.7855681)",12,50,
76977734,,Duna utca,residential,False,False,104.115,"LINESTRING (18.9574328 47.7852776, 18.958721 47.7849205)",,,
76977752,,Rózsa utca,residential,True,False,85.482,"LINESTRING (18.9574328 47.7852776, 18.9577828 47.7860095)",,,
76977734,,Duna utca,residential,False,True,83.728,"LINESTRING (18.9574328 47.7852776, 18.9564779 47.7855459, 18.9563989 47.7855681)",,,
836203859,,Molnár utca,residential,False,False,17.491,"LINESTRING (18.9569172 47.7881443, 18.957138 47.788092)",,,
159385261,,Dózsa György út,residential,False,True,128.20499999999998,"LINESTRING (18.9569172 47.7881443, 18.9565582 47.7875861, 18.9563942 47.7873688, 18.9562327 47.787155, 18.9561966 47.7870985)",,,
"[836203859, 76977741]",,"['Molnár utca', 'István tér']",residential,False,True,92.042,"LINESTRING (18.9569172 47.7881443, 18.9561003 47.7883681, 18.9560756 47.7883874, 18.9560987 47.7885964)",,,
837220253,2,Millennium sor,primary,False,False,79.573,"LINESTRING (18.9567634 47.7862405, 18.9563989 47.7855681)",12,50,
837220253,2,Millennium sor,primary,False,True,81.713,"LINESTRING (18.9567634 47.7862405, 18.9570986 47.78694)",12,50,
76977745,,Zöldfa utca,residential,False,False,80.37599999999999,"LINESTRING (18.9567634 47.7862405, 18.9568331 47.7862247, 18.9577828 47.7860095)",,,
121625887,,Molnár utca,residential,False,False,86.796,"LINESTRING (18.9590152 47.7876845, 18.9599267 47.7874953, 18.9600246 47.7874747, 18.9601279 47.7874614)",,,
969472933,,Váci út,residential,False,False,11.979,"LINESTRING (18.9590152 47.7876845, 18.959005 47.7877346, 18.9589717 47.7877872)",,,
76977736,,Szív utca,residential,False,True,105.59299999999999,"LINESTRING (18.9551024 47.7865468, 18.9550772 47.7865168, 18.9550281 47.786505, 18.9549419 47.7865007, 18.9547788 47.786518, 18.9546329 47.7865449, 18.9545387 47.7865444, 18.9544619 47.7865141, 18.9543479 47.7863858, 18.9541736 47.7860699)",,,
76977750,,Szív utca,residential,False,False,82.91600000000001,"LINESTRING (18.9551024 47.7865468, 18.9550852 47.7865675, 18.955027 47.7866112, 18.9549659 47.786686, 18.9549423 47.7867371, 18.9549257 47.7867732, 18.9549008 47.786876, 18.9549002 47.786993, 18.9549286 47.7871208, 18.9549541 47.7872459, 18.9549561 47.7872559)",,,
680710982,,Szent Erzsébet tér,residential,False,False,26.743,"LINESTRING (18.9551024 47.7865468, 18.955202 47.7865389, 18.955305 47.7865436, 18.9553676 47.7865263, 18.9554398 47.786494)",,,
76977745,,Zöldfa utca,residential,False,True,58.28,"LINESTRING (18.958523 47.7858441, 18.9577828 47.7860095)",,,
76977754,,Nyár utca,residential,True,False,90.649,"LINESTRING (18.958523 47.7858441, 18.9587604 47.7866076, 18.9587704 47.7866422)",,,
76977756,,Pince utca,residential,False,True,51.747,"LINESTRING (18.9553541 47.7877893, 18.9553908 47.7878689, 18.9554639 47.7880405, 18.9555342 47.7882385)",,,
"[680710980, 838339918]",,"['Német utca', 'Pince utca']",residential,False,False,115.318,"LINESTRING (18.9553541 47.7877893, 18.9553602 47.7877049, 18.9553227 47.7875607, 18.9553025 47.7874841, 18.9553081 47.7874569, 18.9553239 47.7874342, 18.9555044 47.7873637, 18.9557338 47.7872834, 18.9560864 47.7871453, 18.9561966 47.7870985)",,,
837184075,,Pince utca,residential,False,True,66.577,"LINESTRING (18.9553541 47.7877893, 18.9551885 47.7875121, 18.9550745 47.7873886, 18.9549561 47.7872559)",,,
76977733,,Szív utca,residential,False,False,131.759,"LINESTRING (18.9555342 47.7882385, 18.9554041 47.7882501, 18.9553097 47.7882362, 18.9552415 47.7882057, 18.9551885 47.78815, 18.9551449 47.7880344, 18.955104 47.7879432, 18.9550897 47.7879115, 18.9550302 47.787721, 18.9549879 47.7875265, 18.9549619 47.7873985, 18.9549561 47.7872559)",,,
76977756,,Pince utca,residential,False,False,51.747,"LINESTRING (18.9555342 47.7882385, 18.9554639 47.7880405, 18.9553908 47.7878689, 18.9553541 47.7877893)",,,
76977756,,Pince utca,residential,False,True,33.964,"LINESTRING (18.9555342 47.7882385, 18.9555861 47.7883857, 18.9556236 47.7885378)",,,
76977736,,Szív utca,residential,False,False,105.59299999999999,"LINESTRING (18.9541736 47.7860699, 18.9543479 47.7863858, 18.9544619 47.7865141, 18.9545387 47.7865444, 18.9546329 47.7865449, 18.9547788 47.786518, 18.9549419 47.7865007, 18.9550281 47.786505, 18.9550772 47.7865168, 18.9551024 47.7865468)",,,
76977733,,Szív utca,residential,False,True,131.759,"LINESTRING (18.9549561 47.7872559, 18.9549619 47.7873985, 18.9549879 47.7875265, 18.9550302 47.787721, 18.9550897 47.7879115, 18.955104 47.7879432, 18.9551449 47.7880344, 18.9551885 47.78815, 18.9552415 47.7882057, 18.9553097 47.7882362, 18.9554041 47.7882501, 18.9555342 47.7882385)",,,
76977750,,Szív utca,residential,False,True,82.916,"LINESTRING (18.9549561 47.7872559, 18.9549541 47.7872459, 18.9549286 47.7871208, 18.9549002 47.786993, 18.9549008 47.786876, 18.9549257 47.7867732, 18.9549423 47.7867371, 18.9549659 47.786686, 18.955027 47.7866112, 18.9550852 47.7865675, 18.9551024 47.7865468)",,,
837184075,,Pince utca,residential,False,False,66.577,"LINESTRING (18.9549561 47.7872559, 18.9550745 47.7873886, 18.9551885 47.7875121, 18.9553541 47.7877893)",,,
76978015,,Mainzi utca,residential,True,False,79.831,"LINESTRING (18.9580218 47.7922017, 18.9590145 47.7919359)",,,
490645120,,Rákóczi Ferenc utca,residential,False,False,102.75299999999999,"LINESTRING (18.9580218 47.7922017, 18.9579104 47.7917428, 18.9578521 47.7915124, 18.9577975 47.79129)",,,
490645120,,Rákóczi Ferenc utca,residential,False,True,126.59200000000001,"LINESTRING (18.9580218 47.7922017, 18.9580876 47.7924908, 18.9581701 47.7927876, 18.9583486 47.7933183)",,,
371151297,2,Váci út,primary,False,True,72.99,"LINESTRING (18.9608142 47.7907696, 18.9611605 47.7913834)",12,50,
"[371151297, 969488295]",2,Váci út,primary,False,False,86.62100000000001,"LINESTRING (18.9608142 47.7907696, 18.9606806 47.7905431, 18.9603958 47.7900431)",12,50,
525193309,,Kossuth sor,residential,True,False,121.405,"LINESTRING (18.9594729 47.7918162, 18.9599773 47.7928541)",,,
"[121612497, 1082583371, 121612502]",,Mainzi utca,residential,False,"[False, True]",36.742,"LINESTRING (18.9594729 47.7918162, 18.9594452 47.7918237, 18.9593865 47.7918388, 18.9591829 47.7918904, 18.9591042 47.7919116, 18.9590145 47.7919359)",,,yes
121612502,,Mainzi utca,residential,False,True,15.876,"LINESTRING (18.9594729 47.7918162, 18.9595521 47.7917955, 18.9596711 47.7917647)",,,
121612508,,Király utca,residential,False,True,143.169,"LINESTRING (18.9617253 47.7923263, 18.9616293 47.7923582, 18.9615955 47.7923684, 18.9599773 47.7928541)",,,
371151297,2,Váci út,primary,False,False,113.083,"LINESTRING (18.9617253 47.7923263, 18.961665 47.792247, 18.9614692 47.7919372, 18.9611605 47.7913834)",12,50,
371151297,2,Váci út,primary,False,True,162.697,"LINESTRING (18.9617253 47.7923263, 18.9617854 47.7923812, 18.961875 47.7924423, 18.9619081 47.7924665, 18.9619237 47.7924793, 18.9619748 47.7925193, 18.9620525 47.7925801, 18.9623741 47.7928377, 18.9624005 47.7928639, 18.9624375 47.7929006, 18.9624925 47.7929552, 18.9626218 47.7931086, 18.962692 47.7932101, 18.9627628 47.7933285, 18.9628657 47.7935511)",12,50,
217342486,,Magyar utca,residential,False,True,14.082,"LINESTRING (18.9589275 47.7904512, 18.9587535 47.7904999)",,,
76978016,,Gesztenye sor,residential,True,False,91.021,"LINESTRING (18.9589275 47.7904512, 18.9591814 47.7909006, 18.9593518 47.7912185)",,,
235615386,2,Magyar utca,residential,False,True,118.714,"LINESTRING (18.9589275 47.7904512, 18.9594046 47.7903127, 18.9603145 47.7900652, 18.9603958 47.7900431)",,30,
76978011,,Kossuth sor,residential,False,False,62.312,"LINESTRING (18.9602491 47.7933839, 18.9599773 47.7928541)",,,
838706490,,Kossuth sor,residential,False,False,14.703,"LINESTRING (18.9602491 47.7933839, 18.9604445 47.7933998)",,,
"[121612505, 121612500]",,Hold utca,residential,False,True,17.541999999999998,"LINESTRING (18.9602491 47.7933839, 18.9601727 47.7934006, 18.960025 47.793431)",,,yes
371151297,2,Váci út,primary,False,False,72.99,"LINESTRING (18.9611605 47.7913834, 18.9608142 47.7907696)",12,50,
371151297,2,Váci út,primary,False,True,113.083,"LINESTRING (18.9611605 47.7913834, 18.9614692 47.7919372, 18.961665 47.792247, 18.9617253 47.7923263)",12,50,
525193306,,Mainzi utca,residential,False,False,119.069,"LINESTRING (18.9611605 47.7913834, 18.9610587 47.791409, 18.9596711 47.7917647)",,,
525193307,,Mainzi utca,residential,False,True,61.769999999999996,"LINESTRING (18.9611605 47.7913834, 18.9612686 47.7913573, 18.9619349 47.7911887)",,,
76978011,,Kossuth sor,residential,False,True,62.312,"LINESTRING (18.9599773 47.7928541, 18.9602491 47.7933839)",,,
121612508,,Király utca,residential,False,False,143.169,"LINESTRING (18.9599773 47.7928541, 18.9615955 47.7923684, 18.9616293 47.7923582, 18.9617253 47.7923263)",,,
"[76978010, 121612508, 121612510]",,Király utca,residential,False,True,132.21,"LINESTRING (18.9599773 47.7928541, 18.9598977 47.7928802, 18.9597624 47.7929237, 18.9588725 47.7931828, 18.9583486 47.7933183)",,,yes
76978016,,Gesztenye sor,residential,True,False,65.251,"LINESTRING (18.9593518 47.7912185, 18.9596711 47.7917647)",,,
76978017,,Csillag utca,residential,True,False,120.112,"LINESTRING (18.9593518 47.7912185, 18.9607354 47.7907938, 18.9608142 47.7907696)",,,
100107460,,Monsberger tér,residential,False,False,38.782,"LINESTRING (18.9572588 47.7891918, 18.957761 47.7891035)",,,
235615374,,Dózsa György út,residential,True,False,120.248,"LINESTRING (18.9572588 47.7891918, 18.9571736 47.7886302, 18.9571068 47.7884495, 18.9569172 47.7881443)",,,
"[121612505, 121612500]",,Hold utca,residential,False,False,17.541999999999998,"LINESTRING (18.960025 47.793431, 18.9601727 47.7934006, 18.9602491 47.7933839)",,,yes
100107460,,Monsberger tér,residential,False,True,38.782,"LINESTRING (18.957761 47.7891035, 18.9572588 47.7891918)",,,
"[235615433, 368703378]",,Millennium sor,residential,False,True,138.942,"LINESTRING (18.9577331 47.7879082, 18.9574531 47.7880078, 18.9577188 47.7885288, 18.9579537 47.7889884)",,,
545846224,2,Molnár utca,primary,False,True,95.75100000000002,"LINESTRING (18.9577331 47.7879082, 18.9578153 47.7879199, 18.9579007 47.7879218, 18.9580297 47.7879082, 18.958579 47.7877828, 18.9587316 47.787761, 18.9588014 47.7877609, 18.9588797 47.7877669, 18.9589717 47.7877872)",12,30,
"[969471065, 969471066]","['2', '3']",Millennium sor,primary,False,False,120.16,"LINESTRING (18.9577331 47.7879082, 18.957651 47.7878742, 18.9575734 47.7878274, 18.9575121 47.7877686, 18.9574464 47.7876296, 18.9573857 47.7875041, 18.9573824 47.7874981, 18.9572575 47.7872521, 18.957137 47.7870131, 18.9570986 47.78694)",12,50,
217342486,,Magyar utca,residential,False,False,14.082,"LINESTRING (18.9587535 47.7904999, 18.9589275 47.7904512)",,,
235615380,,Magyar utca,residential,True,False,24.357,"LINESTRING (18.9587535 47.7904999, 18.9586931 47.7905444, 18.9585715 47.7905759, 18.9584656 47.7905799)",,,yes
"[1189946008, 541739143]",,Millennium sor,residential,False,True,132.70600000000002,"LINESTRING (18.9587535 47.7904999, 18.958436 47.7898936, 18.9581639 47.7893741)",,,
836203859,,Molnár utca,residential,False,True,17.491,"LINESTRING (18.957138 47.788092, 18.9569172 47.7881443)",,,
76978012,,Magyar utca,residential,False,False,56.44500000000001,"LINESTRING (18.9584656 47.7905799, 18.9583909 47.7906001, 18.9580886 47.7906842, 18.9577657 47.7907711)",,,
376385652,,,residential,True,False,24.052,"LINESTRING (18.9584656 47.7905799, 18.9585458 47.7905344, 18.9586658 47.7905022, 18.9587535 47.7904999)",,,yes
