osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
113783799,Alkotmány körút,secondary,False,False,75.795,"LINESTRING (20.1050581 46.3667806, 20.1057909 46.3672377)",2,4525,30
69332198,Sport utca,residential,False,True,215.71099999999998,"LINESTRING (20.1050581 46.3667806, 20.1049916 46.3668316, 20.1031775 46.3682226)",,,
113783799,Alkotmány körút,secondary,False,True,190.227,"LINESTRING (20.1050581 46.3667806, 20.1036685 46.3659149, 20.1032978 46.365684, 20.1032179 46.3656342)",2,4525,30
"[350706802, 172896573]",Május 1. tér,residential,False,False,96.729,"LINESTRING (20.1050581 46.3667806, 20.105147 46.3667164, 20.1054079 46.3665202, 20.1055228 46.3664179, 20.1055997 46.3663592, 20.1058978 46.3661323)",,,50
113783799,Alkotmány körút,secondary,False,False,96.885,"LINESTRING (20.1057909 46.3672377, 20.1067293 46.3678207)",2,4525,30
113783799,Alkotmány körút,secondary,False,True,75.795,"LINESTRING (20.1057909 46.3672377, 20.1050581 46.3667806)",2,4525,30
172893550,Május 1. tér,residential,False,True,168.362,"LINESTRING (20.1057909 46.3672377, 20.1058615 46.3671904, 20.1062741 46.3668936, 20.1063795 46.36681, 20.1064323 46.366768, 20.1065536 46.3666717, 20.1065784 46.3666034, 20.1065388 46.3665454, 20.1064794 46.3664908, 20.1060513 46.3662269, 20.1058978 46.3661323)",,,50
183291490,Alkotmány körút,secondary,False,False,92.993,"LINESTRING (20.1085946 46.3685319, 20.1088182 46.3685563, 20.10933 46.368597, 20.1098004 46.3685926)",2,4525,
183291490,Alkotmány körút,secondary,False,True,75.958,"LINESTRING (20.1085946 46.3685319, 20.1082245 46.368465, 20.1076732 46.3682891)",2,4525,
587214103,Rigó utca,residential,False,True,114.052,"LINESTRING (20.1105661 46.3626001, 20.1095422 46.3633436)",,,
164086946,Homok dűlő,residential,False,True,404.758,"LINESTRING (20.0978592 46.3698086, 20.1013354 46.3670706)",,,
