osmid,highway,oneway,reversed,length,geometry,ref,bridge,maxspeed,name,lanes
333920977,unclassified,False,True,78.197,"LINESTRING (-9.1122817 51.717179, -9.1124082 51.7171586, -9.1124565 51.7172284, -9.1127194 51.7171752, -9.1130308 51.7170595, -9.1129447 51.7169193)",,,,,
405377202,secondary,False,False,36.696,"LINESTRING (-9.1122817 51.717179, -9.1122294 51.7169554, -9.1122032 51.7169017, -9.1121547 51.7168643)",R599,,,,
"[405378040, 295074018, 405377202, 405380326]",secondary,False,True,106.60799999999999,"LINESTRING (-9.1122817 51.717179, -9.1122885 51.7172511, -9.1122935 51.7173799, -9.1123725 51.7176042, -9.1124365 51.7177406, -9.1124907 51.7178563, -9.1126031 51.7181126)",R599,yes,50,Park Road,2
191151045,residential,False,False,44.07299999999999,"LINESTRING (-9.1095103 51.7215262, -9.1094929 51.721593, -9.1094393 51.7216362, -9.1093481 51.7216528, -9.1092354 51.7216296, -9.1092086 51.7215897, -9.1091979 51.7215299, -9.1092016 51.7214916)",,,50,Sackville Mews,
295031446,unclassified,False,False,21.89,"LINESTRING (-9.1095103 51.7215262, -9.1093502 51.7215242, -9.1092016 51.7214916)",,,50,Sackville Mews,
295031446,unclassified,False,True,56.521,"LINESTRING (-9.1095103 51.7215262, -9.1098518 51.7215044, -9.1100894 51.7215034, -9.1103265 51.7215249)",,,50,Sackville Mews,
"[239482200, 239482174]",tertiary,False,"[False, True]",265.554,"LINESTRING (-9.1075307 51.7211975, -9.1080749 51.7216628, -9.1085079 51.722033, -9.1093648 51.7227051, -9.1094057 51.7227372, -9.109865 51.7230975)",L4620,,,Sackville Street,2
"[295073921, 295073922, 405380327, 287005119]",tertiary,False,False,498.397,"LINESTRING (-9.1075307 51.7211975, -9.1072482 51.7209441, -9.1072309 51.7208726, -9.1072297 51.7208484, -9.1072267 51.7207879, -9.1072309 51.7207111, -9.1072643 51.7206251, -9.107306 51.7205496, -9.1073899 51.7204812, -9.1075269 51.7204182, -9.1080949 51.7202329, -9.1087242 51.7200442, -9.1091083 51.7199496, -9.1095378 51.7198815, -9.1102737 51.7197943, -9.1118442 51.7195239, -9.112141 51.7194652, -9.1126709 51.7193374, -9.1129656 51.7192565)",L4620,yes,50,Quarry Road,2
295031446,unclassified,False,True,145.32099999999997,"LINESTRING (-9.1075307 51.7211975, -9.1079965 51.7209775, -9.1081598 51.7209769, -9.1083168 51.720997, -9.1084887 51.7210739, -9.1087859 51.7212504, -9.1090117 51.7214172, -9.109108 51.7214602, -9.1092016 51.7214916)",,,50,Sackville Mews,
191151045,residential,False,True,44.073,"LINESTRING (-9.1092016 51.7214916, -9.1091979 51.7215299, -9.1092086 51.7215897, -9.1092354 51.7216296, -9.1093481 51.7216528, -9.1094393 51.7216362, -9.1094929 51.721593, -9.1095103 51.7215262)",,,50,Sackville Mews,
