osmid,lanes,ref,name,highway,maxspeed,access,junction,oneway,reversed,length,geometry,bridge,tunnel
34426956,1,N25,Shandon Roundabout,trunk,60,yes,roundabout,True,False,13.893,"LINESTRING (-7.6229202 52.0937252, -7.6228996 52.0937595, -7.6228686 52.0937906, -7.622809 52.0938274)",,
42234843,,L3147,,tertiary,,,,True,False,28.238,"LINESTRING (-7.622809 52.0938274, -7.6227337 52.0940771)",,
34426956,1,N25,Shandon Roundabout,trunk,60,yes,roundabout,True,False,21.319000000000003,"LINESTRING (-7.622809 52.0938274, -7.6227175 52.0938568, -7.6226636 52.0938643, -7.6226084 52.0938658, -7.6225122 52.0938534)",,
34426957,1,N25,,trunk,60,,,True,False,44.855000000000004,"LINESTRING (-7.6223673 52.0937826, -7.6222682 52.0937684, -7.6220503 52.0937168, -7.6217388 52.0936684)",,
421093273,1,N25,Shandon Roundabout,trunk,60,yes,roundabout,True,False,22.029,"LINESTRING (-7.6223673 52.0937826, -7.6223409 52.0937532, -7.6223233 52.0937213, -7.622315 52.093685, -7.6223182 52.0936483, -7.6223462 52.0935935)",,
34426958,1,N25,Strandside Roundabout,trunk,60,yes,roundabout,True,False,19.824,"LINESTRING (-7.6184157 52.0937787, -7.6183274 52.0938029, -7.6182316 52.0938111, -7.6181358 52.0938027)",,
42234839,,L3162,Strandside North,tertiary,,,,True,False,48.58,"LINESTRING (-7.6184157 52.0937787, -7.6183537 52.0938805, -7.618334 52.0939881, -7.6183391 52.094208)",,
"[385864521, 385864522]",,R911,Rices Street,secondary,50,,,False,False,83.121,"LINESTRING (-7.627981 52.0860835, -7.6272843 52.0863789, -7.6272582 52.08639, -7.6269738 52.0865026)",,
42233945,,,Ringnasilloge Place,residential,,,,False,False,87.197,"LINESTRING (-7.6260089 52.0868813, -7.6254144 52.0861874)",,
385864523,,R911,Rices Street,secondary,50,,,False,False,89.772,"LINESTRING (-7.6260089 52.0868813, -7.6257079 52.0869978, -7.6256108 52.0870354, -7.6253819 52.087124, -7.6253349 52.0871422, -7.6248972 52.0873116)",,
"[385864522, 385864523]",,R911,Rices Street,secondary,50,,,False,True,78.232,"LINESTRING (-7.6260089 52.0868813, -7.6261432 52.0868314, -7.6269738 52.0865026)",,
164389228,,,Rice's Court,residential,,,,False,False,76.57199999999999,"LINESTRING (-7.6248972 52.0873116, -7.6249189 52.087347, -7.6249465 52.0873918, -7.624941 52.0879421, -7.6249927 52.087984)",,
"[385864523, 184358156]",,R911,Rices Street,secondary,50,,,False,False,105.82000000000001,"LINESTRING (-7.6248972 52.0873116, -7.6244902 52.0874703, -7.6242976 52.0875555, -7.6241993 52.0876139, -7.6241721 52.08763, -7.6240353 52.0877139, -7.6237531 52.0879384)",,
385864523,,R911,Rices Street,secondary,50,,,False,True,89.772,"LINESTRING (-7.6248972 52.0873116, -7.6253349 52.0871422, -7.6253819 52.087124, -7.6256108 52.0870354, -7.6257079 52.0869978, -7.6260089 52.0868813)",,
184358156,,R911,Rices Street,secondary,50,,,False,True,27.051000000000002,"LINESTRING (-7.6234581 52.0881003, -7.6236124 52.0880229, -7.6237531 52.0879384)",,
385864528,,,Mitchel Street,tertiary,,,,False,True,48.497,"LINESTRING (-7.6234581 52.0881003, -7.6235445 52.0881906, -7.6236101 52.0882376, -7.6236303 52.0882492, -7.6236634 52.0882682, -7.6237745 52.0883052, -7.6240071 52.0883396)",,
1010767288,,R911,Mitchel Street,secondary,50,,,False,False,24.857,"LINESTRING (-7.6234581 52.0881003, -7.6233809 52.0881216, -7.6232384 52.0881455, -7.6231078 52.0881548)",,
46491062,,R911,Mitchel Street,secondary,50,,,False,False,122.69,"LINESTRING (-7.6231078 52.0881548, -7.6224275 52.0880447, -7.6222632 52.0880179, -7.6219184 52.0879606, -7.6214804 52.0878923, -7.6213693 52.0878791)",,
