osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref
149748864,2,,residential,30,False,False,7.242,"LINESTRING (-7.1100125 53.4578967, -7.1101063 53.4579302)",
149748864,2,,residential,30,False,True,209.44399999999996,"LINESTRING (-7.1100125 53.4578967, -7.1089959 53.4575374, -7.1089563 53.4574796, -7.1089831 53.457411, -7.109063 53.4573426, -7.1092266 53.4573106, -7.1095262 53.4573717, -7.110019 53.4576445, -7.1104747 53.4576595)",
149748812,2,,residential,30,False,True,207.73600000000002,"LINESTRING (-7.110904 53.4572949, -7.1099042 53.4567746, -7.1098843 53.4567083, -7.1099109 53.4566419, -7.1099702 53.4565821, -7.1100626 53.4565539, -7.1101946 53.4565525, -7.1107179 53.4566973, -7.1112653 53.4569087)",
149757340,2,,residential,30,False,False,51.007999999999996,"LINESTRING (-7.110904 53.4572949, -7.1105784 53.4574767, -7.1104747 53.4576595)",
"[149757340, 149748838]",2,,residential,30,False,True,130.657,"LINESTRING (-7.110904 53.4572949, -7.1110559 53.4572452, -7.1112113 53.4572216, -7.1113391 53.4572316, -7.1114507 53.4572752, -7.1115638 53.4573404, -7.1117882 53.4574677, -7.1118772 53.4574701, -7.1119694 53.4574533, -7.1120328 53.4574174, -7.1120866 53.4573685, -7.1120671 53.457293, -7.1117863 53.4571147)",
149748810,2,,residential,,False,False,93.03,"LINESTRING (-7.1080605 53.4588238, -7.1075883 53.4591888, -7.10729 53.4594232, -7.1072005 53.4594853)",
149748872,2,,residential,30,False,False,48.742,"LINESTRING (-7.1109664 53.4582372, -7.1115617 53.4584951)",
149748872,2,,residential,30,False,True,54.566,"LINESTRING (-7.1109664 53.4582372, -7.110275 53.4579701)",
149748805,2,,residential,,False,True,61.769,"LINESTRING (-7.1109664 53.4582372, -7.111123 53.458086, -7.1111155 53.458006, -7.1107543 53.4578001)",
64776629,2,Cluainn Craoibh,residential,30,False,False,60.544,"LINESTRING (-7.10872 53.4564409, -7.108763 53.4564031, -7.1088435 53.4563325, -7.1090918 53.4561144, -7.1092333 53.4559903)",
64776629,2,Cluainn Craoibh,residential,30,False,True,95.60300000000001,"LINESTRING (-7.10872 53.4564409, -7.1081924 53.4569041, -7.1079096 53.4571525)",
149748796,2,Cluainn Craoibh,residential,30,False,True,77.82100000000001,"LINESTRING (-7.10872 53.4564409, -7.1082247 53.4562357, -7.1084941 53.4559804, -7.1085292 53.4559474)",
149748799,2,,residential,,False,False,21.565,"LINESTRING (-7.1070548 53.4555017, -7.106731 53.4554808)",
149748799,2,,residential,,False,True,34.566,"LINESTRING (-7.1070548 53.4555017, -7.1075702 53.4555512)",
149748804,2,The Hawthorns,residential,50,False,False,62.19,"LINESTRING (-7.1049144 53.4577922, -7.1049843 53.4577188, -7.105278 53.4573794, -7.1054085 53.4573281)",
149748804,2,The Hawthorns,residential,50,False,True,92.481,"LINESTRING (-7.1049144 53.4577922, -7.104699 53.4580161, -7.1042573 53.4583854, -7.1041351 53.4584812)",
149748834,2,,residential,50,False,True,151.92600000000002,"LINESTRING (-7.1049144 53.4577922, -7.1056325 53.4581337, -7.1056955 53.4582166, -7.1056566 53.4582927, -7.1055538 53.4583421, -7.1054227 53.4583639, -7.1052144 53.4583149, -7.1049396 53.4580811, -7.1050328 53.4580382)",
149748829,2,,residential,50,False,False,74.797,"LINESTRING (-7.1064062 53.4561154, -7.1064578 53.4558897, -7.1066979 53.4556107, -7.106731 53.4554808)",
"[149748827, 149748829]",2,,residential,50,False,True,104.288,"LINESTRING (-7.1064062 53.4561154, -7.1063814 53.4562405, -7.1062686 53.4563808, -7.1056533 53.4569254)",
"[149748819, 149757359]",2,,residential,50,False,True,91.467,"LINESTRING (-7.1064062 53.4561154, -7.1067053 53.4561927, -7.1068778 53.4562251, -7.1069456 53.4563057, -7.1068319 53.4564269, -7.1067187 53.4564525, -7.106495 53.4563838, -7.1065478 53.4563215)",
149748834,2,,residential,50,False,False,151.926,"LINESTRING (-7.1050328 53.4580382, -7.1049396 53.4580811, -7.1052144 53.4583149, -7.1054227 53.4583639, -7.1055538 53.4583421, -7.1056566 53.4582927, -7.1056955 53.4582166, -7.1056325 53.4581337, -7.1049144 53.4577922)",
149748871,2,,residential,50,False,True,35.714,"LINESTRING (-7.1047506 53.4576743, -7.104682 53.4577304, -7.1043035 53.4576181)",
149748844,2,,residential,50,False,False,104.04299999999999,"LINESTRING (-7.1066409 53.4577322, -7.1065658 53.4577961, -7.1057498 53.4573948, -7.1055431 53.4573951, -7.1054085 53.4573281)",
149748818,2,,residential,,False,False,58.413,"LINESTRING (-7.1104314 53.458765, -7.1096772 53.4584924)",
149748818,2,,residential,,False,True,11.389,"LINESTRING (-7.1104314 53.458765, -7.1105784 53.4588182)",
149748821,,,residential,,False,True,9.179,"LINESTRING (-7.1104314 53.458765, -7.1103558 53.4588342)",
149748815,2,,residential,,False,False,19.32,"LINESTRING (-7.1068649 53.459463, -7.1070969 53.4595684)",
149757362,2,,residential,,False,False,25.447,"LINESTRING (-7.1068649 53.459463, -7.1070977 53.4592809)",
"[149757362, 699210436, 149748870]",2,,residential,50,False,"[False, True]",292.21999999999997,"LINESTRING (-7.1068649 53.459463, -7.1059757 53.4601469, -7.1050671 53.4597154, -7.1050215 53.4596659, -7.1050242 53.4595957, -7.1055741 53.4591513, -7.1058959 53.4588914, -7.1057966 53.4588547)",
149748810,2,,residential,,False,True,11.508,"LINESTRING (-7.1070969 53.4595684, -7.1072005 53.4594853)",
149748815,2,,residential,,False,True,19.32,"LINESTRING (-7.1070969 53.4595684, -7.1068649 53.459463)",
149748810,2,,residential,,False,False,159.93,"LINESTRING (-7.1070969 53.4595684, -7.1066731 53.4599233, -7.106716 53.4600638, -7.1078557 53.4605922)",
149748804,2,The Hawthorns,residential,50,False,True,32.645,"LINESTRING (-7.1041351 53.4584812, -7.1038557 53.4587231)",
149748804,2,The Hawthorns,residential,50,False,False,92.481,"LINESTRING (-7.1041351 53.4584812, -7.1042573 53.4583854, -7.104699 53.4580161, -7.1049144 53.4577922)",
149748822,2,,residential,50,False,True,86.005,"LINESTRING (-7.1041351 53.4584812, -7.1043619 53.4586146, -7.1047305 53.4588285, -7.105025 53.4589136, -7.1049392 53.4589781)",
149748875,2,Cluainn Craoibh,residential,30,False,False,77.035,"LINESTRING (-7.1093124 53.4561208, -7.1092454 53.4561783, -7.1094546 53.4562661, -7.1095672 53.4562629, -7.1096316 53.4562198, -7.1096075 53.4561495, -7.1092333 53.4559903)",
149748845,,,residential,,False,False,8.472,"LINESTRING (-7.1100822 53.4578328, -7.1100125 53.4578967)",
149748810,2,,residential,,False,False,14.199,"LINESTRING (-7.1078557 53.4605922, -7.108025 53.4606706)",
149748814,,,residential,,False,True,11.346,"LINESTRING (-7.1078557 53.4605922, -7.107746 53.4606706)",
149748810,2,,residential,,False,True,159.93,"LINESTRING (-7.1078557 53.4605922, -7.106716 53.4600638, -7.1066731 53.4599233, -7.1070969 53.4595684)",
149748802,,,residential,,False,False,47.122,"LINESTRING (-7.1037567 53.4560788, -7.1043047 53.4563492)",
149748802,,,residential,,False,True,47.294,"LINESTRING (-7.1037567 53.4560788, -7.1032345 53.4557886)",
