osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,bridge,name,access,tunnel
80183643,True,1,N59,primary,50,False,21.47,"LINESTRING (-9.149405 54.1144182, -9.1493058 54.1143969, -9.1492157 54.1143902, -9.1490845 54.1144027)",,,,
80183646,True,1,N59,primary,50,False,23.333,"LINESTRING (-9.149405 54.1144182, -9.1493817 54.1143653, -9.1493879 54.1142975, -9.1494346 54.1142146)",,,,
48376807,True,2,N59,primary,50,False,52.597,"LINESTRING (-9.1499818 54.114749, -9.149405 54.1144182)",yes,Lower Bridge,,
24436289,False,,,unclassified,50,False,160.47699999999998,"LINESTRING (-9.1514253 54.115438, -9.1511167 54.1156635, -9.1507944 54.1158897, -9.1505548 54.1161294, -9.1500437 54.1166279)",,Castle Street,,
152219303,False,2,N59,primary,50,True,75.89299999999999,"LINESTRING (-9.1514253 54.115438, -9.1516387 54.115443, -9.151775 54.1154364, -9.1519074 54.1154124, -9.1522194 54.1153118, -9.1522742 54.1152996, -9.1525212 54.1152506)",,Pearse Street,,
863277741,False,2,N59,primary,50,False,96.35099999999998,"LINESTRING (-9.1514253 54.115438, -9.1512725 54.1153951, -9.1511268 54.1153421, -9.1509915 54.1152702, -9.1504553 54.1149962, -9.1503266 54.1149309, -9.1502696 54.114904)",,Pearse Street,,
"[23843259, 80183652]",False,,R928,secondary,50,False,84.024,"LINESTRING (-9.1525212 54.1152506, -9.152765 54.1150948, -9.1529587 54.1149826, -9.1533028 54.1147834, -9.1534172 54.1147077)",,Pearse Street,,
24357415,False,2,N59,primary,50,False,103.58000000000001,"LINESTRING (-9.1525212 54.1152506, -9.1527223 54.1154373, -9.1532531 54.1160763)",,Humbert Street,,
152219303,False,2,N59,primary,50,False,75.893,"LINESTRING (-9.1525212 54.1152506, -9.1522742 54.1152996, -9.1522194 54.1153118, -9.1519074 54.1154124, -9.151775 54.1154364, -9.1516387 54.115443, -9.1514253 54.115438)",,Pearse Street,,
23783100,False,2,N59,primary,50,False,56.176,"LINESTRING (-9.1578902 54.1169802, -9.1578505 54.1167646, -9.1578417 54.1164763)",,Pound Street,,
23843285,False,2,R314,secondary,50,False,91.859,"LINESTRING (-9.1578902 54.1169802, -9.1579622 54.1170653, -9.1583883 54.1176258, -9.1584715 54.1177327)",,Killala Road,,
31059174,False,2,N59,primary,50,True,64.282,"LINESTRING (-9.1578902 54.1169802, -9.1577409 54.1169912, -9.1575117 54.1170082, -9.1572077 54.1170143, -9.1569071 54.1170124)",,Circular Road,,
23843285,False,2,R314,secondary,50,True,58.891000000000005,"LINESTRING (-9.1588119 54.1182233, -9.1586923 54.1180522, -9.1584715 54.1177327)",,Killala Road,,
1080774411,False,,L6130,residential,30,True,9.192,"LINESTRING (-9.1588119 54.1182233, -9.1587182 54.1182463, -9.1586849 54.1182587)",,,,
23783100,False,2,N59,primary,50,True,137.005,"LINESTRING (-9.1580985 54.1150953, -9.158038 54.1151805, -9.1580193 54.1152485, -9.1580054 54.115299, -9.1579464 54.1155124, -9.1579149 54.1156697, -9.1578603 54.1159426, -9.1578462 54.116013, -9.1578312 54.116218, -9.1578243 54.1163123)",,Pound Street,,
23949014,True,,R294,secondary,50,False,131.721,"LINESTRING (-9.1580985 54.1150953, -9.1577621 54.1150167, -9.157677 54.1149843, -9.1570937 54.1147624, -9.1570706 54.1147538, -9.1566008 54.1145611, -9.1563865 54.1144736)",,Garden Street,,
