osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,junction,bridge
29377283,R627,Connolly Street,secondary,False,False,25.522,"LINESTRING (-8.1714024 51.9148278, -8.1711508 51.9149969)",,,,,
29377283,R627,Connolly Street,secondary,False,True,110.72699999999999,"LINESTRING (-8.1714024 51.9148278, -8.1720519 51.91455, -8.1726606 51.9143128, -8.1727563 51.9142877)",,,,,
91097504,,Dickinson's Lane,residential,False,False,11.942,"LINESTRING (-8.1714024 51.9148278, -8.1713825 51.9148183, -8.1712648 51.914762)",2,20,,,
29377283,R627,Connolly Street,secondary,False,True,25.522,"LINESTRING (-8.1711508 51.9149969, -8.1714024 51.9148278)",,,,,
29377283,R627,Connolly Street,secondary,False,False,220.806,"LINESTRING (-8.1711508 51.9149969, -8.1706343 51.9153446, -8.1701068 51.9157671, -8.1696633 51.91612, -8.1691196 51.9164858, -8.1690741 51.9165116)",,,,,
30024696,,Drury's Avenue,residential,False,False,107.277,"LINESTRING (-8.1711508 51.9149969, -8.1714857 51.915139, -8.1720055 51.9153481, -8.1721198 51.9153929, -8.1723246 51.9154878, -8.1723976 51.9155654)",,,,,
29377283,R627,Connolly Street,secondary,False,True,236.924,"LINESTRING (-8.1666026 51.9179989, -8.1671309 51.9176657, -8.1676999 51.9173037, -8.168336 51.9169508, -8.1687013 51.9167231, -8.1690741 51.9165116)",,,,,
32997983,,Lauriston,residential,False,False,51.544,"LINESTRING (-8.1666026 51.9179989, -8.1670261 51.91821, -8.1671946 51.9182842)",,,,,
267576047,,,residential,False,True,39.43,"LINESTRING (-8.1723976 51.9155654, -8.1728653 51.9153592)",,,,,
30024696,,Drury's Avenue,residential,False,False,147.224,"LINESTRING (-8.1723976 51.9155654, -8.1724146 51.9157299, -8.1724395 51.9159697, -8.1724991 51.916555, -8.172551 51.9166586, -8.1726231 51.9168025, -8.172689 51.9168636)",,,,,
30024696,,Drury's Avenue,residential,False,True,107.27699999999999,"LINESTRING (-8.1723976 51.9155654, -8.1723246 51.9154878, -8.1721198 51.9153929, -8.1720055 51.9153481, -8.1714857 51.915139, -8.1711508 51.9149969)",,,,,
30024696,,Drury's Avenue,residential,False,True,147.22400000000002,"LINESTRING (-8.172689 51.9168636, -8.1726231 51.9168025, -8.172551 51.9166586, -8.1724991 51.916555, -8.1724395 51.9159697, -8.1724146 51.9157299, -8.1723976 51.9155654)",,,,,
32997979,,Suncourt,residential,False,False,202.369,"LINESTRING (-8.172689 51.9168636, -8.1726136 51.9168882, -8.1724191 51.9169442, -8.1720065 51.9170511, -8.1710399 51.9173011, -8.1700166 51.9176315)",,,,,
267574911,,Oliver Plunkett Place,residential,False,True,139.514,"LINESTRING (-8.172689 51.9168636, -8.1727056 51.9168459, -8.1727417 51.9168297, -8.1730943 51.9166917, -8.1734359 51.916568, -8.1737183 51.9164658, -8.1744231 51.9162131)",,,,,
483229503,,,residential,False,False,78.686,"LINESTRING (-8.172689 51.9168636, -8.1726881 51.9168892, -8.1727138 51.9169259, -8.1729608 51.9171448, -8.173264 51.9174187, -8.1733228 51.9174431)",,,,,
30613880,R626,Mill Road,secondary,True,False,50.168000000000006,"LINESTRING (-8.1755989 51.9172184, -8.1755397 51.9173532, -8.1755586 51.9176645)",1,,4,,
159762378,R907,,secondary,True,False,21.103,"LINESTRING (-8.1755989 51.9172184, -8.1754976 51.9172405, -8.1753893 51.9172367, -8.1753122 51.917206)",2,,,roundabout,
159762378,R907,,secondary,True,False,45.161,"LINESTRING (-8.1753122 51.917206, -8.1751379 51.9170265, -8.1750793 51.9169574, -8.1750594 51.9169339, -8.17499 51.916852)",2,,,roundabout,
5202300,R626,Mill Road,secondary,False,False,82.346,"LINESTRING (-8.1755586 51.9176645, -8.1755873 51.917769, -8.1755991 51.9178119, -8.1757097 51.9182136, -8.1758071 51.9183871)",2,,,,
30613881,R626,Mill Road,secondary,True,False,53.762,"LINESTRING (-8.1755586 51.9176645, -8.1754326 51.9174521, -8.1754014 51.9173925, -8.1753629 51.9173285, -8.1753122 51.917206)",1,,4,,
32997135,,Fr Murphy Place,residential,False,False,126.52100000000002,"LINESTRING (-8.1743774 51.9103657, -8.1742988 51.9103774, -8.173283 51.9104841, -8.1725722 51.910595)",,,,,
996609408,L3621,Bailick Road,tertiary,False,False,38.22,"LINESTRING (-8.1743774 51.9103657, -8.1744822 51.9101561, -8.1745464 51.9100382)",2,,,,
"[996609408, 137083491, 702459197]",L3621,Bailick Road,tertiary,False,True,192.051,"LINESTRING (-8.1743774 51.9103657, -8.1741263 51.9109314, -8.1740641 51.9110708, -8.1740287 51.9111581, -8.1738657 51.9115328, -8.1736644 51.9120358)",2,,,,yes
32997135,,Fr Murphy Place,residential,False,True,53.767,"LINESTRING (-8.1718028 51.9106863, -8.1718513 51.9106839, -8.1725722 51.910595)",,,,,
32997136,,,residential,False,False,37.687,"LINESTRING (-8.1725722 51.910595, -8.1724163 51.91027)",,,,,
32997135,,Fr Murphy Place,residential,False,False,53.767,"LINESTRING (-8.1725722 51.910595, -8.1718513 51.9106839, -8.1718028 51.9106863)",,,,,
32997135,,Fr Murphy Place,residential,False,True,126.521,"LINESTRING (-8.1725722 51.910595, -8.173283 51.9104841, -8.1742988 51.9103774, -8.1743774 51.9103657)",,,,,
