osmid,lanes,ref,highway,oneway,reversed,length,geometry,bridge,maxspeed,access,name
210967506,2,R524,secondary,False,True,45.033,"LINESTRING (-9.3016795 52.3864852, -9.3017951 52.386884)",,,,
24553456,2,R524,secondary,False,False,107.733,"LINESTRING (-9.3016795 52.3864852, -9.3013958 52.3856843, -9.3013199 52.3855422)",,,,
"[210631875, 386353140, 210631869]",2,R555,secondary,False,True,537.965,"LINESTRING (-9.3016795 52.3864852, -9.3031067 52.3867936, -9.3039234 52.3869789, -9.3060216 52.3874615, -9.3068388 52.3876353, -9.3071066 52.3876923, -9.3073964 52.3877681, -9.3076173 52.3878288, -9.3078298 52.3879198, -9.3079991 52.3880162, -9.3082301 52.3881725, -9.3084289 52.3883309, -9.3086858 52.3885413)",yes,,,
22456861,2,N21,trunk,False,True,34.316,"LINESTRING (-9.300819 52.3851599, -9.3010169 52.3851024, -9.3012755 52.3850272)",,50,yes,
24553456,2,R524,secondary,False,True,56.102000000000004,"LINESTRING (-9.300819 52.3851599, -9.3008406 52.3851867, -9.3008986 52.3852585, -9.3009907 52.3853197, -9.3011394 52.3853741, -9.301264 52.3854502, -9.3013199 52.3855422)",,,,
235854832,2,N21,trunk,False,False,217.992,"LINESTRING (-9.300819 52.3851599, -9.3002407 52.3853312, -9.2988485 52.385732, -9.297897 52.3859726)",,50,yes,
888907341,1,,unclassified,True,False,14.064,"LINESTRING (-9.3017441 52.3847196, -9.3015615 52.3846598)",,,,
22456861,2,N21,trunk,False,False,49.233000000000004,"LINESTRING (-9.3017441 52.3847196, -9.3016568 52.384858, -9.3015251 52.3849547, -9.3012755 52.3850272)",,50,yes,
22456861,2,N21,trunk,False,True,32.361999999999995,"LINESTRING (-9.3017441 52.3847196, -9.3017656 52.3846649, -9.3017705 52.3845469, -9.3017558 52.3844305)",,50,yes,
235854832,2,N21,trunk,False,False,41.155,"LINESTRING (-9.297897 52.3859726, -9.2973368 52.3861143)",,50,yes,
"[210976322, 994005554, 210631863]",2,,"['unclassified', 'residential']",False,"[False, True]",319.78599999999994,"LINESTRING (-9.297897 52.3859726, -9.2980144 52.3862069, -9.2981951 52.3863402, -9.2984021 52.3863816, -9.2985186 52.3863265, -9.2989612 52.3862397, -9.2992535 52.3861922, -9.2994225 52.3862086, -9.2996264 52.386261, -9.3000689 52.3865065, -9.3003801 52.3866637, -9.3005839 52.3867586, -9.3009299 52.386829, -9.3013314 52.386884, -9.3016541 52.3869011, -9.3017951 52.386884)",,,,
235854832,2,N21,trunk,False,True,217.992,"LINESTRING (-9.297897 52.3859726, -9.2988485 52.385732, -9.3002407 52.3853312, -9.300819 52.3851599)",,50,yes,
22456861,2,N21,trunk,False,False,34.316,"LINESTRING (-9.3012755 52.3850272, -9.3010169 52.3851024, -9.300819 52.3851599)",,50,yes,
22456861,2,N21,trunk,False,True,49.233000000000004,"LINESTRING (-9.3012755 52.3850272, -9.3015251 52.3849547, -9.3016568 52.384858, -9.3017441 52.3847196)",,50,yes,
