osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,bridge,tunnel
23860053,True,1,L4015,tertiary,50,False,101.594,"LINESTRING (-6.977064 52.9929199, -6.977393 52.9928784, -6.9779507 52.9928187, -6.9785531 52.9927432)",,,
24854204,False,2,L4015,tertiary,50,False,58.304,"LINESTRING (-6.9785531 52.9927432, -6.9791902 52.9927265, -6.9794236 52.992727)",,,
1175967739,False,2,,tertiary,50,False,3.314,"LINESTRING (-6.9785531 52.9927432, -6.9785318 52.9927356, -6.9785105 52.992728)",Church Road,,
23454597,False,2,R417,secondary,50,False,60.316,"LINESTRING (-6.9833738 52.9923478, -6.9833043 52.9922446, -6.9832856 52.9922171, -6.9831073 52.9919554, -6.9830328 52.9918457)",Emily Square,,
27557772,False,2,L4015,tertiary,50,False,24.779000000000003,"LINESTRING (-6.9833738 52.9923478, -6.9835199 52.9923152, -6.9835713 52.992304, -6.9837212 52.9922708)",Leinster Street,,
27557772,False,2,L4015,tertiary,50,True,116.36699999999999,"LINESTRING (-6.9833738 52.9923478, -6.9831676 52.9923792, -6.9831401 52.9923834, -6.9823174 52.9925089, -6.9816851 52.9925965)",Leinster Street,,
424246579,False,2,R417,secondary,50,True,58.116,"LINESTRING (-6.9833738 52.9923478, -6.9834315 52.9924658, -6.9834506 52.9925058, -6.9836177 52.9928494)",Stanhope Street,,
23992163,False,2,R417,secondary,50,False,6.405,"LINESTRING (-6.9819834 52.9904193, -6.9819463 52.9903662)",Offaly Street,,
23992163,False,2,R417,secondary,50,True,48.116,"LINESTRING (-6.9819834 52.9904193, -6.9822896 52.9908108)",Offaly Street,,
23992150,False,,,residential,,False,81.76599999999999,"LINESTRING (-6.9819834 52.9904193, -6.9814977 52.9905799, -6.9809005 52.9907593)",Beech Grove,,
25437364,False,,,residential,,True,97.13,"LINESTRING (-6.9807906 52.9885617, -6.9793941 52.988799)",Saint Patrick's Avenue,,
23454596,False,2,R417,secondary,50,True,171.196,"LINESTRING (-6.9807906 52.9885617, -6.9810246 52.9889396, -6.9810831 52.9890373, -6.9811596 52.9891651, -6.981202 52.9892359, -6.9815031 52.9897387, -6.9817023 52.9899993)",Carlow Road,,
25437365,False,,,residential,,False,74.895,"LINESTRING (-6.9807906 52.9885617, -6.9808536 52.9885438, -6.9817405 52.9882914, -6.9818008 52.9882722)",Marina Court,,
944079574,False,2,L4015,tertiary,50,True,12.238,"LINESTRING (-6.9889529 52.991293, -6.9887795 52.9913279)",Duke Street,,
23454594,False,2,R428,secondary,50,False,78.172,"LINESTRING (-6.9889529 52.991293, -6.9896098 52.9911425, -6.9900559 52.9910634)",William Street,,
23589660,False,2,R428,secondary,50,False,106.696,"LINESTRING (-6.9889529 52.991293, -6.9890141 52.9913758, -6.9893048 52.9917696, -6.9895802 52.992175)",Woodstock Street,,
"[337432601, 23589660]",False,2,R428,secondary,50,False,179.69,"LINESTRING (-6.9895802 52.992175, -6.9896736 52.9923427, -6.9897346 52.9924523, -6.989835 52.9926326, -6.989916 52.9928542, -6.9900113 52.9934248, -6.9900353 52.9935624, -6.9900425 52.9935957, -6.99007 52.9937559)",Woodstock Street,,
23589660,False,2,R428,secondary,50,True,106.696,"LINESTRING (-6.9895802 52.992175, -6.9893048 52.9917696, -6.9890141 52.9913758, -6.9889529 52.991293)",Woodstock Street,,
23874591,False,2,,residential,50,True,94.765,"LINESTRING (-6.9895802 52.992175, -6.9902605 52.9920455, -6.9909179 52.9918967)",Shrewleen Lane,,
