osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,tunnel,bridge
4247336,2,L1006,Cemetery Road,tertiary,50,False,True,5.234,"LINESTRING (-6.460842 53.5076532, -6.460826 53.5076993)",,,
4247337,2,R125,Main Street,secondary,50,False,True,168.22199999999998,"LINESTRING (-6.460842 53.5076532, -6.460958 53.5076682, -6.4612358 53.5076757, -6.4615845 53.5076501, -6.4616933 53.5076298, -6.4618396 53.5076025, -6.4620202 53.5075587, -6.4621956 53.5074879, -6.4623668 53.5074049, -6.4625077 53.5073412, -6.4625931 53.5073094, -6.4626317 53.5072951, -6.4628021 53.5072589, -6.4630307 53.507235, -6.463194 53.5072251)",,,
4247340,2,R125,,secondary,50,False,False,133.01,"LINESTRING (-6.460842 53.5076532, -6.4607159 53.5076146, -6.460632 53.5075639, -6.4604585 53.5074027, -6.4603326 53.5072836, -6.460161 53.5070998, -6.4600395 53.5069789, -6.4599994 53.5069478, -6.459955 53.5069171, -6.4598411 53.5068384, -6.4597249 53.506782, -6.4596858 53.5067676, -6.4596037 53.5067373)",,,
4247340,2,R125,,secondary,50,False,False,134.833,"LINESTRING (-6.4582156 53.5067047, -6.4580042 53.5066726, -6.4577446 53.5066227, -6.4575369 53.5065562, -6.4573215 53.5064845, -6.4571326 53.5063992, -6.4569071 53.5062455, -6.4567472 53.5061279, -6.4566022 53.5060212)",,,
4247340,2,R125,,secondary,50,False,True,94.392,"LINESTRING (-6.4582156 53.5067047, -6.4583579 53.5066964, -6.4585661 53.5066759, -6.4586816 53.506658, -6.4587696 53.5066489, -6.4589767 53.5066345, -6.459076 53.5066364, -6.4592111 53.5066507, -6.4593729 53.5066782, -6.4595166 53.506715, -6.4596037 53.5067373)",,,
27652966,2,,,residential,,False,False,103.394,"LINESTRING (-6.4582156 53.5067047, -6.4581959 53.5067476, -6.4581101 53.5069231, -6.4579851 53.5071861, -6.4577941 53.5076001)",,,
"[1128215500, 23259788, 1128215501, 1128215502]",2,,Park View,residential,,False,False,314.555,"LINESTRING (-6.4658932 53.507575, -6.4658522 53.5076041, -6.4658393 53.5076132, -6.4657279 53.5076923, -6.4656337 53.5077319, -6.4655007 53.5077451, -6.4653621 53.507755, -6.4652845 53.5077945, -6.4652125 53.5078769, -6.4649366 53.5085511, -6.4649419 53.5086109, -6.4649936 53.5086491, -6.4651203 53.5086886, -6.4652169 53.5087188, -6.465262 53.5087564, -6.4652774 53.5087934, -6.4652741 53.5088352, -6.4651663 53.5091962, -6.4650691 53.5094287, -6.4650613 53.5094783, -6.4650612 53.5095325, -6.4650626 53.5096638, -6.4650343 53.5097271, -6.4649784 53.5097573, -6.4648744 53.5097657, -6.4646549 53.509732, -6.4646879 53.5096729)",,,
"[512560480, 873226784]",2,R125,Dunshaughlin Road,secondary,50,False,False,116.02099999999999,"LINESTRING (-6.4658932 53.507575, -6.4653813 53.507403, -6.4650766 53.5073284, -6.4647859 53.5072849, -6.4645227 53.5072539, -6.4642546 53.5072414)",,,
512560480,2,R125,Dunshaughlin Road,secondary,50,False,True,42.188,"LINESTRING (-6.4658932 53.507575, -6.465945 53.5075959, -6.4660179 53.5076253, -6.4661474 53.5076776, -6.4662089 53.5077027, -6.4663676 53.5077675, -6.4664201 53.5077889)",,,
4805695,2,,Streamstown,residential,,False,False,68.614,"LINESTRING (-6.466983 53.5080054, -6.4669412 53.50808, -6.4668624 53.5082204, -6.4667565 53.508479, -6.4667136 53.5086006)",,,
512560480,2,R125,Dunshaughlin Road,secondary,50,False,False,44.363,"LINESTRING (-6.466983 53.5080054, -6.4667667 53.5079311, -6.4664201 53.5077889)",,,
512560480,2,R125,Dunshaughlin Road,secondary,50,False,True,82.296,"LINESTRING (-6.466983 53.5080054, -6.4670147 53.5080143, -6.467293 53.5080887, -6.4673408 53.5081009, -6.4673665 53.5081075, -6.4677662 53.5082056, -6.4680122 53.5082658, -6.468127 53.5082965)",,,
4247337,2,R125,Main Street,secondary,50,False,False,1.76,"LINESTRING (-6.463899 53.5072362, -6.4638724 53.5072358)",,,
1128215496,2,R125,Main Street,secondary,50,False,True,23.523,"LINESTRING (-6.463899 53.5072362, -6.4642546 53.5072414)",,,
4247338,2,R155,Well Road,secondary,50,False,False,244.21799999999996,"LINESTRING (-6.463899 53.5072362, -6.4638809 53.5072868, -6.463838 53.5073706, -6.4637231 53.5075728, -6.4636519 53.5077074, -6.4636377 53.5077355, -6.4635649 53.5078841, -6.4635582 53.5078979, -6.4635169 53.5079898, -6.4634974 53.5080364, -6.4634631 53.5081179, -6.4634477 53.5081547, -6.4634316 53.5081931, -6.4632461 53.5085983, -6.4631817 53.5086754, -6.4631552 53.5087043, -6.4630704 53.5087903, -6.4627984 53.509005, -6.4625159 53.5091989, -6.462479 53.5092265)",,,
4247336,2,L1006,Cemetery Road,tertiary,50,False,False,78.719,"LINESTRING (-6.462479 53.5092265, -6.4623642 53.5091318, -6.4620077 53.5088241, -6.4618803 53.5086849, -6.4618225 53.5086369)",,,
4247338,2,R155,Well Road,secondary,50,False,True,244.21800000000005,"LINESTRING (-6.462479 53.5092265, -6.4625159 53.5091989, -6.4627984 53.509005, -6.4630704 53.5087903, -6.4631552 53.5087043, -6.4631817 53.5086754, -6.4632461 53.5085983, -6.4634316 53.5081931, -6.4634477 53.5081547, -6.4634631 53.5081179, -6.4634974 53.5080364, -6.4635169 53.5079898, -6.4635582 53.5078979, -6.4635649 53.5078841, -6.4636377 53.5077355, -6.4636519 53.5077074, -6.4637231 53.5075728, -6.463838 53.5073706, -6.4638809 53.5072868, -6.463899 53.5072362)",,,
4247339,2,R155,Curragha Road,secondary,50,False,False,207.89299999999997,"LINESTRING (-6.462479 53.5092265, -6.4623588 53.509321, -6.4618652 53.5097116, -6.4616093 53.5099158, -6.461485 53.510012, -6.4614557 53.5100347, -6.4612164 53.5102201, -6.4610222 53.5103694, -6.4609648 53.5104135, -6.4607523 53.5105769, -6.4605743 53.5107139)",,,
4371527,2,L1006,Skryne Road,tertiary,50,False,True,80.7,"LINESTRING (-6.462479 53.5092265, -6.4625491 53.5092844, -6.4627896 53.5094886, -6.4628641 53.5095521, -6.4631792 53.5098209)",,,
1128215496,2,R125,Main Street,secondary,50,False,False,23.523,"LINESTRING (-6.4642546 53.5072414, -6.463899 53.5072362)",,,
4247335,2,R155,Fairyhouse Road,secondary,50,False,True,205.205,"LINESTRING (-6.4642546 53.5072414, -6.4642685 53.5071951, -6.4643664 53.5070675, -6.4644695 53.5069178, -6.4646395 53.5066733, -6.46472 53.5065656, -6.4647819 53.5065041, -6.4648739 53.5064452, -6.4649264 53.5064185, -6.464981 53.5063908, -6.4651244 53.5063427, -6.4652912 53.5063088, -6.4654881 53.5062963, -6.4657553 53.5062873, -6.4660107 53.5062788, -6.4662092 53.5062626, -6.4664066 53.5062138)",,,
"[873226784, 512560480]",2,R125,Dunshaughlin Road,secondary,50,False,True,116.021,"LINESTRING (-6.4642546 53.5072414, -6.4645227 53.5072539, -6.4647859 53.5072849, -6.4650766 53.5073284, -6.4653813 53.507403, -6.4658932 53.507575)",,,
4247335,2,R155,Fairyhouse Road,secondary,50,False,False,205.20499999999996,"LINESTRING (-6.4664066 53.5062138, -6.4662092 53.5062626, -6.4660107 53.5062788, -6.4657553 53.5062873, -6.4654881 53.5062963, -6.4652912 53.5063088, -6.4651244 53.5063427, -6.464981 53.5063908, -6.4649264 53.5064185, -6.4648739 53.5064452, -6.4647819 53.5065041, -6.46472 53.5065656, -6.4646395 53.5066733, -6.4644695 53.5069178, -6.4643664 53.5070675, -6.4642685 53.5071951, -6.4642546 53.5072414)",,,
4247335,2,R155,Fairyhouse Road,secondary,50,False,True,91.34299999999999,"LINESTRING (-6.4664066 53.5062138, -6.4665667 53.5061327, -6.4667202 53.5060424, -6.4668179 53.5059836, -6.4669524 53.5058907, -6.4670183 53.5058249, -6.4670934 53.5057047, -6.4671549 53.5056203, -6.4671884 53.50559, -6.4672127 53.5055641)",,,
4805684,2,,Mruigtuaithe,residential,,False,False,98.01999999999998,"LINESTRING (-6.4664066 53.5062138, -6.466482 53.5062499, -6.4671538 53.5065298, -6.4672808 53.5065768, -6.4673887 53.5065932, -6.4674347 53.5065913, -6.4675827 53.5065578, -6.4675414 53.5065038)",,,
253250946,2,R155,Fairyhouse Road,secondary,50,False,True,126.87100000000001,"LINESTRING (-6.4672088 53.5053961, -6.4671087 53.505307, -6.4669246 53.505034, -6.4668266 53.5048821, -6.4666529 53.5046105, -6.4665074 53.5043375)",,,
900203813,1,R155,,secondary,50,True,False,15.605,"LINESTRING (-6.4672088 53.5053961, -6.4672451 53.5053819, -6.4672859 53.5053732, -6.4673237 53.5053704, -6.4673615 53.5053723, -6.4673966 53.5053786, -6.4674288 53.5053888)",roundabout,,
512560481,2,L50200,Woodlands Road,tertiary,50,False,False,84.017,"LINESTRING (-6.4694046 53.5068531, -6.4686758 53.5062342)",,,
4805711,2,,Woodlands,residential,,False,False,56.348,"LINESTRING (-6.4694046 53.5068531, -6.4694589 53.5068327, -6.4694848 53.5068232, -6.4697652 53.5067207, -6.4701322 53.5065894)",,,
