osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,tunnel,geometry,width,access
"[25051363, 25051365, 476193292, 153393972, 1025661497]",2,L5048,Lough Atalia Road,tertiary,50,False,False,366.8399999999999,yes,"LINESTRING (-9.0431923 53.2733204, -9.0433655 53.2731641, -9.0437723 53.2727868, -9.0439524 53.2726133, -9.0440912 53.272481, -9.0441987 53.2723749, -9.0442893 53.2722932, -9.044438 53.2721908, -9.0445977 53.2720994, -9.0447664 53.2720119, -9.0448713 53.2719576, -9.0450376 53.2718695, -9.0452926 53.2717162, -9.0456621 53.2714797, -9.0457021 53.2714524, -9.0459399 53.2712869, -9.0463495 53.270991, -9.0464423 53.2709383, -9.0464687 53.2709244, -9.0465549 53.2708791, -9.0467453 53.2708472)",,
55687119,2,,Fairgreen Road,unclassified,30,False,True,161.0,,"LINESTRING (-9.0431923 53.2733204, -9.0433782 53.2733904, -9.0444719 53.2738018, -9.0446942 53.273889, -9.0448348 53.2739475, -9.0449476 53.2740023, -9.0451813 53.2741391)",,
24394271,3,R336,Bóthar Bhreandán Ui Eithir,secondary,30,True,False,56.377,,"LINESTRING (-9.0460852 53.2758536, -9.0460573 53.2758122, -9.0460201 53.2757145, -9.0459905 53.2756042, -9.0459453 53.2753552)",,
24402207,2,,Forster Court,residential,30,False,False,48.098,,"LINESTRING (-9.0460852 53.2758536, -9.0460089 53.2758732, -9.0459944 53.2758769, -9.0459025 53.2759175, -9.0458609 53.2759515, -9.0458024 53.2760162, -9.0456518 53.2761829)",,
24394273,2,,Station Road,unclassified,30,False,False,69.876,,"LINESTRING (-9.0451813 53.2741391, -9.0453422 53.2740685, -9.0457694 53.2738717, -9.0459651 53.2737717, -9.0460053 53.2737496)",,
55687119,2,,Fairgreen Road,unclassified,30,False,False,161.0,,"LINESTRING (-9.0451813 53.2741391, -9.0449476 53.2740023, -9.0448348 53.2739475, -9.0446942 53.273889, -9.0444719 53.2738018, -9.0433782 53.2733904, -9.0431923 53.2733204)",,
"[972219480, 24394272]","['2', '3']",,Fairgreen Road,unclassified,30,False,True,85.91499999999998,,"LINESTRING (-9.0451813 53.2741391, -9.0453575 53.2742687, -9.0453756 53.2742863, -9.0455046 53.2744115, -9.0455373 53.2744511, -9.0455439 53.2744591, -9.0456904 53.2746369, -9.0457472 53.2747051, -9.0457769 53.2747718, -9.0457947 53.2748118)",,
"[34672800, 22762690, 195998279]",2,R336,"['Eyre Square', 'Victoria Place']",secondary,30,False,False,136.114,,"LINESTRING (-9.0479189 53.2741777, -9.04812 53.2740839, -9.0485857 53.2738343, -9.04894 53.2736456, -9.0489627 53.2736167, -9.048969 53.273598, -9.0489615 53.2735594, -9.0489375 53.2735346, -9.0486109 53.273313)",,
25192079,2,R336,Eyre Square,secondary,30,True,False,75.679,,"LINESTRING (-9.0479189 53.2741777, -9.0480847 53.2742828, -9.0483641 53.2744845, -9.048669 53.2746893)",,
131753520,2,R866,Headford Road,secondary,30,False,False,106.583,,"LINESTRING (-9.0523578 53.2766549, -9.0519111 53.2769496, -9.0519013 53.276956, -9.0516624 53.2771088, -9.0512707 53.2773593)",,
131753520,2,R866,Headford Road,secondary,30,False,True,42.462,,"LINESTRING (-9.0523578 53.2766549, -9.0526361 53.2764876, -9.0528079 53.276384)",,
131754283,1,,Woodquay,residential,30,True,False,42.580999999999996,,"LINESTRING (-9.0523578 53.2766549, -9.0524272 53.2765367, -9.052553 53.2763675, -9.0526009 53.2763009)",,
25193845,,R866,Saint Vincent's Avenue,secondary,30,False,False,38.4,,"LINESTRING (-9.0542421 53.2758745, -9.0541172 53.2759135, -9.0537303 53.2760345)",,
131838878,2,,Courthouse Square,residential,30,False,False,36.837,,"LINESTRING (-9.0542421 53.2758745, -9.054301 53.2759457, -9.0543596 53.276024, -9.0544335 53.2761229, -9.0544428 53.2761637, -9.0544466 53.2761801)",,
"[131754282, 1106517855]",2,R863,Saint Francis Street,secondary,30,False,True,78.097,,"LINESTRING (-9.0542421 53.2758745, -9.0541263 53.2757597, -9.0540175 53.2756358, -9.0537698 53.2753363, -9.0536908 53.2752548)",,
"[1106517856, 24728779]",3,R863,Saint Vincent's Avenue,secondary,30,False,True,71.739,,"LINESTRING (-9.0542421 53.2758745, -9.0544778 53.2758036, -9.0549647 53.2756641, -9.0550459 53.2756431, -9.055088 53.2756395, -9.0551281 53.2756426, -9.0551782 53.2756618, -9.0552137 53.2756776)",,
24394267,,,Waterlane,residential,30,False,False,147.315,,"LINESTRING (-9.0481843 53.2784641, -9.0479793 53.2783624, -9.0476904 53.2782282, -9.046551 53.277658, -9.0464761 53.2776205)",,
131838565,2,R336,Bohermore,secondary,30,False,True,97.632,,"LINESTRING (-9.0464761 53.2776205, -9.0455959 53.2783233)",,
24394267,,,Waterlane,residential,30,False,True,147.31500000000003,,"LINESTRING (-9.0464761 53.2776205, -9.046551 53.277658, -9.0476904 53.2782282, -9.0479793 53.2783624, -9.0481843 53.2784641)",,
131838565,2,R336,Bohermore,secondary,30,False,False,39.271,,"LINESTRING (-9.0464761 53.2776205, -9.0466445 53.2774795, -9.0468036 53.2773268)",,
131838565,2,R336,Bohermore,secondary,30,False,True,39.639,,"LINESTRING (-9.047092 53.2770148, -9.0468036 53.2773268)",,
728843364,2,R336,Prospect Hill,secondary,30,False,False,28.301,,"LINESTRING (-9.047092 53.2770148, -9.0472947 53.276791)",,
131838567,,,Saint Bridget's Terrace,residential,30,False,False,124.647,,"LINESTRING (-9.047092 53.2770148, -9.0471626 53.2770377, -9.0473032 53.2770833, -9.0482995 53.2773952, -9.0483548 53.277414, -9.0483854 53.277419, -9.0484161 53.2774192, -9.0484387 53.2774127, -9.0484585 53.2774022, -9.048514 53.2773577, -9.0485823 53.2773117, -9.0486371 53.2772879, -9.0487012 53.2772729)",,
131838568,,,Saint Bridget's Place,residential,30,False,False,29.691,,"LINESTRING (-9.0487012 53.2772729, -9.0483364 53.2771189)",,
131838568,,,Saint Bridget's Place,residential,30,False,True,24.086,,"LINESTRING (-9.0487012 53.2772729, -9.0490065 53.2773895)",,
131838567,,,Saint Bridget's Terrace,residential,30,False,True,124.64700000000002,,"LINESTRING (-9.0487012 53.2772729, -9.0486371 53.2772879, -9.0485823 53.2773117, -9.048514 53.2773577, -9.0484585 53.2774022, -9.0484387 53.2774127, -9.0484161 53.2774192, -9.0483854 53.277419, -9.0483548 53.277414, -9.0482995 53.2773952, -9.0473032 53.2770833, -9.0471626 53.2770377, -9.047092 53.2770148)",,
24394270,,,Saint Bridget's Place,residential,30,False,True,45.242,,"LINESTRING (-9.0483364 53.2771189, -9.0487099 53.2767788)",,
131838568,,,Saint Bridget's Place,residential,30,False,False,24.15,,"LINESTRING (-9.0483364 53.2771189, -9.0480248 53.2770073)",,
131838568,,,Saint Bridget's Place,residential,30,False,True,29.691,,"LINESTRING (-9.0483364 53.2771189, -9.0487012 53.2772729)",,
728843364,2,R336,Prospect Hill,secondary,30,False,True,28.301,,"LINESTRING (-9.0472947 53.276791, -9.047092 53.2770148)",,
131838568,,,Saint Bridget's Place,residential,30,False,True,54.175000000000004,,"LINESTRING (-9.0472947 53.276791, -9.0473637 53.2768111, -9.0480248 53.2770073)",,
728843364,2,R336,Prospect Hill,secondary,30,False,False,20.198,,"LINESTRING (-9.0472947 53.276791, -9.047349 53.2767285, -9.0474017 53.2766692, -9.0474369 53.2766305)",,
24394270,,,Saint Bridget's Place,residential,30,False,False,45.242,,"LINESTRING (-9.0487099 53.2767788, -9.0483364 53.2771189)",,
24394277,1,,New Dock Street,tertiary,30,True,False,89.52600000000001,,"LINESTRING (-9.0518601 53.269995, -9.0520044 53.2699774, -9.0520697 53.2699806, -9.0521391 53.2699999, -9.0526706 53.2702727, -9.0527191 53.2703016, -9.052744 53.2703267, -9.0527488 53.2703403, -9.0527562 53.2703626, -9.0527515 53.2703848, -9.0526928 53.2704612)",,
24402207,2,,Forster Court,residential,30,False,False,11.831,,"LINESTRING (-9.0454161 53.2763567, -9.0452449 53.2763857)",,
24402207,2,,Forster Court,residential,30,False,True,25.514,,"LINESTRING (-9.0454161 53.2763567, -9.0454891 53.2763322, -9.0455337 53.2763054, -9.0455721 53.2762723, -9.0456518 53.2761829)",,
24402210,2,,Forster Court,residential,30,False,True,48.096,,"LINESTRING (-9.0454161 53.2763567, -9.0454358 53.2764124, -9.0454445 53.2764468, -9.0454613 53.2764811, -9.0455276 53.2765433, -9.0456046 53.2765959, -9.0457253 53.2766522, -9.04572 53.276722)",,
24402207,2,,Forster Court,residential,30,False,False,73.632,,"LINESTRING (-9.0445308 53.2769653, -9.044254 53.277242, -9.0442118 53.2772903, -9.044117 53.2773988, -9.0440544 53.2775573)",,
24402207,2,,Forster Court,residential,30,False,True,83.347,,"LINESTRING (-9.0445308 53.2769653, -9.0446638 53.2767995, -9.0448041 53.2766169, -9.0448485 53.2765644, -9.0449063 53.2765135, -9.0449373 53.2764896, -9.0449763 53.2764673, -9.0450664 53.2764283, -9.0451148 53.2764124, -9.0451686 53.2763996, -9.0452449 53.2763857)",,
24402211,2,,Forster Court,residential,30,False,True,56.415,,"LINESTRING (-9.0445308 53.2769653, -9.044593 53.2769868, -9.0452654 53.2772192)",,
24402207,2,,Forster Court,residential,30,False,False,226.466,,"LINESTRING (-9.0440544 53.2775573, -9.04393 53.2777215, -9.0438515 53.2777451, -9.0438153 53.2777559, -9.0437637 53.2777565, -9.0437189 53.277757, -9.0436655 53.2777576, -9.043472 53.2777382, -9.0433073 53.2777418, -9.0432506 53.2777783, -9.043178 53.2779055, -9.0430699 53.2780536, -9.0428787 53.2781784, -9.0427436 53.2782875, -9.0426488 53.278458, -9.0426292 53.2786954, -9.042701 53.278746, -9.0428998 53.2788004, -9.0432341 53.2788613)",,
24402207,2,,Forster Court,residential,30,False,True,73.632,,"LINESTRING (-9.0440544 53.2775573, -9.044117 53.2773988, -9.0442118 53.2772903, -9.044254 53.277242, -9.0445308 53.2769653)",,
881599809,2,,Forster Court,residential,30,False,False,63.593,,"LINESTRING (-9.0440544 53.2775573, -9.0442145 53.2776097, -9.0444996 53.2777031, -9.0448804 53.2778452)",,
24402207,2,,Forster Court,residential,30,False,True,226.46599999999998,,"LINESTRING (-9.0432341 53.2788613, -9.0428998 53.2788004, -9.042701 53.278746, -9.0426292 53.2786954, -9.0426488 53.278458, -9.0427436 53.2782875, -9.0428787 53.2781784, -9.0430699 53.2780536, -9.043178 53.2779055, -9.0432506 53.2777783, -9.0433073 53.2777418, -9.043472 53.2777382, -9.0436655 53.2777576, -9.0437189 53.277757, -9.0437637 53.2777565, -9.0438153 53.2777559, -9.0438515 53.2777451, -9.04393 53.2777215, -9.0440544 53.2775573)",,
151310489,2,,Forster Court,residential,30,False,True,86.103,,"LINESTRING (-9.0432341 53.2788613, -9.0436515 53.2786028, -9.0439172 53.2783538, -9.0440248 53.2782529)",,
151310489,2,,Forster Court,residential,30,False,False,86.10300000000001,,"LINESTRING (-9.0440248 53.2782529, -9.0439172 53.2783538, -9.0436515 53.2786028, -9.0432341 53.2788613)",,
24402211,2,,Forster Court,residential,30,False,False,56.415,,"LINESTRING (-9.0452654 53.2772192, -9.044593 53.2769868, -9.0445308 53.2769653)",,
"[25051363, 25051365, 476193292, 153393972, 1025661497]",2,L5048,Lough Atalia Road,tertiary,50,False,True,366.84000000000003,yes,"LINESTRING (-9.0467453 53.2708472, -9.0465549 53.2708791, -9.0464687 53.2709244, -9.0464423 53.2709383, -9.0463495 53.270991, -9.0459399 53.2712869, -9.0457021 53.2714524, -9.0456621 53.2714797, -9.0452926 53.2717162, -9.0450376 53.2718695, -9.0448713 53.2719576, -9.0447664 53.2720119, -9.0445977 53.2720994, -9.044438 53.2721908, -9.0442893 53.2722932, -9.0441987 53.2723749, -9.0440912 53.272481, -9.0439524 53.2726133, -9.0437723 53.2727868, -9.0433655 53.2731641, -9.0431923 53.2733204)",,
34672865,2,L5048,Bóthar na Long,tertiary,50,False,True,188.66299999999998,,"LINESTRING (-9.0467453 53.2708472, -9.0469166 53.2708736, -9.0472421 53.2709238, -9.0478077 53.2710135, -9.0482605 53.2710853, -9.0483467 53.2711035, -9.0484823 53.2711416, -9.0487096 53.2712213, -9.0489659 53.2713359, -9.049319 53.2714986)",,
95745224,2,,Saint Brendan's Avenue,residential,30,False,True,54.84,,"LINESTRING (-9.0507225 53.277007, -9.0507376 53.277041, -9.0507545 53.2770795, -9.0507696 53.2770959, -9.0507887 53.2771099, -9.0509467 53.2771931, -9.0511816 53.2773203, -9.0512707 53.2773593)",,
131754281,,,Saint Brendan's Avenue,residential,30,True,False,110.493,,"LINESTRING (-9.0507225 53.277007, -9.0508457 53.2769888, -9.0510498 53.2768368, -9.0513649 53.276564, -9.0516695 53.2762956, -9.051724 53.2762371)",,
344874635,2,,Bóthar na mBan,residential,30,False,False,133.29600000000002,,"LINESTRING (-9.0507225 53.277007, -9.0507085 53.2769864, -9.0506359 53.2769425, -9.0502553 53.2767289, -9.0499998 53.2765855, -9.0496254 53.2763832, -9.0494268 53.2762771, -9.0492414 53.2762052)",,
344874635,2,,Bóthar na mBan,residential,30,False,False,78.063,,"LINESTRING (-9.0492414 53.2762052, -9.0491218 53.2761726, -9.048936 53.2761356, -9.0488366 53.2761187, -9.0487386 53.2760961, -9.0486192 53.2760552, -9.048198 53.2758932)",,
344874635,2,,Bóthar na mBan,residential,30,False,True,133.29600000000002,,"LINESTRING (-9.0492414 53.2762052, -9.0494268 53.2762771, -9.0496254 53.2763832, -9.0499998 53.2765855, -9.0502553 53.2767289, -9.0506359 53.2769425, -9.0507085 53.2769864, -9.0507225 53.277007)",,
35539451,1,,Bóthar Irwin,residential,30,True,False,123.102,,"LINESTRING (-9.0502513 53.2753539, -9.0501108 53.2755742, -9.0499715 53.2758309, -9.049931 53.2758742, -9.0498835 53.2759114, -9.0496298 53.2760617, -9.0495819 53.2760826, -9.0495319 53.2760911, -9.0494734 53.2760937, -9.0494202 53.2760952, -9.0493722 53.2761065, -9.0493254 53.2761291, -9.0492414 53.2762052)",,
343500994,1,,Eyre Street,residential,30,True,False,46.048,,"LINESTRING (-9.0502513 53.2753539, -9.050146 53.2753218, -9.0500178 53.2752722, -9.0499181 53.2752225, -9.0498108 53.2751626, -9.0497804 53.2751364, -9.0497512 53.2750844)",,
35539575,1,,Eyre Street,residential,30,True,False,118.987,,"LINESTRING (-9.0521262 53.2752093, -9.052049 53.2752274, -9.0517213 53.275304, -9.0516567 53.2753191, -9.0512986 53.2754139, -9.0511101 53.2754531, -9.0509716 53.275457, -9.0507565 53.2754369, -9.050434 53.2753768)",,
131754283,1,,Woodquay,residential,30,True,False,97.297,,"LINESTRING (-9.0526009 53.2763009, -9.052596 53.2760976, -9.0525924 53.2758513, -9.0525911 53.2756083, -9.0525742 53.2754262)",,
24450045,1,L5150,Woodquay,residential,30,True,False,36.941,,"LINESTRING (-9.0527152 53.2750946, -9.0526684 53.2751978, -9.0526499 53.2753053, -9.0526531 53.2754225)",,
35539575,1,,Eyre Street,residential,30,True,False,13.184999999999999,,"LINESTRING (-9.0527152 53.2750946, -9.0526261 53.2751181, -9.052532 53.2751399)",,
25193845,,R866,Saint Vincent's Avenue,secondary,30,False,True,39.046,,"LINESTRING (-9.0531188 53.2762257, -9.0536392 53.276063)",,
131753520,2,R866,Headford Road,secondary,30,False,False,5.215,,"LINESTRING (-9.0531188 53.2762257, -9.0530581 53.2762554)",,
137588206,,,Corrib Terrace,residential,30,False,True,103.48599999999999,,"LINESTRING (-9.0531188 53.2762257, -9.0531671 53.2762653, -9.0532415 53.2763279, -9.0533482 53.2764023, -9.0541028 53.2769464)",,
24450050,,,Saint Brendan's Avenue,residential,30,True,False,59.145,,"LINESTRING (-9.051724 53.2762371, -9.0519732 53.2762839, -9.0521858 53.2762897, -9.0526009 53.2763009)",,
131754281,,,Saint Brendan's Avenue,residential,30,True,False,119.80199999999998,,"LINESTRING (-9.051724 53.2762371, -9.0518717 53.2760477, -9.0520158 53.2758474, -9.052094 53.2757079, -9.0521495 53.2755307, -9.0521584 53.2754544, -9.0521568 53.2753307, -9.0521262 53.2752093)",,
25035213,1,,Forthill Street,tertiary,30,True,False,61.837999999999994,,"LINESTRING (-9.0495292 53.272639, -9.049444 53.2726452, -9.0493998 53.2726412, -9.0493823 53.2726351, -9.0493629 53.2726279, -9.0491316 53.2725069, -9.0489185 53.2723954, -9.0488937 53.2723704, -9.0488809 53.2723455, -9.04888 53.2723345, -9.0488831 53.2723015)",,
949074485,2,R336,Merchants Road,secondary,30,True,False,84.603,,"LINESTRING (-9.0495292 53.272639, -9.0492873 53.2727746, -9.0486478 53.273165, -9.048629 53.2731765)",,
131838510,1,R336,Merchants Road,secondary,30,True,False,20.48,,"LINESTRING (-9.0529746 53.2704429, -9.0529267 53.2704277, -9.0528747 53.2704196, -9.0528367 53.2704186, -9.0527986 53.270424, -9.0527471 53.2704404, -9.0526928 53.2704612)",,
34672802,2,R336,Queen Street,secondary,30,True,False,67.732,,"LINESTRING (-9.0488831 53.2723015, -9.0492725 53.2719981, -9.0495033 53.2718183)",,
