osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,bridge,lanes,tunnel
23651791,True,R884,The New Quay,secondary,50,False,73.765,"LINESTRING (-7.6981854 52.352197, -7.6988665 52.3521697, -7.6992648 52.3521302)",,,
23678721,False,,Nelson Street,residential,50,False,62.837999999999994,"LINESTRING (-7.6981854 52.352197, -7.6982525 52.3523193, -7.6983236 52.3524732, -7.6984395 52.3527402)",,,
23681470,False,R884,The Quay,secondary,50,True,67.718,"LINESTRING (-7.7041134 52.3519879, -7.7035435 52.3520145, -7.7031203 52.3520414)",,,
"[203358345, 203358354, 23800310, 23880248, 42145341]",False,,Old Bridge,secondary,50,False,140.513,"LINESTRING (-7.7041134 52.3519879, -7.7041143 52.3519269, -7.7040942 52.3517979, -7.70407 52.351644, -7.7040358 52.3514703, -7.703996 52.3512385, -7.7039743 52.3511123, -7.7039646 52.3510512, -7.7039525 52.3509745, -7.7039573 52.3509322, -7.7039943 52.3509096, -7.7041891 52.3508333, -7.7042298 52.3508176)",yes,2,
"[23839376, 203358287]",True,R884,"['The Quay', ""Joyce's Lane""]",secondary,50,False,233.019,"LINESTRING (-7.7041134 52.3519879, -7.7050803 52.3519145, -7.7055855 52.3518234, -7.7056921 52.3518019, -7.7060366 52.3517376, -7.7064007 52.3516774, -7.7065103 52.3516765, -7.7065531 52.3516917, -7.7065779 52.3517005, -7.7066603 52.3517614, -7.7066927 52.3518488, -7.7067028 52.3518761, -7.7067716 52.3521896, -7.7067786 52.3522214)",,,
838355532,False,R884,Irishtown Road,secondary,50,True,15.183,"LINESTRING (-7.7067786 52.3522214, -7.7070014 52.3522102)",,,
"[23651800, 638748346, 638748347]",True,R884,O'Connell Street,secondary,50,False,70.59499999999998,"LINESTRING (-7.7067786 52.3522214, -7.7064677 52.3522433, -7.7062405 52.3522724, -7.7061519 52.3522837, -7.7059699 52.3523057, -7.7058118 52.3523262, -7.7057562 52.3523328)",,1,building_passage
23678725,True,R884,Gladstone Street,secondary,50,False,98.147,"LINESTRING (-7.7015605 52.3529927, -7.7015582 52.3530349, -7.7015587 52.3530574, -7.701577 52.3531261, -7.7017236 52.3534294, -7.7017979 52.3535962, -7.701814 52.3536303, -7.7019159 52.3538452)",,2,
203358277,False,R884,O'Connell Street,secondary,50,True,192.216,"LINESTRING (-7.7015605 52.3529927, -7.7016416 52.3529585, -7.7017423 52.352933, -7.702225 52.3528526, -7.7024461 52.3528185, -7.7030942 52.3527187, -7.7031792 52.3527064, -7.703863 52.3526079, -7.704287 52.3525461)",,2,
23651797,True,R884,Market Street,secondary,50,False,126.208,"LINESTRING (-7.7019159 52.3538452, -7.7015788 52.3538951, -7.7012546 52.3539334, -7.7011917 52.3539156, -7.7010901 52.3538868, -7.7008899 52.3539114, -7.7005835 52.3539681, -7.7005098 52.3539817, -7.7003827 52.3539993, -7.7001211 52.3540355)",,,
1018633656,False,R688,Gladstone Street,secondary,50,False,58.818999999999996,"LINESTRING (-7.7019159 52.3538452, -7.7021448 52.3543395, -7.7021516 52.3543542)",,2,
23651791,True,R884,The New Quay,secondary,50,False,144.55599999999998,"LINESTRING (-7.701001 52.3519234, -7.7019497 52.3519775, -7.7020631 52.3519844, -7.7028955 52.3520353, -7.7031203 52.3520414)",,,
23651796,True,,Sarsfield Street,tertiary,50,False,41.144,"LINESTRING (-7.701001 52.3519234, -7.7010722 52.3519745, -7.7012254 52.3522626)",,,
1104943931,True,R884,Parnell Street,secondary,50,False,35.515,"LINESTRING (-7.6973986 52.3538002, -7.6968872 52.3538669)",,1,
"[1104943930, 23800298]",False,,College Street,residential,50,True,132.501,"LINESTRING (-7.6973986 52.3538002, -7.6974119 52.3538392, -7.6974879 52.354108, -7.6975277 52.3542797, -7.6975845 52.3545253, -7.6976492 52.3547956, -7.6977048 52.3549768)",,,
"[23651801, 838355532]",False,R884,"['Irishtown', 'Irishtown Road']",secondary,50,False,77.37700000000001,"LINESTRING (-7.7091552 52.3520732, -7.7090666 52.3520808, -7.7087293 52.3521098, -7.7087016 52.3521125, -7.7080451 52.3521594, -7.7080251 52.3521608)",,2,
23651801,False,R884,Irishtown,secondary,50,True,122.094,"LINESTRING (-7.7091552 52.3520732, -7.7092245 52.3520667, -7.7095791 52.3520337, -7.7095886 52.3520328, -7.709838 52.3520051, -7.7098894 52.3519994, -7.7099791 52.3519894, -7.7101744 52.3519677, -7.7105677 52.3519269, -7.7109274 52.3518895)",,2,
23653534,True,,St. Mary's Place,tertiary,50,False,84.55199999999999,"LINESTRING (-7.7091552 52.3520732, -7.7092618 52.3524432, -7.7093621 52.352823)",,,
23653533,False,,Gravel Walk,tertiary,50,True,55.298,"LINESTRING (-7.7080251 52.3521608, -7.7080743 52.3524408, -7.70811 52.3526554)",,,
838355532,False,R884,Irishtown Road,secondary,50,False,69.753,"LINESTRING (-7.7080251 52.3521608, -7.707853 52.3521698, -7.7075248 52.3521869, -7.7075187 52.3521878, -7.7073592 52.3521955, -7.7073302 52.3521967, -7.7070014 52.3522102)",,,
"[23651801, 838355532]",False,R884,"['Irishtown', 'Irishtown Road']",secondary,50,True,77.377,"LINESTRING (-7.7080251 52.3521608, -7.7080451 52.3521594, -7.7087016 52.3521125, -7.7087293 52.3521098, -7.7090666 52.3520808, -7.7091552 52.3520732)",,2,
838355532,False,R884,Irishtown Road,secondary,50,False,15.183,"LINESTRING (-7.7070014 52.3522102, -7.7067786 52.3522214)",,,
838355532,False,R884,Irishtown Road,secondary,50,True,69.753,"LINESTRING (-7.7070014 52.3522102, -7.7073302 52.3521967, -7.7073592 52.3521955, -7.7075187 52.3521878, -7.7075248 52.3521869, -7.707853 52.3521698, -7.7080251 52.3521608)",,,
23681469,False,,Mary's Street,tertiary,50,True,27.986,"LINESTRING (-7.705329 52.3547229, -7.705207 52.3544825)",,2,
23681793,False,,Bolton Street,tertiary,,False,93.432,"LINESTRING (-7.705329 52.3547229, -7.7055145 52.3549917, -7.705909 52.3554845)",,2,
137433012,True,,William Street,tertiary,,False,73.821,"LINESTRING (-7.705329 52.3547229, -7.7050636 52.3548039, -7.7047717 52.3548928, -7.7043563 52.3550192)",,,
23653544,False,,Saint Oliver Plunkett Terrace,residential,,False,195.03199999999998,"LINESTRING (-7.705909 52.3554845, -7.7059548 52.3555791, -7.7059637 52.3555878, -7.7066302 52.3562385, -7.7074886 52.3569422)",,,
23680825,False,R707,,secondary,50,True,103.795,"LINESTRING (-7.705909 52.3554845, -7.7062916 52.3553855, -7.7069698 52.3552024, -7.7072957 52.3550937)",,,
23681793,False,,Bolton Street,tertiary,,True,93.432,"LINESTRING (-7.705909 52.3554845, -7.7055145 52.3549917, -7.705329 52.3547229)",,2,
137433009,False,R707,Queen Street,secondary,50,False,111.668,"LINESTRING (-7.705909 52.3554845, -7.705676 52.3555471, -7.7054926 52.3555964, -7.7053212 52.3556425, -7.704929 52.3557479, -7.7045792 52.3558419, -7.704404 52.355889)",,,
23651798,False,R707,Queen Street,secondary,,False,36.792,"LINESTRING (-7.704404 52.355889, -7.7042795 52.35592, -7.7039024 52.356014)",,,
23691691,False,R688,Doctor O'Callaghan Row,secondary,,False,125.91,"LINESTRING (-7.704404 52.355889, -7.7044755 52.3559705, -7.7047577 52.3562921, -7.7052602 52.3568933)",,2,
23692848,False,R688,Cashel Street,secondary,,True,86.837,"LINESTRING (-7.704404 52.355889, -7.7043168 52.3557908, -7.7038024 52.3551999)",,,
137433009,False,R707,Queen Street,secondary,50,True,111.668,"LINESTRING (-7.704404 52.355889, -7.7045792 52.3558419, -7.704929 52.3557479, -7.7053212 52.3556425, -7.7054926 52.3555964, -7.705676 52.3555471, -7.705909 52.3554845)",,,
23691691,False,R688,Doctor O'Callaghan Row,secondary,,False,73.299,"LINESTRING (-7.7052602 52.3568933, -7.7054873 52.3571597, -7.7057483 52.3574812)",,2,
23691691,False,R688,Doctor O'Callaghan Row,secondary,,True,125.91000000000001,"LINESTRING (-7.7052602 52.3568933, -7.7047577 52.3562921, -7.7044755 52.3559705, -7.704404 52.355889)",,2,
155906747,False,,,residential,,False,49.298,"LINESTRING (-7.7052602 52.3568933, -7.7053761 52.3568556, -7.705901 52.356685)",,,
23681794,False,,Short Street,tertiary,,False,39.73,"LINESTRING (-7.7043563 52.3550192, -7.704177 52.3546791)",,,
