osmid,highway,oneway,reversed,length,geometry,ref,name,bridge,tunnel,lanes,maxspeed
"[135832672, 135833442]",residential,False,False,236.612,"LINESTRING (132.9973056 33.0096884, 132.9960506 33.0096982, 132.9960034 33.0097069, 132.995984 33.0097506, 132.9959804 33.0103155, 132.9959398 33.0107375)",,,,,,
135833460,unclassified,False,False,320.689,"LINESTRING (132.9973056 33.0096884, 132.9977585 33.0096842, 132.9978628 33.0096967, 132.9983891 33.0098115, 132.9997319 33.0105416, 132.9997574 33.010572, 132.999756 33.0106192, 132.9995602 33.0108891, 132.9995576 33.0109341, 132.999575 33.0109701, 132.9996903 33.0110623)",,,,,,
135833598,residential,False,True,114.27000000000001,"LINESTRING (132.9973056 33.0096884, 132.9973173 33.0100186, 132.9973162 33.0104759, 132.99729 33.010556, 132.9972164 33.0107003)",,,,,,
"[135832175, 135832159, 135832167]",primary,False,"[False, True]",204.15399999999997,"LINESTRING (133.0014324 33.0095643, 133.001213 33.0096972, 133.0006331 33.0101539, 133.0005922 33.0101938, 133.0005484 33.0102368, 133.0002399 33.0105613, 133.000069 33.0107476, 132.999925 33.0108847)",42,中村下田ノ口線,yes,,,
"[135832500, 135832519]",residential,False,False,751.1399999999999,"LINESTRING (133.0014324 33.0095643, 133.000968 33.009402, 133.000647 33.00925, 132.999604 33.008906, 132.999188 33.008788, 132.999001 33.00872, 132.998861 33.008647, 132.99866 33.008478, 132.99856 33.008331, 132.998473 33.00828, 132.9983 33.008308, 132.99757 33.00832, 132.997457 33.008333, 132.997189 33.008382, 132.996468 33.008466, 132.9958627 33.008677, 132.9957617 33.008723, 132.9956087 33.008824, 132.9955147 33.00892, 132.9954747 33.009044, 132.9954477 33.009236, 132.9953712 33.0101922)",,,,,,
"[135832500, 135832519]",residential,False,True,751.1400000000001,"LINESTRING (132.9953712 33.0101922, 132.9954477 33.009236, 132.9954747 33.009044, 132.9955147 33.00892, 132.9956087 33.008824, 132.9957617 33.008723, 132.9958627 33.008677, 132.996468 33.008466, 132.997189 33.008382, 132.997457 33.008333, 132.99757 33.00832, 132.9983 33.008308, 132.998473 33.00828, 132.99856 33.008331, 132.99866 33.008478, 132.998861 33.008647, 132.999001 33.00872, 132.999188 33.008788, 132.999604 33.008906, 133.000647 33.00925, 133.000968 33.009402, 133.0014324 33.0095643)",,,,,,
135833331,residential,False,True,135.36700000000002,"LINESTRING (132.9953712 33.0101922, 132.9953756 33.0105361, 132.9953381 33.0110393, 132.9952585 33.0114025)",,,,,,
558144784,primary,False,True,29.478,"LINESTRING (132.999925 33.0108847, 132.9996903 33.0110623)",42,中村下田ノ口線,,,,
"[135832167, 135832159, 135832175]",primary,False,"[False, True]",204.154,"LINESTRING (132.999925 33.0108847, 133.000069 33.0107476, 133.0002399 33.0105613, 133.0005484 33.0102368, 133.0005922 33.0101938, 133.0006331 33.0101539, 133.001213 33.0096972, 133.0014324 33.0095643)",42,中村下田ノ口線,yes,,,
135832943,tertiary,False,False,359.39700000000005,"LINESTRING (132.999925 33.0108847, 133.0000802 33.0109563, 133.0003649 33.0110758, 133.0005151 33.0111523, 133.0006192 33.0112796, 133.0018736 33.0134273, 133.0019631 33.0135253)",,,,,,
